check_id	authority_physical	printed_page	check_class	expected_evidence	french_result	english_result	verdict	notes
M001	1-12	23-33	AUTHORITY_IDENTITY	SHA-256 C8B618A1DA8B060E946C2FBCF6A1D36DB73E4F3841330F8822043C593B7F4ECE; 12 physical pages	MATCH	MATCH	PASS	Canonical readers are checked against the controlling NUMDAM/SMF authority only
M002	1		COPY_MATTER_EXCLUSION	NUMDAM cover recorded in apparatus; access/copyright/digitization prose absent from both readers	EXCLUDED	EXCLUDED	PASS	Physical 1 is not an article page
M003	2	23	ACCENTS	SOCIÉTÉ MATHÉMATIQUE DE FRANCE	MATCH	MATCH	PASS	Corrects the two missing authority accents in inherited French source bytes
M004	2	23	ROLE	Pierre Deligne author; rédigé par J. L. Brylinski; English written up by	MATCH	MATCH	PASS	Redactor is not represented as coauthor
M005	3	24	HODGE_DECOMPOSITION	H_B(M) tensor_Z C = direct sum over p+q=n of H^{p,q}; conjugation sends p,q to q,p	MATCH	MATCH	PASS	Indices and conjugation bar verified visually and in TeX
M006	3	24	EXACT_SEQUENCE	0 -> H_1(A,Z) -> Lie(A) -> A -> 0 with integral and exp labels	MATCH	MATCH	PASS	Arrow order and labels preserved
M007	4	25	ELL_ADIC	T_ell(A) = inverse limit A_{ell^n}(bar k); gamma tensor x projection sentence	MATCH	MATCH	PASS	The source's gamma/x wording is retained without emendation
M008	4	25	STRICT_FILTRATION	F^p = direct sum over p' > p of H^{p',q}	MATCH	MATCH	PASS	Strict source sign retained; no weak-inequality normalization
M009	4	25	UNIVERSAL_EXTENSION	0 -> H^1(A,O_A)^* -> E -> A -> 0; H_DR(T(A)) = Lie(E)	MATCH	MATCH	PASS	All filtration inclusions and comparison arrows present
M010	5	26	TATE_MOTIVE	Z(1); 2 pi i; exterior-square comparison; Weil form	MATCH	MATCH	PASS	Scalar notation follows authority
M011	5	26	LEGENDRE	omega_1 dot eta_2 - omega_2 dot eta_1 = 2 pi i	MATCH	MATCH	PASS	Explicit multiplication points retained
M012	6	27	SOURCE_READING	both period matrices are n by 2n	MATCH	MATCH	PASS	Not silently changed to g by 2g
M013	6	27	MATRIX_IDENTITY	transpose(N) dot Omega - transpose(Omega) dot N = 2 i pi dot E	MATCH	MATCH	PASS	Order, transpose marks, and multiplication points preserved
M014	6	27	LITERAL_WORDING	l'ensemble de ces plongements complexes / the set of these complex embeddings	MATCH	MATCH	PASS	Source ces is not emended to ses
M015	7	28	HPHI_DEFINITION	O_E module; E tensor C isomorphic to C^S; sigma-indexed C-factor of Hodge type (phi(sigma),phi(bar sigma))	COMPLETE	COMPLETE	PASS	Full clause is visible and not clipped
M016	7	28	INVERSE_EMBEDDING	x in E acts as sigma^{-1}(x)	MATCH	MATCH	PASS	Inverse is preserved
M017	7-8	28-29	PERIOD_NOTATION	p_E relation on 28; p_K notation after table on 29	MATCH	MATCH	PASS	Source's E/K shift is recorded, not normalized
M018	8	29	TWO_COLUMN_TABLE	four numbered period identities and four motive relations	COMPLETE	COMPLETE	PASS	Native table; all rows and products/exterior powers checked
M019	9	30	ABSOLUTE_HODGE_GROUPS	H^{2d}(X,Q_ell)(d) and H^{2d}_{DR}(X)(d); no X_bar or étale insertion	MATCH	MATCH	PASS	Printed X notation preserved
M020	9	30	KUNNETH	H^*(X) = direct sum_i H^i(X)	MATCH	MATCH	PASS	Motivic Hom and Künneth decomposition checked
M021	10	31	RESULT_LABELS	Theorem 1; unnumbered Corollary (Borovoï); Theorem 2	MATCH	MATCH	PASS	No invented corollary numbers
M022	10	31	HODGE_GROUP	G is Zariski closure of mu(G_m); rational-function criterion also uses mu(G_m)	MATCH	MATCH	PASS	Not normalized to nonzero complex numbers
M023	10-11	31-32	THEOREM_2	all omega/eta periods; H_{1,B}/H_{1,DR} comparison; principal homogeneous space; lemma	COMPLETE	COMPLETE	PASS	Integral indices and tensor scalars checked
M024	11	32	PROOF_ENDING	exactly one source C.Q.F.D.; exactly one translated Q.E.D.; no automatic proof square	ONE	ONE	PASS	Second proof has no terminal symbol
M025	11	32	STRICT_INEQUALITIES	dim(G) < g+1 and dim(G) > 2+log_2(g)	MATCH	MATCH	PASS	No weak inequalities
M026	12	33	TERMINAL	References [1]-[7]; both addresses; blank remainder; physical EOF	COMPLETE	COMPLETE	PASS	Page topology and terminal blank preserved
M027	2-12	23-33	TRANSLATION_ALIGNMENT	11 paired page records in identical authority order; mathematical hazard tokens present in both sources	ALIGNED	ALIGNED	PASS	English is standalone and page-aligned to frozen French
M028	2-12	23-33	IMAGE_FALLBACK	No formula, table, or diagram requires raster substitution	NATIVE_TEX	NATIVE_TEX	PASS	No production image fallback is needed; locator images remain ZERO_ACCEPTED
