artifact_id,role,title_or_scope,public_locator,bytes,sha256,redistributed_in_package,authority_status,notes
FAC-AUTH-FR-SCAN,controlling_source_authority,"Jean-Pierre Serre, Faisceaux Algébriques Cohérents, Annals of Mathematics 61 (1955), 197-278",https://doi.org/10.2307/1969915,6305726,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,no,sole_source_authority,"83 physical PDF pages; hash-bound only"
FAC-FR-DIP-TEX,project_diplomatic_french,"Complete diplomatic French FAC body TeX through EOF",project_custody,334467,E24F8A68E4981DACFA383C3B3C9923C847289A2474FB161EEBBAF66AC784860D,no,diplomatic_project_layer,"Preserves source-established printed forms"
FAC-FR-CORR-TEX,project_corrected_french,"Complete corrected French FAC body TeX through EOF",project_custody,334563,2E8CFCCF12F8A34CEBDC65E43286528FE3EBD8F16F9F560033CB52D523D63F15,no,corrected_project_layer,"Disclosed corrections; diplomatic layer remains separately preserved"
FAC-EN-MASTER,project_english,"Complete source-aligned English FAC master TeX through EOF",project_custody,6294,C2286F91159285FEAFC9A9FEA8C32381AF8453E2D8E9E97040A03115D117DB64,no,target_language_output,"Codex source-first English lineage"
FAC-EN-PDF,project_english_reader,"Complete source-aligned English FAC reader",project_custody,484479,707D851ECCB0B663A4347F9EB876D2157F36FED1C5D9B18794CAAE04FA671A6C,no,target_language_output,"78 pages"
FAC-COMP-PDF,external_english_comparator,"Piotr Achinger and Łukasz Krupa English FAC PDF",https://achinger.impan.pl/fac/fac.pdf,928401,3B3EBE76E335144D16201D3B2474311FD5A60F909A992B0D057FC5B33F39E1B5,no,comparison_only,"105 pages; discovered after Codex no.79 freeze"
FAC-COMP-SOURCE,external_english_comparator,"Piotr Achinger and Łukasz Krupa editable FAC source archive",https://achinger.impan.pl/fac/fac.tar.gz,73666,E38121AE17DC87469C60C9B1C2E901926DC43F425D27BB6A3AC9B6F96E3A3B57,no,comparison_only,"Acquired after comparator PDF discovery; no explicit redistribution license located"
FAC-BLIND-CODEX-N079,chronology_boundary,"Codex FAC no.79 component",project_custody,4111,C685DE10A5F0CB32B55845212661C4E73FEBFBC30DBB1842D68F8874C1B09DBF,no,blind_boundary,"Latest numbered Codex unit completed before comparator discovery"
FAC-BLIND-MASTER-N079,chronology_boundary,"Codex cumulative master at no.79 freeze",project_custody,6112,038B973E31839A78D91F527467675AEABBCD978A6B69E49B355D306705489DFB,no,blind_boundary,"Comparator could not have influenced no.1-79 wording or formulas"
FAC-BLIND-PDF-N079,chronology_boundary,"Codex cumulative reader at no.79 freeze",project_custody,464779,0598183A783A2F8DCDB2EF021920EB1EB302FD423268A0BBC3866DE1058B4F98,no,blind_boundary,"74 pages"
