"comparator_id","fac_number","cohort","codex_path","codex_line_start","codex_line_end","codex_block_sha256","external_path","external_line_start","external_line_end","external_block_sha256","codex_word_tokens","external_word_tokens","codex_to_external_word_ratio","prose_unique_token_jaccard","codex_math_fragments","external_math_fragments","math_fragment_count_delta","codex_math_stream_sha256","external_math_stream_sha256","codex_statement_keywords","external_statement_keywords","statement_count_delta","codex_arrow_commands","external_arrow_commands","arrow_count_delta","codex_item_commands","external_item_commands","item_count_delta","mechanical_triage","adjudication_status","scalar_decision_prohibited"
"FAC-BLIND-N001","1","blind_pre_comparator_acquisition","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","83","106","892E94B2ABF70A565B8A956B323AA95728477A6614B9894025B375D3574B2F31","qa/comparison/achinger_krupa_fac_source_2010/expanded/fac/fac-1_1.tex","3","38","93F75C6774FB8D69BA008B27620A27B67E4B0F90DA78830436F78004A33755F2","147","139","1.0576","0.5385","44","44","0","F2BFD364062EE0D6AE613BB389F359BA55D03BC6B41437F6AE01B1260146DD36","D000D73E6C7737A4C6E1C0EAF4DA15512501BBD0EE33B57E142937353A9CCA7D","2","2","0","0","1","1","4","0","4","low_mechanical_difference","pending_lead_french_authority_review","true"
"FAC-BLIND-N002","2","blind_pre_comparator_acquisition","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","107","111","55F73151DFB1169B83437A5D968325EE49903296DC8B1AF7CF75F94E9970CBC4","qa/comparison/achinger_krupa_fac_source_2010/expanded/fac/fac-1_1.tex","39","65","0F0BCECBF52D1BA7F45BB91B25700C54879833131E4EA2CC7E76136C351801AC","98","102","0.9608","0.5132","38","39","1","2BE6B0E6189EA21A1391166A98F81457FEDF12DD0BB50987B32FBBAD385E0416","A31E8F38ED49033DA318B668258CBB2D13D5AEF50171315B8FCB868BC59A53CF","0","0","0","2","2","0","0","0","0","low_mechanical_difference","pending_lead_french_authority_review","true"
"FAC-BLIND-N003","3","blind_pre_comparator_acquisition","english_source_first_workpass/source/components/002_I_1_3_construction_of_sheaves.tex","6","52","6C8864464956BFA5A2E8D9AD4B7B86F64ED51B0B84D1836AB190DE089E5D6123","qa/comparison/achinger_krupa_fac_source_2010/expanded/fac/fac-1_1.tex","66","152","96D65BB5A7A375D09F2B86798E06EBA9DD4954535A2A1EF4362BB993958F305E","412","394","1.0457","0.5829","131","128","3","F50B7E37D4F46FC8FD5BC02663A25AFF72D8A7A078119482898D721572B6A1DB","57F67F718837970EB3CFFD3BEF60EAC8A9318AC6764A36C40544C9792BFD1E49","7","7","0","9","9","0","2","0","2","low_mechanical_difference","pending_lead_french_authority_review","true"
"FAC-BLIND-N004","4","blind_pre_comparator_acquisition","english_source_first_workpass/source/components/003_I_1_4_gluing_of_sheaves.tex","6","19","6BC063FCAF04B8ED72CC84DAA7288F65098A7491ED27A88DE465853E78ED7A0A","qa/comparison/achinger_krupa_fac_source_2010/expanded/fac/fac-1_1.tex","153","190","098FF2874B0031489C1C9CCA586AC6B9B3B5DF9C5979A00E4FCDB130317DA579","189","161","1.1739","0.4504","61","57","4","BFC6D7F85FA99900A4F0C8BFF7751086610CA3A597F45B586E0F3DA00D2F480E","851593F268FA372CBFA150E3FE79C9B309719875F28B844AF3071C41DF995276","1","1","0","1","1","0","0","0","0","medium_mechanical_difference","pending_lead_french_authority_review","true"
"FAC-BLIND-N005","5","blind_pre_comparator_acquisition","english_source_first_workpass/source/components/004_I_1_5_extension_and_restriction.tex","6","26","51B1F8DF176E695FC6F96E002B96CC1B73CBFDBBB440A30A9D1C46AB5941A4EA","qa/comparison/achinger_krupa_fac_source_2010/expanded/fac/fac-1_1.tex","191","231","5F0ADB0C1330E112E7C6E6221837405A2FCC0E510D5309793E35A205AB547C7F","200","191","1.0471","0.4688","91","87","4","7DC673E09A1E2EF54656FA9B5363D5A22F0645EABF86E33FF594F6DBA0E9BE9B","02CFEBBC56CE456B4B7EC97393C4124A0E44B824D15C7D133D7E6A8E49E7FDEB","3","3","0","4","2","2","0","0","0","medium_mechanical_difference","pending_lead_french_authority_review","true"
"FAC-BLIND-N006","6","blind_pre_comparator_acquisition","english_source_first_workpass/source/components/005_I_1_6_sheaves_of_rings_and_modules.tex","6","22","99345B479503DD9E4489F8798264FC2CDF027DD243DA6EBDA885FB1E58FB29B8","qa/comparison/achinger_krupa_fac_source_2010/expanded/fac/fac-1_1.tex","232","273","C57E9911F52E84963FCDF1FC6DB3398DA016853E30149CD0DDCAE7E18E704FC6","216","215","1.0047","0.5847","51","49","2","8562FA110C1A85CEB86E3C03F6DE903C712D4A6DF8FD9702F382F6F0BBE8B0AD","594287CB6EB43C3E0279B75904302EA68D176F2533742ECAA2D6CFA027A46BC2","1","1","0","2","2","0","0","0","0","low_mechanical_difference","pending_lead_french_authority_review","true"
"FAC-BLIND-N007","7","blind_pre_comparator_acquisition","english_source_first_workpass/source/components/006_I_1_7_subsheaf_and_quotient_sheaf.tex","6","39","4350DD64EE9C37E842E54888D16C4DEB7B15696370089C9BA11D567F482C0A6B","qa/comparison/achinger_krupa_fac_source_2010/expanded/fac/fac-1_1.tex","274","313","863010CF094279C2F4DEEADDF623200A2107267315044CD487C91C4168F664DB","138","139","0.9928","0.4949","60","57","3","D2D3E69AFCC47848A8AF42B945D34F270356455F1A3CA28D520CB280917A3F86","8A99F15B0477279BFC4D2D2638BED41B4F34C1CAE5E87B89E0A75D854C4A1F1B","1","2","1","5","5","0","2","0","2","low_mechanical_difference","pending_lead_french_authority_review","true"
"FAC-BLIND-N008","8","blind_pre_comparator_acquisition","english_source_first_workpass/source/components/007_I_1_8_homomorphisms.tex","6","31","32AD95077605644A62EF3B2D53CACD9F9F1F0097FCCD93C37EA639432C5EDB56","qa/comparison/achinger_krupa_fac_source_2010/expanded/fac/fac-1_1.tex","314","366","8618F31B3B092A2D7055CD4FA69AB86E3BB1435E41A52FD4274526FA4F2157D7","258","225","1.1467","0.5847","117","108","9","33F0879FE966F8D71CD90EDBE261B7D0674AF8C0509D47C593FF0B450D6D7567","68353D36C672719F716B0401E89C78FB8FCE1BD31516DD8B09ED5BC9D63DBE12","3","3","0","15","15","0","0","0","0","high_mechanical_difference","pending_lead_french_authority_review","true"
"FAC-BLIND-N009","9","blind_pre_comparator_acquisition","english_source_first_workpass/source/components/008_I_1_9_direct_sum.tex","6","10","82F5767EE89FC91FF45AF04357DBD7595EAEFD76A2F7AC09C9361A5C9B0607D0","qa/comparison/achinger_krupa_fac_source_2010/expanded/fac/fac-1_1.tex","367","385","AEF51FA1E1E63BF0215BB6A18C3897FF85D9806F78A2289CCCE974F91C0F3ADD","103","95","1.0842","0.5606","41","39","2","51E69FAD8057E72952E0B333D3AC45AA19C073BFE37D6BA056006267FD22BE1B","F83D6CE8603CB561776B73935BDD5955275346E4C8A1B4C569FB0BE0CD22F002","1","1","0","0","0","0","0","0","0","low_mechanical_difference","pending_lead_french_authority_review","true"
"FAC-BLIND-N010","10","blind_pre_comparator_acquisition","english_source_first_workpass/source/components/009_I_1_10_tensor_product.tex","6","63","EBD2210AD0EB93271B0EFEA253ADFE3AF8B6AE92696E8D5E43B5DC14A9EA2182","qa/comparison/achinger_krupa_fac_source_2010/expanded/fac/fac-1_1.tex","386","445","11FE741EACC1EA721DFD061021354DBAB48B37249F0E370AD736875DFDD58F40","283","281","1.0071","0.5845","92","94","2","62019D7B03AF4827A91A469C8A0EE0923DF942D620EB34E72C3871EF9A5E8C89","D619AAC07DAF6E05E873B096BC8EB30DCA0B1048A19AB70AA59E02F5A140D78A","2","2","0","7","7","0","0","0","0","low_mechanical_difference","pending_lead_french_authority_review","true"
