"finding_id","review_id","comparator_id","fac_number","codex_locator","external_locator","french_locator","classification","codex_reading_or_action","external_reading_or_action","selected_form","change_required","rationale","review_status","supersedes_finding_id"
"FAC-BLIND-F0001","FAC-BLIND-REVIEW-N008-R1","FAC-BLIND-N008","8","007_I_1_8_homomorphisms.tex line13","fac-1_1.tex lines331-334","fac_body.tex line251 plus printed authority","source_print_defect_corrected_and_disclosed__external_preserves_defect","uses F_x and G_x and explains the printed omission","uses F and G without stalk subscripts","F_x and G_x","none_codex","N_x and I_x are A_x-submodules and the same sentence forms F_x/N_x; the stalk subscripts are mathematically required","reviewed",""
"FAC-BLIND-F0002","FAC-BLIND-REVIEW-N008-R1","FAC-BLIND-N008","8","007_I_1_8_homomorphisms.tex second exact sequence","fac-1_1.tex line354","fac_body.tex lines258-260","external_tex_math_regression","uses operatorname Im consistently","writes bare Im(phi) in math","operatorname Im(phi)","none_codex","The unescaped external token does not preserve the image-operator typography/semantics used elsewhere","reviewed",""
"FAC-BLIND-F0003","FAC-BLIND-REVIEW-N011-R1","FAC-BLIND-N011","11","010_I_1_11_and_I_2_12_definitions.tex canonical-stalk paragraph","fac-1_1.tex line459","fac_body.tex line317","external_mathematical_subscript_omission","retains Hom_A(F,G)_x","drops the initial stalk subscript x","Hom_A(F,G)_x","none_codex","The object is explicitly an element of the stalk and is the domain of rho_x","reviewed",""
"FAC-BLIND-F0004","FAC-BLIND-REVIEW-N011-R1","FAC-BLIND-N011","11","010_I_1_11_and_I_2_12_definitions.tex opening paragraph","fac-1_1.tex lines451-456","fac_body.tex line315","external_notation_regression","retains the source system H_U","renames the system K_U without reason","H_U","none_codex","No conflict requires renaming; source notation is stable and later local use depends on it","reviewed",""
"FAC-BLIND-F0005","FAC-BLIND-REVIEW-N024-R1","FAC-BLIND-N024","24","022_I_3_24_exact_sequence_general_case.tex Lemma1 proof","fac-1_3.tex line320","fac_body.tex corresponding Lemma1 proof","external_sheaf_covering_substitution","states that b_x are B-valued zero-cochain components","states that b_x have values in the covering V macro","the sheaf B","none_codex","Each b_x is a local section lifted through beta:B->C; it cannot take values in a covering","reviewed",""
"FAC-BLIND-F0006","FAC-BLIND-REVIEW-N024-R1","FAC-BLIND-N024","24","022_I_3_24_exact_sequence_general_case.tex two disclosure footnotes","fac-1_3.tex lines274-278 and325-327","printed authority pp216-217; corrected French lines around748 and802","source_defects_recovered__external_silent_correction","corrects tau-star/tau wording and supplies the forced terminal zero with disclosure","silently uses tau and zero","same corrected readings with explicit disclosure","none_codex","Both repairs are forced by the induced-map definition and by tau z=d(tau f); chronology/provenance requires disclosing rather than silently normalizing","reviewed",""
"FAC-BLIND-F0007","FAC-BLIND-REVIEW-N028-R1","FAC-BLIND-N028","28","026_I_4_28_double_complex_from_two_coverings.tex opening","fac-1_4.tex line61","fac_body.tex line940","external_definition_omission","names V_s-prime as the intersection of the V_j","describes the intersection but omits the symbol being defined","V_s-prime","none_codex","The subsequent definitions use V_s-prime and require its explicit definition","reviewed",""
"FAC-BLIND-F0008","FAC-BLIND-REVIEW-N028-R1","FAC-BLIND-N028","28","026_I_4_28_double_complex_from_two_coverings.tex d_U definition","fac-1_4.tex lines78-80","fac_body.tex line953","external_tex_syntax_regression","closes C^p(U_s-prime,F) before the arrow","leaves the C^p argument unclosed before to","well-formed domain C^p(U_s-prime,F)","none_codex","The external formula is malformed TeX/source notation; Codex preserves the French map exactly","reviewed",""
"FAC-BLIND-F0009","FAC-BLIND-REVIEW-N028-R1","FAC-BLIND-N028","28","026_I_4_28_double_complex_from_two_coverings.tex restriction inclusion","fac-1_4.tex lines86-89","fac_body.tex lines961-965 and printed authority","external_index_corruption","uses all i_0...i_{p+1} in the smaller intersection and omits i_k in the larger target with disclosure","uses i_0...i_p on one side and retains i_k on the other","corrected hat-index inclusion","none_codex","The section indexed with i_k omitted can only restrict from the corresponding larger intersection; the external indices are inconsistent with the differential","reviewed",""
"FAC-BLIND-F0010","FAC-BLIND-REVIEW-N028-R1","FAC-BLIND-N028","28","026_I_4_28_double_complex_from_two_coverings.tex list of general-case objects","fac-1_4.tex lines99-103","fac_body.tex line986","external_symbol_duplication","lists H_I and H_II once each","lists H_I twice before H_II","H_I then H_II","none_codex","The preceding number defines two spectral constructions; the duplicated external symbol is not source-backed","reviewed",""
