"review_id","comparator_id","fac_number","mechanical_triage","french_locator","codex_locator","external_locator","unit_fidelity_disposition","codex_change_required","french_change_required","material_findings_logged","decision_basis","reviewer","review_date","review_status","supersedes_review_id"
"FAC-BLIND-REVIEW-N001-R1","FAC-BLIND-N001","1","low_mechanical_difference","corrected French fac_body.tex lines88-106; authority physical4/printed199","components/001_opening_introduction_contents_and_I_1_1_2.tex lines83-106","fac-1_1.tex lines3-38","Codex and external comparator independently preserve the definition, topology, axioms, and constant-sheaf example","false","false","0","French data (a)-(b), projection and fiber product, axioms I-II, Hausdorff warning, and constant-sheaf example personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N002-R1","FAC-BLIND-N002","2","low_mechanical_difference","corrected French fac_body.tex lines108-114; authority physical4-5/printed199-200","components/001_opening_introduction_contents_and_I_1_1_2.tex lines107-111","fac-1_1.tex lines39-65","Codex and external comparator independently preserve sections, restrictions, local bases, and the direct-limit stalk description","false","false","0","French section definition, Gamma group, restriction map, open-set basis, germ realization, and filtered direct limit personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N003-R1","FAC-BLIND-N003","3","low_mechanical_difference","corrected French fac_body.tex lines116-160; authority physical5-6/printed200-201","components/002_I_1_3_construction_of_sheaves.tex lines6-52","fac-1_1.tex lines66-152","Codex source-aligned; external comparator substitutes three wrong symbols or domains in the canonical section map, Proposition1 proof, and Proposition2 conclusion","false","false","3","French direct-limit construction, topology, canonical iota, Propositions1-3 with both directions, and germs-of-functions example personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N004-R1","FAC-BLIND-N004","4","medium_mechanical_difference","corrected French fac_body.tex lines163-179; authority physical6-7/printed201-202","components/003_I_1_4_gluing_of_sheaves.tex lines6-19","fac-1_1.tex lines153-190","Codex source-aligned and transparently corrects the printed section-domain typo; external comparator preserves that typo and introduces an invalid membership relation","false","false","2","French gluing statement and construction personally compared, including domains, section rings, and transition maps","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N005-R1","FAC-BLIND-N005","5","medium_mechanical_difference","corrected French fac_body.tex lines180-201; authority physical7/printed202","components/004_I_1_5_extension_and_restriction.tex lines6-26","fac-1_1.tex lines191-231","Codex source-aligned and discloses the printed restriction-arrow reversal; external comparator preserves the reversed arrow and changes the extension-by-zero superscript","false","false","2","French propositions 5 and 6 personally compared, including restriction direction and extension-by-zero notation","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N006-R1","FAC-BLIND-N006","6","low_mechanical_difference","corrected French fac_body.tex lines202-216; authority physical7-8/printed202-203","components/005_I_1_6_sheaves_of_rings_and_modules.tex lines6-22","fac-1_1.tex lines232-273","Codex source-aligned; external comparator changes sheaves of sets to sheaves of rings, calls a sheaf a ring, corrupts the defining module system, and drops element-domain conditions","false","false","4","French sheaves-of-sets aside, ring-sheaf structure, section rings, converse systems, module-sheaf compatibility, and constant-integer-sheaf reduction personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N007-R1","FAC-BLIND-N007","7","low_mechanical_difference","corrected French fac_body.tex lines219-242; authority physical8-9/printed203-204","components/006_I_1_7_subsheaf_and_quotient_sheaf.tex lines6-39","fac-1_1.tex lines274-313","Codex and external comparator preserve the source mathematics; the comparator renames the quotient sheaf H as K consistently","false","false","0","French subsheaf conditions, local condition b-prime, quotient topology and system, local lifting, and non-surjective global exact sequence personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N008-R1","FAC-BLIND-N008","8","high_mechanical_difference","corrected French fac_body.tex lines245-266; authority physical9-10/printed204-205","components/007_I_1_8_homomorphisms.tex lines6-31","fac-1_1.tex lines314-366","Codex source-aligned; external comparator contains notation/TeX regressions; high flag explained by Codex disclosure and formatting","false","false","2","French text, mathematical typing, and local exact-sequence semantics personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N009-R1","FAC-BLIND-N009","9","low_mechanical_difference","corrected French fac_body.tex lines269-273; authority physical10/printed205","components/008_I_1_9_direct_sum.tex lines6-10","fac-1_1.tex lines367-384","Codex source-aligned; external comparator changes the stalk G_x to the unrelated uppercase-subscript G_X in the direct-sum definition","false","false","1","French direct-sum stalks, fiber-product realization, induced topology, sections, Gamma identity, and finite direct sums personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N010-R1","FAC-BLIND-N010","10","low_mechanical_difference","corrected French fac_body.tex lines276-310; authority physical10-11/printed205-206","components/009_I_1_10_tensor_product.tex lines6-63","fac-1_1.tex lines386-444","Codex source-aligned; external comparator uses unbound section symbols, changes a stalk subscript x to X, and corrupts the TeX/category phrase sheaf of A-modules","false","false","3","French tensor-product stalks, existence and uniqueness proof, systems and direct limits, induced homomorphisms, exactness, symmetry, unit, and associativity personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
