"unit_id","source_document_sha256","source_lines","source_unit_sha256_lf","target_path","target_unit_sha256_raw","target_document_sha256_expanded_lf","status","review_evidence"
"EXPOSE_I_INTRO","791F4EFFC5E02832D5D77ED03518C8156D6F07E4C8238B03545DB93D883FBB28","306-325","1A1191926106345E667B8436E3C3C2C1A5B6DD72A704FD1A2D237C6AD57CA128","units/EXPOSE_I_INTRO_ES.tex","D3144F3C6D159FD974E435B8DB24A7E08866A8BAB8CADB7AC330B4C60D489ADF","459D0DA0155E6846E157BBA0EE150DB22DBD7D2A7CD2547CC0596B10EFC83F23","source-reconciled","Sentence-by-sentence bilingual review 2026-07-17; title/author/redactor and all six source paragraphs retained; every formula and footnote retained"
"EXPOSE_I_S1_1_1_TO_1_3_1","791F4EFFC5E02832D5D77ED03518C8156D6F07E4C8238B03545DB93D883FBB28","327-368","B91793B1B15C7DAE4920BC8EBB11D9921531DDE76DEE9E89E730FA96DFE5FC6C","units/EXPOSE_I_S1_1_1_TO_1_3_1_ES.tex","4B87498AD21F739036B8DE8942D5211FCE575F1DD0484F19039F808FBB28B076","459D0DA0155E6846E157BBA0EE150DB22DBD7D2A7CD2547CC0596B10EFC83F23","source-reconciled","Sentence-by-sentence bilingual review 2026-07-17; section setup, Definition 1.1, Remarks 1.2(a-b), Proposition 1.3, all three implications, Remark 1.3.1, three displays and every inline formula retained"
"EXPOSE_I_S1_1_4_TO_1_5_2","791F4EFFC5E02832D5D77ED03518C8156D6F07E4C8238B03545DB93D883FBB28","370-406","D2EE1479899B9CC62A8B50ADE9092F0FCB0BA2018872FCAA29F29B3CEF29E71C","units/EXPOSE_I_S1_1_4_TO_1_5_2_ES.tex","CFF2A2BDF32B70AD9B1CCEB26608521EF061EFB1A4A29C5B1FF07426D4B616CB","459D0DA0155E6846E157BBA0EE150DB22DBD7D2A7CD2547CC0596B10EFC83F23","source-reconciled","Sentence-by-sentence bilingual review 2026-07-17; Definition 1.4, Proposition 1.5, Lemma 1.5.1, both proofs, Remark 1.5.2, three displays and all source conditions retained"
"EXPOSE_I_S1_1_6_TO_1_7","791F4EFFC5E02832D5D77ED03518C8156D6F07E4C8238B03545DB93D883FBB28","408-430","47BA8CD7995083D0E013FE029A5CCF7FA4343DC52FCA9FF45AADCA1F799D75B9","units/EXPOSE_I_S1_1_6_TO_1_7_ES.tex","DA45988DDEF491C3D6B7D9A131A68DF5439C4F9F5B0893C4F6BE5D5DE14B167C","459D0DA0155E6846E157BBA0EE150DB22DBD7D2A7CD2547CC0596B10EFC83F23","source-reconciled","Sentence-by-sentence bilingual review 2026-07-17; Proposition 1.6 and proof, canonical biduality construction, emphasized standing hypothesis, Definition 1.7, two displays and all three conditions retained"
"EXPOSE_I_S1_1_8","791F4EFFC5E02832D5D77ED03518C8156D6F07E4C8238B03545DB93D883FBB28","432-451","380A3AE88494292B3508B4828C5BED1EBA8E3C6EFAD61C6689B46B3A12A777EC","units/EXPOSE_I_S1_1_8_ES.tex","C23C3A68BC68B83462EC2C1BA51AA61E0A0BB9D09B7B88FD5E9DB7719768EA31","459D0DA0155E6846E157BBA0EE150DB22DBD7D2A7CD2547CC0596B10EFC83F23","source-reconciled","Sentence-by-sentence bilingual review 2026-07-17; Remarks 1.8(a-e), both bis conditions, every finiteness qualification, one three-map display and the terminal open question retained"
"EXPOSE_I_S1_1_9","791F4EFFC5E02832D5D77ED03518C8156D6F07E4C8238B03545DB93D883FBB28","453-469","35ABC5C68270BC2B7CDE5CDFC8E2F1FA6B30F85F36FF146547E015B07607C56E","units/EXPOSE_I_S1_1_9_ES.tex","3B75E19379EA65E9E6B69C8F7EF5CEBAA627E20F488DC2953B5EBA56A4AE938A","459D0DA0155E6846E157BBA0EE150DB22DBD7D2A7CD2547CC0596B10EFC83F23","source-reconciled","Sentence-by-sentence bilingual review 2026-07-17; exchange-formula setup, source footnote, Lemma 1.9(a-b), proof, Tor spectral sequence and every derived tensor condition retained"
"EXPOSE_I_S1_1_10_TO_1_11_1","791F4EFFC5E02832D5D77ED03518C8156D6F07E4C8238B03545DB93D883FBB28","471-510","2922721FB1FE1DC8EF4B2BCCF422CCD3D2CBDEC3ED9464C1F7A7D5A65EDAF9CD","units/EXPOSE_I_S1_1_10_TO_1_11_1_ES.tex","528534693856A963D55F7574BCC440150B0745E45D34839BB5CD340A85E1B002","459D0DA0155E6846E157BBA0EE150DB22DBD7D2A7CD2547CC0596B10EFC83F23","source-reconciled","Sentence-by-sentence bilingual review 2026-07-17; Notation 1.10, Proposition 1.11(a-d), complete proof, Remarks 1.11.1(a-b), four source displays and all boundedness/finite-dimension alternatives retained"
"EXPOSE_I_S1_1_12","791F4EFFC5E02832D5D77ED03518C8156D6F07E4C8238B03545DB93D883FBB28","512-543","E4333B0C67FDF47F9AA386BE654231170ECF9664DBBC2D6632234C0BD2064978","units/EXPOSE_I_S1_1_12_ES.tex","7A3CCEDA4129016E437568D1ED73C8CFB989F0D35D01909C5F9F05A3E13FE4B1","459D0DA0155E6846E157BBA0EE150DB22DBD7D2A7CD2547CC0596B10EFC83F23","source-reconciled","Sentence-by-sentence bilingual review 2026-07-17; Proposition 1.12(a-b), both source footnotes including footnotemark 3, proof, Scholie, four numbered displays and all functor-domain qualifications retained"
"EXPOSE_I_S1_1_13_TO_1_14","791F4EFFC5E02832D5D77ED03518C8156D6F07E4C8238B03545DB93D883FBB28","545-571","AE03F71D73CB97F4D31DB2F245434058F767F634BE9775BF0040344066E69A99","units/EXPOSE_I_S1_1_13_TO_1_14_ES.tex","E1F905D5B8111D85A071C8AFABB8277144B2EB224186A4076A7AD8849A932520","459D0DA0155E6846E157BBA0EE150DB22DBD7D2A7CD2547CC0596B10EFC83F23","source-reconciled","Sentence-by-sentence bilingual review 2026-07-17; Corollary 1.13 and complete proof, Lemma 1.14(a-b) and complete proof, align chain, every iff condition and finite/radicial/étale factorization retained"
"EXPOSE_I_S1_1_15","791F4EFFC5E02832D5D77ED03518C8156D6F07E4C8238B03545DB93D883FBB28","573-578","7117285611E1B577F46FF53D34BAD1A19C9233391514AD3266F36CB977471C95","units/EXPOSE_I_S1_1_15_ES.tex","B843DBF1FCE3B7BB9EA14B6580CDB32ED4087526104ED6835EC01C8476C369FC","459D0DA0155E6846E157BBA0EE150DB22DBD7D2A7CD2547CC0596B10EFC83F23","source-reconciled","Sentence-by-sentence bilingual review 2026-07-17; Corollary 1.15 and complete proof retained; quasi-finite separated hypothesis, dualizing conditions (ii-iii), EGA factorization, both open/finite cases, finiteness theorem, and final use of Lemma 1.14(b) preserved"
"EXPOSE_I_S2_2_1","791F4EFFC5E02832D5D77ED03518C8156D6F07E4C8238B03545DB93D883FBB28","580-630","BC26D12FFD61CDB949C485D19C5B2DA307E74BBFD147EE83C337AB13883DCD99","units/EXPOSE_I_S2_2_1_ES.tex","D2510D279CA4A8709A28015FEBA09ED17DD7D652BD6EABAD53F9F713D47722A3","459D0DA0155E6846E157BBA0EE150DB22DBD7D2A7CD2547CC0596B10EFC83F23","source-reconciled","Sentence-by-sentence bilingual review 2026-07-17; section heading, local coefficient hypothesis, Theorem 2.1 and proof through its reduction to Lemma 2.2 retained; seven formula blocks, align labels a-b, markers (*)-(**), all isomorphisms and citations preserved"
"EXPOSE_I_S2_2_2","791F4EFFC5E02832D5D77ED03518C8156D6F07E4C8238B03545DB93D883FBB28","631-679","3E630CEB780C639E0B9740088B6918FAFE83B972BC58EAC9DB9F1F74693ABBB8","units/EXPOSE_I_S2_2_2_ES.tex","8DC545C38519DA971D8C1BF4C963F85E052A01F9CF4FB4A7559069A2CA6235C5","459D0DA0155E6846E157BBA0EE150DB22DBD7D2A7CD2547CC0596B10EFC83F23","source-reconciled","Sentence-by-sentence bilingual review 2026-07-17; Lemma 2.2 and complete two-step proof retained; all 107 inline-math spans, tagged specialization diagram, exact sequence (**), splitting and contradiction argument preserved; source shift signs retained without editorial correction"
"EXPOSE_I_S3_3_1","791F4EFFC5E02832D5D77ED03518C8156D6F07E4C8238B03545DB93D883FBB28","680-766","5F72AF2808E6F07FE27E7858B30045F47B6DB69E5FA0B431741E2774E2D18356","units/EXPOSE_I_S3_3_1_ES.tex","729B366CFD50236C7EB4532012E107656FD05D1E8F2E6FDFE6ABAAB83ECAD34A","459D0DA0155E6846E157BBA0EE150DB22DBD7D2A7CD2547CC0596B10EFC83F23","source-reconciled","Sentence-by-sentence bilingual review 2026-07-17; section 3 and all six preliminaries retained; (reg) and (cdloc) conditions, constructible devissage, purity maps, normal-crossings/desingularization lists, three 1977 footnotes, and cohomological-finiteness cases preserved"
"EXPOSE_I_S3_3_2","791F4EFFC5E02832D5D77ED03518C8156D6F07E4C8238B03545DB93D883FBB28","767-824","3396B25176B02A6CD275BBE509F5B45F374901A0178911648D609FAD38F78065","units/EXPOSE_I_S3_3_2_ES.tex","37FEF1FBB8E210A861A3AA98595394DA7F471BCA41B8F9D6C5DA57D9159CC31C","459D0DA0155E6846E157BBA0EE150DB22DBD7D2A7CD2547CC0596B10EFC83F23","source-reconciled","Sentence-by-sentence bilingual review 2026-07-17; Proposition 3.2.1, Remark 3.2.2, Corollaries 3.2.3 and 3.2.5, Lemma 3.2.4 and all proofs retained; purity, strict-localization, codimension and spectral-sequence formulas preserved"
"EXPOSE_I_S3_3_3","791F4EFFC5E02832D5D77ED03518C8156D6F07E4C8238B03545DB93D883FBB28","825-899","8BCD0AE6F88A396AD100FF1C5462C2A8FBC610B3DC2F52680AE927C64C43DCA2","units/EXPOSE_I_S3_3_3_ES.tex","0AFF00B61F5AF7E94601FAE47CC8A7F4DF4B73FD41E9FEAA392FEC326ECEA6EC","459D0DA0155E6846E157BBA0EE150DB22DBD7D2A7CD2547CC0596B10EFC83F23","source-reconciled","Sentence-by-sentence bilingual review 2026-07-17; Proposition 3.3.1 conditions a-b and complete proof retained; all implication steps, projection/duality formulas, two distinguished diagrams, noetherian induction, support argument and source category labels preserved"
"EXPOSE_I_S3_3_4","791F4EFFC5E02832D5D77ED03518C8156D6F07E4C8238B03545DB93D883FBB28","901-955","A1E60FB880EA8A869D41C8AA249576D165701899CA211BB9DAFBC7DF0D687CAF","units/EXPOSE_I_S3_3_4_ES.tex","383AA9F42BD52CD3365DC81CBE12261B1E1F1BB059ABD7801C7BE07A7A36BDB3","459D0DA0155E6846E157BBA0EE150DB22DBD7D2A7CD2547CC0596B10EFC83F23","source-reconciled","Sentence-by-sentence bilingual review 2026-07-17; Theorem 3.4.1, embedded Lemma 3.4.2, Corollaries 3.4.3-3.4.4, Remark 3.4.5 and complete proofs retained; normal-crossings induction, five-lemma sequences, relative-dimension shifts and all citations preserved"
"EXPOSE_I_S4_4_1_TO_4_3","791F4EFFC5E02832D5D77ED03518C8156D6F07E4C8238B03545DB93D883FBB28","956-1058","A96AC26E14CAD1968E00EA5164595497A3A5361918FB4AE7CC8748D510669E50","units/EXPOSE_I_S4_4_1_TO_4_3_ES.tex","57DAD824383CB24E69653D197C7FDC6D5355AB0FB5DFEECE31E9E1FDD4FF2A3D","459D0DA0155E6846E157BBA0EE150DB22DBD7D2A7CD2547CC0596B10EFC83F23","source-reconciled","Sentence-by-sentence bilingual review 2026-07-17; section 4 heading, 4.1-4.3, Exercise 4.2.3, Lemmas 4.3-4.4 and all proofs retained; 15 display blocks, 86 inline-math spans, strict-localization diagram and all unusual source citations preserved"
"EXPOSE_I_S4_4_5","791F4EFFC5E02832D5D77ED03518C8156D6F07E4C8238B03545DB93D883FBB28","1059-1152","627A5492E27F63E56682162C23758E79696435A698592BA4274DC1212E81DDF2","units/EXPOSE_I_S4_4_5_ES.tex","4EBE7A5DF4901717A2DB23E957928DFF9DF6BF7657FB35E68F978B4A1037872B","459D0DA0155E6846E157BBA0EE150DB22DBD7D2A7CD2547CC0596B10EFC83F23","source-reconciled","Sentence-by-sentence bilingual review 2026-07-17; complete 4.5 retained; 83 inline-math spans, 14 display blocks, cartesian diagram, definitions 4.5.1-4.5.3, bis criterion, Proposition 4.5.4, Remark 4.5.5 and Exercise 4.5.6 preserved"
