row_id,lane,current_state,route_now,blocker,promotion_allowed
malay_indonesian_review_packet_baseline,Malay-Indonesian,"draft support and reviewer/source prompts only","source-gated noncanonical support","reviewer/source gate absent",false
brunei_dbp_exact_math_terminology,Brunei/Singapore,"exact Brunei math terminology rows zero","source-gap only","DBP/MOE exact math terminology or Brunei reviewer/source return",false
brunei_moe_math_medium_and_curriculum,Brunei/Singapore,"curriculum/medium context only","context-only","item-level Malay math textbook/syllabus terminology",false
singapore_malay_math_exact_content,Brunei/Singapore,"exact Singapore Malay math rows zero","source-gap only","Singapore item-level Malay math content",false
singapore_atl_current_titles,Brunei/Singapore,"math rows and Malay rows do not overlap","title-watch only","Malay mathematics title and content capture",false
mabbim_prpm_comparator,Comparator,"comparator-only","query seed and comparison note","scope governance and exact local adoption evidence",false
filipino_tagalog_higher_algebra,SEA/Pacific,"downloaded glossary PDFs","glossary/source-pointer only","higher-algebra/proof prose",false
cebuano,SEA/Pacific,"DepEd lower-math pages","lower-math source locator","higher-algebra/proof source and item text",false
ilokano,SEA/Pacific,"context/glossary overlap","context/source locator","direct Ilokano math/STEM source",false
hiligaynon,SEA/Pacific,"DepEd Grade 1 activity-sheet listing with Hiligaynon row","item-detail capture target only","lower-math title/listing only; no higher algebra",false
waray,SEA/Pacific,"math-medium context PDF","context row","direct Waray math/STEM material",false
bikol,SEA/Pacific,"language-material context","retry/source-discovery row","direct Bikol math/STEM material",false
lao_jica,SEA/Pacific,"official primary math textbook/teacher-guide PDF routes","official primary-math source-return","not higher algebra/proof prose; OCR/text extraction separate",false
lao_learningpassport,SEA/Pacific,"course-card routes with expiring cached signatures","refresh target list","refresh/download before text work",false
shan,SEA/Pacific,"grade-text context page","source locator","higher-algebra/proof source",false
zhuang,SEA/Pacific,"pass2 status row only","gap/retry row","direct math/proof source",false
hmong_miao,SEA/Pacific,"Grade 4 glossary PDF","glossary/source-pointer only","lower-math glossary only",false
mien_yao,SEA/Pacific,"global language resource context","gap/retry row","direct math/STEM source",false
khmer,SEA/Pacific,"third-party Khmer math-books page with PDF-style links","noncanonical discovery lead","official/university provenance and exact text validation",false
mon,SEA/Pacific,"language-context gap page","gap/retry row","direct math/STEM source",false
santali_munda,SEA/Pacific,"Bharatavani math-item locator","item-detail/PDF capture target","no extracted text/PDF in lane; title-only until capture closes",false
cjk_sinosphere_crosswalk,SEA/Pacific,"source-pointer row","owned by CJK/source lane","not Session G translation support",false
thai,SEA/Pacific,"source-pointer row","owned by Thai/source lane","exact source closure outside Session G",false
tibetan_burmese,SEA/Pacific,"source-pointer row","owned by Tibetan/Burmese source lane","item-level proof/term source missing here",false
maori,SEA/Pacific,"source-pointer row","owned by Maori/source lane","higher-algebra/proof evidence missing",false
samoan_tongan_hawaiian,SEA/Pacific,"source-pointer row","owned by Pacific source lane","higher-algebra/proof evidence missing",false
png_papuan,SEA/Pacific,"source-pointer row","owned by PNG/Papuan source lane","direct math/STEM/proof source missing",false
australian_indigenous,SEA/Pacific,"source-pointer row","owned by Australian Indigenous source lane","direct math/STEM/proof source missing",false
