concept_key,preferred_label,strata,priority_band,priority_score,priority_reasons,union_lane_count,lanes_present,c2_stratum,c2_missing_lanes,c2_context_covered,ws_west_status,ws_south_status,weighted_action,weighted_sensitivity,current_isv,top_by_scheme,risk_flags,aggregate_source_weight,main_sources,de_labels,isv_labels,uk_labels,ru_labels
absolutely complete system,absolutely complete system,noether_corpus,B_backfill_or_variant,26,C2 core; C2 missing 4 lanes; C2 context pending; Noether/historical stratum,1,arabic_farsi_persianate,noether_corpus,pan_romance; controlled_arabic; malay_indonesian; interslavic,False,,,,,,,C2_context_pending; C2_core; C2_missing_lanes; lane_status_review_or_gap,1.0,,,,,
adjunction,adjunction,curriculum_algebra,D_background,0,,0,,,,,,,,,,,F10-0; F10-1,1.1,,Adjunktion der u_{\mu\nu}; adjunktion; als Moduln adjungiert; als moduln adjungiert; eventuelle Adjunktion von Unbestimmten,adjungujut se kako moduly; možno prisojedinjenje neopreděljenyh; prisojedinjenje u_{\mu\nu},можливе приєднання невизначених; приєднання u_{\mu\nu}; приєднуються як модулі,возможное присоединение неопределенных; присоединение u_{\mu\nu}; присоединяются как модули
algebra,algebra,curriculum_algebra,C_core_fill,12,C2 core; C2 missing 1 lanes; multi-lane core,4,arabic_farsi_persianate; controlled_arabic; malay_indonesian; pan_romance,curriculum_algebra,interslavic,True,,,,,,,C2_core; C2_missing_lanes; lane_status_review_or_gap,2.35,"malay_indonesian:Neliti/UIN; UKM course rows; pan_romance:{""es"": ""cum_es.tex:4655"", ""fr"": ""french/math_0107137v2/2002-20.tex:118""}",,,,
algebra (structure),algebra (structure),,D_background,0,,0,,,,,support,support,confirm_current,stable,algebra,"{""dependence_pd"": ""algebra"", ""equal_branch"": ""algebra"", ""equal_splits"": ""algebra"", ""population_proxy"": ""algebra""}",,1.15,bulgarian_sofia_noncommutative_body_problem.txt; croatian_mathhr_algebra_structures_2024.txt; czech_cuni_algebra_2021.txt; czech_cuni_noncommutative_body_thesis.txt; czech_cuni_representation_idempotents.txt; czech_cuni_telesa_pole_note.txt; czech_karlin_commutative_rings_fields.txt; czech_karlin_galois_splitting_field.txt,,,,
algebra over a field,algebra over a field,,D_background,0,,2,arabic_farsi_persianate; controlled_arabic,,,,,,,,,,lane_status_review_or_gap,0.4,,,,,
ansatz / setup,ansatz / setup,proof_grammar,D_background,0,,0,,,,,,,,,,,F10-1,1.1,,Ansatz; ansatz; nach dem Ansatz; nach dem ansatz,po slědujućej shemě; po slědujućej začetnoj shemě; po začętnoj shemě; shema,схема,схема
artinian,artinian,,D_background,0,,2,malay_indonesian; pan_romance,,,,,,,,,,lane_status_review_or_gap,0.4,"malay_indonesian:Walisongo Artin rows; pan_romance:{""es"": ""cum_es.tex:13248"", ""fr"": ""french/0711.3658v2/rat1e.tex:279""}",,,,
artinian module,artinian module,,D_background,0,,1,controlled_arabic,,,,,,,,,,,0.2,,,,,
associated prime,associated prime,,D_background,0,,1,pan_romance,,,,,,,,,,,0.2,"pan_romance:{""es"": ""cum_es.tex:10166"", ""fr"": ""sources/non_slavic_existing_translation_artifacts/zenodo_20836874_20260628/extracted/14_Noether_-_French_and_Simplified_Chinese_Checkpoint_P19s06_20260612/tex/N24_intro_s01_fr_body.tex:125""}",,,,
associated prime ideal,associated prime ideal,noether_corpus,D_background,4,Noether/historical stratum,0,,,,,,,,,,,F10-1,1.1,,zugehoeriges primideal; zugehöriges Primideal; zugehöriges Primideal / zu p gehören; zugehöriges primideal,asociovany prost ideal; asociovany prosty ideal / naležati k p,асоційований простий ідеал; асоційований простий ідеал / належати до p; належний простий ідеал,ассоциированный простой идеал; ассоциированный простой идеал / принадлежать p
associative,associative,,D_background,0,,1,malay_indonesian,,,,,,,,,,,0.2,malay_indonesian:Indonesian sparse hit,,,,
assumption,assumption,proof_grammar,C_core_fill,14,C2 core; C2 missing 4 lanes,1,malay_indonesian,proof_grammar,pan_romance; controlled_arabic; arabic_farsi_persianate; interslavic,True,,,,,,,C2_core; C2_missing_lanes,1.75,malay_indonesian:Malay course rows; Indonesian sparse hit,annahme; voraussetzung,,,
automorphism,automorphism,curriculum_algebra,D_background,0,,1,pan_romance,,,,support,support,confirm_current,stable,avtomorfizm,"{""dependence_pd"": ""avtomorfizm"", ""equal_branch"": ""avtomorfizm"", ""equal_splits"": ""avtomorfizm"", ""population_proxy"": ""avtomorfizm""}",,1.35,"croatian_mathhr_algebra_structures_2024.txt; czech_cuni_algebra_2021.txt; czech_cuni_noncommutative_body_thesis.txt; czech_cuni_representation_idempotents.txt; czech_karlin_commutative_rings_fields.txt; czech_karlin_galois_splitting_field.txt; pan_romance:{""es"": ""cum_es.tex:14772"", ""fr"": ""french/0711.3658v2/rat1e.tex:136""}; polish_mimuw_noncommutative_body.txt; polish_uj_algebra1_noetherian.txt",automorphismen; automorphismus,,,
basis,basis,curriculum_algebra,C_core_fill,12,C2 core; C2 missing 1 lanes; multi-lane core,4,arabic_farsi_persianate; controlled_arabic; malay_indonesian; pan_romance,curriculum_algebra,interslavic,True,support,support,confirm_current,stable,baza,"{""dependence_pd"": ""baza"", ""equal_branch"": ""baza"", ""equal_splits"": ""baza"", ""population_proxy"": ""baza""}",C2_core; C2_missing_lanes; F10-1; lane_status_review_or_gap,4.6,"bulgarian_sofia_noncommutative_body_problem.txt; croatian_mathhr_algebra_structures_2024.txt; czech_cuni_algebra_2021.txt; czech_cuni_noncommutative_body_thesis.txt; czech_cuni_representation_idempotents.txt; czech_karlin_commutative_rings_fields.txt; malay_indonesian:UPM/UKM course rows; Indonesian sparse hit; pan_romance:{""es"": ""cum_es.tex:291"", ""fr"": ""cum_fr_P19s12.tex:198""}; polish_mimuw_algebra2_galois.txt; polish_mimuw_noncommutative_body.txt",ausgezeichnete Basis; ausgezeichnete basis; basis,vyznačena baza,виділений базис,выделенный базис
bijective,bijective,,D_background,0,,1,controlled_arabic,,,,,,,,,,lane_status_review_or_gap,0.2,,,,,
binary form,binary form,noether_corpus,C_core_fill,24,C2 core; C2 missing 3 lanes; C2 context pending; Noether/historical stratum,2,arabic_farsi_persianate; controlled_arabic,noether_corpus,pan_romance; malay_indonesian; interslavic,False,,,,,,,C2_context_pending; C2_core; C2_missing_lanes; lane_status_review_or_gap,1.2,,,,,
biquadratic form,biquadratic form,noether_corpus,B_backfill_or_variant,26,C2 core; C2 missing 4 lanes; C2 context pending; Noether/historical stratum,1,arabic_farsi_persianate,noether_corpus,pan_romance; controlled_arabic; malay_indonesian; interslavic,False,,,,,,,C2_context_pending; C2_core; C2_missing_lanes; lane_status_review_or_gap,1.0,,,,,
bordering operation,bordering operation,noether_corpus,D_background,4,Noether/historical stratum,0,,,,,,,,,,,F10-2,1.1,,Ränderung; raenderung; ränderung,obrubljenje,облямування,окаймление
burnside theorem,Burnside theorem,noether_corpus,D_background,4,Noether/historical stratum,0,,,,,,,,,,,F10-1,1.1,,Burnsidescher Satz / verallgemeinerter Burnsidescher Satz; burnsidescher satz; burnsidescher satz / verallgemeinerter burnsidescher satz,teorema Burnsida / obobčena teorema Burnsida,теорема Бернсайда / узагальнена теорема Бернсайда,теорема Бернсайда / обобщенная теорема Бернсайда
center,center,,D_background,0,,1,pan_romance,,,,support+competitor,support+competitor,confirm_current,stable,centr,"{""dependence_pd"": ""centr"", ""equal_branch"": ""centr"", ""equal_splits"": ""centr"", ""population_proxy"": ""centr""}",,1.35,"croatian_mathhr_algebra_structures_2024.txt; czech_cuni_algebra_2021.txt; czech_cuni_noncommutative_body_thesis.txt; czech_cuni_representation_idempotents.txt; pan_romance:{""es"": ""cum_es.tex:14606"", ""fr"": ""french/0605499v2/indice1.tex:156""}; polish_mimuw_noncommutative_body.txt; polish_uj_algebra1_noetherian.txt; slovenian_uvod_v_algebro.txt",,,,
chain condition,chain condition,noether_corpus,D_background,4,Noether/historical stratum,0,,,,,,,,,,,F10-1,1.1,,Teilerkettensatz / feste Wohlordnung / endliche Idealbasis; kettensatz; teilerkettensatz; vielfachenkettensatz,uslovje cěpov děliteljev / fiksovany dobry porjadok / konečna baza ideala,умова ланцюгів дільників / фіксований добрий порядок / скінченний базис ідеалу,условие цепей делителей / фиксированный хороший порядок / конечный базис идеала
character,character,curriculum_algebra,D_background,0,,0,,,,,,,,,,,,0,,charakter; charaktere,,,
characteristic series,characteristic series,noether_corpus,D_background,4,Noether/historical stratum,0,,,,,,,,,,,F10-1,1.1,,charakteristische Reihe; charakteristische reihe,karakterističny rjad,характеристичний ряд,характеристический ряд
coefficient,coefficient,curriculum_algebra,D_background,10,C2 core; C2 missing 2 lanes,3,arabic_farsi_persianate; interslavic; malay_indonesian,curriculum_algebra,pan_romance; controlled_arabic,True,,,,,,,C2_core; C2_missing_lanes; F10-1; lane_status_review_or_gap,3.25,interslavic:noether_paper02_section06_terms.json; noether_paper02_section07_terms.json; malay_indonesian:Indonesian polynomial rows; UM terminology,Ordnung in den Koeffizienten; in den Koeffizienten niedrigsten Formen; koeffizient; koeffizienten; numerische Koeffizienten,najnižše po koeficientah formy; poręd v koeficientah; čislove koeficienty,"порядок у коефіцієнтах; форми, найнижчі за коефіцієнтами","порядок в коэффициентах; формы, самые низкие по коэффициентам"
coefficient domain,coefficient domain,,D_background,0,,1,pan_romance,,,,,,,,,,,0.2,"pan_romance:{""es"": ""cum_es.tex:4236"", ""fr"": ""cum_fr_P19s12.tex:4153""}",,,,
commutant theorem,commutant theorem,noether_corpus,D_background,4,Noether/historical stratum,0,,,,,,,,,,,F10-0,1.1,,elementenweise vertauschbare Unterringe; Kommutantensatz; elementenweise vertauschbare unterringe; kommutantensatz; kommutantensatz,elementno komutujuče podkolca; komutantny teorem,елементно комутуючі підкільця; теорема про комутант,элементно коммутирующие подкольца; теорема о коммутанте
commutative,commutative,,D_background,0,,1,malay_indonesian,,,,,,,,,,lane_status_review_or_gap,0.2,malay_indonesian:UIN/UM Surabaya ring rows,,,,
