id,language_group,language,concept,evidence_class,pattern,count,local_file
czech_cuni_algebra_2021,West Slavic,Czech,ring,west_competitor,okruh,143,czech/czech_cuni_algebra_2021.pdf
czech_cuni_algebra_2021,West Slavic,Czech,ring,west_competitor,okruhu,55,czech/czech_cuni_algebra_2021.pdf
czech_cuni_algebra_2021,West Slavic,Czech,ring,west_competitor,okruhy,25,czech/czech_cuni_algebra_2021.pdf
czech_cuni_algebra_2021,West Slavic,Czech,quotient_field,west_competitor,podilove teleso,7,czech/czech_cuni_algebra_2021.pdf
czech_cuni_algebra_2021,West Slavic,Czech,quotient_field,west_competitor,podiloveho telesa,2,czech/czech_cuni_algebra_2021.pdf
czech_cuni_algebra_2021,West Slavic,Czech,quotient_field,west_competitor,podilovem telese,3,czech/czech_cuni_algebra_2021.pdf
czech_cuni_algebra_2021,West Slavic,Czech,field,support_or_related,teleso,116,czech/czech_cuni_algebra_2021.pdf
czech_cuni_algebra_2021,West Slavic,Czech,field,support_or_related,telesa,95,czech/czech_cuni_algebra_2021.pdf
czech_cuni_algebra_2021,West Slavic,Czech,ideal,support,ideal,128,czech/czech_cuni_algebra_2021.pdf
czech_cuni_algebra_2021,West Slavic,Czech,module,support,modul,40,czech/czech_cuni_algebra_2021.pdf
czech_cuni_algebra_2021,West Slavic,Czech,module,support,modula,8,czech/czech_cuni_algebra_2021.pdf
czech_cuni_algebra_2021,West Slavic,Czech,group,support,grupa,187,czech/czech_cuni_algebra_2021.pdf
czech_cuni_algebra_2021,West Slavic,Czech,group,support,grupy,212,czech/czech_cuni_algebra_2021.pdf
czech_cuni_algebra_2021,West Slavic,Czech,group,support,grupe,44,czech/czech_cuni_algebra_2021.pdf
czech_cuni_algebra_2021,West Slavic,Czech,group,support,grup,608,czech/czech_cuni_algebra_2021.pdf
czech_cuni_algebra_2021,West Slavic,Czech,homomorphism,support,homomorfismus,58,czech/czech_cuni_algebra_2021.pdf
czech_cuni_algebra_2021,West Slavic,Czech,invariant,support,invariant,14,czech/czech_cuni_algebra_2021.pdf
czech_cuni_algebra_2021,West Slavic,Czech,determinant,intl,determinant,10,czech/czech_cuni_algebra_2021.pdf
czech_cuni_algebra_2021,West Slavic,Czech,determinant,intl,determinantu,2,czech/czech_cuni_algebra_2021.pdf
czech_cuni_algebra_2021,West Slavic,Czech,polynomial,intl,polynomi,24,czech/czech_cuni_algebra_2021.pdf
czech_cuni_algebra_2021,West Slavic,Czech,theorem,west_native,veta,151,czech/czech_cuni_algebra_2021.pdf
czech_cuni_algebra_2021,West Slavic,Czech,theorem,west_native,vety,125,czech/czech_cuni_algebra_2021.pdf
czech_cuni_algebra_2021,West Slavic,Czech,trace,native,sled,3,czech/czech_cuni_algebra_2021.pdf
czech_cuni_algebra_2021,West Slavic,Czech,extension,generic,rozsireni,130,czech/czech_cuni_algebra_2021.pdf
czech_cuni_algebra_2021,West Slavic,Czech,extension,generic,rozsireni,130,czech/czech_cuni_algebra_2021.pdf
czech_cuni_algebra_2021,West Slavic,Czech,splitting_field,generic,rozkladoveho telesa,1,czech/czech_cuni_algebra_2021.pdf
czech_cuni_telesa_pole_note,West Slavic,Czech,ring,west_competitor,okruh,17,czech/czech_cuni_telesa_pole_note.pdf
czech_cuni_telesa_pole_note,West Slavic,Czech,ring,west_competitor,okruhu,4,czech/czech_cuni_telesa_pole_note.pdf
czech_cuni_telesa_pole_note,West Slavic,Czech,ring,west_competitor,okruhy,8,czech/czech_cuni_telesa_pole_note.pdf
czech_cuni_telesa_pole_note,West Slavic,Czech,field,support_or_related,teleso,7,czech/czech_cuni_telesa_pole_note.pdf
czech_cuni_telesa_pole_note,West Slavic,Czech,field,support_or_related,telesa,9,czech/czech_cuni_telesa_pole_note.pdf
czech_cuni_telesa_pole_note,West Slavic,Czech,determinant,intl,determinant,1,czech/czech_cuni_telesa_pole_note.pdf
czech_cuni_noncommutative_body_thesis,West Slavic,Czech,ring,west_competitor,okruh,27,czech/czech_cuni_noncommutative_body_thesis.pdf
czech_cuni_noncommutative_body_thesis,West Slavic,Czech,ring,west_competitor,okruhu,7,czech/czech_cuni_noncommutative_body_thesis.pdf
czech_cuni_noncommutative_body_thesis,West Slavic,Czech,ring,west_competitor,okruhy,3,czech/czech_cuni_noncommutative_body_thesis.pdf
czech_cuni_noncommutative_body_thesis,West Slavic,Czech,field,support_or_related,teleso,31,czech/czech_cuni_noncommutative_body_thesis.pdf
