lane,build_type,rung,source_floor,corpus_state,main_blockers,key_artifacts,measurements
slavic_interslavic,zonal auxiliary language,"top rung / maintenance, upstream of external review",strong generated corpus; native W/S shelf now present but row verification pending,ISV Latin/Cyrillic complete Noether corpus; Slavic witness retrofit in progress,external authority review zero; W/S witness backfill incomplete; ring and quotient-field review priorities; Noether-corpus specialist vocabulary source intake,INTERSLAVIC_LEDGER_RETROFIT_20260704.json; F10_AUDIT_postwriteback_20260704.json; RING_REVIEW_PACKET_v0_20260704.md; KOLCO_FAMILY_INTERNAL_CONSISTENCY_LEDGER_20260704.json,"{""F10_postwriteback_flags"": {""F10-0"": 203, ""F10-1"": 947, ""F10-2"": 19, ""F10-3"": 41, ""F10-4"": 19}, ""baseline_effective_branches"": 1.255, ""branch_distribution_after"": {""E"": 0.8352, ""S"": 0.0853, ""W_S"": 0.0796}, ""postwriteback_effective_branches"": 1.754}"
pan_romance,zonal auxiliary language,densest next construction target; not pilot-ready,ES/FR Tier-0 strong; PT/GL/CA/IT/RO/RM fallback rows partial,Spanish/French strong; fallback Romance source matrix exists,term-level access-gain ledger; family source packets; dominance risk toward Spanish/French/Italian,PAN_ROMANCE_ACCESS_LEDGER_HANDOFF_20260704.md; UNION_TERM_SPINE_v2_WITH_SLAVIC.json,
controlled_arabic,controlled technical register,source-backed term spine; C2 fills pending,adequate for many curriculum rows; Noether specialist rows pending,native math register shelf + 60-term spine,C2 30 missing rows; specialist Noether vocabulary,C2_FILL_CONTROLLED_ARABIC_20260704.json; UNION_TERM_SPINE_v2_WITH_SLAVIC.json,
arabic_farsi_persianate,controlled Arabic + constructed comparison register,paired ledger with rejection matrices; comparison-register caveat,Arabic/Farsi evidence present; bridge claims constrained by rejection lanes,Arabic/Farsi/Persianate 60-term ledger and C2 18 missing rows,do not inherit into Dari/Tajik/Urdu/Turkic; C2 missing rows; specialist source intake,C2_FILL_ARABIC_FARSI_PERSIANATE_20260704.json; UNION_TERM_SPINE_v2_WITH_SLAVIC.json,
malay_indonesian,controlled register / Malay-Indonesian shared technical register,second-furthest island; 60-term spine + proof grammar + pilot gate plan,comparatively strong because native sources exist,institutional/OER sources; C2 25 missing rows,C2 fill ledgers; review route,UNION_TERM_SPINE_v2_WITH_SLAVIC.json; C2_FILL_DISPATCH_20260704.json,
pan_turkic,"zonal bridge candidate, currently blocked",source-starved,below bridge construction threshold,hard-row search in Turkic languages; common alphabet is infrastructure only,per-language native math witnesses; avoid reconstructing from sparse data,ISLAND_ATLAS.md,
south_asia,script bridge + source shelves,source starters / term-split sidecars,not yet comparable to Slavic/Romance,Hindustani dual-script review gates; Indic/Dravidian source starters,native source shelf expansion; term-split review,ISLAND_ATLAS.md,
africa,controlled registers + crosswalks,source-locator/status rung,intake-first,"Swahili/Bantu, West African, Horn/Ethiopian, Berber/Tamazight, Nilo-Saharan/Sahel/Great Lakes gap rows",source location and non-erasure policy,ISLAND_ATLAS.md,
indigenous_creole_sign,"separate local standards, creole-specific registers, visual lexicon layer",policy/source locator,intake-first,explicitly not one blended language,source authority and local review,ISLAND_ATLAS.md,
cjk_east_se_asia_pacific,local standards; controlled register where justified,mixed: Malay-Indonesian advanced; CJK/Tibeto-Burman/Pacific local-standard decisions,family-dependent,pan-CJK rejected,avoid pan-family overreach,ISLAND_ATLAS.md,
uralic_mongolic_caucasus_diaspora,source status only,earliest,not met,source status only,native source intake,ISLAND_ATLAS.md,
french_interlock,"interlock source/witness node, not a bridge lane",cross-lane evidence node,strong but role-specific,"SGA source language, Noether target lane, Pan-Romance Tier-0 witness",keep witness/source roles separate,CHATNOTES_STRATUM_D_INVENTORY_20260704.md; PAN_ROMANCE_ACCESS_LEDGER_HANDOFF_20260704.md,
