source_id,rel_path,language,branch,use_category,concept,raw_pattern_hits,patterns
belarusian_rubelmatslovar_1993_algebra,02_underrepresented_slavic_belarusian_macedonian_sorbian_anchors/belarusian/belarusian_rubelmatslovar_1993_algebra.html,be,E,anchor_control_candidate,algebra,108,algebr; алгебр
belarusian_rubelmatslovar_1993_ring,02_underrepresented_slavic_belarusian_macedonian_sorbian_anchors/belarusian/belarusian_rubelmatslovar_1993_ring.html,be,E,anchor_control_candidate,algebra,4,algebr; алгебр
macedonian_im_pmf_textbook_catalog,02_underrepresented_slavic_belarusian_macedonian_sorbian_anchors/macedonian/macedonian_im_pmf_textbook_catalog.html,mk,S,anchor_control_candidate,algebra,14,algebr; алгебр
macedonian_ukim_math_lexicon,02_underrepresented_slavic_belarusian_macedonian_sorbian_anchors/macedonian/macedonian_ukim_math_lexicon.pdf,mk,S,anchor_control_candidate,algebra,355,algebr; алгебр
bulgarian_sofia_noncommutative_body_problem,01_non_ru_uk_slavic_baseline_pdf_sources/bulgarian/bulgarian_sofia_noncommutative_body_problem.pdf,bg,S,language_family_witness,algebra,1,algebr; алгебр
croatian_mathhr_algebra_structures_2024,01_non_ru_uk_slavic_baseline_pdf_sources/croatian/croatian_mathhr_algebra_structures_2024.pdf,hr,S,language_family_witness,algebra,43,algebr; алгебр
slovenian_komutativna_algebra_noetherian,01_non_ru_uk_slavic_baseline_pdf_sources/slovenian/slovenian_komutativna_algebra_noetherian.pdf,sl,S,language_family_witness,algebra,1,algebr; алгебр
slovenian_uvod_v_algebro,01_non_ru_uk_slavic_baseline_pdf_sources/slovenian/slovenian_uvod_v_algebro.pdf,sl,S,language_family_witness,algebra,569,algebr; алгебр
serbian_belgrade_algebra_i_lecture9,01_non_ru_uk_slavic_baseline_pdf_sources/serbian/serbian_belgrade_algebra_i_lecture9.pdf,sr,S,language_family_witness,algebra,2,algebr; алгебр
czech_cuni_algebra_2021,01_non_ru_uk_slavic_baseline_pdf_sources/czech/czech_cuni_algebra_2021.pdf,cs,W_S,language_family_witness,algebra,102,algebr; алгебр
czech_cuni_noncommutative_body_thesis,01_non_ru_uk_slavic_baseline_pdf_sources/czech/czech_cuni_noncommutative_body_thesis.pdf,cs,W_S,language_family_witness,algebra,66,algebr; алгебр
czech_cuni_representation_idempotents,01_non_ru_uk_slavic_baseline_pdf_sources/czech/czech_cuni_representation_idempotents.pdf,cs,W_S,language_family_witness,algebra,43,algebr; алгебр
czech_cuni_telesa_pole_note,01_non_ru_uk_slavic_baseline_pdf_sources/czech/czech_cuni_telesa_pole_note.pdf,cs,W_S,language_family_witness,algebra,1,algebr; алгебр
