id,language_group,language,title,role,local_file,bytes,sha256_manifest,sha256_actual,sha256_match,pages,extracted_chars,extracted_words_rough
czech_cuni_algebra_2021,West Slavic,Czech,Ucebni text Algebra 2020/21,broad algebra ring/body/field control,czech/czech_cuni_algebra_2021.pdf,2641741,0737A40AD7C560CA8988BBD5D85762DFFB4791E67CCA0BA4F3CA8A2F4EBE65CE,0737a40ad7c560ca8988bbd5d85762dffb4791e67cca0ba4f3ca8a2f4ebe65ce,True,120,412566,59626
czech_cuni_telesa_pole_note,West Slavic,Czech,Telesa pole terminology note,explicit commutative field versus noncommutative body distinction,czech/czech_cuni_telesa_pole_note.pdf,54193,D4F68D359C2B50DADF954CABA682C4B66CE49E7E3D24294F3F3B2951675D6E8B,d4f68d359c2b50dadf954caba682c4b66ce49e7e3d24294f3f3b2951675d6e8b,True,3,6941,993
czech_cuni_noncommutative_body_thesis,West Slavic,Czech,Czech thesis using nekomutativni teleso,division-ring/body and Brauer-group control,czech/czech_cuni_noncommutative_body_thesis.pdf,391722,DDC68FA8BCFE15C190EF8D5A78B4B56920FFEFF8D8486A8E54A02A5E864F504F,ddc68fa8bcfe15c190ef8d5a78b4b56920ffeff8d8486a8e54a02a5e864f504f,True,26,55168,7943
czech_karlin_commutative_rings_fields,West Slavic,Czech,Komutativni okruhy Teorie teles a jeji aplikace,Noetherian ring/module and field-theory control,czech/czech_karlin_commutative_rings_fields.pdf,481280,0F139BE9D0FD542F9A72ADFDCF698C7643036CDA19377C14B0C01F5F50799DF9,0f139be9d0fd542f9a72adfdcf698c7643036cda19377c14b0c01f5f50799df9,True,118,79227,11348
czech_karlin_galois_splitting_field,West Slavic,Czech,Algebra 2 Rozkladove teleso,splitting-field register control,czech/czech_karlin_galois_splitting_field.pdf,146172,44E8DCB249CDB5D6B084BAD33F1141367C0FD92A14745092594DA6228BE4577C,44e8dcb249cdb5d6b084bad33f1141367c0fd92a14745092594da6228be4577c,True,14,10052,1366
czech_cuni_representation_idempotents,West Slavic,Czech,Vyznacne prvky grupovych okruhu,representation/idempotent/left-ideal control,czech/czech_cuni_representation_idempotents.pdf,911997,E5A089E19940503C1B3CB418A3045F0AA1B649E3D1810F3E798BD7982324C0EB,e5a089e19940503c1b3cb418a3045f0aa1b649e3d1810f3e798bd7982324c0eb,True,59,147306,18914
polish_impan_algebra_lecture3,West Slavic,Polish,Algebra z geometria pierscienie ciala i homomorfizmy,Polish ring/field/homomorphism control,polish/polish_impan_algebra_lecture3.pdf,131333,36859CBC3EEDC4003A84CF21174FD2F339AA53157AB4708A262CB799B2B34DA2,36859cbc3eedc4003a84cf21174fd2f339aa53157ab4708a262cb799b2b34da2,True,10,8458,954
polish_uwr_algebra2_rings,West Slavic,Polish,Algebra II Pierscienie,Polish ring terminology control,polish/polish_uwr_algebra2_rings.pdf,226473,C6D562F5511D46E7CB0A4A9E0C8E6684B4295CBEDB7C17A9694112B214BC98B9,c6d562f5511d46e7cb0a4a9e0c8e6684b4295cbedb7c17a9694112b214bc98b9,True,17,161610,10946
polish_mimuw_noncommutative_body,West Slavic,Polish,MIMUW notes with nieprzemienne cialo kwaternionow,noncommutative body/quaternion control,polish/polish_mimuw_noncommutative_body.pdf,611659,97BC4806785E5A0EFCD0139ABFA9FA1A895CD8BB0447675882034B64A1853989,97bc4806785e5a0efcd0139abfa9fa1a895cd8bb0447675882034b64a1853989,True,66,172371,26281
polish_uj_algebra1_noetherian,West Slavic,Polish,Algebra I,Noetherian/splitting-field/ideal control,polish/polish_uj_algebra1_noetherian.pdf,446897,557F3561FF48F81DD9BBEF9C7D8876EFE4D7AF216DD4161582F6EEA0D8E3DF33,557f3561ff48f81dd9bbef9c7d8876efe4d7af216dd4161582f6eea0d8e3df33,True,65,315017,28038
