"branch_head","claim","value","evidence_basis"
"516abae30cca69f3372944d9e320593d467bfa82","mapping","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"516abae30cca69f3372944d9e320593d467bfa82","translation","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"516abae30cca69f3372944d9e320593d467bfa82","approval","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"516abae30cca69f3372944d9e320593d467bfa82","native_review","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"516abae30cca69f3372944d9e320593d467bfa82","accepted_terminology","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"516abae30cca69f3372944d9e320593d467bfa82","license_clearance","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"516abae30cca69f3372944d9e320593d467bfa82","gate_promotion","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"516abae30cca69f3372944d9e320593d467bfa82","source_certification","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"516abae30cca69f3372944d9e320593d467bfa82","final_status","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"516abae30cca69f3372944d9e320593d467bfa82","bridge_pilot","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"516abae30cca69f3372944d9e320593d467bfa82","translation_completion","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
