logical_file,kind,pages,bytes,sha256
weber_lehrbuch_der_algebra_volume_ii_preface_and_section_1_en.tex,tex,,3780,9fd44b5c470cbaaecdf2b04a05f8a65d56f08ca799e736f8e8cc00719f31203e
weber_lehrbuch_der_algebra_volume_ii_preface_and_section_1_en.pdf,pdf,5,143456,a2aa44615dd6bf642d9fb4b962bceb7cc5b96344f6c726e16af3ad45f92a74b8
weber_lehrbuch_der_algebra_volume_ii_sections_2_to_6_en.tex,tex,,7451,e7cb8a6b62c9b4356c56efb0805e4ace8d18812a9d46677ea56f60662a21c53d
weber_lehrbuch_der_algebra_volume_ii_sections_2_to_6_en.pdf,pdf,3,36953,d3d2ca31bfa8f7d3f34fb9ca02557c4345a5e6f0004f2f0af6a69ac5d783a792
weber_lehrbuch_der_algebra_volume_ii_sections_7_to_8_en.tex,tex,,2304,4a80dc7655cb08e67bcf87ebba7abeff2a756315b71f15de0e786fbe383b9c05
weber_lehrbuch_der_algebra_volume_ii_sections_7_to_8_en.pdf,pdf,2,161944,ce023388f347ab5171c2a068fcda41ab37f69b8be6cc690abc64cf96c6a4b2d6
weber_lehrbuch_der_algebra_volume_ii_abelian_groups_bases_invariants_en.tex,tex,,13275,172c22b71c6383250c446f74d271164fe8e0ceba9c87af19226ea2dcc05fee70
weber_lehrbuch_der_algebra_volume_ii_abelian_groups_bases_invariants_en.pdf,pdf,5,222402,e92087209dcf5bd9582b039bfa2442108d8f454de8f05ad5621969b4a9ba70a6
weber_lehrbuch_der_algebra_volume_ii_group_characters_and_reciprocal_groups_en.tex,tex,,13416,dd6f5e36782b70124fa5eb898157a3f7d43d6f0ec3332bdf6e8a21254fb552cb
weber_lehrbuch_der_algebra_volume_ii_group_characters_and_reciprocal_groups_en.pdf,pdf,6,219537,bf71c2ef9ec767e8ce07df804131a512bb0ac4bd87322a50e4a853ad63454413
weber_lehrbuch_der_algebra_volume_ii_lagrange_resolvents_start_en.tex,tex,,14752,492d308dc95b55e84ae67f61011ad60a49facb13e1236d7e01690b3953b6582d
weber_lehrbuch_der_algebra_volume_ii_lagrange_resolvents_start_en.pdf,pdf,5,203892,98c695d1ec2ad66de3336c849271919c57367d4b1f11b4c3a1dc6ddcd48e7e4e
weber_lehrbuch_der_algebra_volume_ii_linear_substitutions_start_en.tex,tex,,8196,1238af714abe9f0731a85e4e5d0b97009eb657116aeeb70578df18cbae69c957
weber_lehrbuch_der_algebra_volume_ii_linear_substitutions_start_en.pdf,pdf,4,190858,702c0b679a8ca9e896ec800d92adc941b56a5e678a3187fd7b031da08b5e7787
weber_lehrbuch_der_algebra_volume_ii_transposed_substitutions_and_projective_actions_en.tex,tex,,6941,3b9258d1dfe04a0cf1ca13c53ff6f82cc490052537fdbac9ab8d7050cf6ac869
weber_lehrbuch_der_algebra_volume_ii_transposed_substitutions_and_projective_actions_en.pdf,pdf,3,201259,a9715e322409306b83aa313ffb764fc6c6ce7ea97d93d19637d2d29e5c9f8fe1
weber_lehrbuch_der_algebra_volume_ii_binary_substitutions_and_invariants_en.tex,tex,,6323,6579b7852b50b2afe8078682084603eb2c16bcd1ff3c16a09d6dd332bcb239d3
weber_lehrbuch_der_algebra_volume_ii_binary_substitutions_and_invariants_en.pdf,pdf,3,194056,6d4d12681a602e503d4fbd6ba3fdb5c14403c9139c18f701294a99fd3f93c615
weber_lehrbuch_der_algebra_volume_ii_absolute_invariants_and_the_form_problem_en.tex,tex,,4846,375860df75e6f41c6ee0ba2a4648dcb301035860b20570c65bd0393b2b8ff96d
weber_lehrbuch_der_algebra_volume_ii_absolute_invariants_and_the_form_problem_en.pdf,pdf,2,208995,1c7bffa97017bc141a7961bf09af732ac654d0b9267cce73bb520c60439a6ca8
weber_lehrbuch_der_algebra_volume_ii_galois_metacyclic_and_abstract_groups_en.tex,tex,,5245,1f2cb42bf9ed8c852321ed6f2fc7de4480810eb467fe3c3fc26b3f1101e7e037
weber_lehrbuch_der_algebra_volume_ii_galois_metacyclic_and_abstract_groups_en.pdf,pdf,2,188915,b6c8254fd4322cb090cbc441b386f316d233473394ed2847f2c03dbff42c28d5
weber_lehrbuch_der_algebra_volume_ii_alternating_orthogonal_and_fractional_groups_en.tex,tex,,7887,cf6f27714f6f72c898d62ccd117612f9aef9f49a6eb3d6c1eca68092809d9e09
weber_lehrbuch_der_algebra_volume_ii_alternating_orthogonal_and_fractional_groups_en.pdf,pdf,4,205059,525208088fee4bd07e6afd410ef5e608b1221f7d47763b635c4094714fa311be
noether_invariant_theory_forms_n_variables_1910_en.tex,tex,,6176,8d96b1df92a6437d508eb2d9b4ed76b622c54ef6d7d107e14960395ce56bc8fc
noether_invariant_theory_forms_n_variables_1910_en.pdf,pdf,2,175171,c7a1c63bc37926a7d063cef9cdf8ecfd850831fbe99423a336988eb99f594e52
noether_finiteness_theorem_invariants_finite_groups_1916_en.tex,tex,,6255,5e71d81acc399d7397cd06ed83e2a0019a03b563e66aad9f041b8e412eb94008
noether_finiteness_theorem_invariants_finite_groups_1916_en.pdf,pdf,3,42228,1a7c4af054df8aa73a817742bf8492725fb1d4032a3ac2215ce6bec69b677b40
noether_integral_rational_representation_of_invariants_en.tex,tex,,4772,ce8d9ebad018dcef3a2ad8162a96a7686209e190bb1613a64144b3133cb2f713
noether_integral_rational_representation_of_invariants_en.pdf,pdf,2,174218,3d1c8cda092a4fee241b315a5fbd5abe04d342fd8b7eba0c0e68e6a05aaef044
noether_integral_rational_representation_continuation_sections_ii_iii_en.tex,tex,,10812,78ce37ff7ffe6c3da2717e7b2afc32279102d7aaad9c79de24d450cd2a72f535
noether_integral_rational_representation_continuation_sections_ii_iii_en.pdf,pdf,5,220560,15880703e5ff281448c6d717efd193b37d6ea7dbcd321d05f1448df64e945fa4
noether_absolute_irreducibility_criterion_for_representations_en.tex,tex,,7744,c35637a4a663896fd0753527db5e895607f12eeb96b4c51361f20f548c2b4328
noether_absolute_irreducibility_criterion_for_representations_en.pdf,pdf,3,219163,eacb2e4fde64cfdb12343ba301d9b1161acc5c883e53b05473154806568cf55e
