id,latex,source_range,status
dirichlet.v1.p04a.eq.001,x^4-2,printed pp.63-74,typed
dirichlet.v1.p04a.eq.002,x^2-2,printed pp.63-74,typed
dirichlet.v1.p04a.eq.003,\alpha x^4+\beta x^2+\gamma,printed pp.63-74,typed
dirichlet.v1.p04a.eq.004,A^{(p-1)/2}\equiv1\pmod p,printed pp.63-74,typed
dirichlet.v1.p04a.eq.005,A^{(p-1)/4}\equiv\pm1\pmod p,printed pp.63-74,typed
dirichlet.v1.p04a.eq.006,p=t^2+2u^2,printed pp.63-74,typed
dirichlet.v1.p04a.eq.007,u=2^\nu kk'k''\cdots,printed pp.63-74,typed
dirichlet.v1.p04a.eq.008,(2^\nu kk'k''\cdots/p)=(u/p)=1,printed pp.63-74,typed
dirichlet.v1.p04a.eq.009,t=gg'g''\cdots\times hh'h''\cdots,printed pp.63-74,typed
dirichlet.v1.p04a.eq.010,t^{(p-1)/2}\equiv2^{(p-1)/4}\pmod p,printed pp.63-74,typed
dirichlet.v1.p04a.eq.011,p=\varphi^2+\psi^2,printed pp.63-74,typed
dirichlet.v1.p04a.eq.012,p=t^2-bu^2,printed pp.63-74,typed
dirichlet.v1.p04a.eq.013,(u/p)=(2^\nu/p),printed pp.63-74,typed
dirichlet.v1.p04a.eq.014,(t/p)=(t/b),printed pp.63-74,typed
dirichlet.v1.p04a.eq.015,t^{(p-1)/2}\equiv(-b)^{(p-1)/4}\pmod p,printed pp.63-74,typed
