"role","absolute_path","public_relative_path","sha256","supersedes"
"editable_source","C:\Users\Floris\Documents\interlanguage\03_projects\noether\02_slavic_working_corpus\translations\paper02\interslavic-cyrillic\v001\Noether_Paper02_Section25_Interslavic_Cyrillic_v001.tex","translations/paper02/interslavic-cyrillic/v001/Noether_Paper02_Section25_Interslavic_Cyrillic_v001.tex","807DA66BECA02B20C545361FC8908A13D90E43E503E395B02D1FE8EE9A5E81CF","same public relative path, if currently published"
"compiled_pdf","C:\Users\Floris\Documents\interlanguage\03_projects\language_management\slavic_interslavic\normalization_20260718\tranche_004_simultaneity\compiled_pdfs\paper02\interslavic-cyrillic\v001\Noether_Paper02_Section25_Interslavic_Cyrillic_v001.pdf","translations/paper02/interslavic-cyrillic/v001/Noether_Paper02_Section25_Interslavic_Cyrillic_v001.pdf","6B97015E3674719E855E0A1093130B8AEFC174387540AFA1F2F53F0D69A09CCE","same public relative path, if currently published"
"editable_source","C:\Users\Floris\Documents\interlanguage\03_projects\noether\02_slavic_working_corpus\translations\paper02\interslavic-cyrillic\v001\Noether_Paper02_Section26_Interslavic_Cyrillic_v001.tex","translations/paper02/interslavic-cyrillic/v001/Noether_Paper02_Section26_Interslavic_Cyrillic_v001.tex","5A94DBCD8BCB5C69529C19A259E802840EDF03E8A800847571A5C0E70E7088E0","same public relative path, if currently published"
"compiled_pdf","C:\Users\Floris\Documents\interlanguage\03_projects\language_management\slavic_interslavic\normalization_20260718\tranche_004_simultaneity\compiled_pdfs\paper02\interslavic-cyrillic\v001\Noether_Paper02_Section26_Interslavic_Cyrillic_v001.pdf","translations/paper02/interslavic-cyrillic/v001/Noether_Paper02_Section26_Interslavic_Cyrillic_v001.pdf","609816A04260027B4B48DCBC44A97F1248F3FC4E22B87E600FC3A60FC738A730","same public relative path, if currently published"
"editable_source","C:\Users\Floris\Documents\interlanguage\03_projects\noether\02_slavic_working_corpus\translations\paper02\interslavic\v001\Noether_Paper02_Section25_Interslavic_v001.tex","translations/paper02/interslavic/v001/Noether_Paper02_Section25_Interslavic_v001.tex","E4B1AA1DDD25B78B07810E26CF4FD09874B60274B26D9FBC18E5DDBA944AB6EE","same public relative path, if currently published"
"compiled_pdf","C:\Users\Floris\Documents\interlanguage\03_projects\language_management\slavic_interslavic\normalization_20260718\tranche_004_simultaneity\compiled_pdfs\paper02\interslavic\v001\Noether_Paper02_Section25_Interslavic_v001.pdf","translations/paper02/interslavic/v001/Noether_Paper02_Section25_Interslavic_v001.pdf","AA1CDF4193E1AF841EEBD4128DB061B0884B1D2CF6F9ED71DDABB1F47FE5FA15","same public relative path, if currently published"
"editable_source","C:\Users\Floris\Documents\interlanguage\03_projects\noether\02_slavic_working_corpus\translations\paper02\interslavic\v001\Noether_Paper02_Section26_Interslavic_v001.tex","translations/paper02/interslavic/v001/Noether_Paper02_Section26_Interslavic_v001.tex","A24CA83BF19BA3DD9FC4CB301932BB7077966F215B57BDF86C7105592296415D","same public relative path, if currently published"
"compiled_pdf","C:\Users\Floris\Documents\interlanguage\03_projects\language_management\slavic_interslavic\normalization_20260718\tranche_004_simultaneity\compiled_pdfs\paper02\interslavic\v001\Noether_Paper02_Section26_Interslavic_v001.pdf","translations/paper02/interslavic/v001/Noether_Paper02_Section26_Interslavic_v001.pdf","F88748C99C1D841A778C51B0650D549CCFCA4C86A9F2A86B9FE13A0CEA3DED86","same public relative path, if currently published"
"editable_source","C:\Users\Floris\Documents\interlanguage\03_projects\noether\02_slavic_working_corpus\translations\paper04\interslavic-cyrillic\v001\Noether_Paper04_Section03_Interslavic_Cyrillic_v001.tex","translations/paper04/interslavic-cyrillic/v001/Noether_Paper04_Section03_Interslavic_Cyrillic_v001.tex","08AF013FABBE6F379F3D6B01B2E5596ACCF16B9DFA17453D7F4EB1C099B44A1C","same public relative path, if currently published"
"compiled_pdf","C:\Users\Floris\Documents\interlanguage\03_projects\language_management\slavic_interslavic\normalization_20260718\tranche_004_simultaneity\compiled_pdfs\paper04\interslavic-cyrillic\v001\Noether_Paper04_Section03_Interslavic_Cyrillic_v001.pdf","translations/paper04/interslavic-cyrillic/v001/Noether_Paper04_Section03_Interslavic_Cyrillic_v001.pdf","1FF54CF00797BAE7C1EC93AD5BF48A638787E72053C7EB3F7DCCCF96185B6B56","same public relative path, if currently published"
