"ToLabel","PathClass","Count"
"81DB4BA9_CURRENT_HEAD","logbook-heartbeat-like","10"
"81DB4BA9_CURRENT_HEAD","manifest-hash-like","44"
"81DB4BA9_CURRENT_HEAD","other","121"
"81DB4BA9_CURRENT_HEAD","source-body-witness-like","16"
"8F5FC8C0_R6_QUEUE","logbook-heartbeat-like","1"
"8F5FC8C0_R6_QUEUE","manifest-hash-like","4"
"8F5FC8C0_R6_QUEUE","other","11"
"8F5FC8C0_R6_QUEUE","source-body-witness-like","2"
"96C453B5_OLD_B_HANDOFFS","logbook-heartbeat-like","1"
"96C453B5_OLD_B_HANDOFFS","manifest-hash-like","9"
"96C453B5_OLD_B_HANDOFFS","other","24"
"96C453B5_OLD_B_HANDOFFS","source-body-witness-like","2"
"D61E1C74_BATCH","logbook-heartbeat-like","4"
"D61E1C74_BATCH","manifest-hash-like","19"
"D61E1C74_BATCH","other","68"
"D61E1C74_BATCH","source-body-witness-like","8"
