gate	status	reason
read_00_and_01	READ_AS_RETRIEVED_TEXT	Original file byte identity not established
read_all_00_through_09	INCOMPLETE	02 and 05-08 not accessible
validate_original_input_hashes	NOT_PERFORMED	Original input bytes unavailable
validate_inherited_zip_crc	NOT_PERFORMED	R27 and R28 bytes unavailable
validate_05_page_map	NOT_PERFORMED	05_PAGE_MAP.tsv unavailable
confirm_copy_topology_63_64	NOT_PERFORMED	Authority leaves not inspected
unpack_and_preserve_R27	NOT_PERFORMED	R27 archive unavailable
audit_french_65_74	NOT_PERFORMED	Authority and inherited TeX unavailable
audit_english_65_74	NOT_PERFORMED	Authority and inherited TeX unavailable
build_apparatus_65_74	NOT_PERFORMED	No source comparison performed
compile_readers_twice	NOT_PERFORMED	No accepted editable edition
render_and_inspect_all_output_pages	NOT_PERFORMED	No readers created
advance_next_cursor_to_2	NOT_AUTHORIZED	No source-audited author pages
