record_id,source_line,source_role,target_locator,status,authority_sha256,scope_slice_sha256,notes
SGA2-X-L39-ALIGN-L3544@1,3544,lemma_open_label,heading,mapped,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,1938246ACBCA9D6DBE4F16CDFD933184C8005562DACE517CBD982098629F0231,French bytes unchanged
SGA2-X-L39-ALIGN-L3545@1,3545,hypotheses_and_B_definition,opening paragraph,mapped,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,1938246ACBCA9D6DBE4F16CDFD933184C8005562DACE517CBD982098629F0231,French bytes unchanged
SGA2-X-L39-ALIGN-L3546@1,3546,enumerate_open,list open,mapped,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,1938246ACBCA9D6DBE4F16CDFD933184C8005562DACE517CBD982098629F0231,French bytes unchanged
SGA2-X-L39-ALIGN-L3547@1,3547,item_i_open,item i,mapped,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,1938246ACBCA9D6DBE4F16CDFD933184C8005562DACE517CBD982098629F0231,French bytes unchanged
SGA2-X-L39-ALIGN-L3548@1,3548,item_i_body,item i,mapped,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,1938246ACBCA9D6DBE4F16CDFD933184C8005562DACE517CBD982098629F0231,French bytes unchanged
SGA2-X-L39-ALIGN-L3549@1,3549,blank_separator,item spacing,mapped,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,1938246ACBCA9D6DBE4F16CDFD933184C8005562DACE517CBD982098629F0231,French bytes unchanged
SGA2-X-L39-ALIGN-L3550@1,3550,item_ii_open,item ii,mapped,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,1938246ACBCA9D6DBE4F16CDFD933184C8005562DACE517CBD982098629F0231,French bytes unchanged
SGA2-X-L39-ALIGN-L3551@1,3551,item_ii_body_and_editor_note,item ii plus source note,mapped,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,1938246ACBCA9D6DBE4F16CDFD933184C8005562DACE517CBD982098629F0231,French bytes unchanged
SGA2-X-L39-ALIGN-L3552@1,3552,enumerate_close,list close,mapped,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,1938246ACBCA9D6DBE4F16CDFD933184C8005562DACE517CBD982098629F0231,French bytes unchanged
SGA2-X-L39-ALIGN-L3553@1,3553,lemma_close,lemma close,mapped,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,1938246ACBCA9D6DBE4F16CDFD933184C8005562DACE517CBD982098629F0231,French bytes unchanged
