"status","path","class","arabic_lane_decision"
"A","interlanguage-sidecar/rtl-persianate-arabic-8b525a12-8e-current-head-source-use-gap-audit-20260706/R3_8B525A12_8E_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T170120Z/B3_UPLOADER_READY_SUMMARY.csv","r3-arabic-persianate-source-use-gap-audit","ingest as Arabic source-use/gap provenance; Persianate gates remain separate"
"A","interlanguage-sidecar/rtl-persianate-arabic-8b525a12-8e-current-head-source-use-gap-audit-20260706/R3_8B525A12_8E_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T170120Z/MANIFEST.csv","r3-arabic-persianate-source-use-gap-audit","ingest as Arabic source-use/gap provenance; Persianate gates remain separate"
"A","interlanguage-sidecar/rtl-persianate-arabic-8b525a12-8e-current-head-source-use-gap-audit-20260706/R3_8B525A12_8E_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T170120Z/PACKAGE_VALIDATION.json","r3-arabic-persianate-source-use-gap-audit","ingest as Arabic source-use/gap provenance; Persianate gates remain separate"
"A","interlanguage-sidecar/rtl-persianate-arabic-8b525a12-8e-current-head-source-use-gap-audit-20260706/R3_8B525A12_8E_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T170120Z/R3_8B525A12_BRANCH_DELTA_FROM_8E839C49.csv","r3-arabic-persianate-source-use-gap-audit","ingest as Arabic source-use/gap provenance; Persianate gates remain separate"
"A","interlanguage-sidecar/rtl-persianate-arabic-8b525a12-8e-current-head-source-use-gap-audit-20260706/R3_8B525A12_8E_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T170120Z/R3_8B525A12_BRANCH_VISIBLE_8E_AUDIT_LEDGER.csv","r3-arabic-persianate-source-use-gap-audit","ingest as Arabic source-use/gap provenance; Persianate gates remain separate"
"A","interlanguage-sidecar/rtl-persianate-arabic-8b525a12-8e-current-head-source-use-gap-audit-20260706/R3_8B525A12_8E_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T170120Z/R3_8B525A12_DELTA_COMMITS_FROM_8E839C49.csv","r3-arabic-persianate-source-use-gap-audit","ingest as Arabic source-use/gap provenance; Persianate gates remain separate"
"A","interlanguage-sidecar/rtl-persianate-arabic-8b525a12-8e-current-head-source-use-gap-audit-20260706/R3_8B525A12_8E_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T170120Z/R3_8B525A12_EXACT_BLOCKERS_AND_RECOVERY_ROWS.csv","r3-arabic-persianate-source-use-gap-audit","ingest as Arabic source-use/gap provenance; Persianate gates remain separate"
"A","interlanguage-sidecar/rtl-persianate-arabic-8b525a12-8e-current-head-source-use-gap-audit-20260706/R3_8B525A12_8E_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T170120Z/R3_8B525A12_LANGUAGE_GATE_BOUNDARY_ROWS.csv","r3-arabic-persianate-source-use-gap-audit","ingest as Arabic source-use/gap provenance; Persianate gates remain separate"
"A","interlanguage-sidecar/rtl-persianate-arabic-8b525a12-8e-current-head-source-use-gap-audit-20260706/R3_8B525A12_8E_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T170120Z/R3_8B525A12_LOCAL_8E_ROW_REFRESH_PACKET_STATUS.csv","r3-arabic-persianate-source-use-gap-audit","ingest as Arabic source-use/gap provenance; Persianate gates remain separate"
"A","interlanguage-sidecar/rtl-persianate-arabic-8b525a12-8e-current-head-source-use-gap-audit-20260706/R3_8B525A12_8E_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T170120Z/R3_8B525A12_MUTUAL_WAKE_APPENDIX.csv","r3-arabic-persianate-source-use-gap-audit","ingest as Arabic source-use/gap provenance; Persianate gates remain separate"
