"probe_id","lane","target_language_or_access_target","source_title_or_query","source_author_or_owner","topic_tags","evidence_tier","source_type","source_url","source_path_or_pointer","current_access_status","content_type","sha256_or_other_hash","byte_count","source_language","is_target_language_witness","is_source_level_tex_or_archive","is_pdf_docx_or_text_fallback","license_or_access_signal","upload_policy","gap_or_blocker_note","next_action","non_claim_boundary"
"R7FUP001","Malay-Indonesian","Indonesian","Strict quoted GitHub TeX search for Indonesian article/title source packages","GitHub code search","gelanggang;Noetherian;ideal;polynomial;module;homomorphism;article-source search","GAP_OR_BLOCKER","GitHub code-search query batch metadata","https://github.com/search","queries: ""modul"" ""Noetherian""; ""gelanggang"" ""ideal""; ""gelanggang"" ""polinomial""; ""homomorfisma"" ""gelanggang""; ""teori ring"" ""gelanggang""; ""Gelanggang S-Prima""; ""Eksplorasi Modul Noetherian""; ""Daerah Ideal Utama"" ""Gelanggang""","completed_zero_tex_hits","search_metadata_only","not_applicable_search_result_no_payload","0_hits","Indonesian query terms","false_gap_or_blocker","false","false","GitHub public search; no source body downloaded; no license clearance claimed","manifest_only_no_raw_source_body_payload_for_language_lane","No strict quoted TeX source-package hits for the audited Indonesian article/title clusters in this pass.","Repeat later with author names, DOI strings, repository-host names, and journal-specific searches.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7FUP002","Malay-Indonesian","Indonesian query / non-target English false positives","Broad GitHub TeX search for modul Noetherian","planetmath; aisejohan; we-taper","Noetherian;ring;module;false-positive source search","FALSE_POSITIVE_OR_CONTEXT_ONLY","GitHub code-search query batch metadata","https://github.com/search?q=modul+Noetherian+extension%3Atex","planetmath/16_Associative_rings_and_algebras:16P40-Noetherian.tex; aisejohan/cring:chapters/noetherian.tex; we-taper/Draft:Algebra/Noetherian Ring.tex","completed_false_positive_hits","search_metadata_only","github_blob_sha_values_seen:aab1614740f72880a7e9e4b6f56a1ae834a06c02|b192d5f862dde8cbbc89c5edce1c06411560356c|bcc1963bf3cb7a9076047bdb3af87fb7feb8dfa9","3_metadata_hits","English source hits surfaced by mixed query","false_context_only","true_metadata_only","false","Public GitHub search metadata only; no source bodies downloaded; license not checked as rows are non-target false positives","manifest_only_no_raw_source_body_payload_for_language_lane","Broad unquoted search returned English Noetherian ring/source rows, not Indonesian or Malay source-canon witnesses.","Keep as negative control; do not route to Malay-Indonesian source authority.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7FUP003","Malay-Indonesian","Indonesian","Broad GitHub TeX search homomorfisma gelanggang","KlinikAA/ONMIPA","ONMIPA;homomorphism;ring;contest-source;repeat source lead","GITHUB_TEX_SOURCE_CANDIDATE_ALREADY_CAPTURED","GitHub code-search query metadata","https://github.com/KlinikAA/ONMIPA/blob/630d0ad535e39ee7a2a1e9225a725eca4517b08b/ONMIPA%20Wilayah/Soal/ONMIPA%20Wilayah.tex","ONMIPA Wilayah/Soal/ONMIPA Wilayah.tex","completed_repeat_hit","search_metadata_only","github_blob_sha:d1dae4f65ee2c1e9a6899b7f685b8b25c24350fb","metadata_only_byte_count_carried_in_R7GH004:210314","Indonesian signal from query/path","candidate_unverified_no_body_download","true_metadata_only","false","Public GitHub repo metadata only; previous repo licenseInfo null; no license clearance claimed","manifest_only_no_raw_source_body_payload_for_language_lane","The hit repeats R7GH004; it is contest/problem TeX context, not the source package for audited Indonesian publications.","Use only as a source-return lead pending exact content and license gates; keep separate from article-source claims.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7FUP004","Malay-Indonesian / Brunei-Singapore","Malay, Indonesian, Brunei, Singapore","GitHub repository-level source-package search batch","GitHub repository search","gelanggang;aljabar;matematika;Malaysia;Brunei;Singapura;Noether;module","GAP_OR_BLOCKER","GitHub repository-search metadata","https://github.com/search","repo queries: gelanggang aljabar language:TeX; gelanggang matematika language:TeX; struktur aljabar teori ring; ONMIPA gelanggang; Gelanggang Noether; Modul Noetherian; matematik aljabar Malaysia; matematik Brunei algebra; matematik Singapura algebra","completed_zero_repo_hits","search_metadata_only","not_applicable_search_result_no_payload","0_hits","Malay/Indonesian/Brunei/Singapore query terms","false_gap_or_blocker","false","false","GitHub public search; no repository payload downloaded; no license clearance claimed","manifest_only_no_raw_source_body_payload_for_language_lane","No repository-level TeX/source-package repositories surfaced for the searched Malay-Indonesian/Brunei/Singapore algebra clusters.","Repeat with owner/domain-specific terms and non-TeX source archive terms; keep code-search hits separate from source authority.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7FUP005","Malay-Indonesian","Indonesian","Eksplorasi Modul Noetherian secondary metadata route","ResearchGate mirror / Semeton Mathematics Journal item","Noetherian module;ring theory;Indonesian article metadata","SECONDARY_METADATA_NOT_SOURCE_PACKAGE","web search result metadata","https://www.researchgate.net/publication/391512358_Eksplorasi_Modul_Noetherian","web result says DOI 10.29303/smj.v2i1.263 and CC BY-SA 4.0; exact official row remains MI-ID-SPEC-03","web_search_result_seen","text/html_search_result","not_hashed_secondary_dynamic_page","not_hashed","Indonesian","candidate_secondary_metadata_only","false","true_metadata_only","Search result reports CC BY-SA 4.0, but no license clearance claimed; ResearchGate is secondary/dynamic, not source package","manifest_only_no_raw_source_body_payload_for_language_lane","Secondary metadata confirms visibility of the article but does not provide TeX/source package evidence.","Prefer official Semeton/DOI route; use ResearchGate only as a discovery pointer if official access breaks.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7FUP006","Malay-Indonesian","Indonesian","Hubungan antara Daerah Ideal Utama, Daerah Faktorisasi Tunggal dan Gelanggang Noetherian issue-PDF route","MUST / UM Surabaya; ResearchGate mirror","PID;UFD;Noetherian ring;issue PDF;secondary route","PDF_FALLBACK_DISCOVERY_NOT_SOURCE_PACKAGE","web search result metadata","https://journal.um-surabaya.ac.id/matematika/issue/download/367/105","web result surfaced issue PDF containing the article; official article row remains MI-ID-PROOF-03","web_search_result_seen","application/pdf_search_result","not_hashed_this_pass_existing_local_article_hash_in_R7PUBSRC003","not_hashed_this_pass","Indonesian","candidate_fallback_route_only","false","true_metadata_only","Journal PDF route surfaced; license/access still governed by official article audit; no license clearance claimed","manifest_only_no_raw_source_body_payload_for_language_lane","Issue-level PDF is a fallback route, not a TeX/source package and not stronger than the existing article/PDF row.","If direct article PDF breaks, hash/capture the issue PDF as fallback provenance under source gates.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7FUP007","Malay-Indonesian","Indonesian","Ideal Prima dan Ideal Maksimal pada Gelanggang Polinomial mirror route","Scribd mirror; original UNHAS article already audited","prime ideal;maximal ideal;polynomial ring;mirror route","MIRROR_NOT_AUTHORITY","web search result metadata","https://id.scribd.com/presentation/570614997/Ideal-Prima-Dan-Ideal-Maksimal-Pada-Gelanggang-Polinomial-Prime-Ideal-and-Maximal-Ideal-in-a-Polynomial-Ring","Scribd mirror visible in web result; official UNHAS row remains MI-ID-PROOF-04","web_search_result_seen","text/html_search_result","not_hashed_mirror_not_authority","not_hashed","Indonesian","false_mirror_only","false","false","Search result page presents mirror/copyright context; not license clearance and not an official source route","manifest_only_no_raw_source_body_payload_for_language_lane","Mirror is not an official source package or authority row; do not use as translation or source-canon authority.","Keep official UNHAS/JMSK route as primary; use mirror only as a non-authoritative discovery clue if needed.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7FUP008","Malay-Indonesian","Malaysian Malay","JQMA Volume 21 Issue 2 page with ring-theory article listing","JQMA / Universiti Kebangsaan Malaysia","ring theory;graph theory;perfect codes;Malay title;Malaysian specialist witness","C_HTML_REMOTE_HASHED_NEW_CANDIDATE","remote HTML issue page hashed in memory only","https://www.ukm.my/jqma/jqma21-2/","listing includes Perfect Codes in Graph Theory: A Ring-Theoretic Perspective / Kod-kod Sempurna dalam Teori Graf: Perspektif Teori Gelanggang","200","text/html; charset=UTF-8","817C5CF32C6364CED5534ED996D9BEEAB3563D56ED37645F8BE9DBCAA5EF6439","49791","English article listing with Malay parallel title","candidate_target_language_title_abstract_signal","false","true_metadata_only","UKM/JQMA public issue page; copyright notice on site; no license clearance claimed","manifest_only_remote_hash_no_payload","New Malaysian Malay ring-theory route is relevant to source-canon discovery but not a source-level TeX package or term authority.","Add to future master witness table only after exact article metadata and license/access fields are normalized; continue source-package search for article source.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7FUP009","Malay-Indonesian","Malaysian Malay","Perfect Codes in Graph Theory abstract PDF","Nurhidayah Zaid; Nor Haniza Sarmin; Sanhan Muhammad Salih Khasraw; Ibrahim Gambo","ring theory;graph theory;perfect codes;Malay abstract;Malaysian specialist witness","C_PDF_REMOTE_HASHED_NEW_CANDIDATE","remote PDF abstract hashed in memory only","https://www.ukm.my/jqma/wp-content/uploads/2025/06/Abstract_11.pdf","JQMA Volume 21 Issue 2 abstract 11","200","application/pdf","72C98A51F4F6157995F9E6C0419E856327D9F9898CADC63CCEC0762EA0C7C565","87845","English/Malay abstract signal","candidate_target_language_abstract_signal","false","true","UKM/JQMA public PDF route; no license clearance claimed","manifest_only_remote_hash_no_payload","Remote abstract PDF is a fallback witness candidate; no TeX/source archive was found or captured.","Normalize into source-canon table if the lane expands Malaysian Malay specialist witnesses beyond the earlier JQMA row.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7FUP010","Malay-Indonesian","Malaysian Malay","Perfect Codes in Graph Theory: A Ring-Theoretic Perspective full paper PDF","Nurhidayah Zaid; Nor Haniza Sarmin; Sanhan Muhammad Salih Khasraw; Ibrahim Gambo","ring theory;graph theory;perfect codes;Malay title/abstract;Malaysian specialist witness","C_PDF_REMOTE_HASHED_NEW_CANDIDATE","remote PDF full paper hashed in memory only","https://www.ukm.my/jqma/wp-content/uploads/2025/06/Paper_11.pdf","JQMA Volume 21 Issue 2 Paper_11.pdf","200","application/pdf","72CFA07DBC482140F28B639CA942A523AF05814CB81BC563F603BD8C3A8E1CB5","326549","English article with Malay title/abstract signal","candidate_target_language_title_abstract_signal","false","true","UKM/JQMA public PDF route; no source package or license clearance claimed","manifest_only_remote_hash_no_payload","Full paper PDF is a strong new fallback provenance candidate for Malaysian Malay ring-theory terminology, but it is not source-level TeX and not authority for translation.","Next pass should inspect article metadata/license page and search for author/source repositories before master-table promotion as source-canon witness.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
