"field","value","source_use_label"
"packet_path","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_2BD3E449_25B9A6DF_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260707\R3_2BD3E449_25B9A6DF_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260707_20260707T022957Z","b3-uploader-summary"
"branch_frontier","2bd3e449c2b778525a4d7b4453898912ebfc3664","b3-uploader-summary"
"prior_frontier","25b9a6df17e374b5fb25c3599c1caf384dcf228c","b3-uploader-summary"
"remote_head_verified","2bd3e449c2b778525a4d7b4453898912ebfc3664","b3-uploader-summary"
"commit_rows","2","b3-uploader-summary"
"branch_delta_rows","160","b3-uploader-summary"
"arabic_six_row_count","6","b3-uploader-summary"
"persianate_draft_noncanonical_rows","9","b3-uploader-summary"
"new_canonical_translation_rows","0","b3-uploader-summary"
"language_lane_push","false","b3-uploader-summary"
