"row_id","branch_head","prior_frontier","change_status","path","path_category","r3_gate_effect","source_use_label"
"1","2bd3e449c2b778525a4d7b4453898912ebfc3664","25b9a6df17e374b5fb25c3599c1caf384dcf228c","A","coordination/non-slavic-core-25b9a6df-41b-branch-visibility-source-gate-route-20260707/NON_SLAVIC_CORE_25B9A6DF_41B_BRANCH_VISIBILITY_SOURCE_GATE_ROUTE_20260707/B3_25B_REPLAY_SUMMARY.csv","coordination-nonslavic-source-gate-context","context-only-no-r3-authority","branch-delta-provenance"
"2","2bd3e449c2b778525a4d7b4453898912ebfc3664","25b9a6df17e374b5fb25c3599c1caf384dcf228c","A","coordination/non-slavic-core-25b9a6df-41b-branch-visibility-source-gate-route-20260707/NON_SLAVIC_CORE_25B9A6DF_41B_BRANCH_VISIBILITY_SOURCE_GATE_ROUTE_20260707/B3_25B_ROOTS.csv","coordination-nonslavic-source-gate-context","context-only-no-r3-authority","branch-delta-provenance"
"3","2bd3e449c2b778525a4d7b4453898912ebfc3664","25b9a6df17e374b5fb25c3599c1caf384dcf228c","A","coordination/non-slavic-core-25b9a6df-41b-branch-visibility-source-gate-route-20260707/NON_SLAVIC_CORE_25B9A6DF_41B_BRANCH_VISIBILITY_SOURCE_GATE_ROUTE_20260707/B3_HANDOFF_READY_25B.md","coordination-nonslavic-source-gate-context","context-only-no-r3-authority","branch-delta-provenance"
"4","2bd3e449c2b778525a4d7b4453898912ebfc3664","25b9a6df17e374b5fb25c3599c1caf384dcf228c","A","coordination/non-slavic-core-25b9a6df-41b-branch-visibility-source-gate-route-20260707/NON_SLAVIC_CORE_25B9A6DF_41B_BRANCH_VISIBILITY_SOURCE_GATE_ROUTE_20260707/B3_HANDOFF_SENT_25B.md","coordination-nonslavic-source-gate-context","context-only-no-r3-authority","branch-delta-provenance"
"5","2bd3e449c2b778525a4d7b4453898912ebfc3664","25b9a6df17e374b5fb25c3599c1caf384dcf228c","A","coordination/non-slavic-core-25b9a6df-41b-branch-visibility-source-gate-route-20260707/NON_SLAVIC_CORE_25B9A6DF_41B_BRANCH_VISIBILITY_SOURCE_GATE_ROUTE_20260707/BRANCH_COMMITS_41B_TO_25B.csv","coordination-nonslavic-source-gate-context","context-only-no-r3-authority","branch-delta-provenance"
"6","2bd3e449c2b778525a4d7b4453898912ebfc3664","25b9a6df17e374b5fb25c3599c1caf384dcf228c","A","coordination/non-slavic-core-25b9a6df-41b-branch-visibility-source-gate-route-20260707/NON_SLAVIC_CORE_25B9A6DF_41B_BRANCH_VISIBILITY_SOURCE_GATE_ROUTE_20260707/BRANCH_COMPARE_41B_TO_25B.csv","coordination-nonslavic-source-gate-context","context-only-no-r3-authority","branch-delta-provenance"
"7","2bd3e449c2b778525a4d7b4453898912ebfc3664","25b9a6df17e374b5fb25c3599c1caf384dcf228c","A","coordination/non-slavic-core-25b9a6df-41b-branch-visibility-source-gate-route-20260707/NON_SLAVIC_CORE_25B9A6DF_41B_BRANCH_VISIBILITY_SOURCE_GATE_ROUTE_20260707/CHILD_LANE_SOURCE_GATE_SUMMARY_25B.csv","coordination-nonslavic-source-gate-context","context-only-no-r3-authority","branch-delta-provenance"
"8","2bd3e449c2b778525a4d7b4453898912ebfc3664","25b9a6df17e374b5fb25c3599c1caf384dcf228c","A","coordination/non-slavic-core-25b9a6df-41b-branch-visibility-source-gate-route-20260707/NON_SLAVIC_CORE_25B9A6DF_41B_BRANCH_VISIBILITY_SOURCE_GATE_ROUTE_20260707/CHILD_PACKET_VALIDATION_25B.csv","coordination-nonslavic-source-gate-context","context-only-no-r3-authority","branch-delta-provenance"
"9","2bd3e449c2b778525a4d7b4453898912ebfc3664","25b9a6df17e374b5fb25c3599c1caf384dcf228c","A","coordination/non-slavic-core-25b9a6df-41b-branch-visibility-source-gate-route-20260707/NON_SLAVIC_CORE_25B9A6DF_41B_BRANCH_VISIBILITY_SOURCE_GATE_ROUTE_20260707/EIGHT_LANE_SOURCE_GATE_QUEUE_25B.csv","coordination-nonslavic-source-gate-context","context-only-no-r3-authority","branch-delta-provenance"
"10","2bd3e449c2b778525a4d7b4453898912ebfc3664","25b9a6df17e374b5fb25c3599c1caf384dcf228c","A","coordination/non-slavic-core-25b9a6df-41b-branch-visibility-source-gate-route-20260707/NON_SLAVIC_CORE_25B9A6DF_41B_BRANCH_VISIBILITY_SOURCE_GATE_ROUTE_20260707/EXACT_BLOCKERS_AND_RECOVERY_ROWS_25B.csv","coordination-nonslavic-source-gate-context","context-only-no-r3-authority","branch-delta-provenance"
