"evidence_id","evidence_class","exact_path","exists","file_count","total_bytes","pdf_count","html_count","csv_count","manifest_path","manifest_rows","sha256sums_path","source_use_or_route_status","required_next_action","authority_boundary"
"R6-SOURCE-PACKAGE-language-source-bodies-indigenous-creole-sign-local","source_body_or_source_witness_package_path","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\language-source-bodies\indigenous-creole-sign","True","196","364139420","43","27","50","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\language-source-bodies\indigenous-creole-sign\MANIFEST.csv","315","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\language-source-bodies\indigenous-creole-sign\SHA256SUMS.txt","local workspace package; branch counterpart recorded as language-source-bodies/r6-indigenous-creole-sign-20260705","language-source-bodies/r6-indigenous-creole-sign-20260705 or selected deltas after B3 review","path/package visibility is not native review, accepted terminology, approval, license clearance, source certification, gate promotion, final status, bridge/pilot status, visual inventory, term spine, translation output, or translation completion"
"R6-SOURCE-PACKAGE-cycle8-source-body-visible-package","source_body_or_source_witness_package_path","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\r6-source-body-visible-package-cycle8-20260706","True","193","364176470","43","27","49","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\r6-source-body-visible-package-cycle8-20260706\MANIFEST.csv","190","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\r6-source-body-visible-package-cycle8-20260706\SHA256SUMS.txt","mixed from Cycle 11: branch-visible and local-only rows","outputs/r6-source-body-visible-package-cycle8-20260706 or selected deltas","path/package visibility is not native review, accepted terminology, approval, license clearance, source certification, gate promotion, final status, bridge/pilot status, visual inventory, term spine, translation output, or translation completion"
"R6-SOURCE-PACKAGE-cycle9-ethics-authority-source-start","source_body_or_source_witness_package_path","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\r6-ethics-authority-source-start-cycle9-20260706","True","15","220268","0","0","9","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\r6-ethics-authority-source-start-cycle9-20260706\MANIFEST.csv","12","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\r6-ethics-authority-source-start-cycle9-20260706\SHA256SUMS.txt","local-only or basename-only from Cycle 12","outputs/r6-ethics-authority-source-start-cycle9-20260706","path/package visibility is not native review, accepted terminology, approval, license clearance, source certification, gate promotion, final status, bridge/pilot status, visual inventory, term spine, translation output, or translation completion"
"R6-SOURCE-PACKAGE-cycle10-source-archive-content-audit","source_body_or_source_witness_package_path","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\r6-source-archive-content-audit-cycle10-20260706","True","11","51895","0","0","6","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\r6-source-archive-content-audit-cycle10-20260706\MANIFEST.csv","8","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\r6-source-archive-content-audit-cycle10-20260706\SHA256SUMS.txt","local-only from Cycle 12","outputs/r6-source-archive-content-audit-cycle10-20260706","path/package visibility is not native review, accepted terminology, approval, license clearance, source certification, gate promotion, final status, bridge/pilot status, visual inventory, term spine, translation output, or translation completion"
"R6-SOURCE-PACKAGE-cycle11-branch-visibility-reconciliation","source_body_or_source_witness_package_path","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\r6-branch-visibility-reconciliation-cycle11-20260706","True","16","868053","0","0","11","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\r6-branch-visibility-reconciliation-cycle11-20260706\MANIFEST.csv","13","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\r6-branch-visibility-reconciliation-cycle11-20260706\SHA256SUMS.txt","local-only until B3 package","outputs/r6-branch-visibility-reconciliation-cycle11-20260706","path/package visibility is not native review, accepted terminology, approval, license clearance, source certification, gate promotion, final status, bridge/pilot status, visual inventory, term spine, translation output, or translation completion"
"R6-SOURCE-PACKAGE-cycle12-b3-route-authority-blockers","source_body_or_source_witness_package_path","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_B3_BRANCH_ROUTE_AND_AUTHORITY_BLOCKERS_20260706","True","18","159845","0","0","13","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_B3_BRANCH_ROUTE_AND_AUTHORITY_BLOCKERS_20260706\MANIFEST.csv","15","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_B3_BRANCH_ROUTE_AND_AUTHORITY_BLOCKERS_20260706\SHA256SUMS.txt","local-only current artifact","outputs/R6_B3_BRANCH_ROUTE_AND_AUTHORITY_BLOCKERS_20260706","path/package visibility is not native review, accepted terminology, approval, license clearance, source certification, gate promotion, final status, bridge/pilot status, visual inventory, term spine, translation output, or translation completion"
"R6-SOURCE-PACKAGE-access-source-start-payload","source_body_or_source_witness_package_path","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_ACCESS_SOURCE_START_PAYLOAD_20260706","True","209","364505552","43","27","61","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_ACCESS_SOURCE_START_PAYLOAD_20260706\MANIFEST.csv","206","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_ACCESS_SOURCE_START_PAYLOAD_20260706\SHA256SUMS.txt","local-only package for B3 uploader","outputs/R6_ACCESS_SOURCE_START_PAYLOAD_20260706","path/package visibility is not native review, accepted terminology, approval, license clearance, source certification, gate promotion, final status, bridge/pilot status, visual inventory, term spine, translation output, or translation completion"
"R6-AUTH-MAP-001","reviewer_authority_route","outputs/r6-source-body-visible-package-cycle8-20260706/native-community-evidence/NATIVE_COMMUNITY_EVIDENCE_INDEX.csv","recorded_in_access_payload","","59231","","","","","","","index_only_no_consent_or_authority_claim","obtain explicit reviewer/source-owner return before authority promotion or downstream draft support","route evidence only; no native/community/source-owner approval or canonical status claim"
"R6-AUTH-MAP-002","reviewer_authority_route","outputs/r6-source-body-visible-package-cycle8-20260706/reviewer-authority-evidence/NOETHER_R6_ACCESS_AUTHORITY_MAP_20260704.md","recorded_in_access_payload","","14947","","","","","","","route_preparation_or_gate_state_only_no_return_approval","obtain explicit reviewer/source-owner return before authority promotion or downstream draft support","route evidence only; no native/community/source-owner approval or canonical status claim"
"R6-AUTH-MAP-003","reviewer_authority_route","outputs/r6-source-body-visible-package-cycle8-20260706/reviewer-authority-evidence/NOETHER_R6_GATE_STATE_20260704.json","recorded_in_access_payload","","18821","","","","","","","route_preparation_or_gate_state_only_no_return_approval","obtain explicit reviewer/source-owner return before authority promotion or downstream draft support","route evidence only; no native/community/source-owner approval or canonical status claim"
