"decision_id","source_lines","french_source_cue","jm_2018_form","thosgood_current_form","jcreinhold_current_form","selected_english","rejected_regression_or_unresolved_choice","evidence_channel","review_status"
"I08-001","1493-1503","Section I.8 heading and Proposition I.8.1; infinitesimal lifting; U_0 isomorphic to X times_Y Y_0","No I.8 body located; 12973-byte chapter container SHA 5607E758966B31A5DB558C33506CB0A60413F7295B0F506F7215888C65CFF8B3 stops earlier","Complete envelope; plural Applications; sub-prescheme; neighbourhood","Complete envelope; singular application; subprescheme; neighborhood","Singular sentence-case title; exact proposition hierarchy; subprescheme; US neighborhood; directional isomorphism","Plural title; hyphenated sub-prescheme; British neighbourhood; lost arrow direction","French TeX lines 1493-1503; original print p.13; target controls comparison-only","working_unit_closed_independent_pass"
"I08-002","1505-1533","Proof construction; A_0 to B_0; C_0 localization; lifts F_0; C and n; page 14","No I.8 body located","Complete but changes X_0 to X later in the proof","Complete Markdown envelope with formulas split across display and code conventions","Exact A_0 B_0 C_0 F_0 C n chain; p.14 boundary retained; all corrected French branches used","Dropped page marker; wrong X; candidate typography or code blocks substituted for formulas","French TeX lines 1505-1533; original print pp.13-14; formula comparison","working_unit_closed_independent_pass"
"I08-003","1534-1549","B is etale; base change target; EGA Chapter I; local ring at z; neighborhood isomorphism","No I.8 body located","Repeats printed A_0 and C defects; omits EGA locator; later uses X rather than X_0","Repeats printed A_0 and C defects but retains EGA and X_0","Use B_0 as base-change target and B as local ring with two disclosures; retain EGA Chapter I and X_0","Silent reproduction of type-invalid A_0 and unlocalized C; omitted citation; changed X_0; literal defini pas","French TeX lines 1534-1549; original print p.14; construction and type check; independent source audit","working_unit_closed_independent_pass"
"I08-004","1551-1557","Corollary I.8.2; etale coverings; infinite residue field; I.7.5 replaces I.7.6","No I.8 body located","Complete but reverses the proof dependency","Complete and preserves the source dependency","Exact corollary; kappa(y); Corollary I.7.5 in place of Theorem I.7.6","Reversed dependency; informal covers; missing residue-field notation","French TeX lines 1551-1557; original print p.14; target controls compared","working_unit_closed_independent_pass"
"I08-005","1559-1572","Theorem I.8.3; functor of I.5.5; essential surjectivity; closed subprescheme","No I.8 body located","Complete but adds proof wrapper","Complete Markdown with prose reflow","Exact theorem hierarchy; equivalence of categories; source prose continuation without added proof environment","Added proof heading or QED; locally ringed strengthening; collapsed functor reference","French TeX lines 1559-1572; original print p.14; hierarchy audit","working_unit_closed_independent_pass"
"I08-006","1573-1597","Sheaf reconstruction; scalar sheaves; tensor isomorphism; gluing; p.15; X_0 to X times_S S_0","No I.8 body located","Contains a stray tensor-subscript star and source-direction risks","Uses Unicode and code-block renderings and adds locally to ringed space","Exact sheaf tensor formula; ringed space; augmentation maps; directional isomorphism; p.15 marker; local reduction to Proposition I.8.1","Stray star; code-form formulas; locally ringed space; reversed arrow; dropped page marker","French TeX lines 1573-1597; original print pp.14-15; formula and render comparison","working_unit_closed_independent_pass"
"I08-007","1598-1607","Corollary I.8.4; locally noetherian formal prescheme; ideal of definition; equivalence of covering categories","No I.8 body located","Complete but capitalizes Noetherian and alternates J notation silently","Complete with lowercase noetherian and covering terminology but no source-defect disclosure","Lowercase noetherian; ideal sheaf mathcal J used consistently with explicit source-notation disclosure; etale coverings","Capitalized adjective; informal cover; silent J and mathcal J alternation","French TeX lines 1598-1607; original print p.15; independent notation audit","working_unit_closed_independent_pass"
"I08-008","1609-1619","Definition of formal etale covering; locally free algebra; residual fibers; S_n quotient","No I.8 body located","Complete with British spelling","Complete Markdown but formula rendering is not reusable TeX","Formal etale covering; coherent locally free algebra; residual fibers; exact S_n quotient by mathcal J powers","Informal cover; fibre spelling; scalar notation loss; literal punctuation defect","French TeX lines 1609-1619; original print p.15; formula comparison","working_unit_closed_independent_pass"
"I08-009","1620-1646","Inverse system B_n on S_n; transition maps and tensor isomorphisms; equivalence conditions","No I.8 body located","Complete but follows stale printed B_n variants in places","Current Markdown repairs some names but uses non-TeX formatting","Corrected mathcal B_n and S_n branches; exact m at least n transitions; tensor isomorphism; equivalently all B_n","Stale B_n or X_n; corrupted tensor subscripts; lost transitivity; scalar simplification","French corrected TeX lines 1620-1646; original print p.15; formula-by-formula audit","working_unit_closed_independent_pass"
"I08-010","1648-1654","Starred closing remark; line 1654 begins I.9 Properties of permanence","No I.8 body located","Complete but candidate continuation does not control cursor","Complete but candidate continuation does not control cursor","Preserve starred remark; stop after line 1653; next excluded cursor line 1654 at I.9","Unstarred remark; inference of broader completion; inclusion of I.9 heading","French TeX lines 1648-1654; exact slice and excluded-heading hashes; original print p.15","cursor_fixed_independent_pass"
