"check_id","source_lines","source_item","english_item","comparison_result","editorial_action","status"
"FS-I08-001","1493-1503","Section I.8 heading; label; Proposition I.8.1; U_0 isomorphism to X times_Y Y_0","Exact numbered hierarchy and directional isomorphism retained","match after spelling normalization","Use singular application title and stop no earlier than the proposition closure","working_unit_closed_independent_pass"
"FS-I08-002","1505-1514","Etale local map A_0 to B_0; B_0 equals localization of C_0; C_0 equals A_0[t] quotient","Every ring polynomial localization and equality retained","match","Preserve A_0 B_0 C_0 F_0 and n_0 roles exactly","working_unit_closed_independent_pass"
"FS-I08-003","1515-1533","F'_0 condition; lifted F; C quotient; n inverse image; C tensor_A A_0 equals C_0","All derivatives quotient maps inverse images and corrected punctuation retained","match after source corrections already encoded in French TeX","Use current French branches C n_0 and terminal period","working_unit_closed_independent_pass"
"FS-I08-004","1534-1538","B etale over A; printed B tensor_A A_0 equals A_0; EGA Chapter I cue","English gives isomorphism to B_0 and discloses shared printed A_0 defect; EGA locator expanded","source defect corrected and disclosed","Use type-correct B_0 and retain exact EGA Chapter I citation","working_unit_closed_independent_pass"
"FS-I08-005","1539-1549","Printed O_z isomorphic to C; following localization and base-change chain require B; neighborhood isomorphism","English uses B with disclosure and retains O_z tensor_A A_0 equals B tensor_A A_0 then B_0","source defect corrected and disclosed","Use localized algebra B; correct defini pas naturally to induced by","working_unit_closed_independent_pass"
"FS-I08-006","1551-1557","Corollary I.8.2; kappa(y); I.7.5 replacing I.7.6","Exact statement and one-directional proof dependency retained","match","Do not reverse the replacing relation","working_unit_closed_independent_pass"
"FS-I08-007","1559-1572","Theorem I.8.3; functor in I.5.5; X times_S S_0; closed subprescheme","Theorem and essential-surjectivity reduction retained without added proof wrapper","match","Preserve source hierarchy and add no QED","working_unit_closed_independent_pass"
"FS-I08-008","1573-1597","O_X over f_0^*O_S; scalar-sheaf map; tensor isomorphism; gluing; X_0 isomorphic to X times_S S_0","All sheaves pullbacks tensor denominator arrows augmentation maps and p.15 boundary retained","match after correction of candidate render defects","Keep mathematical TeX and exact arrow direction; use ringed space","working_unit_closed_independent_pass"
"FS-I08-009","1598-1607","Corollary I.8.4; J then mathcal J; S_0 quotient; formal covering functor","One ideal sheaf is written consistently as mathcal J; alternation disclosed; functor and categories exact","source notation normalized and disclosed","Use mathcal J consistently without treating notation variation as two ideals","working_unit_closed_independent_pass"
"FS-I08-010","1609-1619","Formal etale covering; residual fiber tensor; S_n equals O_S quotient by J powers","Definition residual-fiber formula and quotient formula retained","match after notation normalization","Use residual fibers and mathcal J powers consistently","working_unit_closed_independent_pass"
"FS-I08-011","1620-1646","Corrected B_n and S_n branches; m at least n maps; tensor transition isomorphism; local-freeness and separability conditions","Every corrected mathcal B_n S_n transition tensor and equivalence retained","match against corrected French branch; stale print variants rejected","Preserve calligraphic sheaves and exact scalar denominator","working_unit_closed_independent_pass"
"FS-I08-012","1648-1654","Starred remark; blank line 1653; I.9 begins at line 1654","Star retained and I.9 excluded from target body","match and cursor fixed","Set continuation cursor to excluded line 1654 and infer no later coverage","cursor_fixed_independent_pass"
