"delta_id","category","manager_controlled_baseline","source_or_candidate_pressure","selected_sga1_form","rejected_form","reason_and_evidence","scope","status"
"N-001","spelling","US fiber and neighborhood","Hosgood lineage uses neighbourhood","neighborhood","neighbourhood","SGA1-SGA3 majority in shared baseline","all SGA1 prose except quotations and titles","active"
"N-002","capitalization","lowercase noetherian in ordinary prose","Hosgood lineage uses Noetherian","noetherian","Noetherian mid-sentence","shared SGA English baseline","all SGA1 prose","active"
"N-003","categorical terminology","morphism for French morphisme","no conflicting source-safe pressure","morphism","map","shared baseline and exact source category register","all SGA1 formal prose","active"
"N-004","historical terminology","scheme versus prescheme remains source-sensitive","modernization pressure from later literature","prescheme where source says préschéma","scheme","source-sensitive baseline; no silent modernization","all SGA1 source-sync units","active"
"N-005","products","fiber product with exact base and factor order","candidate formatting varies","X times_Y X exactly","dropping or changing Y or factor order","shared mathematical-fidelity baseline","all formulas","active"
"N-006","heading register","translate source heading rather than simplify","Hosgood lineage uses Basics","Notions of differential calculus","Basics of differential calculus","French source says Notions; no need to paraphrase","I.1 heading","closed"
"N-007","logic term","source-sensitive lexical retention when English term exists","Hosgood lineage uses polysyllogism","sorites","polysyllogism","English sorites directly reflects French sorite and takes singular verb","I.1 and reassess per later context","active"
"N-008","citation form","retain exact work volume and locator; English Cf. capitalization acceptable","source macro prints cf.","Cf. EGA IV 16.3.","parenthetical relocation or loss of footnote","locator and footnote placement are source-controlled; capitalization localized","I.1","closed"
"N-009","source-page evidence","preserve old-page witness without pretending it is output pagination","candidates use oldpage or omit it","margin note French source p. 1","bare margin numeral presented as output page","explicit evidence-channel qualification","all units where source page marker occurs","active"
"N-010","witness independence","no scalar or majority decision from correlated controls","two repositories appear superficially separate","one Hosgood derivative lineage","counting JM and Thosgood as two votes","Git authorship and migration history","all SGA1 candidate comparisons","active"
"N-011","rights handling","public payload requires explicit attribution and rights caveats","JM has MIT; Thosgood says personal use only; French arXiv license is not blanket open-content proof","translate from French authority and avoid verbatim reuse; archive-maintainer review","assuming Git visibility equals reusable license","local license files source header and author usage notice","all publication checkpoints","active"
"N-012","theorem register","preserve theorem types and numbering from source","I.2 contains proposition I.2.1 and corollary I.2.2","Proposition and Corollary with shared source numbering","flattened unnumbered prose or candidate-local numbering","French environments/labels 607-647 and SGA-wide theorem baseline","I.2","closed"
"N-013","source-page evidence","place source-page marker at the exact source boundary","candidates place old-page tokens differently or omit them","French source p. 2 marker after 'One then says'","moving marker before the complete sentence","French lines 624-628 and original printed page boundary","I.2","closed"
"N-014","source-defect formulas","use a type-correct form only with explicit source disclosure","source and Hosgood print f^{-1}(x); jcreinhold silently changes it","f^{-1}(f(x)) in the body plus an original-print/source-TeX defect note","silent correction or unqualified ill-typed reproduction","Wstein original-print scan physical p.19/printed p.2; French line 636","I.2","closed"
"N-015","logic term","choose context-sensitive English while recording the shared French lexeme","Hosgood uses polysyllogism; jcreinhold uses plural sorites","sorites for the abstract construction in I.1; chain of implications for the explicit (i)-(v) sequence in I.2","scalar replacement of every sorite by one English word","French lines 600 and 649-651; synchronized SGA5 uses both sorites and chain of implications by context","I.1-I.2","closed"
"N-016","historical terminology","modern primary term unramified with source synonyms preserved","French alternates net and non ramifié; candidates either erase net or use it as the running primary","Unramified or net in heading; declare both in Definition I.3.2; use unramified thereafter","net as unexplained running English term; unbranched","French declares equivalence; modern SGA5 and standard English use unramified; historical term remains visible","I.3 lines 653-798","working_pending_manager_baseline_review"
"N-017","technical terminology","different ideal","candidate pressure includes unsure different and alternative ideal of the different","different ideal","different marked unsure; silent generic annihilator ideal only","standard algebraic-geometry term and exact French idéal différente","I.3 lines 738-747","working_independent_pass"
"N-018","sheaf register","vanishes at a point for est nul en x","candidate forms null at x and vanishes at x","vanishes at x","is null at x","idiomatic mathematical English without changing stalkwise meaning","I.3 Proposition I.3.1(ii)","working_independent_pass"
"N-019","categorical terminology","Cartesian product when French says produit cartésien and no common base is stated; fiber product only for an explicit relative base","candidates use Cartesian product","Cartesian product","fiber product without a stated common base","source sentence supplies no relative base; preserve its categorical generality while reserving fiber product for explicit times-over-base formulas","I.3 Corollaries I.3.6(iv)","working_source_precision_selected_pending_manager_baseline_review"
"N-020","field terminology","residue-field extension","candidates use residue extension","residue-field extension","residue extension where the field role is not explicit","clarifies exact kappa(B)/kappa(A) source object without adding mathematics","I.3 lines 776-795","working_independent_pass"
"N-021","source pagination","preserve exact source-page transition inside the English sentence","candidate page markers are omitted or approximately placed","French source p.3 after The fact; p.4 after over","paragraph-level page markers","French TeX and scan fix the exact page boundary","I.3 lines 711-715 and 788-795","working_independent_pass"
"N-022","source correction disclosure","correct ill-typed source formulas only with immediate evidence note","all candidates reproduce graph target X times_Y X and the French pullback's id_X' subscript","X' times_Y X and id_X with one explicit original-print defect note","silent reproduction; silent correction","domain-codomain typing forces both readings and the original print confirms both defects","I.3 Corollary I.3.4","working_source_defect_closed_independent_pass"
"N-023","covering terminology","étale covering rather than étale cover in formal definitions","Hosgood uses cover while jcreinhold and synchronized SGA5 use covering","étale covering","étale cover as the defining term","preserves French revêtement and matches the established SGA5 formal register","I.4 heading and Definition I.4.9","working_pending_manager_baseline_review"
