"record_id","role","lineage_group","description","path_or_url","revision","bytes","sha256","coverage_or_scope","provenance_or_rights_caveat","evidence_status"
"FR_ARCHIVE_V2","source_authority","FRENCH_ARXIV_AUTHORITY","Original arXiv v2 source archive","local witness withheld from payload; authority record FR_ARCHIVE_V2","math/0206203v2; revised 2004-01-04","324080","0A33C9C06908705A2525690FAAE02F6F07980A4AA069A8B6CFF9B1D9BC39ACD3","Complete corrected French source package","arXiv distribution is not treated as a blanket open-content license; source header requires modified versions to identify themselves","verified"
"FR_DRIVER","source_authority_control","FRENCH_ARXIV_AUTHORITY","French build driver with orig=false","local witness withheld from payload; authority record FR_DRIVER","archive member","3312","DB1CFDFC8356CA532415EDBE7A2147CB1F078569FAD7BC6ABBF5C6E4A1928B31","Selects corrected source version and inputs main TeX","Source header attribution and modified-version notice retained in workpass caveat","verified"
"FR_MAIN_TEX","source_authority","FRENCH_ARXIV_AUTHORITY","Main corrected French TeX","local witness withheld from payload; authority record FR_MAIN_TEX","archive member","1094587","754E9FD6BC04BA52359D0CF4102AA01D2805A00B0E3E298CCD7396564CC7702D","Full source body","Sole textual authority for this English workpass","verified"
"FR_SLICE_I_0_I_1","source_slice_authority","FRENCH_ARXIV_AUTHORITY","Exact raw-byte line slice for Exposé I opening plus I.1","smf_doc-math_3_01.tex:556-604","closed unit SGA1-I.0-I.1","not_applicable","F70D084F60A77DC3CAAFB00F107333E93E5A827669CFEDC468958AD630F09750","Lines 556-604 inclusive; line 605 begins I.2","Hash is of the exact source slice using the file's preserved line endings","verified"
"JM_REPO","external_english_candidate_control","HOSGOOD_DERIVATIVE_LINEAGE","jmoellermath translate-SGAI clone","local witness withheld from payload; authority record JM_REPO","HEAD 29ac35daa1c5096203eb89377ce008c59c717dc1; tree ad687317b570b3c373b740f18433535ac5b42325","not_applicable","not_applicable","Sparse partial English; exact units in CANDIDATE_COVERAGE.csv","Unofficial; README says very little translated and permits Google Translate; target-language control only","verified_clean_clone"
"JM_LICENSE","license_evidence","HOSGOOD_DERIVATIVE_LINEAGE","MIT file in jmoellermath repository","local witness withheld from payload; authority record JM_LICENSE","HEAD 29ac35d","1090","A874EC104C99EC83F7EFB9FDBADF5D38E84E55813DB0B7B513E0BCF9DB55E3A4","Repository license file","Does not prove translation accuracy or settle underlying French-source rights","verified"
"JM_SNAPSHOT_TAR","frozen_external_candidate_snapshot","HOSGOOD_DERIVATIVE_LINEAGE","Tracked jmoellermath snapshot tar","local witness withheld from payload; authority record JM_SNAPSHOT_TAR","HEAD 29ac35d","2979840","6B907EE41CE3E3723DC0A184BCD481169A4BD45EDF71F36A51C3AB01B8EF0BCC","25 tracked files; tar and expanded clone agree","Frozen comparison witness only","verified"
"TH_REPO","external_english_candidate_control","HOSGOOD_DERIVATIVE_LINEAGE","Current thosgood SGA clone; continuation of Tim Hosgood's 2018 translation lineage","local witness withheld from payload; authority record TH_REPO","HEAD c4fd0e84d4387a6d6f337efaf31cbd9788ed4ff7; tree 2b020e763d57cb9167517cb7fd7e80211ca82f1c","not_applicable","not_applicable","Foreword; introduction; I.1-I.11 substantive; II stubs; III-XIII absent","No root translation license; author's site says personal use only and not fully proofread","verified_clean_clone"
"TH_I_1","external_english_candidate_unit","HOSGOOD_DERIVATIVE_LINEAGE","Current Forester I.1 file","local witness withheld from payload; authority record TH_I_1","HEAD c4fd0e8","1432","26FC387AE5D3A8E27CC3F0FCC7205A9224450060D3D8081D2833A5686E93A167","I.1 only","Correlated with JM_REPO; must not be counted as independent corroboration or copied into public payload","verified"
"TH_SNAPSHOT_TAR","frozen_external_candidate_snapshot","HOSGOOD_DERIVATIVE_LINEAGE","Tracked Thosgood snapshot tar","local witness withheld from payload; authority record TH_SNAPSHOT_TAR","HEAD c4fd0e8","1546240","DE7BC923FE5BDA51CD253561ABFA4A47A391FD4EFD40FB4BF6F3A62FF12110AA","113 tracked files; tar and expanded clone agree","Frozen personal-use comparison witness; not a publication payload","verified"
"TH_TRANSLATIONS_PAGE","external_provenance_and_usage_notice","HOSGOOD_DERIVATIVE_LINEAGE","Tim Hosgood translations page supplied by user","https://thosgood.net/translations/","accessed 2026-07-18","not_applicable","not_applicable","Describes translation practice and SGA project","States translations are not generally fully proofread and are for personal use only","verified_web"
"JCR_TEX","external_english_candidate_control","JCREINHOLD_LLM_LINEAGE","Recovered editable full-volume-looking English TeX","local witness withheld from payload; authority record JCR_TEX","recovered handoff snapshot","1026712","231178EAD9F0F73959342018FC1998277D1FBAA12AE25655B180B0833899FCC0","Apparent broad volume coverage; source alignment unproven","Header says LLM-generated Markdown snapshot and not mathematically proofed in its batch","verified_control_only"
"JCR_PDF","external_visual_control","JCREINHOLD_LLM_LINEAGE","Compiled recovered English snapshot","local witness withheld from payload; authority record JCR_PDF","recovered handoff snapshot","1258496","AF6AA94AC6489F1FA75495FC25727193631E3C281D752389C0A4A93A0DB21ABF","321-page visual/control witness","A compiled PDF proves neither editable-source provenance nor source alignment","verified_control_only"
"JCR_CURRENT_ARCHIVE","external_english_candidate_control","JCREINHOLD_LLM_LINEAGE","Current upstream jcreinhold/sga archive","local witness withheld from payload; authority record JCR_CURRENT_ARCHIVE","e7a259f3f8608ad3edf9bf6eead3fd504dd2d23e","3127462","978FB9CE9313F0AAED37E945234A0E2A11234321366E3713747FDFEB5BC40636","SGA1 19 Markdown files; SGA2 20; SGA3 36; SGA4 partial Tome I 9","Author-declared CC BY 4.0 covers the translation only; underlying French rights retained; one LLM lineage and never source authority","verified_control_only"
"JCR_CURRENT_SGA1","external_english_candidate_unit","JCREINHOLD_LLM_LINEAGE","Current editable SGA1 Markdown candidate","local witness withheld from payload; authority record JCR_CURRENT_SGA1","e7a259f3f8608ad3edf9bf6eead3fd504dd2d23e","not_applicable","not_applicable","19 Markdown files: front matter, Exposes I-XIII, explicit VII absence, index and glossary","Self-described readable LLM translation rather than a critical edition; unit-matched French formula and structure checks required before any reuse","verified_control_only"
"FR_SLICE_I_7","source_slice_authority","FRENCH_ARXIV_AUTHORITY","Exact LF-normalized source slice for Exposé I section I.7","smf_doc-math_3_01.tex:1217-1492","closed working unit SGA1-I.7","11657","3D058327D83BC14D60A40BC46AA3B468BAD9D31AB0A749598EE70CEF7F2112F4","Lines 1217-1492 inclusive; line 1493 begins I.8","Hash is of the exact LF-normalized UTF-8 source slice; source TeX remains the sole text authority","verified"
"ORIG_SCAN_SGA1_I7","original_print_audit_witness","ORIGINAL_FRENCH_PRINT_LINEAGE","User-recovered original-print SGA1 scan used for page and shared-defect adjudication","local witness withheld from payload; authority record ORIG_SCAN_SGA1_I7","local recovered witness checked 2026-07-19","2593116","7898CBEABA04C4BF1DFF6D784B6366103EEA482F724BAFA594BE791AD4AEE1F6","Physical pages 21-24; printed Exposé I pages 10-13","Audit witness only; not textual substrate and excluded from public payload for rights and provenance hygiene","verified_audit_only"
"JM_I_7_CONTAINER","external_english_candidate_negative_coverage","HOSGOOD_DERIVATIVE_LINEAGE","jmoellermath Exposé I TeX chapter checked for I.7 coverage","local witness withheld from payload; authority record JM_I_7_CONTAINER","29ac35d acquired snapshot","12973","5607E758966B31A5DB558C33506CB0A60413F7295B0F506F7215888C65CFF8B3","Chapter container stops before I.7; no I.7 body","Correlated with Hosgood lineage and never authority; filename or compile does not prove coverage","verified_control_only_absent"
"TH_I_7","external_english_candidate_unit","HOSGOOD_DERIVATIVE_LINEAGE","Hosgood tree candidate for SGA1 I.7","local witness withheld from payload; authority record TH_I_7","HEAD c4fd0e8","12058","934172CFF13378BDE495776DD14A24747728ECB35E69A9C7E6749AB8B9D98C1D","Substantive I.7 target-language control","Correlated with jmoellermath lineage; source comparison found hierarchy and terminology regressions; never authority or independent corroboration","verified_control_only"
