book_page,source_pdf_page,png
328,346,img/src346_book328.png
329,347,img/src347_book329.png
330,348,img/src348_book330.png
331,349,img/src349_book331.png
332,350,img/src350_book332.png
333,351,img/src351_book333.png
334,352,img/src352_book334.png
335,353,img/src353_book335.png
336,354,img/src354_book336.png
337,355,img/src355_book337.png
338,356,img/src356_book338.png
339,357,img/src357_book339.png
340,358,img/src358_book340.png
341,359,img/src359_book341.png
342,360,img/src360_book342.png
343,361,img/src361_book343.png
344,362,img/src362_book344.png
345,363,img/src363_book345.png
346,364,img/src364_book346.png
347,365,img/src365_book347.png
