"root_id","hit_type","relative_path","line","text","classification"
"non_slavic_dfb0ac3e_current_head_route","placeholder_pattern","B3_PACKAGE_ROOTS_VALIDATION_DFB0AC3E.csv","1","row_type,root_id,lane,scope,local_path,dest_root,file_count,total_bytes,manifest_rows,sha256sums_rows,manifest_issues,sha256sums_issues,credential_hits,placeholder_hits,placeholder_blockers,large_ge_50mb,archive_like,status,type,path,detail,parent_head,new_commit,diff_paths,imported_files,imported_bytes,blob_mismatches,remote_after,temp_ref,pr_json","reviewed_blocker_or_repair_context"
"non_slavic_dfb0ac3e_current_head_route","placeholder_pattern","B3_PACKAGE_ROOTS_VALIDATION_DFB0AC3E.csv","2","root_summary,r3_2bd_same_frontier_repaired,R3 Arabic/Persianate adjacent linear algebra,repaired same-frontier source-use/gap packet; placeholder repaired; boundaries preserved,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_2BD3E449_SAME_FRONTIER_IDLE_RECOVERY_SOURCE_USE_GAP_20260707\R3_2BD3E449_SAME_FRONTIER_IDLE_RECOVERY_SOURCE_USE_GAP_20260707_20260707T023640Z,interlanguage-sidecar/r3-2bd3e449-same-frontier-idle-recovery-source-use-gap-20260707/R3_2BD3E449_SAME_FRONTIER_IDLE_RECOVERY_SOURCE_USE_GAP_20260707_20260707T023640Z,12,14180,10,11,0,0,0,6,0,0,0,packageable,,,,,,,,,,,,","reviewed_blocker_or_repair_context"
"non_slavic_dfb0ac3e_current_head_route","placeholder_pattern","B3_PACKAGE_ROOTS_VALIDATION_DFB0AC3E.csv","4","validation_issue_or_none,ALL,,,,,,,,,,,,,,,,,none,,0 validation issues; placeholder hits are explicit repaired-placeholder context only,,,,,,,,,","reviewed_blocker_or_repair_context"
"non_slavic_dfb0ac3e_current_head_route","placeholder_pattern","CHILD_LANE_SOURCE_GATE_SUMMARY_DFB0AC3E.csv","6","R3 repaired 2BD same-frontier,2bd3e449c2b778525a4d7b4453898912ebfc3664,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_2BD3E449_SAME_FRONTIER_IDLE_RECOVERY_SOURCE_USE_GAP_20260707\R3_2BD3E449_SAME_FRONTIER_IDLE_RECOVERY_SOURCE_USE_GAP_20260707_20260707T023640Z,placeholder repaired; metadata repair changed no source facts,manifest_after_repair=10; sha_verified=True; source_use_gap=4; fable=4; blockers=3; canonical=0; placeholder_present_after=False,""source-use/provenance/gap/generated-draft/non-canonical route only; no GitHub Issues, no coordinator/language push, no native review, community consent, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge-pilot, pan-CJK authority, Korean-school authority, visual inventory, term spine, sign rendering, or translation completion""","reviewed_blocker_or_repair_context"
"non_slavic_dfb0ac3e_current_head_route","placeholder_pattern","EXACT_BLOCKERS_AND_RECOVERY_ROWS_DFB0AC3E.csv","2","DFB0-R3-PLACEHOLDER-REPAIRED,R3 Arabic/Persianate,Prior B3 held root due README placeholder; DFB0 packages repaired context,Carry repair evidence; do not treat metadata repair as source-fact promotion,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_6A895F1C_R3_REPAIRED_2BD_R6_AEED_CONTEXT_BATCH_20260707\PACKAGE_ROOT_SUMMARY.csv,repaired_context_packaged","reviewed_blocker_or_repair_context"
"non_slavic_dfb0ac3e_current_head_route","placeholder_pattern","FABLE_SOURCE_USE_ADVERSE_LEDGER_DFB0AC3E.csv","5","R3 repaired,4,4,placeholder repair only,persianate_draft_noncanonical=9; canonical=0,""source-use/provenance/gap/generated-draft/non-canonical route only; no GitHub Issues, no coordinator/language push, no native review, community consent, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge-pilot, pan-CJK authority, Korean-school authority, visual inventory, term spine, sign rendering, or translation completion""","reviewed_blocker_or_repair_context"
"non_slavic_6a895f1c_aeed_branch_route","placeholder_pattern","B3_HANDOFF_READY_6A895F1C.md","9","- Route facts: AEED published the 2BD R3/R6 Non-Slavic recovery route batch; 6A packaged R6 2BD same-frontier dedup and held/repaired an R3 placeholder packet.","reviewed_blocker_or_repair_context"
"non_slavic_6a895f1c_aeed_branch_route","placeholder_pattern","B3_PACKAGE_ROOTS_HELD_BLOCKERS_6A895F1C.csv","1","b3_packet,row_type,root_id,lane,scope,local_path,dest_root,file_count,total_bytes,manifest_rows,sha256sums_rows,manifest_issues,sha256sums_issues,credential_hits,placeholder_hits,large_ge_50mb,archive_like,status,type,path,detail,held_root_id,blocker_type,blocker_detail,action","reviewed_blocker_or_repair_context"
"non_slavic_6a895f1c_aeed_branch_route","placeholder_pattern","B3_PACKAGE_ROOTS_HELD_BLOCKERS_6A895F1C.csv","8","B3_6A_r6_dedup_r3_hold,held_packet_blocker,,R3 Arabic/Persianate adjacent linear algebra,,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_2BD3E449_SAME_FRONTIER_IDLE_RECOVERY_SOURCE_USE_GAP_20260707\R3_2BD3E449_SAME_FRONTIER_IDLE_RECOVERY_SOURCE_USE_GAP_20260707_20260707T023640Z,,,,,,,,,,,,held_for_repair,,,,r3_2bd_same_frontier_idle_recovery,unreplaced_variable_placeholder,README.md line 5 contains literal $Frontier,B3 sent repair wake to R3 and did not package this root","reviewed_blocker_or_repair_context"
"non_slavic_6a895f1c_aeed_branch_route","placeholder_pattern","CHILD_LANE_SOURCE_GATE_SUMMARY_6A895F1C.csv","7","R3 Arabic/Persianate held/repaired,2bd3e449c2b778525a4d7b4453898912ebfc3664,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_2BD3E449_SAME_FRONTIER_IDLE_RECOVERY_SOURCE_USE_GAP_20260707\R3_2BD3E449_SAME_FRONTIER_IDLE_RECOVERY_SOURCE_USE_GAP_20260707_20260707T023640Z,B3 held first pass for README placeholder; local R3 packet now records repair without source-fact changes,source_branch_delta=160; arabic_carried=6; persianate_draft=9; source_use_gap=4; fable=4; blockers=3; canonical=0; placeholder_after_repair=False,B3 held the stale packaged root; route repair/revalidation to B3","reviewed_blocker_or_repair_context"
"non_slavic_6a895f1c_aeed_branch_route","placeholder_pattern","EXACT_BLOCKERS_AND_RECOVERY_ROWS_6A895F1C.csv","2","6A-B3-R3-PLACEHOLDER-HELD,R3 Arabic/Persianate,B3 held first R3 same-frontier root because README.md contained literal $Frontier,Use repaired local R3 packet metadata and ask B3 to revalidate/package; do not promote source facts,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_AEED56E7_R6_2BD_SAME_FRONTIER_DEDUP_R3_BLOCKER_20260707\HELD_PACKET_BLOCKERS.csv,held_for_repair","reviewed_blocker_or_repair_context"
"non_slavic_6a895f1c_aeed_branch_route","placeholder_pattern","FABLE_SOURCE_USE_ADVERSE_LEDGER_6A895F1C.csv","7","R3 held/repaired,4,4,B3 held placeholder; repaired metadata does not change source facts,persianate_draft_noncanonical_rows=9; canonical_rows=0,""source-use/provenance/gap/generated-draft/non-canonical route only; no GitHub Issues, no coordinator/language push, no native review, community consent, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge-pilot, pan-CJK authority, Korean-school authority, visual inventory, term spine, sign rendering, or translation completion""","reviewed_blocker_or_repair_context"
