scope,status,language,pdf_sha256,target_document_sha256,pages,renderer,render_path,render_sha256,review_notes
EXPOSE_I_SECTION_1_TERMINAL_PAGE,pass,Spanish,2C3EF505D4B8A6C6C2D184B8039877DE16B9169B6A45232396A6AD747359F647,F65E551C2115C43A587352283AD5EB7452B9E7B75EBEABAE1877F8D5AEA71AB4,9,"Poppler pdftoppm 26.02.0 at 180 dpi","tmp/pdfs/SGA5_ES_WORKPASS_1_15/page-9.png",3CEC42D421569466A8CA794590C23B2A26798BAD456BF0CBBAD1CA872A628359,"Working-milestone QA only, not final-volume certification. Inspected at readable resolution: Lemma 1.14 conclusion and complete Corollary 1.15 fit without clipping, overlap, broken math, bad glyphs, or unintended sparse overflow; footer and margins are sound."
EXPOSE_I_SECTIONS_4_5_CHANGED_PAGES,pass,Spanish,E52B11B7978A72268CA9CA82464F5B08881790E5BBB4BB1A0F0D3B15CB45279D,216B37414D5EE4A68154AB92BBF1BE783553E651E4912510872DF8088D674439,20-31,"Poppler pdftoppm 26.02.0 at 170 dpi","tmp/pdfs/SGA5_ES_E52B11B7_P20_31/",C9B4AC7DEB5F6CC8A3BE9494CB30A676A2566A8B27F7081290629B104B4BF03F,"Working-milestone QA only, not final-volume certification. All twelve changed pages were inspected at original readable resolution. Section transitions, theorem and proof hierarchy, formulas, two commutative-diagram spreads, bibliography, margins, footers, and page numbering pass with no clipping, overlap, broken arrows, malformed glyphs, or unintended sparse pages. Render hash is SHA256 over the UTF-8 LF list name,per-file-SHA256 in lexical filename order."
EXPOSE_III_OPENING_REBALANCED,pass,Spanish,71EC726DA652948BACC2B58A3132A96E4793AC7239C7F6795EAD9D2ABAC6EA9E,E0A725F7C0D1F3348BBCC0F8C0B34A58D9A3583E40ED31BF04FEA0E509D66629,42-43,"Poppler pdftoppm 26.02.0 at 170 dpi","tmp/pdfs/SGA5_ES_71EC726D_P42_43/",CBD57EAC8DBAEDEBF33D1AE661492DEA875139C75A3A99D27C1097D2C7E44C3D,"Working-milestone QA only, not final-volume certification. Both exact-build pages were inspected at original readable resolution after rebalancing the opening. The title, dense introduction, summary, section transition, margins, footer, and page numbers pass with no clipping, overlap, broken math, malformed glyphs, or unintended orphaning. Page 43's temporary lower whitespace is intentional and will be filled by the next integrated source unit. Render hash is SHA256 over the UTF-8 LF list name,per-file-SHA256 in lexical filename order."
EXPOSE_III_SECTIONS_1_TO_2_4,pass,Spanish,9C99748C1537F84834BDA872E948232AAE9098A7BF2FC5718A19091B35E86CB0,86221DAED6E240E94E8BD4329C98C94BA36EFB3E7352D4A7E19C8058A08EFB1A,43-49,"Poppler pdftoppm 26.02.0 at 170 dpi","tmp/pdfs/SGA5_ES_9C99748C_P43_49/",47A715FFC026C608089BEB9DD072B4583E79B35DEE919A02CCA7573E80B803FD,"Working-milestone QA only, not final-volume certification. All seven exact-build pages were inspected at readable resolution. Section hierarchy, dense formulas, proposition proof, the large 2.4.0 network and 2.4.1 compatibility square, margins, footer, and page numbering pass with no clipping, overlap, broken arrows, malformed glyphs, or unintended orphaning. Page 49's lower whitespace is intentional at the current bounded-unit cursor and will be consumed by Proposition 2.5. Render hash is SHA256 over the UTF-8 LF list name,per-file-SHA256 in lexical filename order."
EXPOSE_III_SECTIONS_2_5_TO_4_3,pass,Spanish,EAFE15B0919D9EEA33C02C576E7916464884B3C04C812369A912D00159221AB9,0583CD4C20DB49C7089636C220F407F4BD3593FD19D8B2344AF5C11AED3F718C,49-64,"Poppler pdftoppm 26.02.0 at 144 dpi","tmp/pdfs/SGA5_ES_EAFE15B0_P49_64/",1C950A422B709D082691C13883DB2EBF8206CCCEEF4A46B5B3D19AD4354773DC,"Working-milestone QA only, not final-volume certification. All sixteen exact-build pages were inspected at readable resolution, with pages 51 and 60-64 additionally checked individually. The repaired page-51 body/footer clearance, Proposition 2.5 and Lemma 2.6.3, all §3 correspondence diagrams, the §4 pairing/localization diagrams, dense formulas, headings, margins, footers, and numbering pass with no clipping, overlap, broken arrows, malformed glyphs, or unintended orphaning. Page 64 is intentionally sparse because this bounded build stops immediately before Theorem 4.4. Render hash is SHA256 over the UTF-8 LF list name,per-file-SHA256 in lexical filename order."
EXPOSE_III_APPENDIX_S6_4_TO_6_11,pass,Spanish,58581D515D2079D5B825B3D418CBA8827A656EEB35C5AF164278675ABCA03E79,AAC13EF292042DD64DB5B4FA3745B63136769DB1DB126DB06C653DF059E406D3,79-85,"Poppler pdftoppm 26.02.0 at 120 dpi","tmp/pdfs/SGA5_ES_58581D51_P79_85/",E9B952BE05720CB19BDD20EDC41563747229EEBEBA4EC147B145771572977326,"Working-milestone QA only, not final-volume certification. Memory-light post-crash QA rendered only the seven newly changed pages. All pages were inspected in the contact sheet, with pages 81 and 85 additionally checked individually at original render resolution. Section transitions, Theorem 6.7 diagram, Hodge-class and residue formulas, dense §6.9 mathematics, margins, footers and page numbering pass with no clipping, overlap, broken arrows, malformed glyphs or unintended orphaning. Page 85 is intentionally sparse at the bounded cursor before Corollary 6.12. Render hash is SHA256 over the UTF-8 LF list name,per-file-SHA256 in lexical filename order."
EXPOSE_III_APPENDIX_END_AND_III_B_OPENING,pass,Spanish,406369BB4C9C98D67FD5F6551A67EE8D5DA34D0EE83A2F57E6EF83990F9090DF,2750DABB115346AD37B72354FB5EBACAC2D9A64072AAEA6B4EACCCB2692CFEED,85-93,"Poppler pdftoppm 26.02.0 at 120 dpi","tmp/pdfs/SGA5_ES_406369BB_P85_93/",80E15E05A0EC2FBF49246C8210794E6F0C1FC6DAD379AB927BCD857A0D214835,"Working-milestone QA only, not final-volume certification. Memory-light QA rendered the nine newly changed pages. All pages were inspected in the contact sheet; pages 90, 91 and 93 were additionally checked individually at original render resolution. Corollary 6.12, the repaired Artin--Schreier paragraph, §§6.13-6.15, the complete bibliography, the hard page boundary, Exposé III B title/introduction/summary and §§1.1-1.3.1 pass with no clipping, overlap, malformed math, bad glyphs, broken margins or unintended orphaning. The sparse lower portion of bibliography page 89 is intentional before the source clearpage. Render hash is SHA256 over the UTF-8 LF list name,per-file-SHA256 in lexical filename order."
EXPOSE_III_B_SECTIONS_3_TO_4_2,pass,Spanish,1766AF56A2DC9CD87EB09EED9975D1B104A7A2EB6319C50A739E4577487EC4CE,63E330DAE71178AEE720FD73809FE2329FC21330397FB9B2DED5683072C50DCD,99-103,"Poppler pdftoppm 26.02.0 at 120 dpi","tmp/pdfs/SGA5_ES_1766AF56_P99_103/",AA2353627DF1F3F469626D0291D3AE62FFA8FFFB15817D70ECAA02C2F2A6BAEF,"Working-milestone QA only, not final-volume certification. Memory-light QA rendered only the five pages changed by the reviewed §3 and §4.1 integration. All five exact-build pages were inspected individually at original render resolution. The tame-reduction opening, Sylow construction, Lemmas 3.3-3.5, all slope and normalization diagrams, Proposition 4.2, section hierarchy, margins, footers and numbering pass with no clipping, overlap, broken arrows, malformed glyphs or unintended orphaning. Page 103 is intentionally sparse because this bounded build stops immediately before Lemma 4.3. Render hash is SHA256 over the UTF-8 LF list name,per-file-SHA256 in lexical filename order."
EXPOSE_III_B_LEMMA_4_3_TO_SECTION_5_6,pass,Spanish,2B51CC1A067BF88C1682129346AEE0AB9D5787A8983BE3EED67F6764CED9EE4E,D547AE59955CA84C8212DFBEA17BAA85524650DAB8C87694F0A7C33094030EFA,103-110,"Poppler pdftoppm 26.02.0 at 120 dpi","tmp/pdfs/SGA5_ES_2B51CC1A_P103_110/",8E3B451EBB60D43407F6E137F4FA7131926B82B398F58512F3AE7D33B24EC191,"Working-milestone QA only, not final-volume certification. Memory-light QA rendered the eight pages changed by completing Part I and integrating Part II through §5.6. All exact-build pages were inspected individually at original render resolution. Lemma 4.3 and its diagrams, the blow-up proof of Proposition 4.2, the Part II transition, noncommutative-trace formulas 5.0.1-5.6.6, footnote placement, section hierarchy, margins, footers and numbering pass with no clipping, overlap, broken arrows, malformed glyphs or unintended orphaning. Page 110 is intentionally sparse at the bounded cursor before §5.7. Render hash is SHA256 over the UTF-8 LF list name,per-file-SHA256 in lexical filename order."
EXPOSE_III_B_SECTIONS_5_7_TO_5_13,pass,Spanish,8100D2092D999B23C9A8D9F099CBE36D34AB30A01406A71B0399DF40A00C1981,EAFA008644E0E3E1D9DE5CEAA4BC64C6B41202C17012F5EBA0E6347A35F0DAAA,110-121,"Poppler pdftoppm 26.02.0 at 120 dpi","tmp/pdfs/SGA5_ES_8100D209_P110_121/",BA2C3F92CA73904D15D4B8C53DC6DE70CD3E786908AD205E75B8C4744F81D295,"Working-milestone QA only, not final-volume certification. Memory-light QA rendered the twelve pages changed by completing Part II through §5.13. All exact-build pages were inspected individually at original render resolution. The complete proofs and diagrams of §§5.7-5.10, the finite-group trace calculations and footnote in §5.11, the wide external-tensor-product diagrams of §5.12, the semilinear trace formulas of §5.13, section hierarchy, margins, footers and numbering pass with no clipping, overlap, broken arrows, malformed glyphs or unintended orphaning. Page 121 is intentionally sparse because the bounded build stops immediately before §6. Render hash is SHA256 over the UTF-8 LF list name,per-file-SHA256 in lexical filename order."
EXPOSE_III_B_SECTIONS_6_1_TO_6_4,pass,Spanish,528F37F27F937D68D8E43360ED01F99C78D33E0AE733AD0FAA1B04808286F8FE,6C1208F23B166EF5A4B122B7FE9F39232EEADBB365D2FA9CB1B92A127D03E570,121-124,"Poppler pdftoppm 26.02.0 at 120 dpi","tmp/pdfs/SGA5_ES_528F37F2_P121_124/",262CBA85C36F7489B641AA9D27BE3ED2963047A25D093F35367B375BC13ABCB7,"Working-milestone QA only, not final-volume certification. Memory-light QA rendered only the four-page tail changed by integrating §§6.1-6.4. All four exact-build pages were inspected individually at original render resolution. The §6 transition, noncommutative coefficient-category notation, Künneth and RHom constructions 6.2.1-6.2.4, duality formulas 6.3.1-6.3.2, supported cohomological-correspondence formulas 6.4.1-6.4.3, headings, margins, footers and numbering pass with no clipping, overlap, broken arrows, malformed glyphs or unintended orphaning. Page 124 is intentionally sparse because this bounded build stops immediately before §6.5. Render hash is SHA256 over the UTF-8 LF list name,per-file-SHA256 in lexical filename order."
EXPOSE_III_B_SECTIONS_6_5_TO_6_10,pass,Spanish,BE3E4100BCD15A6A549E565F93DD3D16801134EACB736CEA6645265B7ABACB73,B0C7CBD96B08811E48330EFB8A085E6161356AE3D06452BCE1FBF44FF86A4DC2,124-130,"Poppler pdftoppm 26.02.0 at 120 dpi","tmp/pdfs/SGA5_ES_BE3E4100_P124_130/",3F25344D334764BFAAFB097C9BCDE2581F5F1B25E8412060880B4B5AC8A76E35,"Working-milestone QA only, not final-volume certification. Memory-light QA rendered only the seven-page tail changed by integrating §§6.5-6.10. All seven exact-build pages were inspected individually at original render resolution; the densest §6.5-6.7 pages and page-125 equation labeling were additionally inspected in crops. The fixed-point trace diagrams, pairings 6.6.1-6.6.5, scalar-change squares 6.7.1-6.7.5, external product, equivariant-category notation, both source footnotes and group-algebra local traces pass with no clipping, overlap, broken arrows, malformed glyphs, footer collision or unintended orphaning. Page 130 is intentionally sparse because this bounded build stops immediately before §6.11. Render hash is SHA256 over the UTF-8 LF list name,per-file-SHA256 in lexical filename order."
EXPOSE_III_B_SECTIONS_6_11_TO_6_17,pass,Spanish,9A0C010D4A57046F7F96607FB260B1E9DA6E05093BECA78920CBB102B6C97276,2BAF750DDF82F78FFD7AD52E3AD79EC732B8571DF43CBE2E32B191256D4938F7,130-134,"Poppler pdftoppm 26.02.0 at 120 dpi","tmp/pdfs/SGA5_ES_9A0C010D_P130_134/",49B08B371495355925BA1235F73F36865328BC63E545FEF75ED35FC3C337D390,"Working-milestone QA only, not final-volume certification. Memory-light QA rendered only the five-page tail changed by integrating §§6.11-6.17. All five exact-build pages were inspected individually at original render resolution. The proper-equivariant square 6.11.1, Proposition 6.12, adic inverse-limit displays in §6.13, the complete 13-arrow localization diagram 6.14.1, filtration and trace-additivity formulas, Proposition 6.16 and Corollary 6.17 pass with no clipping, overlap, broken arrows, malformed glyphs, footer collision or unintended orphaning. Page 134 ends with intentional whitespace at the bounded cursor before §6.18. Render hash is SHA256 over the UTF-8 LF list name,per-file-SHA256 in lexical filename order."
EXPOSE_III_B_SECTIONS_6_18_TO_6_24_AND_BIBLIOGRAPHY,pass,Spanish,33CE458ACC74670D78F0A68103A2542A154B778CFDC3F785DB44AFBB2911DEE1,2CA86DB091917A04AEF1FECD608D806D0F4417E6E15A0CE9B7C8288B1601AB29,134-140,"Poppler pdftoppm 26.02.0 at 120 dpi","tmp/pdfs/SGA5_ES_33CE458A_P134_140/",DFDD24592A88F883C8FAB5EA827573C884DB4AFD1AF7400E4C3EE81C2411D4B2,"Working-milestone QA only, not final-volume certification. Memory-light QA rendered only pages 134-140 changed by completing Exposé III B through §6.24 and its terminal bibliography. All seven exact-build pages were inspected individually at original render resolution. The invariant-module lemma and §6.19 square and trace, the three diagrams across §§6.20-6.22, both §6.23 diagrams and source footnote, §6.24, and all six bibliography entries pass with readable labels and no clipping, overlap, broken arrows, malformed glyphs, footer collision, or unintended orphaning. Page 140 is intentionally sparse after the complete bibliography at the bounded Exposé III B endpoint. Render hash is SHA256 over the UTF-8 LF list name,per-file-SHA256 in lexical filename order."
EXPOSE_V_TITLE_THROUGH_1_2_4,pass,Spanish,5728ACD4B6EAAE2253F9EED9B587466888D2774DD3C3311BAFC0E755DDF28068,078AEF686787A07449C2660B7A9D76BEDA6B95EC0AED8FA35E3EC9002904BEDB,140-142,"Poppler pdftoppm 26.02.0 at 120 dpi","tmp/pdfs/SGA5_ES_5728ACD4_P140_142/",507065EA73EC5FEC953CB1E20D7C1C6BFBFECA68D6C767943C17C4A5C39E785A,"Working-milestone QA only, not final-volume certification. Memory-light QA rendered the three exact-build pages spanning the transition from Exposé III B's bibliography into Exposé V and the complete integrated §§1.1-1.2.4. All pages were inspected individually at original render resolution. The source-prescribed same-page Exposé V transition, attribution, A-category definition, A-natural center notation, internal-module square, external tensor-product formulas, representability criteria, cokernel lemma and ideal-action display pass with no clipping, overlap, broken arrows, malformed glyphs, footer collision or unintended orphaning. Page 142 is intentionally sparse at the bounded cursor before §2. Render hash is SHA256 over the UTF-8 LF list name,per-file-SHA256 in lexical filename order."
EXPOSE_V_S2_2_1_TO_2_3_2,pass,Spanish,62AB28FB2167A21859BFB89D9A53899C1C9C0B0D2CB4829F079A349F110ECDB0,B6FB035D7F9E39F14C466C23768ADC2D42BB88182FF21B268ECB97CFD57F4295,142-145,"Poppler pdftoppm 26.02.0 at 120 dpi","tmp/pdfs/SGA5_ES_62AB28FB_P142_145/",D4D4CE43470D3A1AD6305B6212C7A58965C635B4F3248305EAA0E9F21D1FED24,"Working-milestone QA only, not final-volume certification. Memory-light QA rendered the four exact-build pages changed by integrating Exposé V §§2.1-2.3.2. All pages were inspected individually at original render resolution. The MLAR shift and exact-sequence displays, AR-null proposition and proof, categorical-localization prose, all seven right/left calculus-of-fractions diagrams, primed condition labels and arrow memberships pass with no clipping, overlap, broken arrows, malformed glyphs, footer collision or unintended orphaning. Page 145 ends with intentional whitespace at the bounded cursor before §2.3.3. Render hash is SHA256 over the UTF-8 LF list name,per-file-SHA256 in lexical filename order."
EXPOSE_V_S2_2_3_3_TO_2_5,pass,Spanish,4151843768339213EDC991732EA44A5659C36487A2AD6C6EE6FC7967C4292751,0FA11F442DF8E8CF21AAF11C64EA8F1CEB8DF00A2A09A29EB51B5B17D7E742AA,145-151,"Poppler pdftoppm 26.02.0 at 120 dpi","tmp/pdfs/SGA5_ES_41518437_P145_151/",8940C7086DE18CF5C0012BF6BB40E43F8013E69DE2FB270A385E31C23D58EC25,"Working-milestone QA only, not final-volume certification. Memory-light QA rendered the seven exact-build pages changed by completing Exposé V §§2.3.3-2.5. All pages were inspected individually at original render resolution. The Hom-colimit localization, all nine Proposition 2.4.1 diagrams, shifted-system construction, Hom_AR colimit, localization bijectivity diagrams, abelian quotient statements, AR-isomorphism criteria and four-way MLAR characterization pass with readable labels and no clipping, overlap, broken arrows, malformed glyphs, footer collision or unintended orphaning. Page 151 is intentionally sparse after the complete §2.5 corollary at the bounded section endpoint. Render hash is SHA256 over the UTF-8 LF list name,per-file-SHA256 in lexical filename order."
EXPOSE_V_S3_AND_S4_1,pass,Spanish,E487C49F5EBBEEDC4327A40BF067AC5DA8D093943D7F8075D1064948E06F25C5,76DFD0BD6E3EC36E2F8244CA84094D17B0680CE6C7B0236F9B76E1E864A98D7F,151-156,"Poppler pdftoppm 26.02.0 at 120 dpi","tmp/pdfs/SGA5_ES_E487C49F_P151_156/",A6439B7B84CA942E3310D0A3E79B75A1FDC17D57A74E24CE393DFB646D16E30D,"Working-milestone QA only, not final-volume certification. Memory-light QA rendered only the six exact-build pages changed by integrating all of Exposé V §3 and §4.1. All six pages were inspected individually at original render resolution. The projective-system exact sequences, wide ten-arrow diagram, all §3.2.4 diagrams, filtration cases, snake-lemma diagram, graded-system formulas and complete MLAR equivalence proof pass with readable labels and no clipping, overlap, broken arrows, malformed glyphs, footer collision or unintended orphaning. Page 156 has intentional bounded-end whitespace after the complete §4.1.3 proof. Render hash is SHA256 over the UTF-8 LF list name,per-file-SHA256 in lexical filename order."
EXPOSE_V_S4_1_4_TO_S4_2_7,pass,Spanish,462D6D720E858FE4B2D3DD7E5727D35846BB404B9F02C7E8293695B83FC3BD1A,26C027FEFA62835E53E17C3CD3434E226323F022E30EEF520AC3E6DC32DB5EBB,156-160,"Poppler pdftoppm 26.02.0 at 120 dpi","tmp/pdfs/SGA5_ES_462D6D72_P156_160/",AAB3E5631C1B184D000C26B08336F1ECA8E9630013B62ADABB6363D7E620AB66,"Working-milestone QA only, not final-volume certification. Memory-light QA rendered only the five exact-build pages changed by completing Exposé V §4. All five pages were inspected individually at original render resolution. The strict-graded inverse limit, J-adapted-system definition, Lemma 4.2.2 cases, nine §4.2.3 displays, Proposition 4.2.5 exact array, Artin-Rees finite-type theorem and all nine displays in the Lemma 4.2.7 proof pass with readable indices and arrows and no clipping, overlap, malformed glyphs, footer collision or unintended orphaning. Page 160 has intentional bounded-end whitespace after the complete §4.2.7 proof. Render hash is SHA256 over the UTF-8 LF list name,per-file-SHA256 in lexical filename order."
