"decision_id","french_term","spanish_term","sense","status","source_locator","evidence_note"
"SGA5-TERM-001","exposé","exposición","numbered SGA contribution","adopted","SGA5_FR_WORKPASS:306-313,13241; project Spanish scholarly convention","Avoid charla/ponencia because the item is a formal published contribution"
"SGA5-TERM-002","complexe dualisant","complejo dualizante","Grothendieck duality object","provisional","SGA5_FR_WORKPASS:308,315-325; native Spanish register has no exact hit","Morphologically standard Spanish formation; retain pending specialized native-source locator"
"SGA5-TERM-003","cohomologie étale","cohomología étale","étale-site cohomology","provisional","SGA5_FR_WORKPASS:315; Spanish corpus search 2026-07-17 found no exact specialized hit","Retain international adjective étale; do not translate as etalía"
"SGA5-TERM-004","topologie étale","topología étale","Grothendieck topology","provisional","SGA5_FR_WORKPASS:315; Spanish corpus search 2026-07-17 found no exact specialized hit","Keep same adjective form as cohomología étale"
"SGA5-TERM-005","faisceau","haz","sheaf","adopted","tex_corpus_expanded_validated_20260628/spanish/2307.03598v1/Paper_D-modulos_CNMXXII.tex:463-520","Native source explicitly contrasts (pre)haz with French (pré)faisceaux"
"SGA5-TERM-006","faisceau constructible","haz constructible","constructible sheaf","provisional","SGA5_FR_WORKPASS:315,323; base term native at Paper_D-modulos_CNMXXII.tex:463-520","Canonical compositional extension; exact specialized native hit still required"
"SGA5-TERM-007","préschéma","esquema","historical SGA prescheme terminology","adopted-modernized","SGA5_FR_WORKPASS:315,319-325; native Spanish register uses esquema","Historical préschéma denotes the object now universally called esquema; decision applies consistently"
"SGA5-TERM-008","localement noethérien","localmente noetheriano","scheme finiteness condition","adopted","tex_corpus_expanded_validated_20260628/spanish/github_alexey-beshenov_cimat-tna/2-ideales.tex:533,1392-1428","Native corpus supports noetheriano spelling"
"SGA5-TERM-009","foncteur dualisant","funtor dualizante","duality functor","provisional","SGA5_FR_WORKPASS:317; no exact native specialized hit","Use funtor rather than functor consistently in Spanish prose"
"SGA5-TERM-010","translation des degrés","traslación de grados","shift in a derived category","provisional","SGA5_FR_WORKPASS:319","Avoid literal desplazamiento until native derived-category register is checked"
"SGA5-TERM-011","accouplement parfait","apareamiento perfecto","perfect bilinear pairing","adopted","tex_corpus_expanded_validated_20260628/spanish/github_alexey-beshenov_cimat-tna/6-zeta.tex:1414","Native arithmetic source uses apareamiento perfecto"
"SGA5-TERM-012","corps résiduel séparablement clos","cuerpo residual separablemente cerrado","residue field condition","provisional","SGA5_FR_WORKPASS:323","Compositional standard terminology; exact native locator pending"
"SGA5-TERM-013","résolution des singularités","resolución de singularidades","resolution of singularities","adopted","SGA5_FR_WORKPASS:315,321; established Spanish algebraic-geometry usage","Preserve Hironaka reference and logical qualification"
"SGA5-TERM-014","théorème de pureté","teorema de pureza","purity theorem","adopted","SGA5_FR_WORKPASS:321; established Spanish algebraic-geometry usage","Sense is cohomological/algebro-geometric purity"
"SGA5-TERM-015","échangeurs de foncteurs","intercambiadores de funtores","quoted formal characterization","provisional","SGA5_FR_WORKPASS:317","Keep source quotation marks; revisit against Verdier terminology"
"SGA5-TERM-016","quasi-injectif","cuasi-inyectivo","relative injectivity against constructible modules","adopted","SGA5_FR_WORKPASS:331-368; Spanish mathematical prefix convention","Hyphen retained for readability and consistent compounds"
