"packet_id","kind","path","exists","manifest_rows","manifest_sha256","sha256sums_sha256","notes","label_boundary"
"B3_POST_AAB4CC97_32E_OLP_PERSIANATE_TAJIK_RETURNS_BATCH_20260707","b3_package","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_AAB4CC97_32E_OLP_PERSIANATE_TAJIK_RETURNS_BATCH_20260707","True","15","0721205241D30B3700DC25563F4E9C4CFFCC70CFC40EAA31AEDD2429B0B61669","5D377658DAEBF6FCD8DFD723A2B6F61BB779927F628A91505CF12FE063D61CFF","packaged_roots 4; package_files 83; manifest_bad 0; sha_bad 0; held_roots 1","source-use/provenance/gap/Fable/draft/non-canonical support only; not source certification/not approval/not final"
"ARABIC_RTL_AAB4CC97_LIVE_HEAD_AFTER_2DE72748_SOURCE_USE_GAP_RECOVERY_20260707","arabic_rtl_aab4","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\ARABIC_RTL_AAB4CC97_LIVE_HEAD_AFTER_2DE72748_SOURCE_USE_GAP_RECOVERY_20260707","True","11","97FF771C883E907B6FC2FDD96CE9633597E1ED63A3B8DA2546B010D8CCB360BD","E4C789D2989414724EE4AC1842F58B4AABFE3CDED3AA018924BDFFDDF92C85D2","direct_arabic_signal_paths 0; source_use_gap_changed false; blockers 39; Fable rows 35","source-use/provenance/gap/Fable/draft/non-canonical support only; not source certification/not approval/not final"
"ARABIC_RTL_7748C119_LIVE_HEAD_AFTER_AAB4CC97_SOURCE_USE_GAP_RECOVERY_20260707","arabic_rtl_7748_516_probe","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\ARABIC_RTL_7748C119_LIVE_HEAD_AFTER_AAB4CC97_SOURCE_USE_GAP_RECOVERY_20260707","True","11","88C6F0D49B9F854F8339735126A4994759A71E306A6E25FD22FA69F8952EC9CE","236487D204CB46685B7C0270D94C3BE60535E48FA807CACDD28A8BEDAB4C8A9B","verified_head 516ABAE3; requested 7748 ancestor; frontier_match false; direct_arabic_signal_paths 0; blockers 40; Fable rows 36","source-use/provenance/gap/Fable/draft/non-canonical support only; not source certification/not approval/not final"
"CJK_NATIVE_AAB4CC97_FRONTIER_ADVANCE_SOURCE_USE_CODEPOINT_FABLE_20260707","cjk_native_aab4","C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_AAB4CC97_FRONTIER_ADVANCE_SOURCE_USE_CODEPOINT_FABLE_20260707","True","22","7DB1B658C7F6814972C4057B4629B531E1CCE97AF454202395E26C7281FDECFA","020B038F734E832BE5CC64124FC320483E2F38A17BD0779D181841BA33F4EC31","delta paths 70; CJK signal paths 0; no direct CJK source-body/codepoint evidence changed","source-use/provenance/gap/Fable/draft/non-canonical support only; not source certification/not approval/not final"
"INTERLANGUAGE_FABLE_AAB4CC97_2DE_R3_ROUTE_SOURCE_GAP_ACCOUNTING_20260707","interlanguage_fable_aab4","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_AAB4CC97_2DE_R3_ROUTE_SOURCE_GAP_ACCOUNTING_20260707","True","69","67766E3983EA38BB199780C19DE2D212A44862987BA45FA9F76F6251D91A5017","DC3E4ABAFDD822FC487835B79CAD3DCAFEFA04EE5A877209DD7E1F9020506ED9","R3 route provenance/source-use/gap; source-body promotion 0; canonical translation rows 0","source-use/provenance/gap/Fable/draft/non-canonical support only; not source certification/not approval/not final"
"OLP_AAB4CC97_SOURCE_USE_FABLE_2DE_ROUTE_20260707","olp_source_use","C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_AAB4CC97_SOURCE_USE_FABLE_2DE_ROUTE_20260707","True","14","43ED414059B7B2F2ADA2EF780D3824F780AD27EAD0A4065766362F3B4EC662FD","4C85E38816A592300157E762DE63F6FB4FEA3A61B68FE1FFE5C370EFFC70DBE2","direct_source_body_evidence_changed false; source_body_promotions 0; reviewer/mapping/translation/approval deltas 0","source-use/provenance/gap/Fable/draft/non-canonical support only; not source certification/not approval/not final"
"OLP_AAB4CC97_REVIEW_BOUNDARY_2DE_ROUTE_20260707","olp_review_boundary","C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_AAB4CC97_REVIEW_BOUNDARY_2DE_ROUTE_20260707","True","12","3655612BA7EE0CB8D350A867DCF5570C09488355312A9D714EA7B49BA5099983","11E30027FADB8C0ECB6F1F55718398D04A79BA82FEF7607D80F6BFE248A137FD","review-only infrastructure; real reviewer return rows 0; mapping/translation/approval deltas 0","source-use/provenance/gap/Fable/draft/non-canonical support only; not source certification/not approval/not final"
"OLP_AAB4CC97_INTERLINEAR_TERMINOLOGY_2DE_ROUTE_20260707","olp_interlinear","C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_AAB4CC97_INTERLINEAR_TERMINOLOGY_2DE_ROUTE_20260707","True","13","CB036BF2112CC2C0A6C520CAB4FEFFD309059E504670A5150E285DA6740BB0DC","862E2659C45DF2FFDD851DE5AC56A961B30C9CBA0BA91F9201A7F8431CFB2191","generated-draft/non-canonical interlinear terminology; approval deltas 0","source-use/provenance/gap/Fable/draft/non-canonical support only; not source certification/not approval/not final"
"PERSIANATE_TAJIK_AAB4CC97_SAME_FRONTIER_RECOVERY_20260707","persianate_tajik_aab4","C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_AAB4CC97_SAME_FRONTIER_RECOVERY_20260707","True","32","4185D5B66BC74B5D7BCC5143472F03895F9E12E684B2682EF7213A4FF127B347","41CEF3C79FB61BA4C2614303BBC15FA0A761952E651ADE0EFC3D4D5A198C8D77","fa_IR manual-review 4; prs_AF blockers 4; Tajik discovery rows 12; promoted Tajik rows 0","source-use/provenance/gap/Fable/draft/non-canonical support only; not source certification/not approval/not final"
"R2_AAB4CC97_FRONTIER_CORRECTION_PERSISTENT_IDLE_ACCOUNTING_20260707","r2_pan_turkic_aab4","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_AAB4CC97_FRONTIER_CORRECTION_PERSISTENT_IDLE_ACCOUNTING_20260707","True","166","01EAD78C0D3440F3251A0978546767C5292FE020A969845E066ADA6F4D6156D4","5A7E0225288C2C399009A16B187D09C59A163C2451EE5ED8C6692C5F6C76417F","source-use/Fable rows 5; exact blockers 7; zero-row blockers 11","source-use/provenance/gap/Fable/draft/non-canonical support only; not source certification/not approval/not final"
