"artifact","row_count","fact","label_boundary"
"516 current-head branch","2 commits / 187 paths by delegation","treated as B3/R3/Non-Slavic route context only; no direct source-body evidence found locally","source-use/provenance/gap/Fable/draft/non-canonical support only; not source certification/not approval/not final"
"B3 AAB4 package","roots 4; files 83; held roots 1","source-use/provenance/gap/review-only/generated-draft/non-canonical labels preserved","source-use/provenance/gap/Fable/draft/non-canonical support only; not source certification/not approval/not final"
"Arabic 7748/516 probe","six rows 6; blockers 40; Fable rows 36; witnesses 6","verified_head 516; direct_arabic_signal_paths 0; source_use_gap_changed false","source-use/provenance/gap/Fable/draft/non-canonical support only; not source certification/not approval/not final"
"CJK native AAB4","source-use pointers 9; blocker rows 5","CJK signal paths 0; direct codepoint/source-body evidence changed false","source-use/provenance/gap/Fable/draft/non-canonical support only; not source certification/not approval/not final"
"OLP AAB4 source/review/interlinear","source-use category 5; relation rows 16; reviewer returns 0; interlinear rows 10","review-only/generated-draft support; mapping/translation/approval deltas 0","source-use/provenance/gap/Fable/draft/non-canonical support only; not source certification/not approval/not final"
"Persianate/Tajik AAB4","source-use/Fable 5; blockers 10; Tajik discovery 12","fa_IR/prs_AF/tg_Cyrl_TJ separation preserved; Tajik promoted rows 0","source-use/provenance/gap/Fable/draft/non-canonical support only; not source certification/not approval/not final"
"R2 AAB4","source-use/Fable 5; exact blockers 7; zero-row blockers 11","no bridge/pilot while zero-row blockers remain","source-use/provenance/gap/Fable/draft/non-canonical support only; not source certification/not approval/not final"
"R7 AAB4","exact blockers 8; comparator-only rows 4","R7 keyword paths 0; source-body promotions 0","source-use/provenance/gap/Fable/draft/non-canonical support only; not source certification/not approval/not final"
"R9 AAB4","path hits 10; same-frontier rows 3; exact blockers 4","route context only; no source certification","source-use/provenance/gap/Fable/draft/non-canonical support only; not source certification/not approval/not final"
"Romance AAB4","row_actions 46; draft rows 44; blockers 5","direct French/Spanish path signals 0; reviewer/mapping/translation/approval deltas 0","source-use/provenance/gap/Fable/draft/non-canonical support only; not source certification/not approval/not final"
