record_id,record_type,parent_id,revision,revision_of,supersedes,superseded_by,volume,expose,unit,source_lines,source_locator,authority_role,authority_sha256,source_reading,target_reading,decision,status,confidence,evidence_path,evidence_bytes,evidence_sha256,raw_cursor,substantive_cursor,release_state,revisit_condition
SGA2-X-C38@1,unit_status,,1,,,,SGA2,X,Corollary3.8 statement and one-line proof,3536-3540,printed120;physical104;running96,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,one complete corollary and proof,source-aligned English target,retain bounded unit pending independent review,producer_pass_pending_independent_review,high,SOURCE_COMPARISON_AND_TRANSLATION_AUDIT.md,6011,2366900E8F13F40BBC72D876ED0FEC014403855E7278C0D1160553985634D6F3,3541,3542,internal_not_for_release,independent_review_required
SGA2-X-C38-AUTHORITY@1,authority_binding,SGA2-X-C38@1,1,,,,SGA2,X,French editable authority,3536-3540,printed120;physical104;running96,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,arXiv math0511279v1 corrected French TeX,authority unchanged,use as translation authority,authority_identity_pass,high,SOURCE_EVIDENCE_PREPARATION_RECEIPT.json,2528,A1B41EA38AA7DFEC06CBAE7F7CD3A1AC4E5F783C35D48B1242F8D6B34738221A,3541,3542,internal_not_for_release,independent_review_required
SGA2-X-C38-SLICE@1,source_binding,SGA2-X-C38@1,1,,,,SGA2,X,exact authority slice,3536-3540,printed120;physical104;running96,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,218-byte Latin-1 LF slice,five-line source replay retained,translate only exact bounded slice,source_replay_pass,high,SOURCE_LINES_3536_3540_LATIN1_LF.tex,218,94D108BA11D32F382E082BC77136954852D98A5FCBD1DE545A67C4064F9F3E2D,3541,3542,internal_not_for_release,independent_review_required
SGA2-X-C38-BOUNDARY@1,boundary_control,SGA2-X-C38@1,1,,,,SGA2,X,context boundary,3534-3542,printed120;physical104;running96,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,Remark close; blank; Corollary and proof; blank; transition,unit ends at3540,exclude3541 and3542,boundary_pass,high,SOURCE_BOUNDARY_LINES_3534_3542_LATIN1_LF.tex,326,0773A5923A4656A65C3D9F2EB2444BFF1B35EDD2EDDAD2D6FAC05DC48206F5CE,3541,3542,internal_not_for_release,independent_review_required
SGA2-X-C38-BLANK3541@1,cursor_control,SGA2-X-C38@1,1,,,,SGA2,X,raw cursor,3541,printed120;physical104;running96,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,one excluded LF byte,raw cursor3541,preserve blank as excluded cursor,cursor_pass,high,SOURCE_BLANK_LINE3541_LF.tex,1,01BA4719C80B6FE911B091A7C05124B64EEECE964E09C058EF8F9805DACA546B,3541,3542,internal_not_for_release,independent_review_required
SGA2-X-C38-NEXT3542@1,cursor_control,SGA2-X-C38@1,1,,,,SGA2,X,next substantive,3542,printed120;physical104;running96,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,transition to Lemma3.9,substantive cursor3542,exclude transition from unit,cursor_pass,high,SOURCE_NEXT_LINE3542_LATIN1_NO_EOL.tex,90,DF17A55BC0E31E17B96E03B83BF2108252101010433948276728DB4A0D519B84,3541,3542,internal_not_for_release,independent_review_required
SGA2-X-C38-LOCATORS@1,locator_control,SGA2-X-C38@1,1,,,,SGA2,X,three locator systems,3536-3540,printed120;physical104;running96,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,printed120 physical104 running96,locators kept distinct,bind all source evidence to three locators,locator_pass,high,RENDERED_VISUAL_QA.md,1309,A733DFF2F01E4D50AC2524A103334606ABA8AB062485E5BBE013E33D616C2E07,3541,3542,internal_not_for_release,independent_review_required
SGA2-X-C38-READER@1,same_edition_reader_control,SGA2-X-C38@1,1,,,,SGA2,X,PDF manifestation,3536-3540,printed120;physical104;running96,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,same-edition page104 visibly manifests unit,layout evidence only,do not treat PDF as independent corroboration,reader_role_pass,high,SOURCE_PHYSICAL_PAGE_104_200DPI.png,392630,0CBF631AC8F698115683A90439E57C357549A2AC7F76CD3BC3AAA7CFEC0165EE,3541,3542,internal_not_for_release,independent_review_required
SGA2-X-C38-JCREINHOLD@1,comparison_binding,SGA2-X-C38@1,1,,,,SGA2,X,external English comparison,392-398,printed120;physical104;running96,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,single LLM comparison lineage,comparison-only excerpt,compare choices without authority promotion,comparison_role_pass,high,JCREINHOLD_LINES392_398_UTF8_LF.md,184,D2D01AAE6DEFA0BA3A8F3D5A6E3BFC4FA03CED70498B1C541B9001D457B6673D,3541,3542,internal_not_for_release,independent_review_required
SGA2-X-C38-HEADING@1,structure_control,SGA2-X-C38@1,1,,,,SGA2,X,kind and number,3536,printed120;physical104;running96,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,corollaire label X.3.8,Corollary 3.8,preserve visible number,structure_pass,high,TARGET_EXTRACTED_TEXT.txt,1030,2D84488EFC1FA13497CBCA9E6A555D66E33A1B0AE2C24F22311F965A3F04A9B6,3541,3542,internal_not_for_release,independent_review_required
SGA2-X-C38-RING@1,semantic_control,SGA2-X-C38@1,1,,,,SGA2,X,ring hypothesis,3537,printed120;physical104;running96,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,A noetherian local ring,same,preserve object and adjectives,semantic_pass,high,SOURCE_COMPARISON_AND_TRANSLATION_AUDIT.md,6011,2366900E8F13F40BBC72D876ED0FEC014403855E7278C0D1160553985634D6F3,3541,3542,internal_not_for_release,independent_review_required
SGA2-X-C38-DEPTH@1,formula_symbol_control,SGA2-X-C38@1,1,,,,SGA2,X,depth inequality,3537,printed120;physical104;running96,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,prof A >= 2,depth A >= 2,apply established English operator normalization only,formula_pass,high,TARGET_PAGE_001_200DPI.png,133303,601912F151D06316F8B18897D1CAF75DDECFD35363DC215DE8F1A670E3600094,3541,3542,internal_not_for_release,independent_review_required
SGA2-X-C38-COMPLETION@1,formula_symbol_control,SGA2-X-C38@1,1,,,,SGA2,X,completion of A,3537,printed120;physical104;running96,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,hat A,widehat A,preserve base symbol and completion hat,formula_pass,high,TARGET_PAGE_001_200DPI.png,133303,601912F151D06316F8B18897D1CAF75DDECFD35363DC215DE8F1A670E3600094,3541,3542,internal_not_for_release,independent_review_required
SGA2-X-C38-IMPLICATION@1,logical_control,SGA2-X-C38@1,1,,,,SGA2,X,purity implication,3537,printed120;physical104;running96,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,purity of completion implies purity of A,same,preserve implication direction,logic_pass,high,SOURCE_COMPARISON_AND_TRANSLATION_AUDIT.md,6011,2366900E8F13F40BBC72D876ED0FEC014403855E7278C0D1160553985634D6F3,3541,3542,internal_not_for_release,independent_review_required
SGA2-X-C38-PROOF@1,structure_control,SGA2-X-C38@1,1,,,,SGA2,X,one-line proof,3540,printed120;physical104;running96,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,Result from Lemma3.5 and Lemma3.6,Proof: This follows from Lemma3.5 and Lemma3.6,add structural Proof label without QED,structure_pass,high,TARGET_EXTRACTED_TEXT.txt,1030,2D84488EFC1FA13497CBCA9E6A555D66E33A1B0AE2C24F22311F965A3F04A9B6,3541,3542,internal_not_for_release,independent_review_required
SGA2-X-C38-REF35@1,reference_control,SGA2-X-C38@1,1,,,,SGA2,X,Lemma3.5 reference,3540,printed120;physical104;running96,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,Ref X.3.5,Lemma 3.5,preserve first proof reference,reference_pass,high,SOURCE_LINES_3536_3540_LATIN1_LF.tex,218,94D108BA11D32F382E082BC77136954852D98A5FCBD1DE545A67C4064F9F3E2D,3541,3542,internal_not_for_release,independent_review_required
SGA2-X-C38-REF36@1,reference_control,SGA2-X-C38@1,1,,,,SGA2,X,Lemma3.6 reference,3540,printed120;physical104;running96,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,Ref X.3.6,Lemma 3.6,preserve second proof reference,reference_pass,high,SOURCE_LINES_3536_3540_LATIN1_LF.tex,218,94D108BA11D32F382E082BC77136954852D98A5FCBD1DE545A67C4064F9F3E2D,3541,3542,internal_not_for_release,independent_review_required
SGA2-X-C38-NO-QED@1,adverse_delta_control,SGA2-X-C38@1,1,,,,SGA2,X,proof ending,3540,printed120;physical104;running96,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,no QED mark,no QED mark,do not invent proof terminator,adverse_delta_pass,high,TARGET_EXTRACTED_TEXT.txt,1030,2D84488EFC1FA13497CBCA9E6A555D66E33A1B0AE2C24F22311F965A3F04A9B6,3541,3542,internal_not_for_release,independent_review_required
SGA2-X-C38-SOURCE-DEFECT-SCAN@1,source_defect_control,SGA2-X-C38@1,1,,,,SGA2,X,bounded source-defect scan,3536-3540,printed120;physical104;running96,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,coherent grammar formulas numbering and references,no silent emendation,no source defect or unresolved ambiguity found,no_defect_found,high,SOURCE_COMPARISON_AND_TRANSLATION_AUDIT.md,6011,2366900E8F13F40BBC72D876ED0FEC014403855E7278C0D1160553985634D6F3,3541,3542,internal_not_for_release,revisit_only_if_independent_review_or_new_source_evidence_disagrees
SGA2-X-C38-TERM-NOETHERIAN@1,terminology_control,SGA2-X-C38@1,1,,,,SGA2,X,anneau local noetherien,3537,printed120;physical104;running96,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,anneau local noetherien,noetherian local ring,retain established lower-case mathematical adjective,accepted,high,SOURCE_COMPARISON_AND_TRANSLATION_AUDIT.md,6011,2366900E8F13F40BBC72D876ED0FEC014403855E7278C0D1160553985634D6F3,3541,3542,internal_not_for_release,independent_review_required
SGA2-X-C38-NORM-DEPTH@1,accepted_normalization,SGA2-X-C38@1,1,,,,SGA2,X,prof operator,3537,printed120;physical104;running96,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,prof,depth,use established Expose X English operator,accepted,high,SOURCE_COMPARISON_AND_TRANSLATION_AUDIT.md,6011,2366900E8F13F40BBC72D876ED0FEC014403855E7278C0D1160553985634D6F3,3541,3542,internal_not_for_release,independent_review_required
SGA2-X-C38-TERM-PURE@1,terminology_control,SGA2-X-C38@1,1,,,,SGA2,X,pur,3537,printed120;physical104;running96,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,pur,pure,retain established purity term,accepted,high,SOURCE_COMPARISON_AND_TRANSLATION_AUDIT.md,6011,2366900E8F13F40BBC72D876ED0FEC014403855E7278C0D1160553985634D6F3,3541,3542,internal_not_for_release,independent_review_required
SGA2-X-C38-TERM-FOLLOWS@1,terminology_control,SGA2-X-C38@1,1,,,,SGA2,X,Resulte de,3540,printed120;physical104;running96,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,Resulte du lemme,This follows from Lemma,use standard proof register,accepted,high,SOURCE_COMPARISON_AND_TRANSLATION_AUDIT.md,6011,2366900E8F13F40BBC72D876ED0FEC014403855E7278C0D1160553985634D6F3,3541,3542,internal_not_for_release,independent_review_required
SGA2-X-C38-NORM-IFTHEN@1,accepted_normalization,SGA2-X-C38@1,1,,,,SGA2,X,conditional syntax,3537,printed120;physical104;running96,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,Alors si,If ... then,normalize to idiomatic English order,accepted,high,TARGET_EXTRACTED_TEXT.txt,1030,2D84488EFC1FA13497CBCA9E6A555D66E33A1B0AE2C24F22311F965A3F04A9B6,3541,3542,internal_not_for_release,independent_review_required
