"branch_head","evidence_base","witness_id","language_gate","source_title","source_type","source_use_label","local_or_remote_path","resolved","resolved_local_path","recorded_sha256","resolved_sha256","recorded_bytes","resolved_bytes","access_license_signal","next_action","branch_boundary"
"212dfb1c7728f7c23274714434aa35d590e1aab7","carried-forward source witness from c7fb payload; branch delta now includes c7fb packet paths","UR-WB-LA-000","ur_Arab","لکیری_الجبرا","MediaWiki raw wikitext source-body candidate","Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization","source-bodies\ur_Arab\UR-WB-LA-000_main_ur_wikibooks_linear_algebra_raw.wikitext","True","source-canon-recovery\r3-ur-ota-source-body-recovery-cycle3-20260706\source-bodies\ur_Arab\UR-WB-LA-000_main_ur_wikibooks_linear_algebra_raw.wikitext","f026efe306d9e5759c6605682664714e94a812c74595e93a4bbc5b7864ae46f6","f026efe306d9e5759c6605682664714e94a812c74595e93a4bbc5b7864ae46f6","996","996","Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim","extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses","own language gate only; no native review, license clearance, source certification, or completion claim"
"212dfb1c7728f7c23274714434aa35d590e1aab7","carried-forward source witness from c7fb payload; branch delta now includes c7fb packet paths","UR-WB-LA-001","ur_Arab","لکیری_الجبرا/باب_1","MediaWiki raw wikitext source-body candidate","Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization","source-bodies\ur_Arab\UR-WB-LA-001_bab1_ur_wikibooks_linear_algebra_raw.wikitext","True","source-canon-recovery\r3-ur-ota-source-body-recovery-cycle3-20260706\source-bodies\ur_Arab\UR-WB-LA-001_bab1_ur_wikibooks_linear_algebra_raw.wikitext","6986ffa44e1b11c69642bc31a2b4fa3a9f5ad89ab8e66f08ea9e66cec6cbfbdb","6986ffa44e1b11c69642bc31a2b4fa3a9f5ad89ab8e66f08ea9e66cec6cbfbdb","15007","15007","Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim","extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses","own language gate only; no native review, license clearance, source certification, or completion claim"
"212dfb1c7728f7c23274714434aa35d590e1aab7","carried-forward source witness from c7fb payload; branch delta now includes c7fb packet paths","UR-WB-LA-002","ur_Arab","لکیری_الجبرا/باب_2","MediaWiki raw wikitext source-body candidate","Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization","source-bodies\ur_Arab\UR-WB-LA-002_bab2_ur_wikibooks_linear_algebra_raw.wikitext","True","source-canon-recovery\r3-ur-ota-source-body-recovery-cycle3-20260706\source-bodies\ur_Arab\UR-WB-LA-002_bab2_ur_wikibooks_linear_algebra_raw.wikitext","7f159a655be44f4ac555a322a3e0fffd9a4456f090a0dd554dec791b4cff9237","7f159a655be44f4ac555a322a3e0fffd9a4456f090a0dd554dec791b4cff9237","27043","27043","Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim","extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses","own language gate only; no native review, license clearance, source certification, or completion claim"
"212dfb1c7728f7c23274714434aa35d590e1aab7","carried-forward source witness from c7fb payload; branch delta now includes c7fb packet paths","UR-WB-LA-003","ur_Arab","لکیری_الجبرا/باب_3","MediaWiki raw wikitext source-body candidate","Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization","source-bodies\ur_Arab\UR-WB-LA-003_bab3_ur_wikibooks_linear_algebra_raw.wikitext","True","source-canon-recovery\r3-ur-ota-source-body-recovery-cycle3-20260706\source-bodies\ur_Arab\UR-WB-LA-003_bab3_ur_wikibooks_linear_algebra_raw.wikitext","ea5e7f629cc1d07d5b70be5c7fd29b4a17d19a53dbc152239b178b4f44ed0ff6","ea5e7f629cc1d07d5b70be5c7fd29b4a17d19a53dbc152239b178b4f44ed0ff6","9159","9159","Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim","extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses","own language gate only; no native review, license clearance, source certification, or completion claim"
"212dfb1c7728f7c23274714434aa35d590e1aab7","carried-forward source witness from c7fb payload; branch delta now includes c7fb packet paths","UR-WB-LA-004","ur_Arab","لکیری_الجبرا/باب_4","MediaWiki raw wikitext source-body candidate","Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization","source-bodies\ur_Arab\UR-WB-LA-004_bab4_ur_wikibooks_linear_algebra_raw.wikitext","True","source-canon-recovery\r3-ur-ota-source-body-recovery-cycle3-20260706\source-bodies\ur_Arab\UR-WB-LA-004_bab4_ur_wikibooks_linear_algebra_raw.wikitext","eccee2ed8693a2e60e0890053f65b2766ca677bff1cd822e9783cd8293e27d42","eccee2ed8693a2e60e0890053f65b2766ca677bff1cd822e9783cd8293e27d42","31701","31701","Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim","extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses","own language gate only; no native review, license clearance, source certification, or completion claim"
"212dfb1c7728f7c23274714434aa35d590e1aab7","carried-forward source witness from c7fb payload; branch delta now includes c7fb packet paths","UR-WB-LA-005","ur_Arab","لکیری_الجبرا/باب_5","MediaWiki raw wikitext source-body candidate","Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization","source-bodies\ur_Arab\UR-WB-LA-005_bab5_ur_wikibooks_linear_algebra_raw.wikitext","True","source-canon-recovery\r3-ur-ota-source-body-recovery-cycle3-20260706\source-bodies\ur_Arab\UR-WB-LA-005_bab5_ur_wikibooks_linear_algebra_raw.wikitext","8806f2b3e8f7e6d4f10517a4449e8cc5c1b0fa0a265a4c1abb3bc43fed5ee4b9","8806f2b3e8f7e6d4f10517a4449e8cc5c1b0fa0a265a4c1abb3bc43fed5ee4b9","16543","16543","Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim","extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses","own language gate only; no native review, license clearance, source certification, or completion claim"
"212dfb1c7728f7c23274714434aa35d590e1aab7","carried-forward source witness from c7fb payload; branch delta now includes c7fb packet paths","UR-WB-LA-006","ur_Arab","لکیری_الجبرا/باب_6","MediaWiki raw wikitext source-body candidate","Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization","source-bodies\ur_Arab\UR-WB-LA-006_bab6_ur_wikibooks_linear_algebra_raw.wikitext","True","source-canon-recovery\r3-ur-ota-source-body-recovery-cycle3-20260706\source-bodies\ur_Arab\UR-WB-LA-006_bab6_ur_wikibooks_linear_algebra_raw.wikitext","21c66b2a3832303cd1c6cbd379526995a48ddb00c2e0439ee831f31f8360e207","21c66b2a3832303cd1c6cbd379526995a48ddb00c2e0439ee831f31f8360e207","11061","11061","Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim","extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses","own language gate only; no native review, license clearance, source certification, or completion claim"
"212dfb1c7728f7c23274714434aa35d590e1aab7","carried-forward source witness from c7fb payload; branch delta now includes c7fb packet paths","UR-WB-LA-007","ur_Arab","لکیری_الجبرا/باب_7","MediaWiki raw wikitext source-body candidate","Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization","source-bodies\ur_Arab\UR-WB-LA-007_bab7_ur_wikibooks_linear_algebra_raw.wikitext","True","source-canon-recovery\r3-ur-ota-source-body-recovery-cycle3-20260706\source-bodies\ur_Arab\UR-WB-LA-007_bab7_ur_wikibooks_linear_algebra_raw.wikitext","7dcbd4e6d434d7c51208f1411e66361b7571a31e11d79ba5997863322e3961d5","7dcbd4e6d434d7c51208f1411e66361b7571a31e11d79ba5997863322e3961d5","17521","17521","Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim","extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses","own language gate only; no native review, license clearance, source certification, or completion claim"
"212dfb1c7728f7c23274714434aa35d590e1aab7","carried-forward source witness from c7fb payload; branch delta now includes c7fb packet paths","UR-WB-LA-008","ur_Arab","لکیری_الجبرا/باب_8","MediaWiki raw wikitext source-body candidate","Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization","source-bodies\ur_Arab\UR-WB-LA-008_bab8_ur_wikibooks_linear_algebra_raw.wikitext","True","source-canon-recovery\r3-ur-ota-source-body-recovery-cycle3-20260706\source-bodies\ur_Arab\UR-WB-LA-008_bab8_ur_wikibooks_linear_algebra_raw.wikitext","8816e9349b30a7d415452a1731783f333e8cf73dea6b5e850d9ce8591fba1f6d","8816e9349b30a7d415452a1731783f333e8cf73dea6b5e850d9ce8591fba1f6d","20447","20447","Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim","extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses","own language gate only; no native review, license clearance, source certification, or completion claim"
"212dfb1c7728f7c23274714434aa35d590e1aab7","carried-forward source witness from c7fb payload; branch delta now includes c7fb packet paths","OTA-CEBIR-003","ota_Arab","Takiyuddin'in Cebir Risalesi DergiPark PDF","PDF provenance lead","Ottoman/Turkic RTL-adjacent provenance lead; not literal Ottoman Arabic-script mathematical source body","source-bodies\ota_Arab\OTA-CEBIR-003_DergiPark_Takiyuddin_Cebir_Risalesi.pdf","True","source-canon-recovery\r3-ur-ota-source-body-recovery-cycle3-20260706\source-bodies\ota_Arab\OTA-CEBIR-003_DergiPark_Takiyuddin_Cebir_Risalesi.pdf","a6a1b0e09ec00894c136376686a8545c8e9248a5776d8fc536affc2532fb4f3a","a6a1b0e09ec00894c136376686a8545c8e9248a5776d8fc536affc2532fb4f3a","11264217","11264217","public web/PDF access signal; no license-clearance claim","trace manuscript image/call-number source body for Cebir/Ilm-i Cebir/Hesab Tahlili; keep Pan-Turkic separate","own language gate only; no native review, license clearance, source certification, or completion claim"
