"branch_head","required_lane_action","standard_id","status_label","category","r3_application"
"c7fb7e644e04102b67cc5da379ba9d4226feaef8","ensure branch-weight ledger rows cite source body/path/hash and use State C for Interslavic where applicable","8F7D-STANDARD-01","source-use/provenance/gap/draft-noncanonical","branch-weight","Per-gate source witness rows only; no Arabic/Persian/Urdu/Ottoman bridge weighting."
"c7fb7e644e04102b67cc5da379ba9d4226feaef8","queue owner-lane review of marginal-intelligibility criteria before generated-draft terminology","8F7D-STANDARD-02","source-use/provenance/gap/draft-noncanonical","marginal-intelligibility","No marginal-intelligibility promotion for R3; owner-lane review questions only."
"c7fb7e644e04102b67cc5da379ba9d4226feaef8","require source-canon/source-body path, hash, access label, and gap state before draft work","8F7D-STANDARD-03","source-use/provenance/gap/draft-noncanonical","source-use","Draft rows retain source_file/context and witness rows carry hashes where available."
"c7fb7e644e04102b67cc5da379ba9d4226feaef8","block or flag candidate forms through adverse-evidence/do-not-use rows before term promotion","8F7D-STANDARD-04","source-use/provenance/gap/draft-noncanonical","adverse-evidence","Do-not-use rows block cross-gate inheritance and generated-draft-as-witness misuse."
"c7fb7e644e04102b67cc5da379ba9d4226feaef8","route as normalization draft rule with source pointer and adverse-evidence check","8F7D-STANDARD-05","source-use/provenance/gap/draft-noncanonical","normalization","RTL/script/register notes are scaffold support, not accepted terminology."
"c7fb7e644e04102b67cc5da379ba9d4226feaef8","route as interlinear/marker scaffold support; no accepted bridge surface","8F7D-STANDARD-06","source-use/provenance/gap/draft-noncanonical","marker-table","Interlinear rows are semi-constructed support, not bridge/pilot surface."
"c7fb7e644e04102b67cc5da379ba9d4226feaef8","preserve noncanonical/no-review/no-approval/no-completion labels in every owner lane","8F7D-STANDARD-07","source-use/provenance/gap/draft-noncanonical","authority-boundary","No review/approval/license/gate/final/source-certification/completion claim."
"c7fb7e644e04102b67cc5da379ba9d4226feaef8","block inheritance or promotion","POSTPUSH-DNU-AR-FA","active boundary","do-not-use/adverse","Do not use Arabic rows as Persian/Farsi evidence."
"c7fb7e644e04102b67cc5da379ba9d4226feaef8","block inheritance or promotion","POSTPUSH-DNU-FA-AR","active boundary","do-not-use/adverse","Do not use fa_IR rows as Arabic evidence."
"c7fb7e644e04102b67cc5da379ba9d4226feaef8","block inheritance or promotion","POSTPUSH-DNU-FA-PRS-TG","active boundary","do-not-use/adverse","Do not use fa_IR rows as Dari/Tajik evidence."
"c7fb7e644e04102b67cc5da379ba9d4226feaef8","block inheritance or promotion","POSTPUSH-DNU-UR-HIND","active boundary","do-not-use/adverse","Do not use Urdu rows as Hindustani/Hindi evidence."
"c7fb7e644e04102b67cc5da379ba9d4226feaef8","block inheritance or promotion","POSTPUSH-DNU-OTA-PAN-TURKIC","active boundary","do-not-use/adverse","Do not use Ottoman/Turkic provenance leads as Pan-Turkic witness bodies."
"c7fb7e644e04102b67cc5da379ba9d4226feaef8","block inheritance or promotion","POSTPUSH-DNU-DRAFT-WITNESS","active boundary","do-not-use/adverse","Do not use generated drafts as native witness, accepted terminology, or review."
