repo,repo_url,is_fork,is_private,license_spdx,license_name,license_url,open_source_policy
Headary/maturita,https://github.com/Headary/maturita,false,false,GPL-3.0,GNU General Public License v3.0,,open_license_metadata
karel-brinda/tp-zpevnik,https://github.com/karel-brinda/tp-zpevnik,false,false,MIT,MIT License,,open_license_metadata
bornagojsic/dismat2,https://github.com/bornagojsic/dismat2,false,false,MIT,MIT License,,open_license_metadata
JanHerca/urantiapedia,https://github.com/JanHerca/urantiapedia,false,false,,,,blocked_missing_or_unclear_license_metadata
JindrazPrahy/DvojkarskyZpevnik,https://github.com/JindrazPrahy/DvojkarskyZpevnik,false,false,,,,blocked_missing_or_unclear_license_metadata
Mihalei/Text-Summarization-Final-Project,https://github.com/Mihalei/Text-Summarization-Final-Project,false,false,,,,blocked_missing_or_unclear_license_metadata
iruspro/zapiski-fmf,https://github.com/iruspro/zapiski-fmf,false,false,MIT,MIT License,,open_license_metadata
lunar-starlight/Diploma,https://github.com/lunar-starlight/Diploma,false,false,MIT,MIT License,,open_license_metadata
Tomaz12345/Kombinatorika2-zapiski,https://github.com/Tomaz12345/Kombinatorika2-zapiski,false,false,,,,blocked_missing_or_unclear_license_metadata
kkumer/simetrije,https://github.com/kkumer/simetrije,false,false,CC-BY-SA-4.0,Creative Commons Attribution Share Alike 4.0 International,,open_license_metadata
ipaljak/hio-izborne-2020,https://github.com/ipaljak/hio-izborne-2020,false,false,,,,blocked_missing_or_unclear_license_metadata
PavleSekesan/TeorijaGrupa,https://github.com/PavleSekesan/TeorijaGrupa,false,false,,,,blocked_missing_or_unclear_license_metadata
tetrapharmakon/yoneda-in-tongues,https://github.com/tetrapharmakon/yoneda-in-tongues,false,false,,,,blocked_missing_or_unclear_license_metadata
yannisl/phd,https://github.com/yannisl/phd,false,false,,,,blocked_missing_or_unclear_license_metadata
ZalozbaDev/poster_language_technologies,https://github.com/ZalozbaDev/poster_language_technologies,false,false,CC-BY-4.0,Creative Commons Attribution 4.0 International,,open_license_metadata
dawidpawliczek4/aisd-solutions,https://github.com/dawidpawliczek4/aisd-solutions,false,false,,,,blocked_missing_or_unclear_license_metadata
KarolKozlowski22/MMFI_projekt,https://github.com/KarolKozlowski22/MMFI_projekt,false,false,,,,blocked_missing_or_unclear_license_metadata
Agrabski/C-equals-1,https://github.com/Agrabski/C-equals-1,false,false,,,,blocked_missing_or_unclear_license_metadata
Smitchelld/Quill,https://github.com/Smitchelld/Quill,false,false,,,,blocked_missing_or_unclear_license_metadata
szymbaramichal/WasteFree,https://github.com/szymbaramichal/WasteFree,false,false,MIT,MIT License,,open_license_metadata
