"field","value","source","boundary"
"current_live_frontier","0bf2ae1d4de8896273014591df92043aa25f62a5","user delegation and OLP 0BF2 route packet","current branch observation for this wake"
"prior_branch_frontier","a9c44df2a70dc5d7577ebe7902106c0c4f398d3f","user delegation and B3 A9C package","prior branch context only"
"prior_local_frontier","04a2af16d14e53c5398b6884719a36405a8ef180","ACTIVE_SESSION_STATE before 0BF2 build","local Persianate/Tajik packet lineage"
"branch_delta_a9c_to_0bf2_ahead_by","1","user delegation and OLP ROUTE_CONTEXT_0BF2AE1D.csv","route visibility only"
"branch_delta_a9c_to_0bf2_changed_paths","30","user delegation and OLP ROUTE_CONTEXT_0BF2AE1D.csv","route visibility only"
"branch_subject","Add A9C Non-Slavic 04A child return route","user delegation and OLP README","child-return route evidence only"
"b3_route_package","B3_POST_A9C44DF2_NONSLAVIC_04A_99BE_OLP_2C2_CHILD_RETURN_ROUTE_20260707","sibling B3 output","source-use/provenance/gap context; no language-lane promotion"
"non_slavic_route_package","NON_SLAVIC_CORE_04A2AF16_99BE_OLP_2C2_CHILD_RETURN_ROUTE_20260707","sibling Non-Slavic output","routes Persianate/Tajik prior 04A evidence only"
"olp_source_use_package","OLP_0BF2AE1D_SOURCE_USE_FABLE_A9C_ROUTE_20260707","sibling OLP output","Fable/source-use support only"
"direct_persianate_source_body_evidence_changed","false","focused scan of B3, Non-Slavic, and OLP 0BF2/A9C route artifacts","no fa_IR/prs_AF promotion"
"tajik_promoted_term_rows","0","B3 BRANCH_AND_ROUTE_CONTEXT.csv and Non-Slavic 04A source body rows","tg_Cyrl_TJ remains source-discovery-only"
"local_git_verification","blocked: not a git repository in this language-lane workspace","git status in local workspace","record blocker; do not push"
"language_lane_push","no","user instruction and packet policy","handoff only"
