document_id,path,package_relative_path,language,branch,file_type,provenance_url_or_path,sha256,bytes,license_availability_note,witness_category,source_use_label,source_title,boundary
_provenance::_provenance_NOETHER_PERSIANATE_TAJIK_ACTIVE_ROW_BUCKETS_AND_DRAFT_SUPPORT_20260705_md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\language-source-bodies\rtl-persianate-arabic\persianate-tajik\_provenance\NOETHER_PERSIANATE_TAJIK_ACTIVE_ROW_BUCKETS_AND_DRAFT_SUPPORT_20260705.md,_provenance/NOETHER_PERSIANATE_TAJIK_ACTIVE_ROW_BUCKETS_AND_DRAFT_SUPPORT_20260705.md,_provenance,provenance sidecar,md,local lane output sidecar,4512DAAA99CCB67C0EC84BBFCECB018FD084709E4632E76A42B48DF66394D56C,19161,local generated provenance/draft sidecar; not source body,audit_or_provenance_ledger,audit-ledger,lane provenance sidecar,"does not authorize any other language bucket; no native review, accepted terminology, license clearance, gate promotion, or completion claim"
_provenance::_provenance_NOETHER_PERSIANATE_TAJIK_SOURCE_CANON_WITNESS_TABLE_20260704_json,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\language-source-bodies\rtl-persianate-arabic\persianate-tajik\_provenance\NOETHER_PERSIANATE_TAJIK_SOURCE_CANON_WITNESS_TABLE_20260704.json,_provenance/NOETHER_PERSIANATE_TAJIK_SOURCE_CANON_WITNESS_TABLE_20260704.json,_provenance,provenance sidecar,json,local lane output sidecar,504F09428D241C5E12353D9691C45C2AE6CC2F91E54AF17DFD148DA82BAB0995,36503,local generated provenance/draft sidecar; not source body,audit_or_provenance_ledger,audit-ledger,lane provenance sidecar,"does not authorize any other language bucket; no native review, accepted terminology, license clearance, gate promotion, or completion claim"
_provenance::_provenance_NOETHER_PERSIANATE_TAJIK_SOURCE_CANON_WITNESS_TABLE_20260704_md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\language-source-bodies\rtl-persianate-arabic\persianate-tajik\_provenance\NOETHER_PERSIANATE_TAJIK_SOURCE_CANON_WITNESS_TABLE_20260704.md,_provenance/NOETHER_PERSIANATE_TAJIK_SOURCE_CANON_WITNESS_TABLE_20260704.md,_provenance,provenance sidecar,md,local lane output sidecar,691C7C49236D79777253BB989E97867C56120E20F0592239C794D8E12DBDA929,30089,local generated provenance/draft sidecar; not source body,audit_or_provenance_ledger,audit-ledger,lane provenance sidecar,"does not authorize any other language bucket; no native review, accepted terminology, license clearance, gate promotion, or completion claim"
fa_IR::fa_IR_fa_ir_modares_resultant_method_adjacent_article_8214_pdf,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\language-source-bodies\rtl-persianate-arabic\persianate-tajik\fa_IR\fa_ir_modares_resultant_method_adjacent_article_8214.pdf,fa_IR/fa_ir_modares_resultant_method_adjacent_article_8214.pdf,fa_IR,Persian/Farsi (Iran),pdf,https://journals.modares.ac.ir/article_8214_8b048efecbe64fe76045e0109de0c2f1.pdf,45215CD2C412CA91A3D9FFA0D0AA770A44E700F5208618F68DC65B25A094BE94,1530533,journal-hosted public PDF observed; no license clearance claimed,adjacent_source_body_pdf,adjacent-source-body,"Modares article 8214, Resultant Method adjacency","fa_IR source only; does not authorize Dari, Tajik, Urdu, or Arabic rows; no native review, accepted terminology, license clearance, gate promotion, source certification, or completion claim"
fa_IR::fa_IR_fa_ir_modares_resultant_method_adjacent_article_8214_pdftotext_txt,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\language-source-bodies\rtl-persianate-arabic\persianate-tajik\fa_IR\fa_ir_modares_resultant_method_adjacent_article_8214.pdftotext.txt,fa_IR/fa_ir_modares_resultant_method_adjacent_article_8214.pdftotext.txt,fa_IR,Persian/Farsi (Iran),txt,derived from https://journals.modares.ac.ir/article_8214_8b048efecbe64fe76045e0109de0c2f1.pdf,928EDF9088E32EB7536CCE175534EF256BFE6C2DF783FBCF443A2F8AB93F68F6,103922,derived consistency shelf; not source truth; no license clearance claimed,pdftotext_sidecar,OCR-witness,pdftotext extraction of Modares article 8214 resultant-method candidate,"fa_IR source only; does not authorize Dari, Tajik, Urdu, or Arabic rows; no native review, accepted terminology, license clearance, gate promotion, source certification, or completion claim"
fa_IR::fa_IR_fa_iut_behboodi_advanced_algebra_pdf,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\language-source-bodies\rtl-persianate-arabic\persianate-tajik\fa_IR\fa_iut_behboodi_advanced_algebra.pdf,fa_IR/fa_iut_behboodi_advanced_algebra.pdf,fa_IR,Persian/Farsi (Iran),pdf,https://people.iut.ac.ir/sites/default/files/users/behboodi/course_files/advanced_algebra_dr._behboodi.pdf,B2BEDB1AA29693935B09445ED8D90910F27BDEEA7CA2F0BB5E3394F0150FDA40,783008,university-hosted PDF; no open license found,native_source_body_pdf,native-source-body,IUT Behboodi Advanced Algebra,"does not authorize any other language bucket; no native review, accepted terminology, license clearance, gate promotion, or completion claim"
fa_IR::fa_IR_fa_iut_behboodi_advanced_algebra_pdftotext_txt,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\language-source-bodies\rtl-persianate-arabic\persianate-tajik\fa_IR\fa_iut_behboodi_advanced_algebra.pdftotext.txt,fa_IR/fa_iut_behboodi_advanced_algebra.pdftotext.txt,fa_IR,Persian/Farsi (Iran),txt,https://people.iut.ac.ir/sites/default/files/users/behboodi/course_files/advanced_algebra_dr._behboodi.pdf,EEE1E7F58B841D00D3466F9E0DF89501DF9A4CBCB3D83451EB3EACD2B527EFB0,665767,university-hosted PDF; no open license found,OCR_witness_text_extraction_not_source_truth,OCR-witness,IUT Behboodi Advanced Algebra,"does not authorize any other language bucket; no native review, accepted terminology, license clearance, gate promotion, or completion claim"
fa_IR::fa_IR_fa_iut_mathematics_curriculum_field_galois_syllabus_pdf,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\language-source-bodies\rtl-persianate-arabic\persianate-tajik\fa_IR\fa_iut_mathematics_curriculum_field_galois_syllabus.pdf,fa_IR/fa_iut_mathematics_curriculum_field_galois_syllabus.pdf,fa_IR,Persian/Farsi (Iran),pdf,https://mathdept.iut.ac.ir/sites/mathdept/files/Site/%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87%20%D8%B3%D9%87%20%D9%81%D8%B5%D9%84%DB%8C%20%D8%AF%D8%A7%D9%86%D8%B4%DA%A9%D8%AF%D9%87%D9%94%20%D8%B1%DB%8C%D8%A7%D8%B6%DB%8C_2.pdf,E9F77D2B8B83136980D86E3DC1CF4D70F5DD648352BA0E4DEDF150BE1D6D68C8,4052966,university-hosted curriculum PDF; no license clearance claimed,native_source_body_pdf,native-source-body,IUT mathematics curriculum field/Galois syllabus,"does not authorize any other language bucket; no native review, accepted terminology, license clearance, gate promotion, or completion claim"
fa_IR::fa_IR_fa_iut_mathematics_curriculum_field_galois_syllabus_pdftotext_txt,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\language-source-bodies\rtl-persianate-arabic\persianate-tajik\fa_IR\fa_iut_mathematics_curriculum_field_galois_syllabus.pdftotext.txt,fa_IR/fa_iut_mathematics_curriculum_field_galois_syllabus.pdftotext.txt,fa_IR,Persian/Farsi (Iran),txt,https://mathdept.iut.ac.ir/sites/mathdept/files/Site/%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87%20%D8%B3%D9%87%20%D9%81%D8%B5%D9%84%DB%8C%20%D8%AF%D8%A7%D9%86%D8%B4%DA%A9%D8%AF%D9%87%D9%94%20%D8%B1%DB%8C%D8%A7%D8%B6%DB%8C_2.pdf,0C9DDD45EDABB82285882DFBF617B085BC5CDAED7FBD80D126F2A24A98610E66,782283,university-hosted curriculum PDF; no license clearance claimed,OCR_witness_text_extraction_not_source_truth,OCR-witness,IUT mathematics curriculum field/Galois syllabus,"does not authorize any other language bucket; no native review, accepted terminology, license clearance, gate promotion, or completion claim"
fa_IR::fa_IR_fa_kntu_foundations_of_algebra_course_guide_pdf,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\language-source-bodies\rtl-persianate-arabic\persianate-tajik\fa_IR\fa_kntu_foundations_of_algebra_course_guide.pdf,fa_IR/fa_kntu_foundations_of_algebra_course_guide.pdf,fa_IR,Persian/Farsi (Iran),pdf,https://kntu.ac.ir/dorsapax/userfiles/file/FoundationsofAlgebra.pdf,85DF283F559FB9F81406712A12A6C164A1937E9DAAFD3C4A0AB47FDF2D49C125,71814,university-hosted PDF; no open license found,native_source_body_pdf,native-source-body,KNTU Foundations of Algebra course guide,"does not authorize any other language bucket; no native review, accepted terminology, license clearance, gate promotion, or completion claim"
