"blocker_status","source_use_boundary","route_or_language","next_action","lane_scope","blocker_id","evidence_now","exact_blocker"
"active_source_owner_access_recovery","official route provenance only; exact Kichwa math body/reuse/reviewer still required","Ecuador Kichwa/CNIB","capture exact source body where permitted, hash local copy, verify language/topic sections, and route to source-owner/reviewer before support movement","indigenous","R6-81DB-WEB-ECUADOR-CNIB-PAGE","Ecuador Ministry CNIB page; says 14 national intercultural bilingual curricula including Kichwa","exact source body/reuse/license/reviewer or media permission gate unresolved"
"active_source_owner_access_recovery","candidate source body route only; local capture/hash and language/topic review still required","Ecuador EIB/CNIB general","capture exact source body where permitted, hash local copy, verify language/topic sections, and route to source-owner/reviewer before support movement","indigenous","R6-81DB-WEB-ECUADOR-EIB-PDF","EIB curriculum PDF route surfaced by search; local HTTP probe previously failed TLS","exact source body/reuse/license/reviewer or media permission gate unresolved"
"active_source_owner_access_recovery","official route/link provenance only; exact files and Guarani/math relation still require capture/review","Paraguay Guarani/PRODEPA","capture exact source body where permitted, hash local copy, verify language/topic sections, and route to source-owner/reviewer before support movement","indigenous","R6-81DB-WEB-PARAGUAY-PRODEPA-PAGE","MEC program page lists PRODEPA materials including Matematica PRODEPA and Guarani L1 PDFs","exact source body/reuse/license/reviewer or media permission gate unresolved"
"active_source_owner_access_recovery","background/program evidence only; not target-language mathematics source authority","Paraguay PRODEPA background","capture exact source body where permitted, hash local copy, verify language/topic sections, and route to source-owner/reviewer before support movement","indigenous","R6-81DB-WEB-PARAGUAY-PRODEPA-BACKGROUND","MEC background PDF mentions Guarani and Matematica areas in bilingual basic education","exact source body/reuse/license/reviewer or media permission gate unresolved"
"active_source_owner_access_recovery","Guarani language program comparator; not mathematics source by itself","Paraguay Guarani language program","capture exact source body where permitted, hash local copy, verify language/topic sections, and route to source-owner/reviewer before support movement","indigenous","R6-81DB-WEB-PARAGUAY-GUARANI-PROGRAM","MEC Guarani program PDF route","exact source body/reuse/license/reviewer or media permission gate unresolved"
"active_source_owner_access_recovery","Mathematics program comparator; not Guarani-language authority by itself","Paraguay mathematics program comparator","capture exact source body where permitted, hash local copy, verify language/topic sections, and route to source-owner/reviewer before support movement","indigenous","R6-81DB-WEB-PARAGUAY-MATH-PROGRAM","MEC Matematica y sus Tecnologias PDF route","exact source body/reuse/license/reviewer or media permission gate unresolved"
"active_source_owner_access_recovery","sign/access route provenance only; no media copy/sign acceptance/visual inventory","ASL algebra/STEM","verify media/source ownership, captions/transcripts, license/access, and sign reviewer route before any sign support","sign_access","R6-81DB-WEB-SIGN-ASL-STEM","ASL STEM algebra page known reachable in previous probe","exact source body/reuse/license/reviewer or media permission gate unresolved"
"active_source_owner_access_recovery","sign/access route provenance only; no media copy/sign acceptance/visual inventory","DGS math videos","verify media/source ownership, captions/transcripts, license/access, and sign reviewer route before any sign support","sign_access","R6-81DB-WEB-SIGN-DGS-GOE","University DGS math video route known reachable in previous probe","exact source body/reuse/license/reviewer or media permission gate unresolved"
"active_recovery_from_9d_queue","source-recovery/blocker","Bislama / Vanuatu","Which Bislama math-note spellings need dictionary verification before a reader-side draft?","creole_contact","R6-9D7-RECOVERY-001","R6-BISLAMA-RETRY-005; R6-BISLAMA-RETRY-006","Math-source authority, translation approval, accepted terminology, or formula-neighboring prose beyond source titles."
"active_recovery_from_9d_queue","source-recovery/blocker","Ecuador Kichwa/CNIB","continue source-owner/manual/browser recovery; do not widen support","indigenous","R6-9D7-RECOVERY-002","probe_failed_no_body_saved","source/reviewer/ethics authority remains unresolved"
"active_recovery_from_9d_queue","source-recovery/blocker","Ecuador EIB/CNIB general","continue source-owner/manual/browser recovery; do not widen support","indigenous","R6-9D7-RECOVERY-003","probe_failed_no_body_saved","source/reviewer/ethics authority remains unresolved"
"active_recovery_from_9d_queue","source-recovery/blocker","Paraguay Guarani/PRODEPA","continue source-owner/manual/browser recovery; do not widen support","indigenous","R6-9D7-RECOVERY-004","probe_failed_no_body_saved","source/reviewer/ethics authority remains unresolved"
"active_recovery_from_9d_queue","source-recovery/blocker","Paraguay PRODEPA background","continue source-owner/manual/browser recovery; do not widen support","indigenous","R6-9D7-RECOVERY-005","probe_failed_no_body_saved","source/reviewer/ethics authority remains unresolved"
"active_recovery_from_9d_queue","source-recovery/blocker","ASL algebra/STEM","verify media/source ownership, captions/transcripts, license/access, and sign-community reviewer route before any sign/access support","sign_access","R6-9D7-RECOVERY-006","html_probe_and_candidate_links_only_no_raw_body_saved","source/reviewer/ethics authority remains unresolved"
"active_recovery_from_9d_queue","source-recovery/blocker","ASL math dictionary","verify media/source ownership, captions/transcripts, license/access, and sign-community reviewer route before any sign/access support","sign_access","R6-9D7-RECOVERY-007","html_probe_and_candidate_links_only_no_raw_body_saved","source/reviewer/ethics authority remains unresolved"
"active_recovery_from_9d_queue","source-recovery/blocker","DGS math videos","verify media/source ownership, captions/transcripts, license/access, and sign-community reviewer route before any sign/access support","sign_access","R6-9D7-RECOVERY-008","html_probe_and_candidate_links_only_no_raw_body_saved","source/reviewer/ethics authority remains unresolved"
"active_recovery_from_9d_queue","source-recovery/blocker","DGS corpus dictionary","verify media/source ownership, captions/transcripts, license/access, and sign-community reviewer route before any sign/access support","sign_access","R6-9D7-RECOVERY-009","html_probe_and_candidate_links_only_no_raw_body_saved","source/reviewer/ethics authority remains unresolved"
"active_recovery_from_9d_queue","source-recovery/blocker","DGS open dictionary comparator","verify media/source ownership, captions/transcripts, license/access, and sign-community reviewer route before any sign/access support","sign_access","R6-9D7-RECOVERY-010","html_probe_and_candidate_links_only_no_raw_body_saved","source/reviewer/ethics authority remains unresolved"
"active_recovery_from_9d_queue","source-recovery/blocker","Paraguay Guarani language program","continue source-owner/manual/browser recovery; do not widen support","indigenous","R6-9D7-RECOVERY-011","probe_failed_no_body_saved","source/reviewer/ethics authority remains unresolved"
"active_recovery_from_9d_queue","source-recovery/blocker","Paraguay mathematics program comparator","continue source-owner/manual/browser recovery; do not widen support","indigenous","R6-9D7-RECOVERY-012","probe_failed_no_body_saved","source/reviewer/ethics authority remains unresolved"
"active_recovery_from_9d_queue","generated-draft/noncanonical/source-gated","Kreyol / Haitian Creole","Should MIT-Ayiti matematik be retained as the default classroom-math draft label?","creole_contact","R6-9D7-REVIEW-013","R6-KR-SAR-001; R6-KR-SAR-002","do not infer community consent, accepted terminology, source certification, or broad creole/contact authority"
"active_recovery_from_9d_queue","generated-draft/noncanonical/source-gated","Kreyol / Haitian Creole","Should reviewer distinguish anseyman matematik from a shorter classroom label?","creole_contact","R6-9D7-REVIEW-014","R6-KR-SAR-001; R6-KR-SAR-002","do not infer community consent, accepted terminology, source certification, or broad creole/contact authority"
"active_recovery_from_9d_queue","generated-draft/noncanonical/source-gated","Kreyol / Haitian Creole","Should this title phrase be reusable as a technical phrase or marked title-only?","creole_contact","R6-9D7-REVIEW-015","R6-KR-SAR-003","do not infer community consent, accepted terminology, source certification, or broad creole/contact authority"
"active_recovery_from_9d_queue","generated-draft/noncanonical/source-gated","Bislama / Vanuatu","Should official title capitalization/spelling be preserved in running draft notes?","creole_contact","R6-9D7-REVIEW-016","R6-BISLAMA-RETRY-001; R6-BISLAMA-RETRY-003","do not infer community consent, accepted terminology, source certification, or broad creole/contact authority"
"active_recovery_from_9d_queue","generated-draft/noncanonical/source-gated","Bislama / Vanuatu","Should Saens remain a separate STEM register route in draft notes?","creole_contact","R6-9D7-REVIEW-017","R6-BISLAMA-RETRY-002; R6-BISLAMA-RETRY-004","do not infer community consent, accepted terminology, source certification, or broad creole/contact authority"
