"metric","count","note"
"observed_matches_e58a9ef5","0","963f529950a0309fadf2848b5c91f12da936f01f"
"input_paths_verified","14","local input paths present"
"b3_packet_sha_rows_carried","105","from B3 packet SHA verify files"
"b3_packet_sha_not_ok_or_missing","0","should remain zero for carried rows"
"b3_thread_routing_rows_for_r6_or_adjacent","2","R6 and Non-Slavic coordination rows"
"source_corpus_zip_r6_keyword_rows","16","index-only keyword screen rows"
"source_corpus_zip_r6_keyword_pdf_rows","2","index-only PDF rows"
"source_corpus_zip_r6_keyword_tex_rows","4","index-only TeX rows"
"oldb_r6_like_source_signal_rows","229","Old-B source signal screen rows"
"oldb_r6_ocr_witness_rows","4","OCR witness rows requiring authority route"
"oldb_r6_pointer_rows","3","pointer-only rows"
"oldb_r6_probe_metadata_rows","0","probe metadata rows"
"source_use_rows","6","new E58 source-use/provenance/gap ledger rows"
"ethics_authority_rows","8","new E58 ethics/authority rows"
"blocker_rows","8","new exact blockers and next actions"
"adverse_fable_rows","6","source-use/adverse/do-not-use ledger rows"
