"document_id","language","bcp47","branch","file_type","source_use_label","witness_category","package_relative_path","original_local_path","provenance_url","sha256","license_or_availability_note","topic_tags"
"TR-EXP-001-pdf","Turkish","tr","Oghuz","source-pdf","native-source-body","source-witness","bodies/tr/TR-EXP-001_ankara_acikders_bolum_9_polynomial_rings.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\turkish_expansion_source_canon_20260705\TR-EXP-001_ankara_acikders_bolum_9_polynomial_rings.pdf","https://acikders.ankara.edu.tr/mod/resource/view.php?id=39292","d56f52306558e79cbd4483d925426b690783cf7585124c08badce206bf69a568","access observed; license not cleared","Turkish; polynomial rings; quotient rings; algebra"
"TR-EXP-001-text","Turkish","tr","Oghuz","pdf-text-witness","OCR-witness","consistency-shelf","ocr-witnesses/tr/TR-EXP-001_ankara_acikders_bolum_9_polynomial_rings.txt","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\turkish_expansion_source_canon_20260705\TR-EXP-001_ankara_acikders_bolum_9_polynomial_rings.txt","https://acikders.ankara.edu.tr/mod/resource/view.php?id=39292","2905f9138bb7dae10a5a9f366f303b2b9a6a76de96b9961a79abb6dee00bacbd","access observed; license not cleared","Turkish; polynomial rings; text sidecar"
"TR-EXP-002-pdf","Turkish","tr","Oghuz","source-pdf","native-source-body","source-witness","bodies/tr/TR-EXP-002_hacettepe_sonlu_cisim_2.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\turkish_expansion_source_canon_20260705\TR-EXP-002_hacettepe_sonlu_cisim_2.pdf","https://yunus.hacettepe.edu.tr/~bsarac/Coding%20Theory/Sonlu_Cisim_2.pdf","ee56ac4eaa508fcbd1d977fb980014e86853d984d4cd3458e640b602a8c57f69","access observed; license not cleared","Turkish; finite fields; polynomial quotient rings"
"TR-EXP-002-text","Turkish","tr","Oghuz","pdf-text-witness","OCR-witness","consistency-shelf","ocr-witnesses/tr/TR-EXP-002_hacettepe_sonlu_cisim_2.txt","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\turkish_expansion_source_canon_20260705\TR-EXP-002_hacettepe_sonlu_cisim_2.txt","https://yunus.hacettepe.edu.tr/~bsarac/Coding%20Theory/Sonlu_Cisim_2.pdf","b4672c0815881229cdc1935405672d6912b5848bce4b6a8485f0cc11771ae667","access observed; license not cleared","Turkish; finite fields; polynomial quotient rings; text sidecar"
"TR-NOETH-001-pdf","Turkish","tr","Oghuz","source-pdf","native-source-body","source-witness","bodies/tr/TR-NOETH-001_bulentsarac_moduller.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\turkish_noetherian_expansion_source_canon_20260705\TR-NOETH-001_bulentsarac_moduller.pdf","https://bulentsarac.com/uploads/1766776284_Moduller.pdf","753ef6adafc119b4f7325f2f14c5925f59c983fc1c80ebd15cac395fa75e3b0b","access observed; license not cleared","Turkish; Noetherian modules; Noetherian rings; modules"
"TR-NOETH-001-text","Turkish","tr","Oghuz","pdf-text-witness","OCR-witness","consistency-shelf","ocr-witnesses/tr/TR-NOETH-001_bulentsarac_moduller.txt","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\turkish_noetherian_expansion_source_canon_20260705\TR-NOETH-001_bulentsarac_moduller.txt","https://bulentsarac.com/uploads/1766776284_Moduller.pdf","680f779c089600b15e6e8c032d06980b4e3909da0f2c2613bc5e19a96e54e020","access observed; license not cleared","Turkish; Noetherian modules; Noetherian rings; text sidecar"
"TR-NOETH-002-pdf","Turkish","tr","Oghuz","source-pdf","native-source-body","source-witness","bodies/tr/TR-NOETH-002_marmara_asalimsi_idealler_thesis.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\turkish_noetherian_expansion_source_canon_20260705\TR-NOETH-002_marmara_asalimsi_idealler_thesis.pdf","https://katalog.marmara.edu.tr/veriler/yordambt/cokluortam/8D/Nagihan%20BALKANCI_YL%20Tezi.pdf","9eb96e717bcbf891b01c2e0585cbd52fab0e573b7bf097a30e3aa530a274738a","access observed; license not cleared","Turkish; Noetherian; ideals; thesis"
"TR-NOETH-002-text","Turkish","tr","Oghuz","pdf-text-witness","OCR-witness","consistency-shelf","ocr-witnesses/tr/TR-NOETH-002_marmara_asalimsi_idealler_thesis.txt","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\turkish_noetherian_expansion_source_canon_20260705\TR-NOETH-002_marmara_asalimsi_idealler_thesis.txt","https://katalog.marmara.edu.tr/veriler/yordambt/cokluortam/8D/Nagihan%20BALKANCI_YL%20Tezi.pdf","905db953e4992471e080b48b5da90696983e31c9d6c2514ce535bfca3196ebac","access observed; license not cleared","Turkish; Noetherian; ideals; text sidecar"
"TR-TEX-001-archive","Turkish","tr","Oghuz","source-archive-zip","native-source-body","source-witness","bodies/tr/tex-source/kadirhanpolat_probability-statistics/ASIA-WEST-TR-01.zip","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628T215200Z_asia_wide_tex_source_register\west_asia\turkish\kadirhanpolat_probability-statistics\ASIA-WEST-TR-01.zip","https://github.com/kadirhanpolat/probability-statistics.git","3a9eca7982417fb908762a0f13bc9b59c389bf35d95242cd7a027a38868007de","GitHub/source archive access recorded; license not cleared","Turkish; TeX source archive; probability; statistics; mathematical prose"
"TR-TEX-001-file-001","Turkish","tr","Oghuz","tex-source-tree-file","native-source-body","source-witness","bodies/tr/tex-source/kadirhanpolat_probability-statistics/source/probability-statistics-master/bolumler/bblopts.cfg","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628T215200Z_asia_wide_tex_source_register\west_asia\turkish\kadirhanpolat_probability-statistics\source\probability-statistics-master\bolumler\bblopts.cfg","https://github.com/kadirhanpolat/probability-statistics.git","9195cd6cece39993c391a42cdb1776940811a86623f384a2bdba55dc75122e9b","source access recorded; license not cleared","Turkish; TeX source tree; probability; statistics; mathematical prose"
