"lexeme_id","language","branch","script","source_form","normalized_form","source_document","source_location","witness_category"
"L-RING","Turkish","Oghuz","Latin","halka","halka","TR-NOETH/TR-EXP packaged witnesses","MANIFEST.csv Turkish rows","source-witness"
"L-RING","Azerbaijani","Oghuz","Latin","halqa","halqa","AZ-INST/prior captures","MANIFEST.csv Azerbaijani rows","source-witness"
"L-RING","Uyghur","Karluk","Arabic","ھالقا","halqa","UG-CUR/prior captures","MANIFEST.csv Uyghur rows","candidate/source-witness gated"
"L-RING","Bashkir","Kipchak","Cyrillic","ҡулса; коммутатив ҡулса","qulsa; kommunikativ qulsa","DIRECT-WIKI-20260705-BA-COMMUTATIVE-RING and BA wikitext shelf","MANIFEST.csv Bashkir direct/wiki rows","source-witness"
"L-RING","Kazakh","Kipchak","Cyrillic","сақина","saqina","DIRECT-WIKI-20260705-KK-RING-MATHEMATICS","MANIFEST.csv Kazakh direct wiki row","source-witness"
"L-RING","Uzbek","Karluk","Latin","halqa","halqa","DIRECT-WIKI-20260705-UZ-BEZOUT-RING","MANIFEST.csv Uzbek direct wiki row","source-witness"
"L-MODULE","Turkish","Oghuz","Latin","modül/modul context","modul","TR-NOETH-001","MANIFEST.csv Turkish rows","source-witness"
"L-MODULE","Azerbaijani","Oghuz","Latin","modul","modul","Azerbaijani prior module capture","MANIFEST.csv Azerbaijani rows","source-witness"
"L-MODULE","Bashkir","Kipchak","Cyrillic","модуль","modul","BA Wikibooks","MANIFEST.csv Bashkir rows","source-witness"
"L-MODULE","Uyghur","Karluk","Arabic","مودۇل","modul","UG prior/Ewlat rows","MANIFEST.csv Uyghur rows","source-witness gated"
"L-POLYNOMIAL","Turkish","Oghuz","Latin","polinom","polinom","TR-EXP rows","MANIFEST.csv Turkish rows","source-witness"
"L-POLYNOMIAL","Tatar","Kipchak","Cyrillic","күпбуын","kupbuyn","TT current/PDF rows","MANIFEST.csv Tatar rows","source-witness"
"L-POLYNOMIAL","Kyrgyz","Kipchak","Cyrillic","көп мүчө; келтирилбес көп мүчө","kop mucho; keltirilbes kop mucho","DIRECT-WIKI-20260705-KY-POLYNOMIAL and DIRECT-WIKI-20260705-KY-IRREDUCIBLE-POLYNOMIAL","MANIFEST.csv Kyrgyz direct wiki rows","source-witness"
"L-POLYNOMIAL","Turkmen","Oghuz","Latin","köpagza","kopagza","TK source-gate rows","MANIFEST.csv Turkmen rows","source-witness/gap"
"L-POLYNOMIAL-RING","Turkish","Oghuz","Latin","polinom halkası","polinom halkasi","TR-EXP-001/002","MANIFEST.csv Turkish rows","source-witness"
"L-POLYNOMIAL-RING","Kazakh","Kipchak","Cyrillic","Көпмүшелік сақина","kopmushelik saqina","KK-WEB-20260705-UNIVISION-606140 and KK-WEB-20260705-AUEZOV-606110","bodies/kk/current-web-hard-row-20260705 and ocr-witnesses/kk/current-web-hard-row-20260705","current-web source-witness; source-tied generated-draft only"
"L-POLYNOMIAL-RING","Uzbek","Karluk","Latin","kophadlar halqasi variants; exact forms in occurrence ledger","kophadlar halqasi","UZ-WEB-20260705-ARXIVUZ-KOPHADLAR-HALQASI and UZ-WEB-20260705-TADQIQOTLAR-HALQA-XOSSALARI","bodies/uz/current-web-hard-row-20260705 and ocr-witnesses/uz/current-web-hard-row-20260705","current-web source-witness; source-tied generated-draft only"
"L-POLYNOMIAL-RING","Uyghur","Karluk","Arabic","كۆپ ئەزالىق ھالقا","kop ezaliq halqa","UG-CUR candidate rows","MANIFEST.csv Uyghur rows","candidate-only"
"L-NOETHERIAN-RING","Turkish","Oghuz","Latin","Noether halkası / Noetherian halka","noether halkasi","TR-NOETH rows","MANIFEST.csv Turkish rows","source-witness"
"L-NOETHERIAN-RING","Uyghur","Karluk","Arabic","نوئېتېر ھالقىسى","noeter halqisi","UG-CUR candidate rows","MANIFEST.csv Uyghur rows","candidate-only"
"L-NOETHERIAN-RING","Uzbek","Karluk","Latin","neyteriya ... halqa context in Bezu halqasi","neyteriya halqa context","DIRECT-WIKI-20260705-UZ-BEZOUT-RING","MANIFEST.csv Uzbek direct wiki row","adjacent context; not full hard-row closure"
