structural_id,structure_type,parent_id,order,source_locator,target_locator,source_fragment_sha256,target_fragment_sha256,completion_state,review_state,publication_state,relation_count,continuation_cursor,notes
NOE-P29-KO-U03-ROOT-001,work_unit,,1,full-P29 lines 41-45,target TeX lines 12-16,1CD2F142F472BE2A590EC8AACA45CEB49966A09FE803CC410D138B3F7BDE7458,6443CF147DFAEBCAF47EB3DA6A7D09BCAA52631D75777DF304959F975B677FD1,translated,internally_fidelity_checked,internal_checkpoint_not_published,1,Full-P29 line 46 is blank; next substantive cursor line 47.,Bounded proof-stage unit; proof continues at line 47 and is not complete.
NOE-P29-KO-U03-ITEM-001,item,NOE-P29-KO-U03-ROOT-001,2,full-P29 line 41 heading,target TeX line 12 heading,681C0CE60B74620B37FBEADA82010F1BFB9D19CD20277574C3347900D13E7CD1,D84CDBB85934CF2863AAF62435D562AD26DD2A7A2FC3FB3BF8161C384940AA9D,translated,internally_fidelity_checked,internal_checkpoint_not_published,1,Full-P29 line 46 is blank; next substantive cursor line 47.,Numbered item 2 heading.
NOE-P29-KO-U03-PROOF-001,proof,NOE-P29-KO-U03-ROOT-001,3,full-P29 lines 41-45,target TeX lines 12-16,1CD2F142F472BE2A590EC8AACA45CEB49966A09FE803CC410D138B3F7BDE7458,6443CF147DFAEBCAF47EB3DA6A7D09BCAA52631D75777DF304959F975B677FD1,translated,internally_fidelity_checked,internal_checkpoint_not_published,1,Full-P29 line 46 is blank; next substantive cursor line 47.,Incomplete proof segment; no claim of proof completion.
NOE-P29-KO-U03-PARA-001,paragraph,NOE-P29-KO-U03-PROOF-001,4,full-P29 line 41,target TeX line 12,92D22F5F6C9045EF28D46F9FAB07A35A8C1C557A13BF278811A4CA1E4DBAE539,8CBD849FCD02108CB82AD833F9B584F83A058004B0F1C756E2514D399BD4AC9C,translated,internally_fidelity_checked,internal_checkpoint_not_published,1,Full-P29 line 46 is blank; next substantive cursor line 47.,Necessity paragraph.
NOE-P29-KO-U03-STEP-001,closed_prose_unit,NOE-P29-KO-U03-PARA-001,5,full-P29 line 41 after heading,target TeX line 12 after heading,62156FF4A0E9DC95C1CDC868BF91F8DB6ECB4955AFAED64FE6E7992C56E84BD4,DA0E39C12557CC44693F45464C2B7E83362212D900B551A3F47F6CD215155625,translated,internally_fidelity_checked,internal_checkpoint_not_published,1,Full-P29 line 46 is blank; next substantive cursor line 47.,"Ring-theoretic endlich means finite generation, not finite cardinality."
NOE-P29-KO-U03-PARA-002,paragraph,NOE-P29-KO-U03-PROOF-001,6,full-P29 line 43,target TeX line 14,3E871C888608F62654238959F2ADF762710F1BFE3A971D09D474C0F7E32621F3,F695914CEAD6B4CF2F283241ABAB312C5620CA325D8E2B9EFAFA4FDD294D5BDF,translated,internally_fidelity_checked,internal_checkpoint_not_published,2,Full-P29 line 46 is blank; next substantive cursor line 47.,Sufficiency hypothesis and module-finiteness goal.
NOE-P29-KO-U03-NOTE-001,note,NOE-P29-KO-U03-PARA-002,7,full-P29 line 43 first footnote call,target TeX line 14 footnote 1,B68CD0403651299A63CE11EC01EE70D81952C6A08D30D36DC563453E3C8A7C94,4DDCDB0DA7E2FD0C756C2B4C31B2487ED808374B132857811E78555D38520B63,translated,held_source_discrepancy,internal_checkpoint_not_published,1,Full-P29 line 46 is blank; next substantive cursor line 47.,Sealed TeX has two calls; printed p.31 shares marker/body. Target follows sealed TeX.
NOE-P29-KO-U03-STEP-002,closed_prose_unit,NOE-P29-KO-U03-PARA-002,8,full-P29 line 43 final sentence,target TeX line 14 final sentence,AA6B0D5698DA4BC0FC9CE008C0A3AF0FB654CBA63B35C12DEFDC291B747B0571,4F288AB9A8AEE483597155CA49C8D645ED5020B92E5A3966585A192FB0E1B3C3,translated,internally_fidelity_checked,internal_checkpoint_not_published,0,Full-P29 line 46 is blank; next substantive cursor line 47.,"Modulbasis is treated as a finite generating system, not an independent/free basis."
NOE-P29-KO-U03-PARA-003,paragraph,NOE-P29-KO-U03-PROOF-001,9,full-P29 line 45,target TeX line 16,C87FCCBE9A2528BDA23BF93FA037F6B5C54A0DB43F122060AF75E5DCEA2C34F7,3FBA4994205C400BD0A0F13DA498E0435B4D6577EEB3CD7A2731B7F8746AC528,translated,internally_fidelity_checked,internal_checkpoint_not_published,3,Full-P29 line 46 is blank; next substantive cursor line 47.,"Quotient-field passage, integral closure obstruction, and reduction to T."
NOE-P29-KO-U03-NOTE-002,note,NOE-P29-KO-U03-PARA-003,10,full-P29 line 45 second footnote call,target TeX line 16 footnote 2,B68CD0403651299A63CE11EC01EE70D81952C6A08D30D36DC563453E3C8A7C94,4DDCDB0DA7E2FD0C756C2B4C31B2487ED808374B132857811E78555D38520B63,translated,held_source_discrepancy,internal_checkpoint_not_published,1,Full-P29 line 46 is blank; next substantive cursor line 47.,Second canonical call retained; both source and target fragment counts are two.
NOE-P29-KO-U03-STEP-003,closed_prose_unit,NOE-P29-KO-U03-PARA-003,11,full-P29 line 45 sentences 1-2,target TeX line 16 sentences 1-2,C99BF37FCF985ECF8DDEEDBA5072FC3153C0C35D7E5D0C719580081B35B760BB,F0E90889E5E555DE084E34CFE08D62F3E06B91AAAF1AB3834AAFEAD49B34AD86,translated,internally_fidelity_checked,internal_checkpoint_not_published,1,Full-P29 line 46 is blank; next substantive cursor line 47.,Antecedent is made explicit in Korean without changing the source logic.
NOE-P29-KO-U03-EQ-001,equation,NOE-P29-KO-U03-STEP-003,12,full-P29 line 45 inline containment chain,target TeX line 16 inline containment chain,DA8B91C2287B2089BB7EE14B86306FDF86F5D4EEBFC1E4EBA404C440F8563889,DA8B91C2287B2089BB7EE14B86306FDF86F5D4EEBFC1E4EBA404C440F8563889,translated,internally_fidelity_checked,internal_checkpoint_not_published,0,Full-P29 line 46 is blank; next substantive cursor line 47.,Less-than glyph denotes field containment in the established Paper 29 notation.
NOE-P29-KO-U03-STEP-004,closed_prose_unit,NOE-P29-KO-U03-PARA-003,13,full-P29 line 45 sentence 3 first clause,target TeX line 16 sentence 3,4D4981389F8382022F3A1D9E666047E90AE5526EE4452949E7304460720654C4,073ADDD8B55EBFC7C3AC629DA3C5A495CCE8653CD2A6A98B7F7EB5159F68CFE9,translated,internally_fidelity_checked,internal_checkpoint_not_published,0,Full-P29 line 46 is blank; next substantive cursor line 47.,Field-theoretic endlich means finite extension degree.
NOE-P29-KO-U03-STEP-005,closed_prose_unit,NOE-P29-KO-U03-PARA-003,14,full-P29 line 45 sentence 3 second clause,target TeX line 16 sentence 4,21EB671A5FDEC72AA160FF3972B3849A45B6A373079C0010A34333902F6A68AD,4DC0F7DF59FDF3C3C528C7DDB7DE4008E2C52984252654689B729C58A314E1B4,translated,internally_fidelity_checked,internal_checkpoint_not_published,0,Full-P29 line 46 is blank; next substantive cursor line 47.,Integrality is over R; S prime is described rather than silently renamed integral closure.
NOE-P29-KO-U03-STEP-006,closed_prose_unit,NOE-P29-KO-U03-PARA-003,15,full-P29 line 45 penultimate sentence,target TeX line 16 penultimate sentence,D65768DA0FD0830F1BC5B3285241D6E72E0EB2D2075DCA1B302D5FCEB67E371E,CABA330CFFD26D0D37D18A9649DD868AF7138B48D9CE0B2DCF253F852E230A80,translated,internally_fidelity_checked,internal_checkpoint_not_published,0,Full-P29 line 46 is blank; next substantive cursor line 47.,Integral closedness is not algebraic closure; historical theorem label is retained.
NOE-P29-KO-U03-STEP-007,closed_prose_unit,NOE-P29-KO-U03-PARA-003,16,full-P29 line 45 final sentence,target TeX line 16 final sentence,62E9F269B2F6499EE7665C0401AE832AA7AC0BF06E122A8B019C1595CBC2B747,A2EA3E86753EED36B2507A070A49029D11A1959C35ADD6AC5E29594C6486BD9B,translated,internally_fidelity_checked,internal_checkpoint_not_published,1,Full-P29 line 46 is blank; next substantive cursor line 47.,The construction of T begins in the next unit.
