"coverage_id","lane_scope","source_audit_artifact","row_source_artifact","row_count","current_url_summary","local_anchor_summary","source_level_status","pdf_html_fallback_status","license_or_access_signal_summary","exact_gap_or_blocker","next_source_canon_action","upload_policy","non_claim_boundary"
"R7COV001","Indonesian proof/specialist publication shelf","NOETHER_R7_INDONESIAN_PUBLICATION_SOURCE_AVAILABILITY_AUDIT_20260704.md","NOETHER_R7_INDONESIAN_PUBLICATION_SOURCE_AVAILABILITY_AUDIT_ROWS_20260704.csv","8","Direct page/download access mixed; 2 rows carry current HTTP 403 access-blocker signals from direct probes.","8/8 local PDF anchors verified by path, SHA-256, and byte count.","0 matching article/book TeX or source packages found; 1 adjacent ONMIPA TeX context row, not article source.","Strongest fallback is extracted Indonesian PDF proof/specialist prose for ring, ideal, Noetherian, PID/UFD, module, and annihilator topics.","Signals include repository pages, DOI/Garuda metadata, and several CC labels in source pages; every row still says no license clearance claimed.","No matching source package for audited Indonesian publications; Neliti and Unipasby direct probes remain access-blocked at 403.","Continue source-package discovery by exact title, DOI, author, journal, and repository routes; keep ONMIPA GitHub TeX candidates separate from article-source claims.","manifest_or_existing_local_hashes_only_no_new_raw_source_payload","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7COV002","Malaysian Malay course/glossary/PRPM shelf","NOETHER_R7_MALAYSIAN_MALAY_SOURCE_AVAILABILITY_AUDIT_20260704.md","NOETHER_R7_MALAYSIAN_MALAY_SOURCE_AVAILABILITY_AUDIT_ROWS_20260704.csv","13","13/13 source URLs currently return HTTP 200.","13/13 local PDF or HTML snapshot anchors verified by path, SHA-256, and byte count.","0 matching TeX/source packages found; 2 false-positive TeX hit groups retained as blocker evidence.","Fallback shelf has 6 Malaysian Malay course/catalog PDF rows, 1 mixed-language specialist article row, 2 glossary PDFs, and 4 PRPM HTML snapshots.","UM glossary and PRPM rows are comparator/query provenance only; JQMA row is mostly English with Malay abstract terminology; no license clearance claimed.","Malay higher-algebra source packages are absent; glossary/PRPM content remains comparator-only and not translation authority.","Continue exact Malay algebra source searches through university repositories, journal supplemental/source archives, and DBP/PRPM item routes without treating comparator rows as authority.","manifest_or_existing_local_hashes_only_no_new_raw_source_payload","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7COV003","Brunei/Singapore official exact-content route shelf","NOETHER_R7_BRUNEI_SINGAPORE_EXACT_CONTENT_SOURCE_AUDIT_20260704.md","NOETHER_R7_BRUNEI_SINGAPORE_EXACT_CONTENT_SOURCE_AUDIT_ROWS_20260704.csv","17","15 current HTTP 200 rows, 1 current ERR row, and 1 non-URL exact-content gap row.","10/17 rows have verified existing local anchors; 5 rows are manifest-only route candidates; 2 rows are blocked or gap records.","0 TeX/source packages and 0 exact Brunei/Singapore Malay higher-algebra source rows captured.","Fallback evidence is official route/context pages only: Brunei MOE/DBP routes, Singapore MOE/SEAB/ATL separation, and manifest-only official route candidates.","Official-route access signals only; DBP TLS/SSL problem remains a blocker; no license clearance claimed.","Exact Malay mathematics terminology for Brunei/Singapore remains absent or blocked; math rows and Malay language rows do not overlap under current evidence.","Prioritize DBP/MOE TLS-safe retry, item-level Singapore Malay-math content capture, and official document/download routes; keep route context out of translation evidence.","manifest_or_existing_local_hashes_only_no_new_raw_source_payload","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7COV004","SEA/Pacific source-return shelf","NOETHER_R7_SEA_PACIFIC_SOURCE_RETURN_AUDIT_20260704.md","NOETHER_R7_SEA_PACIFIC_SOURCE_RETURN_AUDIT_ROWS_20260704.csv","25","20 HTTP 200 rows, 1 200_GET_HEAD_405 row, 3 ERR rows, and 1 non-URL gap row.","18/25 rows have verified local anchors; 3 rows are new manifest-only source-return candidates; remaining rows are blockers/gaps.","2 arXiv LaTeX source packages exist only as BasahaCorpus/SEACrowd language-resource context; no higher-algebra target-language source package captured.","Fallback evidence is lower-math, glossary, language-resource, context, listing, or title/item metadata; exact higher-algebra proof prose rows found: 0.","Access signals include official/educational route pages, DepEd/LR metadata, JICA route pages, Bharatavani login-gated item metadata, and blocked Cambium/Hmong URLs; no license clearance claimed.","Khmer PDF URL now resolves but lacks local payload; Santali item reading requires login; Lao/JICA PDF routes are primary-math only; Zhuang remains search-gap.","Retry Khmer exact PDF capture, item-level Santali access, Lao textbook metadata capture, and language-owned handoffs; do not route lower-math/title-only rows as translation support.","manifest_or_existing_local_hashes_only_no_new_raw_source_payload","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7COV005","GitHub/source-archive probe shelf","NOETHER_R7_GITHUB_SOURCE_ARCHIVE_PROBE_20260704.md","NOETHER_R7_GITHUB_SOURCE_ARCHIVE_PROBE_ROWS_20260704.csv","19","GitHub metadata rows are manifest-only; URL status is recorded as public repository/blob/search metadata rather than downloaded source body status.","0 raw TeX/source bodies downloaded; source-level metadata rows carry repo, commit, path, Git blob SHA, and byte count where available.","14 TeX/blob metadata rows: 3 direct target-math candidates, 6 limited-topic candidates, 5 false/context rows; 5 explicit gap/blocker rows.","No PDF/HTML fallback in this probe; it supplements the PDF/HTML witness shelves with public source-archive leads.","Most GitHub candidates have null/unknown repository licenseInfo; one project-style row carries a repo license signal; no license clearance claimed.","Direct candidates are source-gated and license-gated; Brunei/Singapore and Tagalog/Filipino higher-algebra GitHub searches remain gap/blocker rows.","Throttle future GitHub code searches, capture exact content only under source-policy gates, and separate Indonesian GitHub candidates from Brunei/Singapore authority claims.","manifest_only_no_raw_source_body_payload_for_language_lane","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7COV006","Required-field source-canon witness mirror","NOETHER_R7_SOURCE_CANON_GITHUB_SCHEMA_ALIGNMENT_20260704.md","NOETHER_R7_SOURCE_CANON_REQUIRED_FIELD_WITNESS_TABLE_20260704.csv","59","Inherited from row-level shelves; table itself is a schema mirror, not a live URL probe.","Rows point to existing local anchors or explicit gap/blocker values; upload policy is manifest-only for all 59 rows.","Evidence tiers: A_SOURCE_ARCHIVE 2, B_PDF_TEXT_EXTRACTED 22, C_PDF_HTML_TEXT_FALLBACK 28, GAP 7; promotion-like boundary failures: 0.","PDF/HTML/text fallback rows dominate because target-language TeX/source packages are mostly absent.","License/access signals are carried through from row-level witness sources; no license clearance claimed.","This mirror is not a source replacement and not a completion proof; it only normalizes required fields for B3/package tooling.","Keep this table synchronized after every source-return or GitHub/source-archive probe; preserve explicit gap rows rather than deleting failed searches.","manifest_only_no_raw_source_body_payload_for_language_lane","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7COV007","Prior support/reader boundary shelf now quarantined under source-canon-first steering","NOETHER_R7_CURRENT_READER_FIX_PASS_OUTPUT_BOUNDARY_INDEX_20260704.md; NOETHER_R7_COMPLETION_ZENODO_READER_GUARDRAIL_INTEGRATION_20260704.md","NOETHER_R7_MALAY_SEA_PACIFIC_FULL_COVERAGE_MATRIX_20260704.csv; NOETHER_R7_ZENODO_READER_GUARDRAIL_ROWS_20260704.csv; NOETHER_R7_CURRENT_READER_FIX_PASS_OUTPUT_BOUNDARY_ROWS_20260704.csv","50 coverage-matrix rows plus 10 boundary/guardrail rows","Not a URL-probe shelf; references prior internal row-coverage and reader-label guardrails.","No source-body payload; uses earlier local audit artifacts and guardrail metadata only.","No source-level mathematical publication packages added by these older support/reader artifacts.","Older draft/noncanonical microcards and support slices are preserved as historical/internal scaffolding, but current live work is source-canon/provenance first.","No license/access clearance can be inferred from reader or support labels.","Prior artifacts contain row-coverage and completion-labeled language that is superseded for live coordination by this source-canon-first index; do not reuse as a completion claim.","When packaging or reading old R7 outputs, attach the current boundary and route users to source-canon witness tables before any support artifact.","manifest_only_boundary_index_no_source_payload","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7COV008","Source-acquisition and routing refresh queue","NOETHER_R7_EXACT_SOURCE_ACQUISITION_AND_ROUTE_QUEUE_20260704.md; NOETHER_R7_SOURCE_RETURN_ROUTING_REFRESH_20260704.md","NOETHER_R7_EXACT_SOURCE_ACQUISITION_AND_ROUTE_QUEUE_ROWS_20260704.csv; NOETHER_R7_SOURCE_RETURN_ROUTING_REFRESH_ROWS_20260704.csv","31 acquisition rows plus 28 routing-refresh rows","Queue rows record downloaded, failed, context, title-watch, and source-locator statuses; no aggregate live URL probe is implied.","Existing downloaded rows retain local bundle/hash anchors where present; failed/search-gap rows remain explicit blockers.","Queue contains source locators, official route candidates, source-gated support leads, retry rows, and other-lane ownership notes, not approved source packages.","Fallback statuses include context pages, lower-math locators, glossary/source-pointer rows, and manifest-only item-detail targets.","Access signals include HTTP 403, SSL/certificate blockers, parsed-row math/Malay non-overlap, and explicit source-gap notes; no license clearance claimed.","Open blockers include DBP SSL/certificate failures, exact Brunei/Singapore Malay math overlap, Khmer/Santali item capture, and source-package absence for core Malay/Indonesian algebra shelves.","Use this queue as the next-action driver: retry blocked official routes, expand exact source-package searches, and route only source-gated evidence to owner lanes.","manifest_or_existing_local_hashes_only_no_new_raw_source_payload","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7COV009","JQMA Malaysian Malay ring-theory candidate normalization","NOETHER_R7_JQMA_MALAY_RING_THEORY_CANDIDATE_NORMALIZATION_20260704.md","NOETHER_R7_JQMA_MALAY_RING_THEORY_CANDIDATE_NORMALIZATION_ROWS_20260704.csv","12","Rows record JQMA issue, abstract PDF, full-paper PDF, policy/ethics sidecars, MALRep metadata, blocked journalarticle.ukm.my routes, secondary pointers, and exact GitHub source-package gaps.","No raw PDF/HTML payload is stored in outputs; all rows are remote-hash, bibliographic, secondary, or gap rows.","No article TeX/source package found; JQMA LaTeX template route is journal infrastructure only, not article source.","Remote-hashed PDF fallback candidate only; mostly English article with Malay parallel title/abstract terminology, not broad Malay proof-prose authority.","JQMA ethics sidecar supplies a CC BY 4.0 author-license signal for published work; this lane still claims no license clearance.","journalarticle.ukm.my direct routes timed out; GitHub exact title/DOI/author/Malay-title clusters found no article source repository or code package.","If later promoted into a master witness addendum, carry it only as Malaysian Malay remote-hashed PDF fallback with no source-package status and no license-clearance claim.","manifest_only_remote_hash_or_gap_no_payload","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7COV010","UPM Malaysian Malay course/register route normalization","NOETHER_R7_UPM_MALAY_COURSE_ROUTE_NORMALIZATION_20260704.md","NOETHER_R7_UPM_MALAY_COURSE_ROUTE_NORMALIZATION_ROWS_20260704.csv","12","Rows record two live UPM LearningHub course pages, one blocked alternate route, one course index, two official program pages, one official handbook PDF route, four GitHub source-package gaps, and one third-party non-promotion row.","No raw HTML/PDF payload is stored in outputs; the handbook PDF temp file used for text probing was deleted.","No matching public GitHub TeX/source package or course-source repository found for exact MTH4201/MTH4205 Malay title clusters.","Course/register and official curriculum provenance only; not specialist proof prose and not source-level mathematics.","Official UPM public routes have no explicit open redistribution license observed; no license clearance claimed.","Alternate MTH4201 route returned HTTP 503; third-party catalog/search hits are title-only/comparator-only and not promoted.","Keep as Malaysian Malay course-route addendum; continue official source/archive discovery for stronger specialist evidence.","manifest_only_remote_hash_or_gap_no_payload","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
