record_id,record_type,parent_id,child_ids,revision,revision_of,supersedes,superseded_by,volume,expose,unit,source_lines,printed_pages,physical_pages,running_pages,authority_sha256,source_reading,target_reading,disposition,evidence_path,evidence_sha256,evidence_bytes,target_tex_sha256,target_pdf_sha256,raw_cursor,substantive_cursor,difficulty,review_state,release_state,rights_state,archive_handoff,notes
SGA2-X-L3522-L3530-L36P@1,producer_status,,SGA2-X-L3522-L3530-L36P-AUTHORITY@1;SGA2-X-L3522-L3530-L36P-SOURCE-SLICE@1;SGA2-X-L3522-L3530-L36P-BOUNDARY@1;SGA2-X-L3522-L3530-L36P-LOCATORS@1;SGA2-X-L3522-L3530-L36P-PAGE-MARKER@1;SGA2-X-L3522-L3530-L36P-READER-2005@1;SGA2-X-L3522-L3530-L36P-READER-2008@1;SGA2-X-L3522-L3530-L36P-PAGE103-TEXT@1;SGA2-X-L3522-L3530-L36P-PAGE104-TEXT@1;SGA2-X-L3522-L3530-L36P-SAME-LINEAGE@1;SGA2-X-L3522-L3530-L36P-SOURCE-RENDER103@1;SGA2-X-L3522-L3530-L36P-SOURCE-RENDER104@1;SGA2-X-L3522-L3530-L36P-TARGET@1;SGA2-X-L3522-L3530-L36P-HYPOTHESIS@1;SGA2-X-L3522-L3530-L36P-FLAT-BASE@1;SGA2-X-L3522-L3530-L36P-I-QUASICOMPACT@1;SGA2-X-L3522-L3530-L36P-IMAGE-COMPAT@1;SGA2-X-L3522-L3530-L36P-FUNCTOR@1;SGA2-X-L3522-L3530-L36P-NO-HAT@1;SGA2-X-L3522-L3530-L36P-OBJECT-MAP@1;SGA2-X-L3522-L3530-L36P-FULLY-FAITHFUL@1;SGA2-X-L3522-L3530-L36P-ALGEBRA@1;SGA2-X-L3522-L3530-L36P-EFFECTIVITY@1;SGA2-X-L3522-L3530-L36P-FIBER-SQUARE@1;SGA2-X-L3522-L3530-L36P-FIBER-CUBE@1;SGA2-X-L3522-L3530-L36P-FFQC@1;SGA2-X-L3522-L3530-L36P-UNIVERSAL-DESCENT@1;SGA2-X-L3522-L3530-L36P-FIBERED-CATEGORY@1;SGA2-X-L3522-L3530-L36P-PRESCHEMES@1;SGA2-X-L3522-L3530-L36P-FORMAL-CONCLUSION@1;SGA2-X-L3522-L3530-L36P-FOOTNOTE-MARKER@1;SGA2-X-L3522-L3530-L36P-FOOTNOTE-CITATION@1;SGA2-X-L3522-L3530-L36P-SOURCE-DEFECT@1;SGA2-X-L3522-L3530-L36P-CANDIDATE@1;SGA2-X-L3522-L3530-L36P-CANDIDATE-ACCEPT@1;SGA2-X-L3522-L3530-L36P-REJECT-HAT@1;SGA2-X-L3522-L3530-L36P-REJECT-CODEBLOCK@1;SGA2-X-L3522-L3530-L36P-REJECT-ABOVE@1;SGA2-X-L3522-L3530-L36P-REJECT-CAPS@1;SGA2-X-L3522-L3530-L36P-CANDIDATE-LINEAGE@1;SGA2-X-L3522-L3530-L36P-BUILD1@1;SGA2-X-L3522-L3530-L36P-BUILD2@1;SGA2-X-L3522-L3530-L36P-BUILD3@1;SGA2-X-L3522-L3530-L36P-PDF-REPRO@1;SGA2-X-L3522-L3530-L36P-PDFINFO@1;SGA2-X-L3522-L3530-L36P-FONTS@1;SGA2-X-L3522-L3530-L36P-TEXT@1;SGA2-X-L3522-L3530-L36P-TARGET-RENDER@1;SGA2-X-L3522-L3530-L36P-AUDIT@1;SGA2-X-L3522-L3530-L36P-RELEASE@1;SGA2-X-L3522-L3530-L36P-PAGE103-TEXT@2;SGA2-X-L3522-L3530-L36P-SOURCE-RENDER103@2;SGA2-X-L3522-L3530-L36P-PAGE103-COMPARISON-R2@1;SGA2-X-L3522-L3530-L36P-PAGE104-TEXT@3;SGA2-X-L3522-L3530-L36P-SOURCE-RENDER104@3;SGA2-X-L3522-L3530-L36P-SAME-LINEAGE@3;SGA2-X-L3522-L3530-L36P-PAGE-COMPARISON-R3@3;SGA2-X-L3522-L3530-L36P-BUILD1@3;SGA2-X-L3522-L3530-L36P-BUILD2@3;SGA2-X-L3522-L3530-L36P-BUILD3@3;SGA2-X-L3522-L3530-L36P-PDF-REPRO@3;SGA2-X-L3522-L3530-L36P-TARGET-RENDER@3;SGA2-X-L3522-L3530-L36P-SOURCE-FULLPAGE-RENDER@3;SGA2-X-L3522-L3530-L36P-R2-INDEPENDENT-FAIL-BINDING@3;SGA2-X-L3522-L3530-L36P-AUXILIARY-LEDGERS@3;SGA2-X-L3522-L3530-L36P-R3-REVISION-CONTROL@3,1,,,,SGA2,X,Lemma3.6 proof,3522-3530,119-120,103-104,95-96,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,complete bounded French proof,source-aligned English target;producer gates passed,PASS,R3_LOCATOR_CORRECTION_SUCCESSOR.md,53187727632119F93B2B90F4C0A052A1C609C38EF30B69B691B54C30F9A1D1C8,2249,F451600AF171DB989672478DF177D266B5282CE196C166EDEB554EA34291E26D,8D1280BF8E170787B7D6C883E564FB2733E9A918131B143BE90D1FE86110205E,3531,3532,high,producer_pass_pending_fresh_independent_review,internal_not_for_release,task_generated_internal,false,R3 evidence-only locator successor; target unchanged; fresh independent review required
SGA2-X-L3522-L3530-L36P-AUTHORITY@1,authority_control,SGA2-X-L3522-L3530-L36P@1,,1,,,,SGA2,X,French authority identity,3522-3530,119-120,103-104,95-96,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,586789-byte Latin-1 LF authority,French remains byte-identical,PASS,SOURCE_LINES_3522_3530_LATIN1_LF.tex,852F3DAA8492A96586D17CDFE81114859A8E226803AC75E064666CC869FCAEC3,1072,F451600AF171DB989672478DF177D266B5282CE196C166EDEB554EA34291E26D,8D1280BF8E170787B7D6C883E564FB2733E9A918131B143BE90D1FE86110205E,3531,3532,focused,producer_pass_pending_independent_review,internal_not_for_release,rights_gated_french_source_evidence,false,
SGA2-X-L3522-L3530-L36P-SOURCE-SLICE@1,source_replay,SGA2-X-L3522-L3530-L36P@1,,1,,,,SGA2,X,exact bounded source,3522-3530,119-120,103-104,95-96,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,1072-byte exact source slice,all nine source lines represented,PASS,SOURCE_LINES_3522_3530_LATIN1_LF.tex,852F3DAA8492A96586D17CDFE81114859A8E226803AC75E064666CC869FCAEC3,1072,F451600AF171DB989672478DF177D266B5282CE196C166EDEB554EA34291E26D,8D1280BF8E170787B7D6C883E564FB2733E9A918131B143BE90D1FE86110205E,3531,3532,focused,producer_pass_pending_independent_review,internal_not_for_release,rights_gated_french_source_evidence,false,
SGA2-X-L3522-L3530-L36P-BOUNDARY@1,boundary_control,SGA2-X-L3522-L3530-L36P@1,,1,,,,SGA2,X,proof boundary,3520-3532,119-120,103-104,95-96,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,prior lemma close;proof;blank3531;Remark3.7 at3532,scope closes at3530;raw3531;substantive3532,PASS,SOURCE_BOUNDARY_LINES_3520_3532_LATIN1_LF.tex,AFA46BD5F0CB0CD87CC01D4E915E91F090C8938E22D4B49755463B73D1B1A76F,1117,F451600AF171DB989672478DF177D266B5282CE196C166EDEB554EA34291E26D,8D1280BF8E170787B7D6C883E564FB2733E9A918131B143BE90D1FE86110205E,3531,3532,focused,producer_pass_pending_independent_review,internal_not_for_release,rights_gated_french_source_evidence,false,
SGA2-X-L3522-L3530-L36P-LOCATORS@1,locator_control,SGA2-X-L3522-L3530-L36P@1,,1,,,,SGA2,X,three locator systems,3522-3530,119-120,103-104,95-96,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,printed119-120;physical103-104;running95-96,all systems kept distinct,PASS,SOURCE_COMPARISON_AND_TRANSLATION_AUDIT.md,C348E7072E89720CE5E789D29841C284D036D01F49CB4290A318253AC00BF717,6045,F451600AF171DB989672478DF177D266B5282CE196C166EDEB554EA34291E26D,8D1280BF8E170787B7D6C883E564FB2733E9A918131B143BE90D1FE86110205E,3531,3532,focused,producer_pass_pending_independent_review,internal_not_for_release,task_generated_internal,false,
SGA2-X-L3522-L3530-L36P-PAGE-MARKER@1,locator_control,SGA2-X-L3522-L3530-L36P@1,,1,,,,SGA2,X,printed-page transition,3530,119-120,103-104,95-96,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,pageoriginale occurs inside line3530,printed119-to120 transition preserved in ledger,PASS,SOURCE_LINES_3522_3530_LATIN1_LF.tex,852F3DAA8492A96586D17CDFE81114859A8E226803AC75E064666CC869FCAEC3,1072,F451600AF171DB989672478DF177D266B5282CE196C166EDEB554EA34291E26D,8D1280BF8E170787B7D6C883E564FB2733E9A918131B143BE90D1FE86110205E,3531,3532,focused,producer_pass_pending_independent_review,internal_not_for_release,rights_gated_french_source_evidence,false,
SGA2-X-L3522-L3530-L36P-READER-2005@1,source_manifest,SGA2-X-L3522-L3530-L36P@1,,1,,,,SGA2,X,2005 same-lineage reader,3522-3530,119-120,103-104,95-96,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,216-page SGA2.pdf SHA F3E74AC7...01E69,manifestation and locator only,PASS,SOURCE_PAGE_TEXT_COMPARISON.json,012CF553E514CBAB574A04959C96D96119C2846864A05018CA6DF749621CDCDB,3533,F451600AF171DB989672478DF177D266B5282CE196C166EDEB554EA34291E26D,8D1280BF8E170787B7D6C883E564FB2733E9A918131B143BE90D1FE86110205E,3531,3532,focused,producer_pass_pending_independent_review,internal_not_for_release,rights_gated_french_source_evidence,false,
SGA2-X-L3522-L3530-L36P-READER-2008@1,source_manifest,SGA2-X-L3522-L3530-L36P@1,,1,,,,SGA2,X,2008 same-lineage reader,3522-3530,119-120,103-104,95-96,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,216-page reader SHA41AD02C5...87A90,manifestation and locator only,PASS,SOURCE_PAGE_TEXT_COMPARISON.json,012CF553E514CBAB574A04959C96D96119C2846864A05018CA6DF749621CDCDB,3533,F451600AF171DB989672478DF177D266B5282CE196C166EDEB554EA34291E26D,8D1280BF8E170787B7D6C883E564FB2733E9A918131B143BE90D1FE86110205E,3531,3532,focused,producer_pass_pending_independent_review,internal_not_for_release,rights_gated_french_source_evidence,false,
SGA2-X-L3522-L3530-L36P-PAGE103-TEXT@1,text_extraction_control,SGA2-X-L3522-L3530-L36P@1,,1,,,SGA2-X-L3522-L3530-L36P-PAGE103-TEXT@2,SGA2,X,same-lineage physical103,3522-3530,119,103,95,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,two PyPDF extractions byte-identical;2765 bytes,printed119/running95 content confirmed,SUPERSEDED,SAME_LINEAGE_2008_PAGE_INDEX102_PYPDF_TEXT.txt,DE668F4F4FC69444A0B702E7BAF1B81A69D932D6F35FDCF1EF98A12AD1DED6DC,2765,F451600AF171DB989672478DF177D266B5282CE196C166EDEB554EA34291E26D,8D1280BF8E170787B7D6C883E564FB2733E9A918131B143BE90D1FE86110205E,3531,3532,focused,superseded_after_independent_fail,internal_not_for_release,rights_gated_french_source_evidence,false,historical revision preserved; printed_pages=119 understated physical103 coverage; superseded by SGA2-X-L3522-L3530-L36P-PAGE103-TEXT@2
SGA2-X-L3522-L3530-L36P-PAGE104-TEXT@1,text_extraction_control,SGA2-X-L3522-L3530-L36P@1,,1,,,SGA2-X-L3522-L3530-L36P-PAGE104-TEXT@3,SGA2,X,same-lineage physical104,3530,120,104,96,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,two PyPDF extractions byte-identical;2705 bytes,printed120/running96 content and footnote confirmed,SUPERSEDED,SAME_LINEAGE_2008_PAGE_INDEX103_PYPDF_TEXT.txt,97983873C138C28263A4B1E2FDA9BDD870B8ABF19EFAD38D6067D97A38565FC9,2705,F451600AF171DB989672478DF177D266B5282CE196C166EDEB554EA34291E26D,8D1280BF8E170787B7D6C883E564FB2733E9A918131B143BE90D1FE86110205E,3531,3532,focused,superseded_after_r2_fresh_independent_fail,internal_not_for_release,rights_gated_french_source_evidence,false,historical record preserved; superseded by SGA2-X-L3522-L3530-L36P-PAGE104-TEXT@3 after full-page104 correction
