"branch_head","language_or_bucket","source_area","extension","file_count","total_bytes","source_use_label"
"212dfb1c7728f7c23274714434aa35d590e1aab7","","ACTIVE_GOAL_VERBATIM.md",".md","1","1167","audit-ledger-or-package-support"
"212dfb1c7728f7c23274714434aa35d590e1aab7","","ACTIVE_SESSION_STATE.md",".md","1","1247","audit-ledger-or-package-support"
"212dfb1c7728f7c23274714434aa35d590e1aab7","","BLOCKERS.csv",".csv","1","60626","audit-ledger-or-package-support"
"212dfb1c7728f7c23274714434aa35d590e1aab7","","FABLE_REQUIREMENTS_ACKNOWLEDGED_20260705.md",".md","1","3272","audit-ledger-or-package-support"
"212dfb1c7728f7c23274714434aa35d590e1aab7","","generated-draft",".csv","7","15521","generated-draft/noncanonical"
"212dfb1c7728f7c23274714434aa35d590e1aab7","","generated-draft",".md","1","1284","generated-draft/noncanonical"
"212dfb1c7728f7c23274714434aa35d590e1aab7","","HEARTBEAT_20260705.md",".md","1","969","audit-ledger-or-package-support"
"212dfb1c7728f7c23274714434aa35d590e1aab7","","LOGBOOK_EXCERPT.md",".md","1","2109","audit-ledger-or-package-support"
"212dfb1c7728f7c23274714434aa35d590e1aab7","","MANIFEST.csv",".csv","1","474351","audit-ledger-or-package-support"
"212dfb1c7728f7c23274714434aa35d590e1aab7","","pointer-only",".html","2","1348825","audit-ledger-or-package-support"
"212dfb1c7728f7c23274714434aa35d590e1aab7","","README.md",".md","1","7114","audit-ledger-or-package-support"
"212dfb1c7728f7c23274714434aa35d590e1aab7","","SESSION_LOGBOOK_20260705.md",".md","1","37676","audit-ledger-or-package-support"
"212dfb1c7728f7c23274714434aa35d590e1aab7","","SHA256SUMS.txt",".txt","1","53304","audit-ledger-or-package-support"
"212dfb1c7728f7c23274714434aa35d590e1aab7","","SOURCE_USE_LABELS.csv",".csv","1","1222","audit-ledger-or-package-support"
"212dfb1c7728f7c23274714434aa35d590e1aab7","audit","generated-draft",".csv","22","95036","generated-draft/noncanonical"
