"branch_head","prior_branch_head","language","bcp47","hard_row","prior_gate","search_result","hit_count","blocker_state_after_212dfb","next_action","recovery_target","boundary"
"212dfb1c7728f7c23274714434aa35d590e1aab7","c7fb7e644e04102b67cc5da379ba9d4226feaef8","Azerbaijani","az","L-NOETHERIAN-RING","pointer-only/recovery-required","neighbor-or-name-hit-does-not-close-without-exact-ring-context","3","blocker-or-review-gate-preserved","review exact context window against source-use/adverse gates; no promotion","recover exact Azerbaijani Noetherian-ring source row","212dfb continuation does not promote or close this row without exact local source row or reviewer return"
"212dfb1c7728f7c23274714434aa35d590e1aab7","c7fb7e644e04102b67cc5da379ba9d4226feaef8","Azerbaijani","az","L-POLYNOMIAL-RING","normalization-or-exact-context-required","hits-require-source-use-review","2","blocker-or-review-gate-preserved","review exact context window against source-use/adverse gates; no promotion","confirm exact Azerbaijani polynomial-ring formula context","212dfb continuation does not promote or close this row without exact local source row or reviewer return"
"212dfb1c7728f7c23274714434aa35d590e1aab7","c7fb7e644e04102b67cc5da379ba9d4226feaef8","Kazakh","kk","L-NOETHERIAN-RING","adverse-evidence-required","adverse-title-comparator-check-hit-not-support","12","blocker-or-review-gate-preserved","review exact context window against source-use/adverse gates; no promotion","exclude title/comparator-only Kazakh Noetherian-ring evidence","212dfb continuation does not promote or close this row without exact local source row or reviewer return"
"212dfb1c7728f7c23274714434aa35d590e1aab7","c7fb7e644e04102b67cc5da379ba9d4226feaef8","Kyrgyz","ky","L-NOETHERIAN-RING","pointer-only/recovery-required","still-zero-row-or-no-text-context-hit","0","blocker-or-review-gate-preserved","continue source-body/OCR/current-source recovery","recover exact Kyrgyz Noetherian-ring source row","212dfb continuation does not promote or close this row without exact local source row or reviewer return"
"212dfb1c7728f7c23274714434aa35d590e1aab7","c7fb7e644e04102b67cc5da379ba9d4226feaef8","Kyrgyz","ky","L-POLYNOMIAL-RING","pointer-only/recovery-required","neighbor-or-name-hit-does-not-close-without-exact-ring-context","23","blocker-or-review-gate-preserved","review exact context window against source-use/adverse gates; no promotion","recover exact Kyrgyz polynomial-ring formula row","212dfb continuation does not promote or close this row without exact local source row or reviewer return"
"212dfb1c7728f7c23274714434aa35d590e1aab7","c7fb7e644e04102b67cc5da379ba9d4226feaef8","Bashkir","ba","L-POLYNOMIAL-RING","normalization-or-exact-context-required","bashkir-register-split-context-hit-review-needed","25","blocker-or-review-gate-preserved","review exact context window against source-use/adverse gates; no promotion","reconcile Bashkir polynomial-ring qulsa/baldaq split","212dfb continuation does not promote or close this row without exact local source row or reviewer return"
"212dfb1c7728f7c23274714434aa35d590e1aab7","c7fb7e644e04102b67cc5da379ba9d4226feaef8","Uzbek","uz","L-NOETHERIAN-RING","pointer-only/recovery-required","neighbor-or-name-hit-does-not-close-without-exact-ring-context","9","blocker-or-review-gate-preserved","review exact context window against source-use/adverse gates; no promotion","recover exact Uzbek Noetherian-ring source row","212dfb continuation does not promote or close this row without exact local source row or reviewer return"
"212dfb1c7728f7c23274714434aa35d590e1aab7","c7fb7e644e04102b67cc5da379ba9d4226feaef8","Uzbek","uz","L-POLYNOMIAL-RING","normalization-or-exact-context-required","alternate-uzbek-context-hit-review-needed","25","blocker-or-review-gate-preserved","review exact context window against source-use/adverse gates; no promotion","recover alternate Uzbek text context after prior no-hit","212dfb continuation does not promote or close this row without exact local source row or reviewer return"
"212dfb1c7728f7c23274714434aa35d590e1aab7","c7fb7e644e04102b67cc5da379ba9d4226feaef8","Turkmen","tk","L-NOETHERIAN-RING","pointer-only/recovery-required","still-zero-row-or-no-text-context-hit","0","blocker-or-review-gate-preserved","continue source-body/OCR/current-source recovery","recover exact Turkmen Noetherian-ring source row","212dfb continuation does not promote or close this row without exact local source row or reviewer return"
"212dfb1c7728f7c23274714434aa35d590e1aab7","c7fb7e644e04102b67cc5da379ba9d4226feaef8","Turkmen","tk","L-POLYNOMIAL-RING","pointer-only/recovery-required","neighbor-or-name-hit-does-not-close-without-exact-ring-context","12","blocker-or-review-gate-preserved","review exact context window against source-use/adverse gates; no promotion","recover exact Turkmen polynomial-ring source row","212dfb continuation does not promote or close this row without exact local source row or reviewer return"
"212dfb1c7728f7c23274714434aa35d590e1aab7","c7fb7e644e04102b67cc5da379ba9d4226feaef8","Tatar","tt","L-NOETHERIAN-RING","pointer-only/recovery-required","neighbor-or-name-hit-does-not-close-without-exact-ring-context","3","blocker-or-review-gate-preserved","review exact context window against source-use/adverse gates; no promotion","recover exact Tatar Noetherian-ring source row","212dfb continuation does not promote or close this row without exact local source row or reviewer return"
"212dfb1c7728f7c23274714434aa35d590e1aab7","c7fb7e644e04102b67cc5da379ba9d4226feaef8","Tatar","tt","L-POLYNOMIAL-RING","pointer-only/recovery-required","neighbor-or-name-hit-does-not-close-without-exact-ring-context","25","blocker-or-review-gate-preserved","review exact context window against source-use/adverse gates; no promotion","recover exact Tatar polynomial-ring source row","212dfb continuation does not promote or close this row without exact local source row or reviewer return"
