transition_row_id,source_canon_status,covered_source_witness_ids,linked_session_k_rows,topic_scope,draft_action,target_rendering_handling,source_context_note_seed,term_alternative_prompts,formula_neighboring_usage_note,interlinear_or_semiconstructed_scaffold,owner_route,gap_or_blocker,non_claim_boundary,session_k_target_language_translations_created,session_k_approvals_recorded,git_push_by_session_k
K-TRN-001,covered_for_support_scaffold,K-SCW-001,K-RF-PTR-001; K-DSP-001; K-RFSB-011,proof reading and definition use,begin draft support scaffold for proof-literacy packets,language owner supplies target rendering after its own source baseline is sufficient,"Mark whether a sentence invokes a definition, proves a claim, or checks a hypothesis; no source prose copied.","proof / demonstration / argument; definition / defining condition; assumption / hypothesis","Use near implication, iff, forall, exists, and named definition references without copying source examples.",DEF_USE: given definition + instantiated variables -> required conclusion,proof-literacy/source-policy owner plus requesting language owner,exact excerpt selection and reviewer/source return absent,draft scaffold only; not native-reviewed; not accepted terminology; not completion,0,0,false
K-TRN-002,covered_for_support_scaffold,K-SCW-001; K-SCW-002,K-RF-PTR-002; K-SLOT-RET-001; K-SLOT-RET-002,sets membership subset equality,begin draft support scaffold for set-language rows,language owner supplies target rendering after its own source baseline is sufficient,"Separate object membership, set inclusion, and set equality before any local term choice.","membership / belongs-to; subset / inclusion; equality / same-set","Use near x in A, A subset B, A = B, empty set, union, and intersection notation.",SET_REL: object -> membership test -> set relation -> equality/inclusion claim,requesting language owner plus Session D only for ownerless construction method,no approved excerpt list or source-policy return,draft scaffold only; no source text; no accepted local terms,0,0,false
K-TRN-003,covered_for_support_scaffold,K-SCW-001; K-SCW-002; K-SCW-004,K-RF-PTR-004; K-SLOT-RET-001 through K-SLOT-RET-005,relation/function boundary,begin draft support scaffold for relation-like and function-like slots,language owner supplies target rendering after its own source baseline is sufficient,"Distinguish arbitrary relation, ordered-pair membership, and function uniqueness before choosing surface wording.","relation / correspondence / association; function / map / assignment; graph / set of ordered pairs","Use near R subset A x B, (a,b) in R, f:A->B, and uniqueness of output for each input.",REL_FUN: input set + relation graph + uniqueness condition -> function reading,relation/function core plus requesting language owner; Session D for ownerless method issues,scan rows are pointers and not selected excerpts,draft scaffold only; no bridge surface accepted,0,0,false
K-TRN-004,covered_for_support_scaffold,K-SCW-002; K-SCW-003; K-SCW-004,K-RF-PTR-003; K-SLOT-RET-006 through K-SLOT-RET-009,domain codomain range image,begin draft support scaffold for domain/codomain/range packet rows,language owner supplies target rendering after its own source baseline is sufficient,"Keep input set, declared output set, and actually attained values separate.","domain / source set; codomain / target set; range / image / actual outputs","Use near f:A->B, f(a), image f[A], range(f), and outside-domain tests.",DOM_COD_RNG: declared input -> declared output -> actual image -> boundary case,requesting language owner plus source-policy owner,license reconciliation and reviewer-scope return required before source use beyond pointer,draft scaffold only; no license clearance; no mapping decision,0,0,false
K-TRN-005,covered_for_support_scaffold,K-SCW-002; K-SCW-003; K-SCW-004,K-RF-PTR-005; K-SLOT-RET-010 through K-SLOT-RET-013,injective surjective bijective family,begin draft support scaffold for function-property rows,language owner supplies target rendering after its own source baseline is sufficient,"Separate one-to-one input distinction, onto codomain coverage, and two-sided bijective status.","injective / one-to-one; surjective / onto; bijective / one-to-one correspondence","Use near f(x)=f(y) implies x=y, for every b in B exists a in A, and inverse-existence contexts.",PROP_FUN: equality of outputs -> input equality; codomain element -> preimage witness; both -> bijection,requesting language owner plus relation/function core owner,property-family reviewer return absent,draft scaffold only; no accepted terminology,0,0,false
K-TRN-006,covered_for_support_scaffold,K-SCW-002; K-SCW-003; K-SCW-008,K-RF-PTR-006; K-RF-PTR-007,relation properties equivalence order poset,begin draft support scaffold for relation-property and order rows,language owner supplies target rendering after its own source baseline is sufficient,"Separate property names from the formula pattern that witnesses each property.","reflexive / self-related; symmetric / reversible; antisymmetric / order-like; transitive / composable; equivalence relation; partial order","Use near aRa, aRb -> bRa, aRb and bRa -> a=b, and aRb and bRc -> aRc.",REL_PROP: relation R + local formula pattern -> named property -> structure label,relation/function core; algebra owner for advanced rows; Session D if construction method is ownerless,GFDL packet separation and algebra-owner review required for AATA extension,draft scaffold only; no algebra term promotion,0,0,false
K-TRN-007,covered_for_support_scaffold,K-SCW-002,K-RF-PTR-008; K-SLOT-RET-014 through K-SLOT-RET-017,composition inverse arrow reading,begin draft support scaffold for notation and operation rows,language owner supplies target rendering after its own source baseline is sufficient,"Distinguish function name, application, arrow reading, maps-to reading, composition order, and inverse relation/function.","maps to / sends to; application / value at; composition / followed by; inverse / inverse map / inverse relation","Use near f:A->B, x |-> f(x), (g o f)(x), f^{-1}, and identity maps.",ARROW_OP: named map + input + output reading -> composition/inverse operation,requesting language owner plus Session D for ownerless operation-slot questions,first packet must explicitly include operation language before use,draft scaffold only; no construction decision,0,0,false
K-TRN-008,covered_for_support_scaffold,K-SCW-001; K-SCW-002,K-RF-PTR-009,finite infinite equinumerosity,begin draft support scaffold for size and correspondence rows,language owner supplies target rendering after its own source baseline is sufficient,"Separate finite counting language, infinite set language, and same-size-via-bijection language.","finite / finite set; infinite / non-finite; equinumerous / same cardinality; correspondence / bijection","Use near |A|, |B|, bijection A<->B, countability, and finite/infinite boundary statements.",SIZE_EQ: set A + set B + bijection/counting witness -> size comparison,requesting language owner plus source-policy owner,separate finite/infinite scope sidecar still required,draft scaffold only; no completion or accepted surface,0,0,false
K-TRN-009,covered_for_context_scaffold_only,K-SCW-005,K-DSP-007; K-RFSB-013 through K-RFSB-016,OpenIntro numeracy to function bridge,begin draft context scaffold for public numeracy/function-language rows,language owner supplies target rendering after its own source baseline is sufficient,"Treat percent, rate, proportion, table, graph, average, spread, risk, and uncertainty as function-neighboring contexts rather than relation/function definitions.","rate / ratio / proportion; table / graph; variable / input / output; average / spread; probability / risk","Use near y=f(x), table columns, graph axes, rate per unit, expected/average values, and probability notation.",NUM_FUNC: real-world input -> table/graph/model -> output/summary -> interpretation,OpenIntro numeracy owner plus requesting language owner,share-alike attribution plan and owner acceptance missing; no mapping authorization,draft context scaffold only; no mapping decision; no license clearance,0,0,false
K-TRN-010,covered_for_extension_scaffold_only,K-SCW-007; K-SCW-008,K-DSP-005; K-DSP-006; K-RFSB-018,linear map and abstract algebra extension,begin draft extension scaffold for higher algebra rows,language owner supplies target rendering after its own source baseline is sufficient,"Use only as an extension scaffold after relation/function basics are stable.","linear map / transformation; homomorphism / structure-preserving map; kernel / image; equivalence class","Use near T:V->W, T(u+v), phi:G->H, kernel, image, quotient, and equivalence class notation.",ALG_MAP: structured domain + structure-preserving rule -> image/kernel/equivalence consequence,R3/algebra source owner plus requesting language owner,GFDL packet separation and compatibility plan required,draft extension scaffold only; no package text reuse; no term promotion,0,0,false
