gap_id,support_gap,covering_artifact,linked_lane_output,status,remaining_blocker,owner_route,source_text_or_excerpt_files,mapping_decisions,translations_created,approvals_recorded
K-GAP-001,durable state missing for week-long continuation,SESSION_K_DURABLE_RUN_LOG_20260704,all Session K outputs,recorded,none for state preservation,Session K,0,0,0,0
K-GAP-002,support templates not tied to actual lane outputs,SESSION_K_ACTUAL_LANE_OUTPUT_BINDING_MATRIX_20260704,non-Slavic; French/Japanese; OLP/DMOI; OpenTranslation; OpenIntro; package148,recorded,requires Session B packaging if desired,Session B,0,0,0,0
K-GAP-003,corpus translation lanes need direct relation/function draft source pointers,SESSION_K_CORPUS_TRANSLATION_DRAFT_SOURCE_POINTERS_20260704,OPEN_RELATION_FUNCTION_TRANSLATION_SOURCE_CANDIDATE_SHELF_20260702T131500Z,recorded,exact edition/license sidecars still needed before source use,source-policy owner lanes,0,0,0,0
K-GAP-004,review-form slots not tied to lane outputs,SESSION_K_REVIEW_FORM_SLOT_BINDINGS_TO_LANE_OUTPUTS_20260704,French/Japanese; non-Slavic; proof-literacy; OpenIntro; router; Malay-Indonesian,recorded,owner returns required before use,language owner lanes and source-policy owners,0,0,0,0
K-GAP-005,Session B lacks package-consumption map,SESSION_K_SESSION_B_PACKAGE_CONSUMPTION_SIDECAR_20260704,Session K output bundle,recorded,Session B must decide package/push,Session B,0,0,0,0
K-GAP-006,zero-gate policy needed across language and method routing,SESSION_K_ROUTING_ZERO_GATE_POLICY_20260704,all language-specific or ownerless method paths,recorded,direct evidence required to change counts,language owners or Session D,0,0,0,0
K-GAP-007,package-148 slot semantics needed in reusable lane support,SESSION_K_REVIEW_ONLY_SLOT_RETURN_LEDGER_TEMPLATE_20260704,SEMI_CONSTRUCTED_RELATION_FUNCTION_REVIEW_ONLY_SLOT_RETURN_LEDGER_TEMPLATE_20260703T071500Z,recorded,dated returns required before sidecar promotion,language owner lane plus Session D if ownerless,0,0,0,0
K-GAP-008,reviewer return intake shell needed without accepting returns,SESSION_K_REVIEWER_RETURN_INTAKE_TEMPLATE_20260704,OLP/DMOI reviewer-scope ledger pattern,recorded,dated non-personal return and authority class required,review owner lane,0,0,0,0
K-GAP-009,OpenIntro numeracy mapping frontier must stay visible but inactive,SESSION_K_ACTUAL_LANE_OUTPUT_BINDING_MATRIX_20260704,OPEN_TRANSLATION_OPENINTRO_NUMERACY_NORMALIZATION_MAPPING_GATE_FRONTIER_INDEX_20260703T141500Z,recorded,mapping returns/decisions/authorizations still zero,OpenIntro numeracy owner,0,0,0,0
K-GAP-010,French/Japanese context notes risk accidental reviewer-packet population,SESSION_K_REVIEW_FORM_SLOT_BINDINGS_TO_LANE_OUTPUTS_20260704,CONTEXT_NOTE_CONFIRMATION_RETURN_LEDGER_TEMPLATE_FRENCH_JAPANESE_20260703,recorded,confirmation returns and applied-return artifact required,French and Japanese owners,0,0,0,0
K-GAP-011,non-Slavic manual/source review lanes need relation/function support route,SESSION_K_REVIEW_FORM_SLOT_BINDINGS_TO_LANE_OUTPUTS_20260704,NOETHER_NON_SLAVIC_INTERLANGUAGE_FRONTIER_AUDIT_20260703,recorded,manual/source review owner returns required,Session C and language owners,0,0,0,0
K-GAP-012,Malay-Indonesian operator/function support must not be absorbed by Session K,SESSION_K_ACTUAL_LANE_OUTPUT_BINDING_MATRIX_20260704,MALAY_INDONESIAN_OPERATOR_SLOT_FUNCTION_DOMAIN_RETURN_LEDGER_TEMPLATE_V2_20260701T091500Z,recorded,language owner review remains external to Session K,Session G / Malay-Indonesian lane,0,0,0,0
K-GAP-013,source text and excerpt prohibition must be package-visible,SESSION_K_PACKAGE_COMPATIBLE_SIDECAR_MANIFEST_20260704; SESSION_K_SESSION_B_PACKAGE_CONSUMPTION_SIDECAR_20260704,all Session K payloads,recorded,none unless future evidence changes gate,Session K and Session B,0,0,0,0
K-GAP-014,known OLP/relation-function support gaps unrecorded,SESSION_K_SUPPORT_GAP_CLOSURE_REGISTER_20260704,all known support gaps,closed_as_recorded,no unrecorded known support gap after this register,Session K,0,0,0,0
