"active_row_id","bucket","source_canon_evidence","covered_or_gap_source_rows","topic_scope","source_or_parent_urls","local_paths","hash_or_gap","license_or_access_signal","target_language_witness_output","draft_target_rendering_anchor","source_context_note","term_alternatives_register_notes","formula_neighboring_usage_note","interlanguage_scaffold","owner_route","b3_package_request","non_claim_boundary"
"K-TRN-001","source_canon_sufficient_for_scoped_draft_support","Open Logic Project source witness and local hash evidence from Session K witness register","K-SCW-001","proof reading and definition use","https://github.com/OpenLogicProject/OpenLogic/ ; https://openlogicproject.org/download/","C:\Users\memo_\Documents\Codex\2026-06-29\files-mentioned-by-the-user-worked\work\OpenLogic","git_head_9f12419d4971165f2fd4ff8cfee95c8dc8b1d019","CC_BY_4_0 signal from repo and project download page","none_created_by_session_k; language owner supplies target-language witness/rendering","owner-filled rendering for definition-use proof step","Classify whether the sentence uses a definition, proves a claim, or checks a hypothesis; do not copy source prose.","proof/demonstration/argument; definition/defining condition; assumption/hypothesis","Use near implication, iff, forall, exists, and named definition references.","DEF_USE: definition + instantiated variables -> required conclusion","proof-literacy/source-policy owner plus requesting language owner","package as covered draft support scaffold row","draft support only; not native review; not accepted terminology; translations_created_by_session_k=0"
"K-TRN-002","source_canon_sufficient_for_scoped_draft_support","Open Logic Project source and relation/function subtree witness rows","K-SCW-001; K-SCW-002","sets membership subset equality","https://github.com/OpenLogicProject/OpenLogic/tree/master/content/sets-functions-relations","C:\Users\memo_\Documents\Codex\2026-06-29\files-mentioned-by-the-user-worked\work\OpenLogic\content\sets-functions-relations","sets-functions-relations.tex sha256 62C683BA88DF4742CBEF61369A755FBAE8DD53E2173D5F3D1B8A9FC675F27538; functions.tex sha256 CE481E97A8F301C749D1461326B4EE3D0792B4ADC15A1FCEB7C6ED3B58CECA54; relations.tex sha256 69E7B017E60673C488D1EC98C186ED0986BC1489B8554F848C95C189AF5C9E54","CC_BY_4_0 signal from parent repo","none_created_by_session_k; owner lane supplies target-language source witness","owner-filled rendering for membership, inclusion, equality","Separate object membership, set inclusion, and set equality before local term choice.","membership/belongs-to; subset/inclusion; equality/same-set","Use near x in A, A subset B, A = B, empty set, union, intersection.","SET_REL: object -> membership test -> set relation -> equality/inclusion claim","requesting language owner plus Session D only for ownerless construction method","package as covered draft support scaffold row","draft support only; no source text; no accepted local terms"
"K-TRN-003","source_canon_sufficient_for_scoped_draft_support","Open Logic relation/function subtree plus DMOI coordinate scan metadata","K-SCW-001; K-SCW-002; K-SCW-004","relation/function boundary","https://github.com/OpenLogicProject/OpenLogic/tree/master/content/sets-functions-relations ; https://github.com/oscarlevin/discrete-book/tree/edition/source","C:\Users\memo_\Documents\Codex\2026-06-29\files-mentioned-by-the-user-worked\work\OpenLogic\content\sets-functions-relations ; C:\Users\memo_\Documents\Codex\2026-06-29\files-mentioned-by-the-user-worked\outputs\source_cache\dmoi_exact_edition_license_20260630T070010Z\edition_source_82336dc87d77c3f18d2cdbc8ec1e74eb3ba38799","DMOI scan rows sha256 63147BEA383059E1F4214A3A1BA16E813F54DF15BD626733F376D779D8D4828C; file summaries sha256 044BDE93019E9D283B30D582ED29F3F726D02A80505C7F521D9CA116233B03E6","CC_BY_4_0 for OLP; CC_BY_NC_SA_4_0 signal for DMOI cache","none_created_by_session_k; target-language source witnesses remain owner-lane work","owner-filled rendering for relation/function distinction","Distinguish arbitrary relation, ordered-pair membership, and function uniqueness before wording.","relation/correspondence/association; function/map/assignment; graph/set of ordered pairs","Use near R subset A x B, (a,b) in R, f:A->B, and uniqueness of output.","REL_FUN: input set + relation graph + uniqueness condition -> function reading","relation/function core plus requesting language owner; Session D for ownerless method issues","package as covered draft support scaffold row","draft support only; no bridge surface accepted"
"K-TRN-004","source_canon_sufficient_for_scoped_draft_support","Open Logic relation/function subtree and DMOI source cache","K-SCW-002; K-SCW-003; K-SCW-004","domain codomain range image","https://github.com/oscarlevin/discrete-book/ ; https://discrete.openmathbooks.org/","C:\Users\memo_\Documents\Codex\2026-06-29\files-mentioned-by-the-user-worked\outputs\source_cache\dmoi_exact_edition_license_20260630T070010Z","edition_source_commit_82336dc87d77c3f18d2cdbc8ec1e74eb3ba38799; cache_manifest sha256 35CBCE00670E62CAC676D9ACCE6E38A6669923ABBB84DE5A40615F69D8491B79","CC_BY_NC_SA_4_0 signal from cached DMOI license deed","none_created_by_session_k; owner lane supplies target-language witness","owner-filled rendering for domain, codomain, range, image","Keep input set, declared output set, and actually attained values separate.","domain/source set; codomain/target set; range/image/actual outputs","Use near f:A->B, f(a), image f[A], range(f), and outside-domain tests.","DOM_COD_RNG: declared input -> declared output -> actual image -> boundary case","requesting language owner plus source-policy owner","package as covered draft support scaffold row","draft support only; no license clearance; no mapping decision"
"K-TRN-005","source_canon_sufficient_for_scoped_draft_support","Open Logic and DMOI covered source witnesses","K-SCW-002; K-SCW-003; K-SCW-004","injective surjective bijective family","https://github.com/oscarlevin/discrete-book/ ; https://github.com/OpenLogicProject/OpenLogic/","local OLP and DMOI paths recorded in K-SCW-002 through K-SCW-004","same covered source hashes as K-SCW-002 through K-SCW-004","CC_BY_4_0 OLP signal; CC_BY_NC_SA_4_0 DMOI signal","none_created_by_session_k; owner lane supplies target-language witness","owner-filled rendering for injective, surjective, bijective","Separate one-to-one input distinction, onto codomain coverage, and two-sided bijective status.","injective/one-to-one; surjective/onto; bijective/one-to-one correspondence","Use near f(x)=f(y) implies x=y, every b in B has a preimage, and inverse-existence contexts.","PROP_FUN: output equality -> input equality; codomain element -> preimage witness; both -> bijection","requesting language owner plus relation/function core owner","package as covered draft support scaffold row","draft support only; no accepted terminology"
"K-TRN-006","source_canon_sufficient_for_scoped_draft_support","Open Logic relation/function subtree plus AATA algebra extension witness","K-SCW-002; K-SCW-003; K-SCW-008","relation properties equivalence order poset","https://github.com/twjudson/aata ; https://judsonbooks.org/abstract-algebra-theory-and-applications/","C:\Users\memo_\Documents\Codex\2026-06-29\files-mentioned-by-the-user-worked\outputs\source_cache\aata_gfdl_exact_commit_20260630T071615Z","master_commit_8ec4c7df3d70975110143da0aefb5157bfdcf746; COPYING sha256 B7D47749512A424173F6A20DAEEA7B00F36B9F5EF95C25930FDBC3BD549B8983","GFDL signal from repo README and COPYING cache; compatibility plan still required","none_created_by_session_k; owner lane supplies target-language witness","owner-filled rendering for relation property family","Separate property names from the formula pattern that witnesses each property.","reflexive/self-related; symmetric/reversible; antisymmetric/order-like; transitive/composable; equivalence relation; partial order","Use near aRa, aRb -> bRa, aRb and bRa -> a=b, and aRb and bRc -> aRc.","REL_PROP: relation R + local formula pattern -> named property -> structure label","relation/function core; algebra owner for advanced rows; Session D if construction method is ownerless","package as covered draft support scaffold row","draft support only; no algebra term promotion; no license clearance"
"K-TRN-007","source_canon_sufficient_for_scoped_draft_support","Open Logic relation/function subtree source witness","K-SCW-002","composition inverse arrow reading","https://github.com/OpenLogicProject/OpenLogic/tree/master/content/sets-functions-relations","C:\Users\memo_\Documents\Codex\2026-06-29\files-mentioned-by-the-user-worked\work\OpenLogic\content\sets-functions-relations","source file hashes recorded in K-SCW-002","CC_BY_4_0 signal from parent repo","none_created_by_session_k; owner lane supplies target-language witness","owner-filled rendering for maps-to, application, composition, inverse","Distinguish function name, application, arrow reading, maps-to reading, composition order, and inverse relation/function.","maps to/sends to; application/value at; composition/followed by; inverse/inverse map/inverse relation","Use near f:A->B, x |-> f(x), (g o f)(x), f^{-1}, and identity maps.","ARROW_OP: named map + input + output reading -> composition/inverse operation","requesting language owner plus Session D for ownerless operation-slot questions","package as covered draft support scaffold row","draft support only; no construction decision"
"K-TRN-008","source_canon_sufficient_for_scoped_draft_support","Open Logic source witnesses","K-SCW-001; K-SCW-002","finite infinite equinumerosity","https://github.com/OpenLogicProject/OpenLogic/ ; https://github.com/OpenLogicProject/OpenLogic/tree/master/content/sets-functions-relations","local OLP paths recorded in K-SCW-001 and K-SCW-002","git head and source file hashes recorded in K-SCW-001 and K-SCW-002","CC_BY_4_0 signal from repo and project download page","none_created_by_session_k; owner lane supplies target-language witness","owner-filled rendering for finite, infinite, equinumerous","Separate finite counting language, infinite set language, and same-size-via-bijection language.","finite/finite set; infinite/non-finite; equinumerous/same cardinality; correspondence/bijection","Use near |A|, |B|, bijection A<->B, countability, and finite/infinite boundary statements.","SIZE_EQ: set A + set B + bijection/counting witness -> size comparison","requesting language owner plus source-policy owner","package as covered draft support scaffold row","draft support only; no completion or accepted surface"
"K-TRN-009","source_canon_sufficient_for_scoped_draft_support","OpenIntro IMS2 source cache and license cache","K-SCW-005","OpenIntro numeracy to function bridge","https://github.com/OpenIntroStat/ims ; https://www.openintro.org/license/","C:\Users\memo_\Documents\Codex\2026-06-29\files-mentioned-by-the-user-worked\outputs\source_cache\openintro_ims2","github_ims_index_qmd_at_b88f367a sha256 E0745BF7528B494B188E7E62AD86D0322A4CA8A9271A439319372652A8E52117; openintro_license_page sha256 0308B35457E00BF873ED5BAEF6B60C5C0DB91C748042EC9DF21463DBF9B104A7","CC_BY_SA_3_0 signal from OpenIntro license page; attribution plan still missing","none_created_by_session_k; owner lane supplies target-language witness","owner-filled rendering for numeracy/function-neighboring contexts","Treat percent, rate, proportion, table, graph, average, spread, risk, and uncertainty as function-neighboring contexts rather than definitions.","rate/ratio/proportion; table/graph; variable/input/output; average/spread; probability/risk","Use near y=f(x), table columns, graph axes, rate per unit, expected or average values, and probability notation.","NUM_FUNC: real-world input -> table/graph/model -> output/summary -> interpretation","OpenIntro numeracy owner plus requesting language owner","package as covered draft context scaffold row","draft context scaffold only; no mapping decision; no license clearance"
"K-TRN-010","source_canon_sufficient_for_scoped_draft_support","FCLA and AATA source caches for algebra extension only","K-SCW-007; K-SCW-008","linear map and abstract algebra extension","https://github.com/rbeezer/fcla ; https://linear.pugetsound.edu/ ; https://github.com/twjudson/aata","C:\Users\memo_\Documents\Codex\2026-06-29\files-mentioned-by-the-user-worked\outputs\source_cache\fcla_gfdl_exact_commit_20260630T070951Z ; C:\Users\memo_\Documents\Codex\2026-06-29\files-mentioned-by-the-user-worked\outputs\source_cache\aata_gfdl_exact_commit_20260630T071615Z","FCLA master_commit cef5ccf49497fa62205a4320b47a440642101e7d; FCLA COPYING sha256 A72BE10BE0249BDABDD319A3AFF491D7589876953A62FBD6521862C8D9C6D0DC; AATA master_commit 8ec4c7df3d70975110143da0aefb5157bfdcf746","GFDL signal from repo README/COPYING caches; packet separation required","none_created_by_session_k; owner lane supplies target-language witness","owner-filled rendering for linear map, homomorphism, kernel, image","Use only as an extension scaffold after relation/function basics are stable.","linear map/transformation; homomorphism/structure-preserving map; kernel/image; equivalence class","Use near T:V->W, T(u+v), phi:G->H, kernel, image, quotient, and equivalence class notation.","ALG_MAP: structured domain + structure-preserving rule -> image/kernel/equivalence consequence","R3/algebra source owner plus requesting language owner","package as covered draft extension scaffold row","draft extension scaffold only; no package text reuse; no term promotion"
