route_id,family,source_format_state,access_routing_allowed_now,next_authority_gate,blocked_outputs
R6-OCR-KR-001,Kreyol MIT-Ayiti,T2 exact HTML captures,"Internal page-structure notes, link integrity checks, language/register questions, accessibility-needs questions; no copied prose","Source-owner or qualified Kreyol STEM reviewer return plus reuse mode","excerpts; copied text; accepted terms; translation/adaptation; pilot"
R6-OCR-IA-001,Peru Quechua Central/Chanka/Aymara EIB,T2 exact PDF/text captures,"Internal OCR/text-layer audit, page-range locator notes, script/standard separation checks, reviewer question prep","Standard-specific source-authority, reuse, and crosswalk-scope return","macrostandard; crosswalk; excerpts; terms; translation; pilot"
R6-OCR-IA-002,Bolivia Quechua candidate,Candidate exact PDF plus unresolved math route,"Candidate-only OCR/metadata check for source identity, level, and accessibility issues","Bolivia Quechua/EIB source-owner or reviewer return; math-specific resolver closure","algebra authority; terms; crosswalk; excerpts; translation; pilot"
R6-OCR-IA-003,Other Indigenous Americas,Route-only failed or error-payload rows,"No OCR until exact official source is captured; error payloads logged only as failures","Exact source capture and language-specific reviewer/source-owner route","family-level claims; source witness claims; terms; translation; pilot"
R6-OCR-CR-001,Creole/contact outside Kreyol,Mixed captures failures candidates and comparators,"OCR/accessibility only after exact named-language source capture; comparator OCR cannot become target support","Named-language source-owner or qualified reviewer return plus reuse mode","pan-creole register; lexifier substitution; terms; excerpts; translation; pilot"
R6-OCR-SL-001,ASL,Route/video pointers and page metadata,"Link integrity, source route, source-provided caption availability, and video accessibility questions only; no generated captions/stills/transcripts","Qualified ASL return plus media/reuse decision","accepted signs; copied media; derived stills; generated transcript; visual inventory; translation"
R6-OCR-SL-002,LSQ,Source/category/concept pointers and written French labels,"Category-priority and source-route accessibility questions only; source-provided captions/transcripts metadata if present","LSQ source-owner/reviewer/media return and grade/variant scope","accepted signs; copied media; visual inventory; translation"
R6-OCR-SL-003,DGS,API/source/video route metadata SWU fields and Goettingen pointers,"API field audit, route accessibility questions, SWU/variant policy questions, source-provided media metadata only","DGS source-owner/reviewer return plus SWU/variant/media decision","accepted signs/SWU rows; copied media; generated transcript; term/sign promotion"
R6-OCR-SL-004,International Sign,Policy/comparator source routes,"Accessibility policy and comparator routing only","Explicit cross-border support case with qualified review","operational technical lexicon; local sign replacement; one-sign-per-term table; pilot"
R6-OCR-OER-001,OLP/OpenIntro controls,Source-pointer controls,"License/accessibility planning only for future target-lane questions","Target lane, license mode, and reviewer route","copied prose/tables/figures/datasets; adaptation; translation; pilot"
