root_id,relative_path,parent_pdf_index_0based,bbox_fx0,bbox_fy0,bbox_fx1,bbox_fy1,render_parameter,generator_timestamp_utc,generator_tool,generator_label,generator_definition_sha256,generator_execution_sha256,description
claude_history,q16_rows.png,27,0.20,0.700,0.85,0.790,6000,2026-07-29T10:59:57.675Z,Bash,inline_session_command,6D0E059F18C534EEBC426AC041E26C2BBAF813ECEDE82666B081FF5167B1E09F,6D0E059F18C534EEBC426AC041E26C2BBAF813ECEDE82666B081FF5167B1E09F,two cohomology rows
claude_history,q18_521.png,29,0.05,0.545,0.95,0.605,6000,2026-07-29T10:59:57.675Z,Bash,inline_session_command,6D0E059F18C534EEBC426AC041E26C2BBAF813ECEDE82666B081FF5167B1E09F,6D0E059F18C534EEBC426AC041E26C2BBAF813ECEDE82666B081FF5167B1E09F,exact sequence 5.2.1
claude_history,r18_521.png,29,0.05,0.630,0.95,0.685,6200,2026-07-29T11:01:13.121Z,Bash,inline_session_command,BE26740386B3A878F3D17A7ABA7A44C6FE189EA05C3ABD0B7AE8F707E2666F06,BE26740386B3A878F3D17A7ABA7A44C6FE189EA05C3ABD0B7AE8F707E2666F06,adjacent exact sequence row
claude_history,v18_R.png,18,0.52,0.145,0.92,0.215,6000,2026-07-28T20:10:47.893Z,Bash,inline_session_command,1500FACAC2D36DA51914D10F27B3004E1A457C8967ED0F1C5D9DB45C34C77373,1500FACAC2D36DA51914D10F27B3004E1A457C8967ED0F1C5D9DB45C34C77373,right diagram crop
claude_history,x18_left.png,18,0.04,0.228,0.52,0.325,5200,2026-07-28T20:12:42.486Z,Bash,inline_session_command,D699A81068ED5FA06AAA28F49E46348C21834084D8046BF752740D69993A3E98,D699A81068ED5FA06AAA28F49E46348C21834084D8046BF752740D69993A3E98,left diagram crop
claude_history,x18_right.png,18,0.52,0.228,0.96,0.325,5200,2026-07-28T20:12:42.486Z,Bash,inline_session_command,D699A81068ED5FA06AAA28F49E46348C21834084D8046BF752740D69993A3E98,D699A81068ED5FA06AAA28F49E46348C21834084D8046BF752740D69993A3E98,right diagram crop
claude_history,x19_diag.png,19,0.20,0.315,0.75,0.405,5600,2026-07-28T20:16:12.699Z,Bash,inline_session_command,9CD8BA79E0E9C8DAF6FE3F5348D73EE1AD5205D16E6924F7C65F9BBC472EB71E,9CD8BA79E0E9C8DAF6FE3F5348D73EE1AD5205D16E6924F7C65F9BBC472EB71E,diagram crop
claude_history,y19_diag.png,19,0.22,0.495,0.78,0.625,5200,2026-07-28T20:17:05.722Z,Bash,inline_session_command,645852FFAC69163056AACCF502D331035C6CBB2153A8B550FE5790529AC57B40,645852FFAC69163056AACCF502D331035C6CBB2153A8B550FE5790529AC57B40,diagram crop
claude_current,z112_overk.png,112,0.14,0.694,0.42,0.720,9000,2026-07-30T10:09:44.144Z,Write,z112.py,96B8E50E2D9DF19A8D651285BF06202D759B9F3F301FA3AD04CAF8168647DCEE,E246AE3DA79138D5A3B81B090B85CE7AAF4E25EDB5037477611831B81A87BA50,ambiguous over-k mark
claude_current,z112_overk2.png,112,0.14,0.708,0.42,0.736,9000,2026-07-30T10:11:21.490Z,Bash,inline_session_command,3BF5D1FE1006A976C4402B79CD4515C1E0AA8A41702808EDDD25D80971F695C6,3BF5D1FE1006A976C4402B79CD4515C1E0AA8A41702808EDDD25D80971F695C6,second ambiguous over-k mark
claude_current,z329_bottom.png,329,0.30,0.565,0.78,0.685,9000,2026-07-30T16:25:22.759Z,Bash,inline_session_command,2C2BDB0F3D59B6436C41DBBD94566E2A1EA0257AE6BA82C15934417DE6D73045,2C2BDB0F3D59B6436C41DBBD94566E2A1EA0257AE6BA82C15934417DE6D73045,bottom formula and diagram region
claude_history,s51_sq2.png,51,0.28,0.615,0.75,0.715,5800,2026-07-29T11:16:04.420Z,Bash,inline_session_command,310332018D519888D91DBE386CE8F9623977062CA386C70A4496301C995B8728,310332018D519888D91DBE386CE8F9623977062CA386C70A4496301C995B8728,commutative square crop
