"relative_path","branch_manifest_bytes","branch_manifest_sha256","local_path","local_exists","local_bytes","local_sha256","bytes_match","sha256_match","source_use_label"
"B3_UPLOADER_READY_SUMMARY.csv","614","8f82b1abfc63baab117771dea177eff95c1ab26f528fa223142ebda6ce035bb3","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_2B1FED31_58566_7B77_BRANCH_VISIBILITY_AUDIT_20260706\R3_2B1FED31_58566_7B77_BRANCH_VISIBILITY_AUDIT_20260706_20260706T212349Z\B3_UPLOADER_READY_SUMMARY.csv","True","614","8f82b1abfc63baab117771dea177eff95c1ab26f528fa223142ebda6ce035bb3","True","True","branch-visible-r3-packet-hash-check"
"carried-forward-7b77-source-use-gap\B3_UPLOADER_READY_SUMMARY.csv","632","8723e8dd3da11695d6936f8fdf1064486b949c27cf7bd8335a83836b61fe2aab","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_2B1FED31_58566_7B77_BRANCH_VISIBILITY_AUDIT_20260706\R3_2B1FED31_58566_7B77_BRANCH_VISIBILITY_AUDIT_20260706_20260706T212349Z\carried-forward-7b77-source-use-gap\B3_UPLOADER_READY_SUMMARY.csv","True","632","8723e8dd3da11695d6936f8fdf1064486b949c27cf7bd8335a83836b61fe2aab","True","True","branch-visible-r3-packet-hash-check"
"carried-forward-7b77-source-use-gap\R3_7B77DA5B_BLOCKERS_AND_RECOVERY_ROWS.csv","857","0ed46693c210e8e9f1cf9bce4789ee8469f60bf1905a9a99c3c0d4cc9b70b8ce","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_2B1FED31_58566_7B77_BRANCH_VISIBILITY_AUDIT_20260706\R3_2B1FED31_58566_7B77_BRANCH_VISIBILITY_AUDIT_20260706_20260706T212349Z\carried-forward-7b77-source-use-gap\R3_7B77DA5B_BLOCKERS_AND_RECOVERY_ROWS.csv","True","857","0ed46693c210e8e9f1cf9bce4789ee8469f60bf1905a9a99c3c0d4cc9b70b8ce","True","True","branch-visible-r3-packet-hash-check"
"carried-forward-7b77-source-use-gap\R3_7B77DA5B_CARRIED_FORWARD_732B_SOURCE_USE_GAP_ROWS.csv","5857","31904f2d524855d7ed50a529a5383e90a1ecd2f669d5e8d32feb8947027f6839","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_2B1FED31_58566_7B77_BRANCH_VISIBILITY_AUDIT_20260706\R3_2B1FED31_58566_7B77_BRANCH_VISIBILITY_AUDIT_20260706_20260706T212349Z\carried-forward-7b77-source-use-gap\R3_7B77DA5B_CARRIED_FORWARD_732B_SOURCE_USE_GAP_ROWS.csv","True","5857","31904f2d524855d7ed50a529a5383e90a1ecd2f669d5e8d32feb8947027f6839","True","True","branch-visible-r3-packet-hash-check"
"carried-forward-7b77-source-use-gap\R3_7B77DA5B_INCOMING_WAKE_DEDUP.csv","745","00608b26b700e910cb3f294a67cb629f76d6a59d737b17ea0c3b1ef8d3051d56","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_2B1FED31_58566_7B77_BRANCH_VISIBILITY_AUDIT_20260706\R3_2B1FED31_58566_7B77_BRANCH_VISIBILITY_AUDIT_20260706_20260706T212349Z\carried-forward-7b77-source-use-gap\R3_7B77DA5B_INCOMING_WAKE_DEDUP.csv","True","745","00608b26b700e910cb3f294a67cb629f76d6a59d737b17ea0c3b1ef8d3051d56","True","True","branch-visible-r3-packet-hash-check"
"carried-forward-7b77-source-use-gap\R3_7B77DA5B_REVIEW_ONLY_BOUNDARY_ROWS.csv","691","ecc114d2178f9da0c2aa99986b05340e7faea94d0f012d127a984e0f58e085ae","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_2B1FED31_58566_7B77_BRANCH_VISIBILITY_AUDIT_20260706\R3_2B1FED31_58566_7B77_BRANCH_VISIBILITY_AUDIT_20260706_20260706T212349Z\carried-forward-7b77-source-use-gap\R3_7B77DA5B_REVIEW_ONLY_BOUNDARY_ROWS.csv","True","691","ecc114d2178f9da0c2aa99986b05340e7faea94d0f012d127a984e0f58e085ae","True","True","branch-visible-r3-packet-hash-check"
"carried-forward-7b77-source-use-gap\R3_7B77DA5B_SOURCE_USE_FACT_CHANGE_AUDIT.csv","1139","d5432baf53f393f66c8d2bc5d2ecd6ab387419b4faef1c53d300a7e78f2d6d7a","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_2B1FED31_58566_7B77_BRANCH_VISIBILITY_AUDIT_20260706\R3_2B1FED31_58566_7B77_BRANCH_VISIBILITY_AUDIT_20260706_20260706T212349Z\carried-forward-7b77-source-use-gap\R3_7B77DA5B_SOURCE_USE_FACT_CHANGE_AUDIT.csv","True","1139","d5432baf53f393f66c8d2bc5d2ecd6ab387419b4faef1c53d300a7e78f2d6d7a","True","True","branch-visible-r3-packet-hash-check"
"PACKAGE_VALIDATION.json","1083","a46bbe9d9509ef202154212ff53a33b93d4beb5c5ee93c521d1eb667e742353a","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_2B1FED31_58566_7B77_BRANCH_VISIBILITY_AUDIT_20260706\R3_2B1FED31_58566_7B77_BRANCH_VISIBILITY_AUDIT_20260706_20260706T212349Z\PACKAGE_VALIDATION.json","True","1083","a46bbe9d9509ef202154212ff53a33b93d4beb5c5ee93c521d1eb667e742353a","True","True","branch-visible-r3-packet-hash-check"
"R3_2B1FED31_BLOCKERS_AND_RECOVERY_ROWS.csv","595","83cdd25f3da1548bf22e9e5cca96be5d8f0d607df7782748aac14cdd20f88cf4","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_2B1FED31_58566_7B77_BRANCH_VISIBILITY_AUDIT_20260706\R3_2B1FED31_58566_7B77_BRANCH_VISIBILITY_AUDIT_20260706_20260706T212349Z\R3_2B1FED31_BLOCKERS_AND_RECOVERY_ROWS.csv","True","595","83cdd25f3da1548bf22e9e5cca96be5d8f0d607df7782748aac14cdd20f88cf4","True","True","branch-visible-r3-packet-hash-check"
"R3_2B1FED31_BRANCH_COMMITS_FROM_58566B83.csv","120","2808c13e77b1ec116ad9d362e017f0585df5bf5190778c31e82ae301ed0d43e1","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_2B1FED31_58566_7B77_BRANCH_VISIBILITY_AUDIT_20260706\R3_2B1FED31_58566_7B77_BRANCH_VISIBILITY_AUDIT_20260706_20260706T212349Z\R3_2B1FED31_BRANCH_COMMITS_FROM_58566B83.csv","True","120","2808c13e77b1ec116ad9d362e017f0585df5bf5190778c31e82ae301ed0d43e1","True","True","branch-visible-r3-packet-hash-check"
