work	authority_sha256	authority_page	printed_page	french_body_scope	english_marker	copy_matter_disposition	status
D015	22BD33F5D00EA962BA24996703CDDF74C4DCB09BF91050F0463036B5B38803CB	1	45	title; attribution; byline; introduction; rationality and unirationality begins	Authority physical page 1 / printed page 45	Bourbaki masthead, running identifier, and printed page number excluded; title/byline/body retained	PASS
D015	22BD33F5D00EA962BA24996703CDDF74C4DCB09BF91050F0463036B5B38803CB	2	46	diagrams (1.1) and (1.2); Definitions 1.3 and 1.4 begin	Authority physical page 2 / printed page 46	running header and printed page number excluded; both authority diagrams retained as image fallbacks	PASS
D015	22BD33F5D00EA962BA24996703CDDF74C4DCB09BF91050F0463036B5B38803CB	3	47	Definition 1.3 completes; mixed logical chain; Definition 1.4; Proposition 1.5; low-dimensional argument begins	Authority physical page 3 / printed page 47	running header and printed page number excluded; body retained	PASS
D015	22BD33F5D00EA962BA24996703CDDF74C4DCB09BF91050F0463036B5B38803CB	4	48	Castelnuovo--Enriques criterion; Proposition 2.1; cohomology diagram	Authority physical page 4 / printed page 48	running header and printed page number excluded; authority cohomology diagram retained as image fallback	PASS
D015	22BD33F5D00EA962BA24996703CDDF74C4DCB09BF91050F0463036B5B38803CB	5	49	Construction 2.2; Artin--Mumford torsion criterion; Clemens--Griffiths begins	Authority physical page 5 / printed page 49	running header and printed page number excluded; body retained	PASS
D015	22BD33F5D00EA962BA24996703CDDF74C4DCB09BF91050F0463036B5B38803CB	6	50	Clemens--Griffiths formulas and Theorem 2.4; Manin--Iskovski begins	Authority physical page 6 / printed page 50	running header and printed page number excluded; body retained	PASS
D015	22BD33F5D00EA962BA24996703CDDF74C4DCB09BF91050F0463036B5B38803CB	7	51	Theorem 2.5; Artin--Mumford example and conic-bundle construction begins	Authority physical page 7 / printed page 51	running header and printed page number excluded; body retained	PASS
D015	22BD33F5D00EA962BA24996703CDDF74C4DCB09BF91050F0463036B5B38803CB	8	52	construction conditions; discriminant; alpha/pi section diagram	Authority physical page 8 / printed page 52	running header and printed page number excluded; authority section diagram retained as image fallback	PASS
D015	22BD33F5D00EA962BA24996703CDDF74C4DCB09BF91050F0463036B5B38803CB	9	53	Lemma 3.1; double-cover local system; Lemma 3.3 and resolution begins	Authority physical page 9 / printed page 53	running header and printed page number excluded; body retained	PASS
D015	22BD33F5D00EA962BA24996703CDDF74C4DCB09BF91050F0463036B5B38803CB	10	54	fiber types; specialization diagram (3.4); Lemma 3.5 and Leray setup	Authority physical page 10 / printed page 54	running header and printed page number excluded; both authority diagrams retained as image fallbacks	PASS
D015	22BD33F5D00EA962BA24996703CDDF74C4DCB09BF91050F0463036B5B38803CB	11	55	Lemma 3.6; Leray exact sequences; E2 table; final construction begins	Authority physical page 11 / printed page 55	running header and printed page number excluded; authority E2 table retained as image fallback	PASS
D015	22BD33F5D00EA962BA24996703CDDF74C4DCB09BF91050F0463036B5B38803CB	12	56	final equations defining the conic bundle	Authority physical page 12 / printed page 56	running header and printed page number excluded; body retained	PASS
D015	22BD33F5D00EA962BA24996703CDDF74C4DCB09BF91050F0463036B5B38803CB	13	57	bibliography entries [1]--[11]	Authority physical page 13 / printed page 57	running header and printed page number excluded; bibliography retained	PASS
