authority_page	printed_page	french_tex_sha256	english_tex_sha256	french_marker	english_marker	high_risk_replay	translation_disposition	status
1	45	54652D76CE4C90EB853554D685420E30591A793462D3A5FDEE7418AFF213A495	9FF022FFC278BE27659C87823F83194902CF0BBB52C7E488374AB8EC7212CC49	exact title; bracketed attribution; byline; introduction	title and introduction independently translated	map notation a*, a_*, factorization, attribution checked	Body translated; Bourbaki masthead/running copy excluded in both editions	PASS
2	46	54652D76CE4C90EB853554D685420E30591A793462D3A5FDEE7418AFF213A495	9FF022FFC278BE27659C87823F83194902CF0BBB52C7E488374AB8EC7212CC49	diagrams (1.1),(1.2); definitions 1.3/1.4	same source-page marker; authority images reused	parentheses, typical-example reference, no added equivalence claim checked	Translated against frozen French; image labels receive restrained English key where needed	PASS
3	47	54652D76CE4C90EB853554D685420E30591A793462D3A5FDEE7418AFF213A495	9FF022FFC278BE27659C87823F83194902CF0BBB52C7E488374AB8EC7212CC49	Definition 1.3 completion through low-dimensional paragraph	same source-page marker and independent English text	(ii)=> (i) <=> (iii) => (iv) <=> (ii); [9] page-02 note; omitted inherited paragraph restored	Translated against frozen French	PASS
4	48	54652D76CE4C90EB853554D685420E30591A793462D3A5FDEE7418AFF213A495	9FF022FFC278BE27659C87823F83194902CF0BBB52C7E488374AB8EC7212CC49	Castelnuovo--Enriques and Proposition 2.1	same source-page marker and independent English text	P_a isomorphic P_2; printed Omega_X^1; blow-up isomorphism; cohomology diagram checked	Translated against frozen French; printed quirks identified in editorial note	PASS
5	49	54652D76CE4C90EB853554D685420E30591A793462D3A5FDEE7418AFF213A495	9FF022FFC278BE27659C87823F83194902CF0BBB52C7E488374AB8EC7212CC49	Construction 2.2 and Clemens--Griffiths opening	same source-page marker and independent English text	H3 torsion nonzero with parenthetical Z/(2); tensor cup-product domain checked	Translated against frozen French	PASS
6	50	54652D76CE4C90EB853554D685420E30591A793462D3A5FDEE7418AFF213A495	9FF022FFC278BE27659C87823F83194902CF0BBB52C7E488374AB8EC7212CC49	Clemens--Griffiths and Manin--Iskovski	same source-page marker and independent English text	Y''/Y'; printed diagramme 2.1; alpha and delta labels; principal series phrase checked	Translated against frozen French; printed cross-reference retained	PASS
7	51	54652D76CE4C90EB853554D685420E30591A793462D3A5FDEE7418AFF213A495	9FF022FFC278BE27659C87823F83194902CF0BBB52C7E488374AB8EC7212CC49	Theorem 2.5 and Artin--Mumford opening	same source-page marker and independent English text	delta(SxS), image under delta, printed Iskovski form checked	Translated against frozen French	PASS
8	52	54652D76CE4C90EB853554D685420E30591A793462D3A5FDEE7418AFF213A495	9FF022FFC278BE27659C87823F83194902CF0BBB52C7E488374AB8EC7212CC49	conic-bundle conditions and section diagram	same source-page marker and independent English text	Phi; X_s=f^{-1}(s); alpha/pi section; alpha(t) with pi(t)=s checked	Translated against frozen French; authority diagram reused	PASS
9	53	54652D76CE4C90EB853554D685420E30591A793462D3A5FDEE7418AFF213A495	9FF022FFC278BE27659C87823F83194902CF0BBB52C7E488374AB8EC7212CC49	Lemma 3.1 through resolution opening	same source-page marker and independent English text	C_i* not C_1*; trace quotation; printed résoud; beta label and smoothness checked	Translated against frozen French; printed French quirk remains in French only	PASS
10	54	54652D76CE4C90EB853554D685420E30591A793462D3A5FDEE7418AFF213A495	9FF022FFC278BE27659C87823F83194902CF0BBB52C7E488374AB8EC7212CC49	fiber types; diagram (3.4); Lemma 3.5	same source-page marker and independent English text	third-fiber incidence and specialization arrows replayed from IAS crop	Translated against frozen French; authority images reused with English key	PASS
11	55	54652D76CE4C90EB853554D685420E30591A793462D3A5FDEE7418AFF213A495	9FF022FFC278BE27659C87823F83194902CF0BBB52C7E488374AB8EC7212CC49	Lemma 3.6; Leray sequences and table	same source-page marker and independent English text	a/j labels; omitted exact sequence restored; 2Z and E^{2,2}; E2=E-infinity checked	Translated against frozen French; authority table reused	PASS
12	56	54652D76CE4C90EB853554D685420E30591A793462D3A5FDEE7418AFF213A495	9FF022FFC278BE27659C87823F83194902CF0BBB52C7E488374AB8EC7212CC49	final two numbered construction paragraphs	same source-page marker and independent English text	capital Phi and final equations checked	Translated against frozen French	PASS
13	57	54652D76CE4C90EB853554D685420E30591A793462D3A5FDEE7418AFF213A495	9FF022FFC278BE27659C87823F83194902CF0BBB52C7E488374AB8EC7212CC49	bibliography [1]--[11]	same source-page marker; bibliographic titles retained	issue numbers, parentheses, punctuation, author conjunction, capitalization checked	Bibliographic wording retained where not a prose translation target	PASS
