parity_id,parent_unit_id,order,structure_type,source_locator,target_locator,source_fragment_sha256,target_fragment_sha256,source_chars,target_chars,source_footnote_count,target_footnote_count,footnote_count_match,source_math_tokens,target_math_tokens,math_token_multiset_match,completion_state,source_check_state,human_review_state,publication_state,note
NOE-P29-KO-U01-TITLE-001,NOE-P29-KO-U01,1,title,source:line 1,target:line 12,69C1AAD8D9CE09EDEAD18A738CD6BBB7332BF77D952108233B4AFE46C85234CD,5C31F3984F2623EAF8B0D0DD377FB72F08727330C533DD7ED65A19D60B7F1317,91,34,0,0,true,p,p,true,complete,internally_source_checked,not_externally_reviewed,working_not_publication_ready,Title structure and inline p preserved.
NOE-P29-KO-U01-CIT-001,NOE-P29-KO-U01,2,publication_citation,source:line 4,target:line 15,BB58B9B1726AD0155C0DF77D51730A3E34E35BCC13720F67629F66B05123F0D9,BB58B9B1726AD0155C0DF77D51730A3E34E35BCC13720F67629F66B05123F0D9,55,55,0,0,true,,,true,complete,internally_source_checked,not_externally_reviewed,working_not_publication_ready,Publication citation retained verbatim.
NOE-P29-KO-U01-NOTECOUNTER-001,NOE-P29-KO-U01,3,footnote_counter,source:line 7,target:line 18,E7A3093A44D98C205AEE5CD6BE3A9E2A2C0873FCA1C6858EDD8B30D84BACA2E1,E7A3093A44D98C205AEE5CD6BE3A9E2A2C0873FCA1C6858EDD8B30D84BACA2E1,24,24,0,0,true,,,true,complete,internally_source_checked,not_externally_reviewed,working_not_publication_ready,Footnote counter reset preserved.
NOE-P29-KO-U01-AUTH-001,NOE-P29-KO-U01,4,author_apparatus,source:lines 10-12,target:lines 21-23,9931DA89D2CAD8FCA2682FD0F3AB764B926A90B308F7ECE77090E9AB9C963715,CA1BDCB2B62C497C378CB9CBFADBEA2ABFDC214977E350B7183EE7E80B529AE8,114,87,0,0,true,,,true,complete,internally_source_checked,not_externally_reviewed,working_not_publication_ready,"Author, place, presenter, and date present."
NOE-P29-KO-U01-PARA-001,NOE-P29-KO-U01,5,prose_unit,source:line 15 excluding footnotes,target:line 26 excluding footnotes,1265FA361C9174AF8BC3B78ABD3F027ECB62E9DB21A868CB71BEDC59555DEB33,FF9893FA2FA07531CACC152C30A1315A6CDFB7908B2E3FD10D6257768227AC44,531,205,2,2,true,p|p,p|p,true,complete,internally_source_checked,not_externally_reviewed,working_not_publication_ready,Opening claim and finite-generation setup complete.
NOE-P29-KO-U01-NOTE-001,NOE-P29-KO-U01,6,footnote,source:line 15 footnote 1,target:line 26 footnote 1,FA6A952D58FD932DB25352440CB2C39A4098E0733568156F7BD998088147A914,8ED90C2174BCAEAB90AB422767C357F5D7F0FC0B653035A40A1C76AAB42CFCAE,148,119,0,0,true,,,true,complete,internally_source_checked,not_externally_reviewed,working_not_publication_ready,1916 citation retained.
NOE-P29-KO-U01-NOTE-002,NOE-P29-KO-U01,7,footnote,source:line 15 footnote 2,target:line 26 footnote 2,394ACCAC48D837F7828D3A40DDB0C5B5BC306EDEA2BF905DF057B4F60FC317E9,52286D5F893EBDBBACF5F1F9F59284C662A653E7D7244A6C5463F72FA57724A3,192,145,0,0,true,,,true,complete,internally_source_checked,not_externally_reviewed,working_not_publication_ready,Steinitz citation and section pointers retained.
NOE-P29-KO-U01-THM-001,NOE-P29-KO-U01,8,criterion_statement,source:line 17 excluding footnote,target:line 28 excluding footnote,9AC30ABCBFF1B4656C84C61D98DCE3C819C3A73563BB3252F99C77C11E8674EC,178FE3646AC3FBB0BEA351BF441E338405015D11228AB40312CE54C42E36FAF3,544,350,1,1,true,\mathfrak S|\mathfrak S|\mathfrak R|\mathfrak S|\mathfrak R|\mathfrak R|\mathfrak S|\mathfrak R|\mathfrak S,\mathfrak S|\mathfrak S|\mathfrak R|\mathfrak S|\mathfrak R|\mathfrak R|\mathfrak R|\mathfrak S|\mathfrak S,true,complete,internally_source_checked,not_externally_reviewed,working_not_publication_ready,"Iff structure, finite-generation sense, integrality relation, and generating-system role retained."
NOE-P29-KO-U01-NOTE-003,NOE-P29-KO-U01,9,footnote,source:line 17 footnote 3,target:line 28 footnote 3,A20D63CCB1E73EB8082E61349C232BE65794DC063A4DA4FB2B43E7BF5DA37D6B,8203A43D58F5FDAD415151F32D4429D1D71D1884CDB03933C4BB75F27FC3EDC3,359,254,0,0,true,\mathfrak R|\mathfrak R,\mathfrak R|\mathfrak R,true,complete,internally_source_checked,not_externally_reviewed,working_not_publication_ready,Correction of historical Modulbasis wording retained with 생성계 sense.
NOE-P29-KO-U01-PARA-002,NOE-P29-KO-U01,10,prose_unit,source:line 19,target:line 30,188AF7EF7A0CA93993652F3DEE0EE8BDFE42E25B677071DA51E9E27651CD97C5,36FCEF45C0F93EC41CB0E794A621486D03B23C26BE60044084235802A5AF0E0C,738,340,0,0,true,,,true,complete,internally_source_checked,not_externally_reviewed,working_not_publication_ready,"Rationalbasis, Teilerkettensatz, Wurzelring, and restriction preserved."
