"id","requirement","evidence","status","remaining_gap"
"REQ-001","Source canon first, no translation-first priority","source_canon_override.status=source_canon_first; translation_or_glossary_claim=none; consolidated register and local gate audit exist","satisfied_under_current_evidence","Future work may only add exact source/reviewer rows; no bridge or term movement."
"REQ-002","Target-cluster source/corpus witnesses with URL, license signal, hash, local path, topic tags, and source form","Consolidated register has 53 witness rows; missing URL/license/hash/local_path/topic_tags/source_form counts all zero.","satisfied_under_current_evidence","Rows with restrictive/unclear licenses remain provenance-only."
"REQ-003","Explicit source-package/TeX/LaTeX/arXiv/e-print/source-archive gate","Consolidated register source_package_rows_found=0; local gate audit: 147 source-like target-named files, zero exact hard-phrase hits, zero manual source-package candidates.","satisfied_as_negative_gate","Future source package must be captured, hashed, and row-scoped before use."
"REQ-004","Noetherian-ring and polynomial-ring hard rows covered","Exact hard-row closure records 8 rows; 8 explicit gap rows in consolidated register; TT/KY/TK blocked, Uyghur candidate-only.","satisfied_under_current_evidence","TT/KY/TK need exact source row or reviewer return; Uyghur needs authority/license/native-domain review."
"REQ-005","Kyrgyz thin-text/OCR gate attacked rather than left implicit","Kyrgyz OCR gate completed 206/206 pages; exact hard-row OCR hits=0; context-only hits recorded as non-support.","satisfied_as_negative_gate","Other future Kyrgyz sources may still be added if source-gated."
"REQ-006","Current web/source-corpus sweeps included, not only old local indices","Current web sweep 11 rows, gap closure 6 rows, source-package gate 6 rows, current source resweep 7 rows, Uyghur current exact-candidate resweep 7 rows.","satisfied_under_current_evidence","Current web can change; future exact sources/reviewer returns should be added as new rows."
"REQ-007","Local reviewer-return gate checked","Local gate audit scanned 2700 target-named files; 193 review/return indicators classified; zero possible positive reviewer returns.","satisfied_as_negative_gate","Actual future returned reviewer artifact may move gate."
"REQ-008","Durable run log maintained","Durable log events 017-027 in chronological order; Event 027 records local source-package/reviewer-return audit.","satisfied_under_current_evidence","Future continuation should append Event 028+."
"REQ-009","Manifests, JSON, and checksums refreshed","Integration JSON lists 39 R2 artifacts; top-level package checksum has 42 lines; register/local-audit SHA sidecars match current files.","satisfied_under_current_evidence","Session B/designated packaging loop owns any upload/package action."
"REQ-010","No bridge, pilot, glossary/term promotion, native-review, approval, canonical source edit, Zenodo action, or Git push claim","Integration JSON has reader/term/bridge/pilot/native-review claims all none; final regex guardrail has zero positive-claim hits; git status reports not a repository.","satisfied_under_current_evidence","Boundary must remain in place for future rows."
