"lane","target_language_or_access_target","source_title","source_author_or_owner","topic_tags","evidence_tier","source_type","source_url","local_path","license_or_access_signal","sha256_or_other_hash","source_language","is_target_language_witness","is_source_level_tex_or_archive","is_pdf_docx_or_text_fallback","gap_or_blocker_note","non_claim_boundary","witness_id","fetch_url","retrieval_status","fetched_content_type","byte_length","routed_consumer_lane","source_upload_policy","github_probe_class","created_utc"
"R3 GitHub/source-archive probe - existing Persian/Farsi math source","Persian/Farsi (Iran), fa_IR","GitHub repository metadata: SireJeff/linear-algebra-3blue1brown-notes","SireJeff GitHub repository","linear_algebra_tex_source_package_metadata","A_source_level_repository_or_package_metadata","github_api_json","https://github.com/SireJeff/linear-algebra-3blue1brown-notes","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z\fetched\fa_github_sirejeff_repo_metadata.json","GitHub API license field to be inspected; README states educational purpose/original video content belongs to 3Blue1Brown.","11720593D60DB2D657DA344CB250B254B0324084010446F9C8E402EAB23AF56A","Persian/Farsi","True","True","False","Already indexed in current master source-canon table; carried here as known GitHub/source-level math witness. Persian TeX source-package provenance for linear algebra only. | No canonical approval; license unclear until repo license is independently closed.","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane packaging claim, or Git push. fa_IR, prs_AF, tg_Cyrl_TJ, Pashto, Urdu, Hindustani, and Pan-Turkic evidence remain separate unless their own source gates close.","existing_master_fa_github_sirejeff_repo_metadata","","already_indexed_not_refetched","","0","Persianate/Tajik source-canon lane, fa_IR only","Existing captured hash/pointer only; do not refetch or package here.","existing_math_source_witness","20260704T203805Z"
"R3 GitHub/source-archive probe - existing Persian/Farsi math source","Persian/Farsi (Iran), fa_IR","SireJeff Persian linear algebra main.tex","SireJeff GitHub repository","linear_algebra_tex_source","A_source_level_tex_or_latex_file","tex","https://github.com/SireJeff/linear-algebra-3blue1brown-notes/blob/master/persian_notes/main.tex","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z\fetched\fa_github_sirejeff_persian_main_tex.tex","Repository README says educational purpose; no separate license file verified in this pass.","AA4207AE05BA1804FFB3BBE8265954571BE276E75A8CB7A1656A72ED92417427","Persian/Farsi","True","True","False","Already indexed in current master source-canon table; carried here as known GitHub/source-level math witness. Persian/Farsi TeX source witness for linear algebra compilation spine. | Review-only; does not authorize Dari/Tajik/Urdu/Pan-Turkic.","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane packaging claim, or Git push. fa_IR, prs_AF, tg_Cyrl_TJ, Pashto, Urdu, Hindustani, and Pan-Turkic evidence remain separate unless their own source gates close.","existing_master_fa_github_sirejeff_persian_main_tex","","already_indexed_not_refetched","","0","Persianate/Tajik source-canon lane, fa_IR only","Existing captured hash/pointer only; do not refetch or package here.","existing_math_source_witness","20260704T203805Z"
"R3 GitHub/source-archive probe - existing Persian/Farsi math source","Persian/Farsi (Iran), fa_IR","SireJeff Persian/English linear algebra source archive zipball","SireJeff GitHub repository","linear_algebra_tex_source_archive","A_source_level_archive","zip_source_archive","https://github.com/SireJeff/linear-algebra-3blue1brown-notes","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z\fetched\fa_github_sirejeff_source_zip.zip","Repository README says educational purpose; archive fetched for provenance/hash only.","EEEE28E88CA465F0A125AFE056F6203B84C138EB44114867D8E49F3C3344252C","Persian/Farsi","True","True","False","Already indexed in current master source-canon table; carried here as known GitHub/source-level math witness. Persian/Farsi TeX source package hash witness. | Review-only; source package does not establish terminology approval.","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane packaging claim, or Git push. fa_IR, prs_AF, tg_Cyrl_TJ, Pashto, Urdu, Hindustani, and Pan-Turkic evidence remain separate unless their own source gates close.","existing_master_fa_github_sirejeff_source_zip","","already_indexed_not_refetched","","0","Persianate/Tajik source-canon lane, fa_IR only","Existing captured hash/pointer only; do not refetch or package here.","existing_math_source_witness","20260704T203805Z"
"R3 GitHub/source-archive probe - Arabic RTL math rendering support","Controlled Arabic / Arabic RTL","OmarIthawi/arabic-mathjax source archive","OmarIthawi / Arabic MathJax GitHub repository","Arabic math rendering; MathJax; RTL equations; source archive; support tooling","A_source_archive_script_render_support_not_mathematical_text","github_zip_source_archive","https://github.com/OmarIthawi/arabic-mathjax","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_GITHUB_ARCHIVE_PROBE_20260704T203805Z\fetched\ar_github_omaritthawi_arabic_mathjax_zip.zip","GitHub API observed MIT license; verify before reuse beyond source-canon citation","EBFC433392C879D1283CCDF122024DA625990347E4AA39AE0BEFD7F4FC7E87C2","Arabic/English repository metadata and JavaScript source","False","True","False","Arabic math rendering/source-code support only; not an Arabic algebra/invariant-theory mathematical source witness.","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane packaging claim, or Git push.","ar_github_omaritthawi_arabic_mathjax_zip","https://codeload.github.com/OmarIthawi/arabic-mathjax/zip/refs/heads/main","fetched_and_hashed","application/zip","89854","Arabic RTL source-canon lane, script/render support only","Manifest/hash/source-archive pointer only; no term or source-text authority.","script_render_support_source_archive","20260704T203805Z"
"R3 GitHub/source-archive probe - Arabic math-expression tooling support","Controlled Arabic / Arabic RTL","Mohamed1984/ArabicMath source archive","Mohamed1984 GitHub repository","Arabic math editor; equation authoring; source archive; support tooling","A_source_archive_math_tooling_not_mathematical_text","github_zip_source_archive","https://github.com/Mohamed1984/ArabicMath","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_GITHUB_ARCHIVE_PROBE_20260704T203805Z\fetched\ar_github_mohamed1984_arabicmath_zip.zip","GitHub API did not expose SPDX license; README/license terms need separate review","A803C69A82D5F9AC4C884B278761CE5C9BAB821DD3119BE92FB9CAD8D7CD00F4","Arabic repository README and C# source","False","True","False","Arabic math-expression tooling only; not an Arabic algebra/invariant-theory mathematical source witness.","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane packaging claim, or Git push.","ar_github_mohamed1984_arabicmath_zip","https://codeload.github.com/Mohamed1984/ArabicMath/zip/refs/heads/master","fetched_and_hashed","application/zip","86828566","Arabic RTL source-canon lane, tooling support only","Manifest/hash/source-archive pointer only; no license clearance or term authority.","math_tooling_source_archive","20260704T203805Z"
"R3 GitHub/source-archive probe - Persian/Farsi TeX support","Persian/Farsi (Iran), fa_IR","persiantex/xepersian source archive","persiantex GitHub repository","Persian TeX; XePersian; XeTeX; source archive; typesetting support","A_source_archive_script_typesetting_support_not_mathematical_text","github_zip_source_archive","https://github.com/persiantex/xepersian","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_GITHUB_ARCHIVE_PROBE_20260704T203805Z\fetched\fa_github_persiantex_xepersian_zip.zip","GitHub API did not expose SPDX license in this pass; license/access unresolved","21F4EC54F3AB18B299CB650F6D2CDE099656B3F2BF25C17047DF6D4892F3AD0E","Persian/Farsi TeX package support context","False","True","False","Persian script/typesetting source support only; not a Persian algebra/invariant-theory mathematical source witness.","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane packaging claim, or Git push. fa_IR, prs_AF, tg_Cyrl_TJ, Pashto, Urdu, Hindustani, and Pan-Turkic evidence remain separate unless their own source gates close.","fa_github_persiantex_xepersian_zip","https://codeload.github.com/persiantex/xepersian/zip/refs/heads/master","fetched_and_hashed","application/zip","203058","Persianate/Tajik source-canon lane, fa_IR script support only","Manifest/hash/source-archive pointer only; no mathematical term/source-text authority.","script_typesetting_support_source_archive","20260704T203805Z"
"R3 GitHub/source-archive probe - Arabic LaTeX sample support","Controlled Arabic / Arabic RTL","latex3/babel sample lua-arabic.tex","latex3/babel GitHub repository","Arabic LaTeX sample; babel; LuaLaTeX; script/render support","A_source_level_tex_sample_script_support_not_mathematical_text","raw_tex_source_file","https://github.com/latex3/babel/blob/main/samples/lua-arabic.tex","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_GITHUB_ARCHIVE_PROBE_20260704T203805Z\fetched\ar_latex3_babel_lua_arabic_sample_tex.tex","GitHub API observed LPPL-1.3c for latex3/babel; verify per file before reuse","DBB194BF186C76242EBCD9082E592107F5DC326CA45AB4DCCDF06BF6C78228DE","Arabic sample/LaTeX source context","False","True","False","Arabic LaTeX script/render sample only; not an Arabic mathematical source witness.","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane packaging claim, or Git push.","ar_latex3_babel_lua_arabic_sample_tex","https://raw.githubusercontent.com/latex3/babel/main/samples/lua-arabic.tex","fetched_and_hashed","text/plain; charset=utf-8","17264","Arabic RTL source-canon lane, script/render support only","Manifest/hash/source-file pointer only.","script_render_support_tex_file","20260704T203805Z"
"R3 GitHub/source-archive probe - Persian/Farsi LaTeX sample support","Persian/Farsi (Iran), fa_IR","latex3/babel sample harf-farsi-malayalam.tex","latex3/babel GitHub repository","Farsi script sample; babel; LaTeX; script/render support","A_source_level_tex_sample_script_support_not_mathematical_text","raw_tex_source_file","https://github.com/latex3/babel/blob/main/samples/harf-farsi-malayalam.tex","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_GITHUB_ARCHIVE_PROBE_20260704T203805Z\fetched\fa_latex3_babel_harf_farsi_malayalam_sample_tex.tex","GitHub API observed LPPL-1.3c for latex3/babel; verify per file before reuse","636B8FDD3D592CA88369B90B606F5923E175E58189AFCFC96410E1B069DE3F1D","Persian/Farsi sample/LaTeX source context","False","True","False","Persian/Farsi LaTeX script/render sample only; not a Persian mathematical source witness.","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane packaging claim, or Git push. fa_IR, prs_AF, tg_Cyrl_TJ, Pashto, Urdu, Hindustani, and Pan-Turkic evidence remain separate unless their own source gates close.","fa_latex3_babel_harf_farsi_malayalam_sample_tex","https://raw.githubusercontent.com/latex3/babel/main/samples/harf-farsi-malayalam.tex","fetched_and_hashed","text/plain; charset=utf-8","2105","Persianate/Tajik source-canon lane, fa_IR script support only","Manifest/hash/source-file pointer only.","script_render_support_tex_file","20260704T203805Z"
"R3 GitHub/source-archive probe - Arabic source-package gap","Controlled Arabic / Arabic RTL","Arabic invariant-theory / Noetherian-ring GitHub TeX/source archive","not found in this GitHub probe","Arabic; invariant theory; Noetherian ring; GitHub; TeX; source archive","G_explicit_gap_no_github_source_archive_found","gap","","","not applicable: explicit GitHub/source-archive gap","","Arabic","False","False","False","GitHub repository searches for Arabic invariant theory, Arabic Noetherian ring, and Arabic/LaTeX math source packages returned no usable Arabic mathematical source archive in this pass.","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane packaging claim, or Git push.","gap_github_ar_invariant_noether_tex_archive_20260704","","explicit_gap_no_fetch","","0","novel_or_blocked_gap_registry","Publish gap row only.","github_source_archive_gap","20260704T203805Z"
"R3 GitHub/source-archive probe - Persian/Farsi source-package gap","Persian/Farsi (Iran), fa_IR","Persian/Farsi invariant-theory / Noether GitHub TeX/source archive","not found in this GitHub probe","Persian/Farsi; invariant theory; Noether algebra; GitHub; TeX; source archive","G_explicit_gap_no_github_source_archive_found","gap","","","not applicable: explicit GitHub/source-archive gap","","Persian/Farsi","False","False","False","GitHub repository searches for Persian invariant theory, Noether Persian TeX, and XePersian algebra returned no new Persian mathematical source archive beyond the already indexed SireJeff linear-algebra source.","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane packaging claim, or Git push. fa_IR, prs_AF, tg_Cyrl_TJ, Pashto, Urdu, Hindustani, and Pan-Turkic evidence remain separate unless their own source gates close.","gap_github_fa_invariant_noether_tex_archive_20260704","","explicit_gap_no_fetch","","0","novel_or_blocked_gap_registry","Publish gap row only.","github_source_archive_gap","20260704T203805Z"
