record_id,scope,action,status
SGA3-R28-HYGIENE-001,title_page,retain only the book title subtitle and editors,PASS
SGA3-R28-HYGIENE-002,reader_body,suppress 143 project or source-status wrappers across 96 source files,PASS
SGA3-R28-HYGIENE-003,reader_body,preserve genuine historical editorial apparatus,PASS
SGA3-R28-HYGIENE-004,pdf_metadata,use neutral bibliographic title author and subject,PASS
SGA3-R28-HYGIENE-005,rendered_text,scan blocked project workflow and machine-assistant phrases,PASS_0_HITS
SGA3-R28-REFERENCE-001,stable_targets,resolve all 3744 source targets through SyncTeX,PASS
SGA3-R28-REFERENCE-002,existing_targets,replace 1219 malformed page-1 destinations,PASS
SGA3-R28-REFERENCE-003,missing_targets,add 2525 missing destinations,PASS
SGA3-R28-REFERENCE-004,unrelated_destinations,preserve 9388 signatures exactly,PASS
SGA3-R28-REFERENCE-005,internal_actions,preserve 12344 GoTo actions with zero broken or external actions,PASS
