"structural_id","structure_type","label","parent_id","order","cross_reference_ids","source_line_start","source_line_end","source_lf_sha256","target_unit","target_path","target_line_start","target_line_end","target_file_sha256","target_lf_sha256","language","completion_state","review_state","publication_state","continuation_cursor"
"NOE-P42-KO-WORK-001","work","Paper 42 translated-work root",,"1","","1","230","B1643D414FB1601147E16E483EFE47FD0CE25D246A92C4A8BE8D622015B9ED03","U01","${PUBLIC_INTERLANGUAGE_ROOT}\03_projects\language_management\cjk\03_working_translations\noether_paper42_ko_translation_001_20260804\ko\Noether_Paper42_Korean_U01_translation_draft_v001.tex","8","21","28231F8A99CE42EEA805CC59A85B19C217DEAEBE6E541F4BE404442222CE86AD","50DC9DD6EC83DDCB7411DE2B9862D54FD087B7BD070E18197559EC71C1EB6135","ko-KR","translated_producer_draft","independent_check_absent","private_working","after stored-source line 230"
"NOE-P42-KO-TITLE-001","title","Paper title","NOE-P42-KO-WORK-001","2","","1","1","73921290A22FCFED24A094F810E9C8BCA1A370973897C93C8EE3346C59DFC68F","U01","${PUBLIC_INTERLANGUAGE_ROOT}\03_projects\language_management\cjk\03_working_translations\noether_paper42_ko_translation_001_20260804\ko\Noether_Paper42_Korean_U01_translation_draft_v001.tex","8","8","28231F8A99CE42EEA805CC59A85B19C217DEAEBE6E541F4BE404442222CE86AD","599E165955BFAED623E73B0B390F694870F6D21E8B31E1525E05FE53926BADC2","ko-KR","translated_producer_draft","independent_check_absent","private_working","after stored-source line 1"
"NOE-P42-KO-PUB-001","publication_note","Publication venue and pages","NOE-P42-KO-WORK-001","3","","3","5","70B1EF72B1451C35CE5E24FADF6AD0DD90739E8C8A25A351B1EDC0AB10FFF313","U01","${PUBLIC_INTERLANGUAGE_ROOT}\03_projects\language_management\cjk\03_working_translations\noether_paper42_ko_translation_001_20260804\ko\Noether_Paper42_Korean_U01_translation_draft_v001.tex","10","12","28231F8A99CE42EEA805CC59A85B19C217DEAEBE6E541F4BE404442222CE86AD","9CC22976C0C06FB2E274C603F7E60D9F3D04EEBCC4E4C38F1A4E986FFDCAFE6E","ko-KR","translated_producer_draft","independent_check_absent","private_working","after stored-source line 5"
"NOE-P42-KO-INTRO-PARA-001","paragraph","Programmatic introduction","NOE-P42-KO-WORK-001","4","NOE-P42-KO-SEC-I-001;NOE-P42-KO-SEC-II-001;NOE-P42-KO-SEC-III-001","7","7","07C368A21D9ED5CC568393557217B232492CED6B5C2BECDB508FFF0D3E925BB5","U01","${PUBLIC_INTERLANGUAGE_ROOT}\03_projects\language_management\cjk\03_working_translations\noether_paper42_ko_translation_001_20260804\ko\Noether_Paper42_Korean_U01_translation_draft_v001.tex","14","14","28231F8A99CE42EEA805CC59A85B19C217DEAEBE6E541F4BE404442222CE86AD","16FE56C884ACDF116E8200C2B7A9DBA67DA69D61D94111693CB901253571CB30","ko-KR","translated_producer_draft","independent_check_absent","private_working","after stored-source line 7"
"NOE-P42-KO-NOTE-001","note","Footnote 1 crossed-product and maximal-order references","NOE-P42-KO-INTRO-PARA-001","5","","7","7","07C368A21D9ED5CC568393557217B232492CED6B5C2BECDB508FFF0D3E925BB5","U01","${PUBLIC_INTERLANGUAGE_ROOT}\03_projects\language_management\cjk\03_working_translations\noether_paper42_ko_translation_001_20260804\ko\Noether_Paper42_Korean_U01_translation_draft_v001.tex","14","14","28231F8A99CE42EEA805CC59A85B19C217DEAEBE6E541F4BE404442222CE86AD","16FE56C884ACDF116E8200C2B7A9DBA67DA69D61D94111693CB901253571CB30","ko-KR","translated_producer_draft","independent_check_absent","private_working","after stored-source line 7"
"NOE-P42-KO-BIB-001","bibliography_item","Hasse 1932 cyclic algebras","NOE-P42-KO-NOTE-001","6","","7","7","07C368A21D9ED5CC568393557217B232492CED6B5C2BECDB508FFF0D3E925BB5","U01","${PUBLIC_INTERLANGUAGE_ROOT}\03_projects\language_management\cjk\03_working_translations\noether_paper42_ko_translation_001_20260804\ko\Noether_Paper42_Korean_U01_translation_draft_v001.tex","14","14","28231F8A99CE42EEA805CC59A85B19C217DEAEBE6E541F4BE404442222CE86AD","16FE56C884ACDF116E8200C2B7A9DBA67DA69D61D94111693CB901253571CB30","ko-KR","translated_producer_draft","independent_check_absent","private_working","after stored-source line 7"
"NOE-P42-KO-BIB-002","bibliography_item","Hasse 1931 p-adic division algebras","NOE-P42-KO-NOTE-001","7","","7","7","07C368A21D9ED5CC568393557217B232492CED6B5C2BECDB508FFF0D3E925BB5","U01","${PUBLIC_INTERLANGUAGE_ROOT}\03_projects\language_management\cjk\03_working_translations\noether_paper42_ko_translation_001_20260804\ko\Noether_Paper42_Korean_U01_translation_draft_v001.tex","14","14","28231F8A99CE42EEA805CC59A85B19C217DEAEBE6E541F4BE404442222CE86AD","16FE56C884ACDF116E8200C2B7A9DBA67DA69D61D94111693CB901253571CB30","ko-KR","translated_producer_draft","independent_check_absent","private_working","after stored-source line 7"
"NOE-P42-KO-NOTE-002","note","Footnote 2 provenance of explicit representations","NOE-P42-KO-INTRO-PARA-001","8","","7","7","07C368A21D9ED5CC568393557217B232492CED6B5C2BECDB508FFF0D3E925BB5","U01","${PUBLIC_INTERLANGUAGE_ROOT}\03_projects\language_management\cjk\03_working_translations\noether_paper42_ko_translation_001_20260804\ko\Noether_Paper42_Korean_U01_translation_draft_v001.tex","14","14","28231F8A99CE42EEA805CC59A85B19C217DEAEBE6E541F4BE404442222CE86AD","16FE56C884ACDF116E8200C2B7A9DBA67DA69D61D94111693CB901253571CB30","ko-KR","translated_producer_draft","independent_check_absent","private_working","after stored-source line 7"
"NOE-P42-KO-INTRO-PARA-002","paragraph","Chevalley and Hasse scope note","NOE-P42-KO-WORK-001","9","","9","9","46068BA4A7AA1B6485669BF01E39B7D84A25004375166F8AD5DCE7EF74B847C5","U01","${PUBLIC_INTERLANGUAGE_ROOT}\03_projects\language_management\cjk\03_working_translations\noether_paper42_ko_translation_001_20260804\ko\Noether_Paper42_Korean_U01_translation_draft_v001.tex","16","16","28231F8A99CE42EEA805CC59A85B19C217DEAEBE6E541F4BE404442222CE86AD","CE2E2ED41B907B8A6043AD02863D6515EBE0652C9709738D3446AD5A770E92CB","ko-KR","translated_producer_draft","independent_check_absent","private_working","after stored-source line 9"
"NOE-P42-KO-NOTE-003","note","Footnote 3 Chevalley citation","NOE-P42-KO-INTRO-PARA-002","10","","9","9","46068BA4A7AA1B6485669BF01E39B7D84A25004375166F8AD5DCE7EF74B847C5","U01","${PUBLIC_INTERLANGUAGE_ROOT}\03_projects\language_management\cjk\03_working_translations\noether_paper42_ko_translation_001_20260804\ko\Noether_Paper42_Korean_U01_translation_draft_v001.tex","16","16","28231F8A99CE42EEA805CC59A85B19C217DEAEBE6E541F4BE404442222CE86AD","CE2E2ED41B907B8A6043AD02863D6515EBE0652C9709738D3446AD5A770E92CB","ko-KR","translated_producer_draft","independent_check_absent","private_working","after stored-source line 9"
"NOE-P42-KO-BIB-003","bibliography_item","Chevalley 1934 simple-algebra ideals","NOE-P42-KO-NOTE-003","11","","9","9","46068BA4A7AA1B6485669BF01E39B7D84A25004375166F8AD5DCE7EF74B847C5","U01","${PUBLIC_INTERLANGUAGE_ROOT}\03_projects\language_management\cjk\03_working_translations\noether_paper42_ko_translation_001_20260804\ko\Noether_Paper42_Korean_U01_translation_draft_v001.tex","16","16","28231F8A99CE42EEA805CC59A85B19C217DEAEBE6E541F4BE404442222CE86AD","CE2E2ED41B907B8A6043AD02863D6515EBE0652C9709738D3446AD5A770E92CB","ko-KR","translated_producer_draft","independent_check_absent","private_working","after stored-source line 9"
"NOE-P42-KO-NOTE-004","note","Footnote 4 Hasse preceding paper","NOE-P42-KO-INTRO-PARA-002","12","","9","9","46068BA4A7AA1B6485669BF01E39B7D84A25004375166F8AD5DCE7EF74B847C5","U01","${PUBLIC_INTERLANGUAGE_ROOT}\03_projects\language_management\cjk\03_working_translations\noether_paper42_ko_translation_001_20260804\ko\Noether_Paper42_Korean_U01_translation_draft_v001.tex","16","16","28231F8A99CE42EEA805CC59A85B19C217DEAEBE6E541F4BE404442222CE86AD","CE2E2ED41B907B8A6043AD02863D6515EBE0652C9709738D3446AD5A770E92CB","ko-KR","translated_producer_draft","independent_check_absent","private_working","after stored-source line 9"
"NOE-P42-KO-BIB-004","bibliography_item","Hasse certain ideals in a simple algebra","NOE-P42-KO-NOTE-004","13","","9","9","46068BA4A7AA1B6485669BF01E39B7D84A25004375166F8AD5DCE7EF74B847C5","U01","${PUBLIC_INTERLANGUAGE_ROOT}\03_projects\language_management\cjk\03_working_translations\noether_paper42_ko_translation_001_20260804\ko\Noether_Paper42_Korean_U01_translation_draft_v001.tex","16","16","28231F8A99CE42EEA805CC59A85B19C217DEAEBE6E541F4BE404442222CE86AD","CE2E2ED41B907B8A6043AD02863D6515EBE0652C9709738D3446AD5A770E92CB","ko-KR","translated_producer_draft","independent_check_absent","private_working","after stored-source line 9"
