application_id,candidate_id,reader,reference_form,source_relpath,source_line,source_column,visible_text,raw_tex,context,source_sha256,target_label,pdf_destination,target_id,classification,status,resolution_basis
ega3.ega0.application.sha256.5ed7a0a5a54194ccad3e06bde9b9f39836aec41025b805e285073ae216ea3904,ega3.ega0.candidate.sha256.5ed7a0a5a54194ccad3e06bde9b9f39836aec41025b805e285073ae216ea3904,ega0,sref,ega0/ega0-1.tex,31,25,0.1.0.2,\sref{0.1.0.2},"Under the hypotheses of \sref{0.1.0.2}, if $\mathfrak{J}$ is a left (resp. right) ideal of $A$, we denote by $B\mathfrak{J}$ (resp. $\mathfrak{J}B$) the left (resp. right) ideal $B\vphi(\mathfrak{J})$ (resp. $\vphi(\mathfrak{J})B$) of $B$ generated by $\vphi(\mathfrak{J})$;",1FEC1B0BF5C558633512545C460F97BEEA7789FC77BBA709AEBB693C5C2113F7,0.1.0.2,subsection*.4,ega3.ega0.target.sha256.85a989b3084ee27dace0acb562b6acd4626f4ce24c7174e3bea78e38d18147a4,explicit_same_reader_reference,applied_local_link,exact active local aux label
ega3.ega0.application.sha256.3bff15b08fcfd0476b37e67fc7a29262ed0e644712b0b389b96c452422e57b50,ega3.ega0.candidate.sha256.3bff15b08fcfd0476b37e67fc7a29262ed0e644712b0b389b96c452422e57b50,ega0,sref,ega0/ega0-1.tex,192,51,0.1.3.2,\sref{0.1.3.2},which can be identified with $S^{-1}\mathfrak{a}$ \sref{0.1.3.2}. The map,1FEC1B0BF5C558633512545C460F97BEEA7789FC77BBA709AEBB693C5C2113F7,0.1.3.2,subsection*.7,ega3.ega0.target.sha256.e4cf2474d0d8eea20d024d45b1c56a871dd1e04e02b9962dc13e4294c1fbdff6,explicit_same_reader_reference,applied_local_link,exact active local aux label
ega3.ega0.application.sha256.6bf086bdbbe1ca163614a9962fa17aed9fac154238356177d79c0a05dec72587,ega3.ega0.candidate.sha256.6bf086bdbbe1ca163614a9962fa17aed9fac154238356177d79c0a05dec72587,ega0,sref,ega0/ega0-1.tex,196,28,0.1.5.1,\sref{0.1.5.1},are canonically isomorphic \sref{0.1.5.1}.,1FEC1B0BF5C558633512545C460F97BEEA7789FC77BBA709AEBB693C5C2113F7,0.1.5.1,subsection*.9,ega3.ega0.target.sha256.d0473b85ab1f331be99676b809e25267262ffba122c6f781da5805766a390a3e,explicit_same_reader_reference,applied_local_link,exact active local aux label
ega3.ega0.application.sha256.f5d7f84768e7b1f1121e0778d6fc835d5c5baeaba2127ca3f8cec5dacfeef75f,ega3.ega0.candidate.sha256.f5d7f84768e7b1f1121e0778d6fc835d5c5baeaba2127ca3f8cec5dacfeef75f,ega0,sref,ega0/ega0-1.tex,212,33,0.1.1.1,\sref{0.1.1.1},"If $A$ is a \emph{reduced} ring \sref{0.1.1.1}, so is $S^{-1}A$: indeed, if",1FEC1B0BF5C558633512545C460F97BEEA7789FC77BBA709AEBB693C5C2113F7,0.1.1.1,subsection*.5,ega3.ega0.target.sha256.8846471e35a2d793b26665add14ac83d4dcfbbde3b250ffc4de7275aa47eefa5,explicit_same_reader_reference,applied_local_link,exact active local aux label
ega3.ega0.application.sha256.f6265b06a9528e0bc43c383f4c7594bc476e0a6e15987485e9dcbe61d577a9de,ega3.ega0.candidate.sha256.f6265b06a9528e0bc43c383f4c7594bc476e0a6e15987485e9dcbe61d577a9de,ega0,sref,ega0/ega0-1.tex,227,22,0.1.2.5,\sref{0.1.2.5},"$S^{-1}A\otimes_A N$ \sref{0.1.2.5}, then $S^{-1}u$ is considered as $1\otimes u$.",1FEC1B0BF5C558633512545C460F97BEEA7789FC77BBA709AEBB693C5C2113F7,0.1.2.5,subsection*.6,ega3.ega0.target.sha256.184c4bfb242457208233bb5443dafe4ac621cc64592335e53dfde01a0cbc16e4,explicit_same_reader_reference,applied_local_link,exact active local aux label
ega3.ega0.application.sha256.11e03d41195a2992061c7ebd4335d26b871cc7a3e296ab95757103173776658b,ega3.ega0.candidate.sha256.11e03d41195a2992061c7ebd4335d26b871cc7a3e296ab95757103173776658b,ega0,sref,ega0/ega0-1.tex,258,49,0.1.2.5,\sref{0.1.2.5},$S^{-1}\vphi_{\beta\alpha}$ as tensor products (\sref{0.1.2.5} and,1FEC1B0BF5C558633512545C460F97BEEA7789FC77BBA709AEBB693C5C2113F7,0.1.2.5,subsection*.6,ega3.ega0.target.sha256.184c4bfb242457208233bb5443dafe4ac621cc64592335e53dfde01a0cbc16e4,explicit_same_reader_reference,applied_local_link,exact active local aux label
ega3.ega0.application.sha256.4365208776b5bd13fcb8e43d5744257f3dd529c42744ea8d58192a23a391aa26,ega3.ega0.candidate.sha256.4365208776b5bd13fcb8e43d5744257f3dd529c42744ea8d58192a23a391aa26,ega0,sref,ega0/ega0-1.tex,259,1,0.1.3.1,\sref{0.1.3.1},"\sref{0.1.3.1}), it follows from the permutability of the tensor product and",1FEC1B0BF5C558633512545C460F97BEEA7789FC77BBA709AEBB693C5C2113F7,0.1.3.1,subsection*.7,ega3.ega0.target.sha256.e4cf2474d0d8eea20d024d45b1c56a871dd1e04e02b9962dc13e4294c1fbdff6,explicit_same_reader_reference,applied_local_link,exact active local aux label
ega3.ega0.application.sha256.70297e315948057d882f0b2b91285c0de82aedcd85f682a34b09f29a83211e4a,ega3.ega0.candidate.sha256.70297e315948057d882f0b2b91285c0de82aedcd85f682a34b09f29a83211e4a,ega0,sref,ega0/ega0-1.tex,306,26,0.1.2.5,\sref{0.1.2.5},"canonical identification \sref{0.1.2.5}, $\rho_M^{T,S}$ is identified with",1FEC1B0BF5C558633512545C460F97BEEA7789FC77BBA709AEBB693C5C2113F7,0.1.2.5,subsection*.6,ega3.ega0.target.sha256.184c4bfb242457208233bb5443dafe4ac621cc64592335e53dfde01a0cbc16e4,explicit_same_reader_reference,applied_local_link,exact active local aux label
ega3.ega0.application.sha256.7e92b310c19449dbdb3c9c7195882670d1eda744b9e93abcef8c13a027990c19,ega3.ega0.candidate.sha256.7e92b310c19449dbdb3c9c7195882670d1eda744b9e93abcef8c13a027990c19,ega0,sref,ega0/ega0-1.tex,329,72,0.1.3.4,\sref{0.1.3.4},"With the same notation, for $A$-modules $M$ and $N$, the diagrams (cf. \sref{0.1.3.4} and \sref{0.1.3.5})",1FEC1B0BF5C558633512545C460F97BEEA7789FC77BBA709AEBB693C5C2113F7,0.1.3.4,subsection*.7,ega3.ega0.target.sha256.e4cf2474d0d8eea20d024d45b1c56a871dd1e04e02b9962dc13e4294c1fbdff6,explicit_same_reader_reference,applied_local_link,exact active local aux label
ega3.ega0.application.sha256.4433f62d9bb3462cd7402706f4aa2dc47401b3a97a658bc838723778c653f5fc,ega3.ega0.candidate.sha256.4433f62d9bb3462cd7402706f4aa2dc47401b3a97a658bc838723778c653f5fc,ega0,sref,ega0/ega0-1.tex,329,91,0.1.3.5,\sref{0.1.3.5},"With the same notation, for $A$-modules $M$ and $N$, the diagrams (cf. \sref{0.1.3.4} and \sref{0.1.3.5})",1FEC1B0BF5C558633512545C460F97BEEA7789FC77BBA709AEBB693C5C2113F7,0.1.3.5,subsection*.7,ega3.ega0.target.sha256.e4cf2474d0d8eea20d024d45b1c56a871dd1e04e02b9962dc13e4294c1fbdff6,explicit_same_reader_reference,applied_local_link,exact active local aux label
ega3.ega0.application.sha256.4451d8ad87dfb45da7c11166182d9d190198210fd84a3bac5e275f9d0ce2dc25,ega3.ega0.candidate.sha256.4451d8ad87dfb45da7c11166182d9d190198210fd84a3bac5e275f9d0ce2dc25,ega0,sref,ega0/ega0-1.tex,375,14,0.1.4.4,\sref{0.1.4.4},"according to \sref{0.1.4.4}, the homomorphisms $\rho_{\beta\alpha}$ define a",1FEC1B0BF5C558633512545C460F97BEEA7789FC77BBA709AEBB693C5C2113F7,0.1.4.4,subsection*.8,ega3.ega0.target.sha256.a65e8c656da584ef1214023e4b9bb10e1a4d10cb77528079a1632d0b1b2a7bfb,explicit_same_reader_reference,applied_local_link,exact active local aux label
ega3.ega0.application.sha256.5c76f8a3ec28feaa28af0771dc308a9720e4c096760360ffe3844bf6eae520ee,ega3.ega0.candidate.sha256.5c76f8a3ec28feaa28af0771dc308a9720e4c096760360ffe3844bf6eae520ee,ega0,sref,ega0/ega0-1.tex,380,14,0.1.4.4,\sref{0.1.4.4},"according to \sref{0.1.4.4}, we can uniquely define a homomorphism $\vphi:A'\to S^{-1}A$ such that the diagram",1FEC1B0BF5C558633512545C460F97BEEA7789FC77BBA709AEBB693C5C2113F7,0.1.4.4,subsection*.8,ega3.ega0.target.sha256.a65e8c656da584ef1214023e4b9bb10e1a4d10cb77528079a1632d0b1b2a7bfb,explicit_same_reader_reference,applied_local_link,exact active local aux label
ega3.ega0.application.sha256.4e27377b1e64b36056276dfafcdbcb16617988ed80b24bf7529c123bb8701f59,ega3.ega0.candidate.sha256.4e27377b1e64b36056276dfafcdbcb16617988ed80b24bf7529c123bb8701f59,ega0,sref,ega0/ega0-1.tex,425,4,0.1.2.4,\sref{0.1.2.4},by \sref{0.1.2.4}; where $\vphi^{S'}(a'/s')=\vphi(a')/\vphi(s')$. If,1FEC1B0BF5C558633512545C460F97BEEA7789FC77BBA709AEBB693C5C2113F7,0.1.2.4,subsection*.6,ega3.ega0.target.sha256.184c4bfb242457208233bb5443dafe4ac621cc64592335e53dfde01a0cbc16e4,explicit_same_reader_reference,applied_local_link,exact active local aux label
ega3.ega0.application.sha256.6dc46aa6ab7f70b4797dc8c6eaec03eb331bcdd93f3c4868e97563b0fd7a7fe3,ega3.ega0.candidate.sha256.6dc46aa6ab7f70b4797dc8c6eaec03eb331bcdd93f3c4868e97563b0fd7a7fe3,ega0,sref,ega0/ega0-1.tex,428,41,0.1.4.1,\sref{0.1.4.1},"homomorphism $\rho_A^{S,S'}$ defined in \sref{0.1.4.1}.",1FEC1B0BF5C558633512545C460F97BEEA7789FC77BBA709AEBB693C5C2113F7,0.1.4.1,subsection*.8,ega3.ega0.target.sha256.a65e8c656da584ef1214023e4b9bb10e1a4d10cb77528079a1632d0b1b2a7bfb,explicit_same_reader_reference,applied_local_link,exact active local aux label
ega3.ega0.application.sha256.6c4f2c45b884154b3ea6595fa94a563c8bc79f5437e88e4bfeed33a7f6b63d33,ega3.ega0.candidate.sha256.6c4f2c45b884154b3ea6595fa94a563c8bc79f5437e88e4bfeed33a7f6b63d33,ega0,sref,ega0/ega0-1.tex,433,25,0.1.5.1,\sref{0.1.5.1},"Under the hypotheses of \sref{0.1.5.1}, let $M$ be an $A$-module.",1FEC1B0BF5C558633512545C460F97BEEA7789FC77BBA709AEBB693C5C2113F7,0.1.5.1,subsection*.9,ega3.ega0.target.sha256.d0473b85ab1f331be99676b809e25267262ffba122c6f781da5805766a390a3e,explicit_same_reader_reference,applied_local_link,exact active local aux label
ega3.ega0.application.sha256.d05554eacf62a25a4fb386e8778cc69bcc36aa8401717eb088dc485542ccaf27,ega3.ega0.candidate.sha256.d05554eacf62a25a4fb386e8778cc69bcc36aa8401717eb088dc485542ccaf27,ega0,sref,ega0/ega0-1.tex,443,114,0.1.4.1,\sref{0.1.4.1},"When $A'=A$ and $\vphi$ is the identity, $\sigma$ is none other than the homomorphism $\rho_M^{S,S'}$ defined in \sref{0.1.4.1}.",1FEC1B0BF5C558633512545C460F97BEEA7789FC77BBA709AEBB693C5C2113F7,0.1.4.1,subsection*.8,ega3.ega0.target.sha256.a65e8c656da584ef1214023e4b9bb10e1a4d10cb77528079a1632d0b1b2a7bfb,explicit_same_reader_reference,applied_local_link,exact active local aux label
ega3.ega0.application.sha256.5095863fd2a3dfbbad0bc59e39a380a83c366a589b374971ddebbec1cc5f023c,ega3.ega0.candidate.sha256.5095863fd2a3dfbbad0bc59e39a380a83c366a589b374971ddebbec1cc5f023c,ega0,sref,ega0/ega0-1.tex,455,1,0.1.3.4,\sref{0.1.3.4},"\sref{0.1.3.4} and \sref{0.1.5.2}, we obtain a homomorphism",1FEC1B0BF5C558633512545C460F97BEEA7789FC77BBA709AEBB693C5C2113F7,0.1.3.4,subsection*.7,ega3.ega0.target.sha256.e4cf2474d0d8eea20d024d45b1c56a871dd1e04e02b9962dc13e4294c1fbdff6,explicit_same_reader_reference,applied_local_link,exact active local aux label
ega3.ega0.application.sha256.68d4bbd13965d5f05b47324979c5c9b6ffa58e2b1cfb50e003cec79fcb4db394,ega3.ega0.candidate.sha256.68d4bbd13965d5f05b47324979c5c9b6ffa58e2b1cfb50e003cec79fcb4db394,ega0,sref,ega0/ega0-1.tex,455,20,0.1.5.2,\sref{0.1.5.2},"\sref{0.1.3.4} and \sref{0.1.5.2}, we obtain a homomorphism",1FEC1B0BF5C558633512545C460F97BEEA7789FC77BBA709AEBB693C5C2113F7,0.1.5.2,subsection*.9,ega3.ega0.target.sha256.d0473b85ab1f331be99676b809e25267262ffba122c6f781da5805766a390a3e,explicit_same_reader_reference,applied_local_link,exact active local aux label
ega3.ega0.application.sha256.4b6fed73ae432635b3da09c1e7d5beedc448588fdcfec1ec061d0b2df7ff9c71,ega3.ega0.candidate.sha256.4b6fed73ae432635b3da09c1e7d5beedc448588fdcfec1ec061d0b2df7ff9c71,ega0,sref,ega0/ega0-1.tex,460,18,0.1.3.5,\sref{0.1.3.5},"homomorphisms in \sref{0.1.3.5} and \sref{0.1.5.2}, we obtain a",1FEC1B0BF5C558633512545C460F97BEEA7789FC77BBA709AEBB693C5C2113F7,0.1.3.5,subsection*.7,ega3.ega0.target.sha256.e4cf2474d0d8eea20d024d45b1c56a871dd1e04e02b9962dc13e4294c1fbdff6,explicit_same_reader_reference,applied_local_link,exact active local aux label
ega3.ega0.application.sha256.980c58c2ec33b9e58a6ae1ceb2883a611c8cb034fee649f091631e43e5980e60,ega3.ega0.candidate.sha256.980c58c2ec33b9e58a6ae1ceb2883a611c8cb034fee649f091631e43e5980e60,ega0,sref,ega0/ega0-1.tex,460,37,0.1.5.2,\sref{0.1.5.2},"homomorphisms in \sref{0.1.3.5} and \sref{0.1.5.2}, we obtain a",1FEC1B0BF5C558633512545C460F97BEEA7789FC77BBA709AEBB693C5C2113F7,0.1.5.2,subsection*.9,ega3.ega0.target.sha256.d0473b85ab1f331be99676b809e25267262ffba122c6f781da5805766a390a3e,explicit_same_reader_reference,applied_local_link,exact active local aux label
ega3.ega0.application.sha256.9d9080bd0dc4e3ffdaccf304141267e9ff292ad531504f561780e81bdf4a5b0e,ega3.ega0.candidate.sha256.9d9080bd0dc4e3ffdaccf304141267e9ff292ad531504f561780e81bdf4a5b0e,ega0,sref,ega0/ega0-1.tex,486,1,0.1.2.5,\sref{0.1.2.5},"\sref{0.1.2.5}, so also to $N'\otimes_{A'}(S^{-1}A)_{[\psi]}$, where we",1FEC1B0BF5C558633512545C460F97BEEA7789FC77BBA709AEBB693C5C2113F7,0.1.2.5,subsection*.6,ega3.ega0.target.sha256.184c4bfb242457208233bb5443dafe4ac621cc64592335e53dfde01a0cbc16e4,explicit_same_reader_reference,applied_local_link,exact active local aux label
ega3.ega0.application.sha256.058d43dc3e99ee48dcfefcf223bbd28914e28ba919b3eb8d25693662ad719567,ega3.ega0.candidate.sha256.058d43dc3e99ee48dcfefcf223bbd28914e28ba919b3eb8d25693662ad719567,ega0,sref,ega0/ega0-1.tex,492,71,0.1.3.4,\sref{0.1.3.4},"If $M'$ and $N'$ are $A'$-modules, then by composing the isomorphisms \sref{0.1.3.4} and \sref{0.1.5.4}, we obtain an isomorphism",1FEC1B0BF5C558633512545C460F97BEEA7789FC77BBA709AEBB693C5C2113F7,0.1.3.4,subsection*.7,ega3.ega0.target.sha256.e4cf2474d0d8eea20d024d45b1c56a871dd1e04e02b9962dc13e4294c1fbdff6,explicit_same_reader_reference,applied_local_link,exact active local aux label
ega3.ega0.application.sha256.7723e55716f69794d95bd75baf7ad7eaf8d81b1e737c0726940ea9a5267ebb5c,ega3.ega0.candidate.sha256.7723e55716f69794d95bd75baf7ad7eaf8d81b1e737c0726940ea9a5267ebb5c,ega0,sref,ega0/ega0-1.tex,492,90,0.1.5.4,\sref{0.1.5.4},"If $M'$ and $N'$ are $A'$-modules, then by composing the isomorphisms \sref{0.1.3.4} and \sref{0.1.5.4}, we obtain an isomorphism",1FEC1B0BF5C558633512545C460F97BEEA7789FC77BBA709AEBB693C5C2113F7,0.1.5.4,subsection*.9,ega3.ega0.target.sha256.d0473b85ab1f331be99676b809e25267262ffba122c6f781da5805766a390a3e,explicit_same_reader_reference,applied_local_link,exact active local aux label
ega3.ega0.application.sha256.a96a38fa5c83d9d63f24ca090d0f4696f07681d18cba967c9c2962b839c63aa6,ega3.ega0.candidate.sha256.a96a38fa5c83d9d63f24ca090d0f4696f07681d18cba967c9c2962b839c63aa6,ega0,sref,ega0/ega0-1.tex,496,60,0.1.3.5,\sref{0.1.3.5},"Likewise, if $M'$ admits a finite presentation, we have by \sref{0.1.3.5} and \sref{0.1.5.4} an isomorphism",1FEC1B0BF5C558633512545C460F97BEEA7789FC77BBA709AEBB693C5C2113F7,0.1.3.5,subsection*.7,ega3.ega0.target.sha256.e4cf2474d0d8eea20d024d45b1c56a871dd1e04e02b9962dc13e4294c1fbdff6,explicit_same_reader_reference,applied_local_link,exact active local aux label
ega3.ega0.application.sha256.5d5e55faa6f093bddce73b4193125980df67bcd2de7feda957381165a41f3a8b,ega3.ega0.candidate.sha256.5d5e55faa6f093bddce73b4193125980df67bcd2de7feda957381165a41f3a8b,ega0,sref,ega0/ega0-1.tex,496,79,0.1.5.4,\sref{0.1.5.4},"Likewise, if $M'$ admits a finite presentation, we have by \sref{0.1.3.5} and \sref{0.1.5.4} an isomorphism",1FEC1B0BF5C558633512545C460F97BEEA7789FC77BBA709AEBB693C5C2113F7,0.1.5.4,subsection*.9,ega3.ega0.target.sha256.d0473b85ab1f331be99676b809e25267262ffba122c6f781da5805766a390a3e,explicit_same_reader_reference,applied_local_link,exact active local aux label
ega3.ega0.application.sha256.8256e9fbb107509ddbd67d7510af17584e9640be2d50754c1a1539ee2e819d68,ega3.ega0.candidate.sha256.8256e9fbb107509ddbd67d7510af17584e9640be2d50754c1a1539ee2e819d68,ega0,sref,ega0/ega0-1.tex,504,25,0.1.5.1,\sref{0.1.5.1},"Under the hypotheses of \sref{0.1.5.1}, let $T$ (resp. $T'$) be another multiplicative subset of $A$ (resp. $A'$) such that $S\subset T$ (resp. $S'\subset T'$) and $\vphi(T')\subset T$.",1FEC1B0BF5C558633512545C460F97BEEA7789FC77BBA709AEBB693C5C2113F7,0.1.5.1,subsection*.9,ega3.ega0.target.sha256.d0473b85ab1f331be99676b809e25267262ffba122c6f781da5805766a390a3e,explicit_same_reader_reference,applied_local_link,exact active local aux label
ega3.ega0.application.sha256.0cf6077359d0d96198ec9230692a6c8a13a01d2c831a9d25953a24b7d1f3bbce,ega3.ega0.candidate.sha256.0cf6077359d0d96198ec9230692a6c8a13a01d2c831a9d25953a24b7d1f3bbce,ega0,sref,ega0/ega0-1.tex,545,217,0.1.5.2,\sref{0.1.5.2},"Let $M$ be an $A$-module; evidently we have $M_{[\vphi'']}=(M_{[\vphi]})_{[\vphi']}$; if $\sigma'$ and $\sigma''$ are the homomorphisms defined by $\vphi'$ and $\vphi''$ in the same way as how $\sigma$ is defined in \sref{0.1.5.2} by $\vphi$, then we have the transitivity formula",1FEC1B0BF5C558633512545C460F97BEEA7789FC77BBA709AEBB693C5C2113F7,0.1.5.2,subsection*.9,ega3.ega0.target.sha256.d0473b85ab1f331be99676b809e25267262ffba122c6f781da5805766a390a3e,explicit_same_reader_reference,applied_local_link,exact active local aux label
ega3.ega0.application.sha256.e56fa5d21459c670a85ad0f50a429960f3bff52e96d19d092540a3b31a2da8a5,ega3.ega0.candidate.sha256.e56fa5d21459c670a85ad0f50a429960f3bff52e96d19d092540a3b31a2da8a5,ega0,sref,ega0/ega0-1.tex,552,152,0.1.5.4,\sref{0.1.5.4},"With these identifications, if $\tau'$ and $\tau''$ are the isomorphisms defined by $\vphi'$ and $\vphi''$ in the same way as how $\tau$ is defined in \sref{0.1.5.4} by $\vphi$, then we have the transitivity formula",1FEC1B0BF5C558633512545C460F97BEEA7789FC77BBA709AEBB693C5C2113F7,0.1.5.4,subsection*.9,ega3.ega0.target.sha256.d0473b85ab1f331be99676b809e25267262ffba122c6f781da5805766a390a3e,explicit_same_reader_reference,applied_local_link,exact active local aux label
ega3.ega0.application.sha256.8b75be7d7b28f50d0b0ab95ac1aa532ded080603b4877a940c473cdf4cd5950c,ega3.ega0.candidate.sha256.8b75be7d7b28f50d0b0ab95ac1aa532ded080603b4877a940c473cdf4cd5950c,ega0,sref,ega0/ega0-1.tex,561,59,0.1.3.2,\sref{0.1.3.2},"Indeed, $A_\mathfrak{p}$ is a subring of $B_\mathfrak{p}$ \sref{0.1.3.2} and has \emph{a single prime ideal $\mathfrak{p}'$} \sref{0.1.2.6}; since $B_\mathfrak{p}$ is not $0$, it has at least one prime ideal $\mathfrak{q}'$ and we necessarily have $\mathfrak{q}'\cap A_\mathfrak{p}=\mathfrak{p}'$; the prime ideal $\mathfrak{q}_1$ of $B$, the inverse image of $\mathfrak{q}'$, is thus such that $\mathfrak{q}_1\cap A=\mathfrak{p}$, and \emph{a fortiori} we have $\mathfrak{q}\cap A=\mathfrak{p}$ for every minimal prime ideal $\mathfrak{q}$ of $B$ contained in $\mathfrak{q}_1$.",1FEC1B0BF5C558633512545C460F97BEEA7789FC77BBA709AEBB693C5C2113F7,0.1.3.2,subsection*.7,ega3.ega0.target.sha256.e4cf2474d0d8eea20d024d45b1c56a871dd1e04e02b9962dc13e4294c1fbdff6,explicit_same_reader_reference,applied_local_link,exact active local aux label
