decision_id,reader,source_relpath,action_type,before,after,target_label,evidence,basis,status
EGA3-REF-001,both,source/preamble.tex,PDF destination uniqueness,hypertexnames default,hypertexnames=false,,four-pass final logs and delivered PDF graph,"eliminates automatic equation.1 destination collisions without changing visible text",applied_pass
EGA3-REF-002,ega3,source/ega3/ega3-6.tex,wrong same-volume locator,III.6.1.4.1,III.1.4.1,III.1.4.1,"EGA III Part 2 authority p21; authority SHA 3AD9D3710BCEEBB44B4FBAA976DCD05A719DB6FA2DCF2523C5A6669CE72C59CC","French explicitly prints (1.4.1)",applied_pass
EGA3-REF-003,ega3,source/ega3/ega3-6.tex,wrong same-volume locator,III.6.1.3.1,III.1.3.1,III.1.3.1,"EGA III Part 2 authority p22; authority SHA 3AD9D3710BCEEBB44B4FBAA976DCD05A719DB6FA2DCF2523C5A6669CE72C59CC","French explicitly prints (1.3.1)",applied_pass
EGA3-REF-004,ega3,source/ega3/ega3-7-9.tex,wrong volume prefix,III.2.7.2,II.2.7.2,II.2.7.2,"EGA III Part 2 authority p79; authority SHA 3AD9D3710BCEEBB44B4FBAA976DCD05A719DB6FA2DCF2523C5A6669CE72C59CC","French explicitly prints (II, 2.7.5 et 2.7.2)",applied_pass
EGA3-REF-005,ega3,source/ega3/ega3-2.tex,invisible semantic anchor,missing,III.2.3.5.1,III.2.3.5.1,"EGA III Part 1 authority p103; authority SHA 3ED59FE81DA07F1AB685DDC54A93128A364419D4DDAFBC7AFFCD8ABC8B401605","later source citation identifies the displayed TN-isomorphism as (2.3.5.1)_III",applied_pass
EGA3-REF-006,ega3,source/ega3/ega3-6.tex,invisible semantic anchor,missing,III.6.7.11.2,III.6.7.11.2,"EGA III Part 2 authority p31; authority SHA 3AD9D3710BCEEBB44B4FBAA976DCD05A719DB6FA2DCF2523C5A6669CE72C59CC","later source citation identifies the second displayed notation as (6.7.11.2)",applied_pass
EGA3-REF-007,ega0,source/ega0/ega0-10.tex,malformed reference command,"\\sref[0_I,0.7.3.5]","\\sref[0_I]{0.7.3.5}",0.7.3.5,"TeX macro signature and compiled target replay","repairs a malformed optional/required argument split without changing printed locator",applied_pass
EGA3-REF-008,ega0,source/ega0/ega0-11.tex,invisible semantic anchor,missing,0.11.4.4,0.11.4.4,"EGA 0 source context and EGA III Part 1 authority cross-reference","the paragraph beginning Unless explicitly otherwise mentioned is the declared 11.4.4 target",applied_pass
EGA3-REF-009,ega0,source/ega0/ega0-13.tex,bibliography key correction,IV-28,III-28,cite.III-28,"the.bib entry III-28 (Roos Sur les foncteurs derives de lim)","the cited subject is Roos's derived-limit paper; IV-28 is absent",applied_pass
EGA3-REF-010,ega3,multiple same-position section sites,semantic aliases,7 missing section-root aliases,7 exact same-position aliases,III.*,"source labels and final aux replay","aliases bind cited section roots to already declared physical section positions",applied_pass
EGA3-REF-011,ega3,source/ega3/ega3-1.tex,equation labels,2 unlabelled printed tags,2 exact labels,"III.1.1.3.5|III.1.4.3.1","printed tags and same-volume use sites","labels make the already printed equations directly addressable",applied_pass
EGA3-REF-012,both,18 exact tag sites,equation labels,18 unlabelled printed tags,18 exact invisible labels,multiple,"reviewed declaration/use join recorded by REFERENCE_TARGET_ALIASES.csv","only tags with source-proven same-reader use sites were labelled",applied_pass
EGA3-REF-013,both,14 active content files,visible numeric link wrappers,79 plain same-reader numeric locators,79 exact-text hyperref wrappers,multiple,"closed reviewed action list REFERENCE_ONLY_LINK_APPLICATION.json","each wrapped span resolves to an exact same-reader declaration; external-work collisions were excluded",applied_pass
EGA3-REF-014,ega3,source/ega3.tex and source/ega3 components,visible section link wrappers,11 plain same-reader section/chapter locators,11 exact-text hyperref wrappers,multiple,"manual source-context review and final PDF delta replay","published local sections/volume root only; unpublished sections 8-11 remain residuals",applied_pass
